image_dir,description,text
data\output\divide_images_train\Capitulo 12-2\Comic12-2_001\panel_1.jpg,A minotaur with a red cape and a golden shield is running forward,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_001\panel_2.jpg,A minotaur lifts his punch near to Escoria,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_002\panel_1.jpg,A punch impacts Escoria's stomach with a powerfull blow. Escoria looks shocked,BAAM!!!
data\output\divide_images_train\Capitulo 12-2\Comic12-2_002\panel_2.jpg,Escoria holds her belly in pain and sploites blood,AGHH!!
data\output\divide_images_train\Capitulo 12-2\Comic12-2_002\panel_3.jpg,Escoria cries with a painful face. Shows her teeth and blood is coming aout from her lips,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_002\panel_4.jpg,Escoria runs and charges about to punch in front of her with a furious face,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_003\panel_1.jpg,Escoria punch a minotaur in the face. The minotaur has a pain expression and his eyes closed. Escoria looks angry and strong,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_003\panel_2.jpg,Escoria jumps and fights a minotaur. The minotaur is turned back and seems surprised,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_003\panel_3.jpg,The minotaur blocks an attack with his shield and smiles,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_004\panel_1.jpg,Escoria punches and attacks with fire a minotaur. The minotaur smiles and blocks the attack with his shield,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_004\panel_2.jpg,A fire explosion,KABOOOM!!!
data\output\divide_images_train\Capitulo 12-2\Comic12-2_004\panel_3.jpg,A fire explosion,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_004\panel_4.jpg,The minotaurs covers himself with a golden shield. Fire comes from his side,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_004\panel_5.jpg,The minotaur charges with his shield and punch. He smiles,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_005\panel_1.jpg,A minotaur with a red cloack and a yellow shield punches Escoria with force,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_005\panel_2.jpg,Escoria flies away and splits blood,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_005\panel_3.jpg,The minotaur continues charging with his shield,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_006\panel_1.jpg,Escoria falls near a village and a minotaur is watching her,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_006\panel_2.jpg,A minotaur runs and grabs the body of Escoria,AGARRA
data\output\divide_images_train\Capitulo 12-2\Comic12-2_007\panel_1.jpg,Escoria grunts and shows her teeth near a burned house,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_007\panel_2.jpg,Escoria craches with a wall in a terrible impact. He screams in pain,PAM!!
data\output\divide_images_train\Capitulo 12-2\Comic12-2_008\panel_1.jpg,A minotaur runs and grabs Escoria's body passing throw a wall and destroying it,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_008\panel_2.jpg,Escoria crashes her back in a wall,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_008\panel_3.jpg,Escoria look defeated between a pile of rocks and has a painfull expression,NGH...
data\output\divide_images_train\Capitulo 12-2\Comic12-2_009\panel_1.jpg,Escoria is sitted on the floor and lifts her feet with an angry face,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_009\panel_2.jpg,Escoria kicks a minotaur. The minotaur drops his shield and flies away,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_009\panel_3.jpg,A burned ruins of a house,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_010\panel_1.jpg,A minotaur with a red cloack kneels on the floor with furious face. He lands in a strong impact,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_010\panel_2.jpg,Escoria is walking throw a ruins with heat bhighting around her,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_010\panel_3.jpg,Escoria shouts in fury with rage. Fire is spawning from her back,¡¡TE MATARÉ!!!
data\output\divide_images_train\Capitulo 12-2\Comic12-2_011\panel_1.jpg,A minotaur with a golden armor and a red cape moves his hands with fire sparks ¡,¡INTENTALO!
data\output\divide_images_train\Capitulo 12-2\Comic12-2_011\panel_2.jpg,Escoria is running with fire in her arms and shouts furiously,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_011\panel_3.jpg,A minotaur is running throw fire sparks,
data\output\divide_images_train\Capitulo 12-2\Comic12-2_012\panel_1.jpg,The minotaur granbs Escoria's face and stomps it to the ground,PLAF!
data\output\divide_images_train\Capitulo 12-2\Comic12-2_012\panel_2.jpg,A minotaur tands with a golden armor looking from above,SÓLO ERES RABIA Y MÚSCULO
data\output\divide_images_train\Capitulo 12-2\Comic12-2_012\panel_3.jpg,Escoria lies on the floor wounded and passed away. The floor have cracks on it from an impact,NO HE TENIDO NI QUE USAR MIS ARMAS
