Fecha;Acumulats;
01/04/2020;10822;
02/04/2020;11744;
03/04/2020;12316;
04/04/2020;12450;
05/04/2020;12838;
06/04/2020;13002;
07/04/2020;13603;
08/04/2020;13930;
09/04/2020;14883;
10/04/2020;14974;
11/04/2020;14947;
12/04/2020;14840;
13/04/2020;16566;
14/04/2020;16868;
15/04/2020;17331;
16/04/2020;17587;
17/04/2020;21298;
18/04/2020;21523;
19/04/2020;22284;
20/04/2020;22693;
21/04/2020;23128;
22/04/2020;23538;
23/04/2020;23822;
24/04/2020;24146;
25/04/2020;24345;
26/04/2020;25813;
27/04/2020;27049;
28/04/2020;27410;
29/04/2020;29793;
30/04/2020;30056;
01/05/2020;30131;
02/05/2020;30277;
03/05/2020;30563;
04/05/2020;30852;
05/05/2020;30979;
06/05/2020;31219;
07/05/2020;31329;
08/05/2020;31398;
09/05/2020;31451;
10/05/2020;29834;
11/05/2020;29889;
12/05/2020;30718;
13/05/2020;26624;
14/05/2020;26738;
15/05/2020;26786;
16/05/2020;29456;
17/05/2020;31885;
18/05/2020;32059;
19/05/2020;32472;
20/05/2020;32744;
21/05/2020;32817;
22/05/2020;32855;
23/05/2020;33012;
24/05/2020;33179;
25/05/2020;32169;
26/05/2020;32328;
27/05/2020;32492;
28/05/2020;33573;
29/05/2020;33757;
30/05/2020;33833;
31/05/2020;33739;
01/06/2020;33776;
02/06/2020;33851;
03/06/2020;33972;
04/06/2020;34105;
05/06/2020;34295;
06/06/2020;34316;
07/06/2020;34511;
08/06/2020;34511;
09/06/2020;34340;
10/06/2020;34717;
11/06/2020;34830;
12/06/2020;34866;
13/06/2020;34909;
14/06/2020;35004;
15/06/2020;35079;
16/06/2020;35117;
17/06/2020;35169;
18/06/2020;35196;
19/06/2020;35261;
20/06/2020;35269;
21/06/2020;35302;
22/06/2020;35383;
23/06/2020;35481;
24/06/2020;35535;
25/06/2020;35607;
26/06/2020;35631;
27/06/2020;35631;
28/06/2020;35698;
29/06/2020;35899;
30/06/2020;35982;
01/07/2020;36034;
02/07/2020;36284;
03/07/2020;36319;
04/07/2020;36331;
05/07/2020;36558;
06/07/2020;36657;
07/07/2020;36959;
08/07/2020;37364;
09/07/2020;37548;
10/07/2020;38021;
11/07/2020;38051;
12/07/2020;38442;
13/07/2020;38843;
14/07/2020;39954;
15/07/2020;40266;
16/07/2020;41087;
17/07/2020;41826;
18/07/2020;41960;
19/07/2020;42351;
20/07/2020;42810;
21/07/2020;43838;
22/07/2020;44615;
23/07/2020;45496;
24/07/2020;46467;
25/07/2020;46751;
26/07/2020;46953;
27/07/2020;47653;
28/07/2020;48598;
29/07/2020;49371;
30/07/2020;50211;
31/07/2020;51121;
01/08/2020;51409;
02/08/2020;51896;
03/08/2020;52256;
04/08/2020;52966;
05/08/2020;53624;
06/08/2020;54184;
07/08/2020;55059;
08/08/2020;55282;
09/08/2020;55763;
10/08/2020;56427;
11/08/2020;57096;
12/08/2020;57560;
13/08/2020;58218;
14/08/2020;58476;
15/08/2020;58771;
16/08/2020;59256;
17/08/2020;59992;
18/08/2020;60707;
19/08/2020;61205;
20/08/2020;62123;
21/08/2020;62402;
22/08/2020;62671;
23/08/2020;63514;
24/08/2020;63992;
25/08/2020;65249;
26/08/2020;66258;
27/08/2020;66527;
01/09/2020;66740;
02/09/2020;67195;
03/09/2020;68053;
04/09/2020;68855;
05/09/2020;69476;
06/09/2020;69903;
07/09/2020;70432;
08/09/2020;70855;
09/09/2020;71239;
10/09/2020;71966;
11/09/2020;72635;
12/09/2020;72987;
13/09/2020;73250;
14/09/2020;73608;
15/09/2020;73869;
16/09/2020;74248;
17/09/2020;75066;
18/09/2020;75676;
19/09/2020;76353;
20/09/2020;77175;
21/09/2020;77211;
22/09/2020;77418;
23/09/2020;77807;
24/09/2020;78702;
25/09/2020;79175;
26/09/2020;79681;
27/09/2020;80309;
28/09/2020;80645;
29/09/2020;81291;
30/09/2020;81562;
01/10/2020;82722;
02/10/2020;83450;
03/10/2020;84352;
04/10/2020;84623;
05/10/2020;84961;
06/10/2020;85582;
07/10/2020;86403;
08/10/2020;87496;
09/10/2020;89297;
10/10/2020;90356;
11/10/2020;90545;
12/10/2020;90922;
13/10/2020;91549;
14/10/2020;92752;
15/10/2020;93898;
16/10/2020;94949;
17/10/2020;96280;
18/10/2020;97798;
19/10/2020;98845;
20/10/2020;100311;
21/10/2020;101771;
22/10/2020;104147;
23/10/2020;106930;
24/10/2020;108610;
25/10/2020;110360;
26/10/2020;111793;
27/10/2020;113920;
28/10/2020;116022;
29/10/2020;120135;
30/10/2020;121899;
31/10/2020;123780;
01/11/2020;124922;
02/11/2020;126020;
03/11/2020;128397;
04/11/2020;130849;
05/11/2020;132694;
06/11/2020;134943;
07/11/2020;136189;
08/11/2020;136628;
09/11/2020;137690;
10/11/2020;139315;
11/11/2020;140643;
12/11/2020;141753;
13/11/2020;142975;
14/11/2020;143839;
15/11/2020;144052;
16/11/2020;144279;
17/11/2020;145735;
18/11/2020;146736;
19/11/2020;147694;
20/11/2020;148563;
21/11/2020;149024;
22/11/2020;149167;
23/11/2020;149554;
24/11/2020;150293;
25/11/2020;150948;
26/11/2020;151485;
27/11/2020;152171;
28/11/2020;152641;
29/11/2020;152708;
30/11/2020;153210;
01/12/2020;153772;
02/12/2020;154430;
03/12/2020;155089;
04/12/2020;155277;
05/12/2020;155927;
06/12/2020;156445;
07/12/2020;156787;
08/12/2020;157068;
09/12/2020;158036;
10/12/2020;158803;
11/12/2020;159276;
12/12/2020;159499;
13/12/2020;160255;
14/12/2020;161077;
15/12/2020;161917;
16/12/2020;162826;
17/12/2020;163821;
18/12/2020;164663;
19/12/2020;165439;
20/12/2020;166085;
21/12/2020;166935;
22/12/2020;168154;
23/12/2020;169467;
24/12/2020;170100;
25/12/2020;170410;
26/12/2020;170702;
27/12/2020;171936;
28/12/2020;173646;
29/12/2020;175130;
01/01/2021;176633;
02/01/2021;177480;
03/01/2021;177912;
04/01/2021;178363;
05/01/2021;180018;
06/01/2021;182073;
07/01/2021;183112;
08/01/2021;184765;
09/01/2021;186601;
10/01/2021;187408;
11/01/2021;187724;
12/01/2021;190589;
13/01/2021;192978;
14/01/2021;194995;
15/01/2021;196917;
16/01/2021;198906;
17/01/2021;200037;
18/01/2021;200898;
19/01/2021;202556;
20/01/2021;204351;
21/01/2021;206624;
22/01/2021;208587;
23/01/2021;210033;
24/01/2021;210033;
25/01/2021;212031;
26/01/2021;213606;
27/01/2021;215111;
28/01/2021;217012;
29/01/2021;218628;
30/01/2021;220262;
31/01/2021;220865;
01/02/2021;221987;
02/02/2021;222112;
03/02/2021;224353;
04/02/2021;225843;
05/02/2021;227296;
06/02/2021;228363;
07/02/2021;229277;
08/02/2021;229695;
09/02/2021;229775;
10/02/2021;231618;
11/02/2021;232666;
12/02/2021;233518;
13/02/2021;234471;
14/02/2021;235162;
15/02/2021;235370;
16/02/2021;236077;
17/02/2021;237037;
18/02/2021;237037;
19/02/2021;238689;
20/02/2021;239162;
21/02/2021;240309;
22/02/2021;240513;
23/02/2021;240513;
24/02/2021;241022;
25/02/2021;241942;
26/02/2021;242670;
27/02/2021;243420;
28/02/2021;243794;
01/03/2021;244069;
02/03/2021;244626;
03/03/2021;245361;
04/03/2021;246065;
05/03/2021;246782;
06/03/2021;247477;
07/03/2021;247849;
08/03/2021;248026;
09/03/2021;248412;
10/03/2021;248940;
11/03/2021;249742;
12/03/2021;250489;
13/03/2021;250928;
14/03/2021;251312;
15/03/2021;251459;
16/03/2021;251887;
17/03/2021;253501;
18/03/2021;255253;
19/03/2021;255937;
20/03/2021;256732;
21/03/2021;257641;
22/03/2021;259546;
23/03/2021;259752;
24/03/2021;260637;
01/04/2021;261429;
02/04/2021;262259;
03/04/2021;263041;
04/04/2021;263394;
05/04/2021;263685;
06/04/2021;263943;
07/04/2021;264185;
08/04/2021;264773;
09/04/2021;266176;
10/04/2021;267194;
11/04/2021;268524;
12/04/2021;269266;
13/04/2021;270147;
14/04/2021;270533;
15/04/2021;271390;
16/04/2021;272145;
17/04/2021;272803;
18/04/2021;273353;
19/04/2021;273534;
20/04/2021;274206;
21/04/2021;275025;
22/04/2021;276248;
23/04/2021;276283;
24/04/2021;277317;
25/04/2021;277546;
26/04/2021;278215;
27/04/2021;279583;
28/04/2021;279599;
29/04/2021;280322;
30/04/2021;280865;
01/05/2021;281562;
02/05/2021;281573;
03/05/2021;282153;
04/05/2021;282900;
05/05/2021;283629;
06/05/2021;284174;
07/05/2021;284605;
08/05/2021;285028;
09/05/2021;285814;
10/05/2021;285917;
11/05/2021;286485;
12/05/2021;287069;
13/05/2021;287518;
14/05/2021;287760;
15/05/2021;288275;
16/05/2021;288352;
17/05/2021;288904;
18/05/2021;289463;
19/05/2021;289981;
20/05/2021;290365;
21/05/2021;291481;
22/05/2021;291499;
23/05/2021;291573;
24/05/2021;291732;
25/05/2021;292134;
26/05/2021;292523;
27/05/2021;293170;
28/05/2021;293422;
29/05/2021;293717;
30/05/2021;294235;
31/05/2021;294697;
01/06/2021;295179;
02/06/2021;296129;
03/06/2021;296551;
04/06/2021;297840;
05/06/2021;297913;
06/06/2021;298143;
07/06/2021;298199;
08/06/2021;298684;
09/06/2021;299911;
10/06/2021;300778;
11/06/2021;301218;
12/06/2021;301715;
13/06/2021;301721;
14/06/2021;302037;
15/06/2021;302822;
