TipusCasData,ComarcaCodi,ComarcaDescripcio,MunicipiCodi,MunicipiDescripcio,DistricteCodi,DistricteDescripcio,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
04/02/2022,13,BARCELONES,08019,BARCELONA,10,SANT MARTÍ,1,Dona,Positiu TAR,126
28/10/2020,13,BARCELONES,08019,BARCELONA,03,SANTS-MONTJUÏC,0,Home,Positiu per Test Ràpid,1
18/11/2020,13,BARCELONES,08019,BARCELONA,08,NOU BARRIS,0,Home,Positiu PCR,19
16/07/2020,13,BARCELONES,08019,BARCELONA,08,NOU BARRIS,0,Home,Positiu per Test Ràpid,11
22/12/2020,13,BARCELONES,08019,BARCELONA,01,CIUTAT VELLA,0,Home,Positiu per Test Ràpid,1
03/09/2020,13,BARCELONES,08019,BARCELONA,06,GRÀCIA,1,Dona,Positiu per Test Ràpid,6
20/08/2020,13,BARCELONES,08019,BARCELONA,07,HORTA-GUINARDÓ,0,Home,Positiu per ELISA,1
26/03/2020,13,BARCELONES,08019,BARCELONA,01,CIUTAT VELLA,1,Dona,Positiu PCR,5
21/12/2021,13,BARCELONES,08019,BARCELONA,04,LES CORTS,1,Dona,Positiu TAR,63
11/01/2021,13,BARCELONES,08019,BARCELONA,02,EIXAMPLE,0,Home,Positiu per Test Ràpid,1
06/07/2020,13,BARCELONES,08019,BARCELONA,03,SANTS-MONTJUÏC,1,Dona,Positiu per ELISA,1
07/04/2021,13,BARCELONES,08019,BARCELONA,10,SANT MARTÍ,0,Home,Positiu TAR,14
10/10/2020,13,BARCELONES,08019,BARCELONA,03,SANTS-MONTJUÏC,1,Dona,Positiu per ELISA,3
20/04/2020,13,BARCELONES,08019,BARCELONA,02,EIXAMPLE,0,Home,Positiu PCR,9
05/04/2020,13,BARCELONES,08019,BARCELONA,09,SANT ANDREU,1,Dona,Positiu per ELISA,1
22/11/2021,13,BARCELONES,08019,BARCELONA,06,GRÀCIA,1,Dona,Positiu PCR,9
03/05/2021,13,BARCELONES,08019,BARCELONA,03,SANTS-MONTJUÏC,1,Dona,Positiu TAR,7
15/12/2020,13,BARCELONES,08019,BARCELONA,04,LES CORTS,0,Home,Positiu per Test Ràpid,1
23/12/2021,13,BARCELONES,08019,BARCELONA,08,NOU BARRIS,1,Dona,PCR probable,1
20/04/2020,13,BARCELONES,08019,BARCELONA,10,SANT MARTÍ,1,Dona,Positiu per Test Ràpid,2
09/07/2020,13,BARCELONES,08019,BARCELONA,01,CIUTAT VELLA,1,Dona,Positiu per Test Ràpid,2
21/04/2020,13,BARCELONES,08019,BARCELONA,09,SANT ANDREU,1,Dona,Positiu per Test Ràpid,2
15/07/2020,13,BARCELONES,08019,BARCELONA,06,GRÀCIA,0,Home,PCR probable,1
08/09/2020,13,BARCELONES,08019,BARCELONA,09,SANT ANDREU,1,Dona,Positiu per Test Ràpid,1
20/03/2020,13,BARCELONES,08019,BARCELONA,04,LES CORTS,0,Home,Positiu per ELISA,1
26/12/2021,13,BARCELONES,08019,BARCELONA,10,SANT MARTÍ,0,Home,Positiu TAR,111
25/07/2020,13,BARCELONES,08019,BARCELONA,08,NOU BARRIS,0,Home,Positiu per ELISA,1
19/11/2020,13,BARCELONES,08019,BARCELONA,09,SANT ANDREU,1,Dona,PCR probable,1
15/04/2020,13,BARCELONES,08019,BARCELONA,10,SANT MARTÍ,1,Dona,Positiu per Test Ràpid,3
16/03/2022,13,BARCELONES,08019,BARCELONA,07,HORTA-GUINARDÓ,0,Home,Positiu PCR,2
13/07/2020,13,BARCELONES,08019,BARCELONA,06,GRÀCIA,0,Home,Positiu PCR,1
28/10/2020,13,BARCELONES,08019,BARCELONA,09,SANT ANDREU,0,Home,Positiu TAR,22
14/10/2020,13,BARCELONES,08019,BARCELONA,07,HORTA-GUINARDÓ,1,Dona,PCR probable,1
12/08/2020,13,BARCELONES,08019,BARCELONA,07,HORTA-GUINARDÓ,1,Dona,Positiu per ELISA,1
14/09/2020,13,BARCELONES,08019,BARCELONA,06,GRÀCIA,1,Dona,Positiu per ELISA,9
17/08/2020,13,BARCELONES,08019,BARCELONA,09,SANT ANDREU,1,Dona,Positiu per Test Ràpid,1
13/07/2020,13,BARCELONES,08019,BARCELONA,05,SARRIÀ-SANT GERVASI,0,Home,Positiu per ELISA,1
03/05/2020,13,BARCELONES,08019,BARCELONA,02,EIXAMPLE,0,Home,Epidemiològic,1
20/07/2020,13,BARCELONES,08019,BARCELONA,10,SANT MARTÍ,1,Dona,Positiu per Test Ràpid,6
29/06/2020,13,BARCELONES,08019,BARCELONA,03,SANTS-MONTJUÏC,0,Home,Positiu per Test Ràpid,5
21/04/2021,13,BARCELONES,08019,BARCELONA,03,SANTS-MONTJUÏC,0,Home,Positiu TAR,6
03/07/2020,13,BARCELONES,08019,BARCELONA,06,GRÀCIA,0,Home,PCR probable,1
19/04/2020,13,BARCELONES,08019,BARCELONA,05,SARRIÀ-SANT GERVASI,1,Dona,PCR probable,1
25/05/2021,13,BARCELONES,08019,BARCELONA,06,GRÀCIA,1,Dona,Positiu TAR,2
