"TRAM","Rang","GEOM_WKT"
"T04719W","20 - 30 µg/m³","MULTILINESTRING ((430229.788593716 4586585.19905775,430181.876584091 4586593.70443592))"
"T19941Z","20 - 30 µg/m³","MULTILINESTRING ((432928.898296899 4584019.98762825,432994.983965867 4583963.09304168))"
"T18111R","20 - 30 µg/m³","MULTILINESTRING ((429953.263102905 4588161.44067207,429981.418243399 4588174.24947826,430025.298476374 4588196.06217914))"
"T03222Y","20 - 30 µg/m³","MULTILINESTRING ((427949.038250661 4580946.04271488,427950.734840424 4581023.3918211))"
"T17625I","20 - 30 µg/m³","MULTILINESTRING ((433950.188943519 4585741.2135567,433875.041412296 4585818.33524801))"
"T05360P","20 - 30 µg/m³","MULTILINESTRING ((429464.338893804 4587309.38903711,429522.574520858 4587380.30070689))"
"T08863T","20 - 30 µg/m³","MULTILINESTRING ((431912.280708753 4585068.50690914,431850.39107731 4585129.46546943))"
"T00236S","20 - 30 µg/m³","MULTILINESTRING ((432088.266467376 4581318.69686538,432104.281075301 4581263.82765978))"
"T13009A","20 - 30 µg/m³","MULTILINESTRING ((431196.392673071 4590356.60070978,431209.282765334 4590366.11762703,431222.855845096 4590373.84653629,431239.634934141 4590382.14142213,431255.356035302 4590392.25031885,431261.887134724 4590404.01528782,431266.945271651 4590421.02627619,431272.191361721 4590431.82225338,431279.059418787 4590437.93521091,431303.337532294 4590447.91504256))"
"T11921P","20 - 30 µg/m³","MULTILINESTRING ((431707.969985032 4588314.79661459,431656.865166183 4588349.14705599))"
"T16868V","20 - 30 µg/m³","MULTILINESTRING ((425186.406875673 4582382.67194377,425192.66094564 4582390.60990839,425207.335090773 4582406.72682149,425219.603250419 4582425.24875661,425226.338363128 4582438.71972606,425240.771725148 4582483.46268502,425245.102011214 4582520.26670864))"
"T02762R","20 - 30 µg/m³","MULTILINESTRING ((427415.052813916 4580601.77124443,427351.632449154 4580566.59967235))"
"T04571U","20 - 30 µg/m³","MULTILINESTRING ((430796.55124657 4586159.17308486,430801.720543502 4586065.22489543))"
"T08170X","20 - 30 µg/m³","MULTILINESTRING ((429328.293249058 4583429.7330233,429403.402814171 4583488.79254148))"
"T07536D","20 - 30 µg/m³","MULTILINESTRING ((425114.6854637 4582343.08242874,425110.35849647 4582348.28746968,425099.66680982 4582391.76961797,425099.988834376 4582394.9396204))"
"T01076Y","20 - 30 µg/m³","MULTILINESTRING ((430939.585497805 4581293.19552835,430870.57573546 4581206.90991889))"
"T21401B","20 - 30 µg/m³","MULTILINESTRING ((433802.056207748 4587521.50550454,433829.674278151 4587525.17730131))"
