,Unnamed: 0,ID,LINK,CNO,TITULO OFERTA,DETALLE OFERTA,FIN OFERTA,EMPRESA OFERTA,CABECERA
7263,7263,1759729938,https://www.empleate.gob.es/empleo/#/oferta/1759729938,CNO no informado,"Analistas funcionales pago, madrid","Analistas Funcionales Pago en Madrid Capgemini es líder mundial en servicios de consultoría, transformación digital, tecnología e ingeniería. El Grupo está a la vanguardia de la innovación para abordar la amplia gama de oportunidades de clientes en todo el mundo en las plataformas digitales y en la nube en constante evolución. Si te apasionan los proyectos de transformación digital e innovación y tienes experiencia como Analista Funcional Pagos ésta es tu empresa. Si te unes a Capgemini, formarás parte de equipos multidisciplinares, en los que podrás desarrollar tu carrera profesional de la mano de grandes profesionales. El dinamismo y la motivación serán parte de tu día a día. Buscamos profesionales en todo el territorio nacional, ¡esta es tu oportunidad! Vivas donde vivas, somos tu compañía de futuro. ¿Qué buscamos? - Amplios conocim",21/12/2021,,"Informática/telecomunicaciones -
Analistas/programadores
21/12/2021"
7660,7660,1764448938,https://www.empleate.gob.es/empleo/#/oferta/1764448938,3820,"Programador/a dynamics 365, 100% en remoto","Programador/a Dynamics 365 en 100% En remoto En Cas Training empresa especializada en ofrecer soluciones de Formación y servicios de Consultoría de profesionales en el ámbito de las TIC, estamos en búsqueda de un perfil como Programador/a Dynamics 365. Requisitos: Al menos 1 años de experiencia como programador/a Dynamics 365 Experiencia en Desarrollo, parametrización y configuración de plataforma. Ofrecemos: • Teletrabajo 100% • Contratación Indefinida • Acceso gratuito al catálogo de formación anual de Cas Training. • Salario competitivo negociable en base a la experiencia. dynamics,Dynamics 365",2022-04-03 00:00:00,,"Informática/telecomunicaciones -
Analistas/programadores
Programadores Informáticos
04/03/2022"
8257,8257,1762702908,https://www.empleate.gob.es/empleo/#/oferta/1762702908,CNO no informado,"Desarrollador business central, sevilla","Desarrollador Business Central en Sevilla Perfil buscado (Hombre/Mujer) El candidato seleccionado se incorporará al Departamento de Desarrollo de la compañía como Desarrollador Business Central asumiendo las siguientes responsabilidades: • Migrar la versión de Navision 2009 a Business Central. • Analizar, diseñar, desarrollar y evolucionar del ERP de la compañía. • Desarrollador Business Central|Importante cliente final ubicado en Sevilla. Buscamos un Desarrollador Business Central que cuente con al menos dos años de experiencia desarrollando este ERP. Importante cliente final ubicado en Sevilla. Ofrecemos: • Contrato indefinido. • Horario de 9 a 18h, jornada intensiva los viernes. • Oficina en Alcalá de Guadaira (teletrabajo puntual). • Salario 30-36k. Business Central,Navision,",20/01/2022,,"Informática/telecomunicaciones -
20/01/2022"
2770,2770,1748121229,https://www.empleate.gob.es/empleo/#/oferta/1748121229,CNO no informado,"Ingeniero/a networking n2, madrid",Ingeniero/a Networking N2 en Madrid Grupo Sermicro es una empresa de referencia de Soluciones y Servicios TIC que ayuda a las empresas a desplegar su estrategia de negocio mediante un uso eficiente e innovador de la tecnología. Tenemos más de 35 años de experiencia y contamos con presencia internacional con sede en 10 países y un equipo de más de 2.400 personas. Trabajamos con más de 1.000 clientes en el sector público y privado y además promovemos activamente la igualdad entre hombres y mujeres. ¡Te invitamos a formar parte de nuestro equipo! Actualmente estamos buscando UN INGENIERO / A NETWORKING N2 SE REQUIERE: · Formación en Ingeniería (Telecomunicaciones ó Informática) ó CFGS (Administración de Sistemas Informáticos en Red). · Nivel alto de inglés. · Al menos 3 años de experiencia en nivel 2-3 implantando proyectos en redes IP para dife,2021-09-02 00:00:00,,"Ingeniería/calidad/ciencias -
Ingenierías
09/02/2021"
8026,8026,1759737292,https://www.empleate.gob.es/empleo/#/oferta/1759737292,7191,Jefe/a servicios,"Referència: 21-0878-AE
Població: Cornellà de llobregat
Funcions:
Se precisa persona proactiva, con conocimiento técnico en instalaciones de edificios, capacidad de gestionar equipos y orientación a cliente. En dependencia de la persona responsable del departamento, realizará funciones de gestión de contratos de mantenimiento de instalaciones y obras de instalaciones en edificios
Contrato:
Jornada:
Salario:",20/12/2021,,"Vigilancia/servicios -
Auxiliares De Servicio/personal Subalter
Mantenedores De Edificios
ProEmpleoIngenieros - COGITI
20/12/2021"
9214,9214,1766118322,https://www.empleate.gob.es/empleo/#/oferta/1766118322,8440,"Conductores-repartidores en motocicleta, ciclomotor y/o motocarro, excepto mensajería","REPARTIDOR DE COMIDA A DOMICILIO
Datos de contacto:
CÓDIGO DE OFERTA: 122022003738 Oficina de Emprego Lugo Norte: 982828648 - 982828645",2022-07-04 00:00:00,,"Conductores/transporte -
Reparto De Mercancías
Conductores De Motocicletas Y Ciclomotores
07/04/2022"
7623,7623,1763760514,https://www.empleate.gob.es/empleo/#/oferta/1763760514,2441,Ingeniero/a eléctrico/a,"En IDP necesitamos incorporar un Técnico/a de Proyectos de Instalaciones eléctricas para ampliar nuestro equipo actual. Las funciones principales del puesto son las siguientes: • Desarrollo de proyectos básicos y ejecutivos de instalaciones eléctricas en el ámbito industrial (logístico, farmacéutico, alimentario, etc.) en todas sus fases. • Cálculo y diseño de instalaciones eléctricas. • Realización de memorias técnicas, mediciones y presupuestos. • Justificación de las propuestas llevadas a cabo. • Comprobación, revisión y aprobación de planos. • Diseño de centros de transformación y centros de recepción y medida. • Electricidad Baja Tensión: Experiencia en alimentación en todo tipo de industrias y procesos y en diferentes regímenes de neutro. • Regulación y Control: Conocimientos de PLC Industriales, BMS y voz y datos (distri",17/02/2022,,"Ingeniería/calidad/ciencias -
Ingenierías
Ingenieros En Electricidad
ProEmpleoIngenieros - COGITI
17/02/2022"
6607,6607,1766160581,https://www.empleate.gob.es/empleo/#/oferta/1766160581,CNO no informado,"Digital communication manager, proveg spain (m/f/d)","ROLE SUMMARY Are you a highly-creative communicator with a sharp eye for visual impact and a way with words? We are looking for a talented, native Spanish-speaking Digital Communications Manager to administer our digital channel, with a focus on Social Media. As a Digital Communications Manager, you should be up-to-date with the latest digital technologies and social media trends. Ideally, you combine excellent communication skills with the necessary creativity to be able to express ProVeg International's mission, vision, and all our output in an attractive and impactful manner. You'll be responsible for Proveg Spain website content, our newsletter and social media. You'll also implement ProVeg's international campaigns, such as Veggie Challenge, policy-focused campaigns, and the dissemination of our reports, in Spain. JOB DETAILS Reports to: Communications Manager ProVeg Spain Department: ProVeg Spain Location: Remote, Spain (ideally in Valencia region) Hours: 24 - 34h/week (0.6 - 0.8",2022-08-04 00:00:00,,"Informática/telecomunicaciones -
Gestión De Proyectos
08/04/2022"
346,346,1764589410,https://www.empleate.gob.es/empleo/#/oferta/1764589410,CNO no informado,Agente telefónico de lunes a viernes,"Si tienes ganas de unirte a un equipo lleno de talento, Konecta con nosotros.
En Konecta seguimos evolucionando y superando grandes retos de la mano de nuestro talento K! En estos momentos, el equipo de Telemarketing de Palencia necesita incorporar nuevos talentos para desarrollar funciones de Agente Telefónico en la promoción de productos y servicios de importante compañía del sector Telefonía.
La experiencia no es un requisito imprescindible y por ello nosotros/as nos encargamos de enseñarte y prepararte.
¿Qué te ofrecemos?
- Formación online de 9:15 a 15:15H desde el 14/03/22 al 21/03/22. Incorporación inmediata tras superar la formación (23/03/22).
- Jornada de 25h de Lunes a Viernes.
- Contrato eventual hasta 19/05 con posibilidad de continuidad.
- Trabajo Presencial de Lunes a Viernes en horario de tarde (De 16.00-21.00h)
- Lugar de trabajo: Plaza San Miguel, 3-Palencia.
- Salario según convenio Contact Center: 743 euros brutos mensuales + increíbles incentivos y comisiones.
-Incorporación a una empresa con posibilidad de desarrollo de carrera, y con formación continuada y estabilidad.
¿Sientes el feeling?",2022-07-03 00:00:00,Konecta BTO S.L.,"Comercial/ventas -
Vendedores
Konecta BTO S.L.
07/03/2022"
9190,9190,1766379799,https://www.empleate.gob.es/empleo/#/oferta/1766379799,2922,Técnico/a de comunicación (contrato formativo para la obtención de la práctica profesional),"Tareas de apoyo en: • Redacción de notas de prensa y artículos. • Gestión de ruedas de prensa. • Gestiones con los medios de comunicación. • Redacción y maquetación de revista digital mensual corporativa. • Redacción/maquetación de publicidad electoral. • Maquetación de carteles de eventos/folletos. • Edición de videos. • Gestión de página web corporativa. • Gestión de redes sociales (Twitter, Facebook, Telegram, Instagram). • Realización de fotografías. • Seguimiento de CCOO en medios de comunicación. • Coordinación con las diferentes secretarías y federaciones del sindicato.",13/04/2022,,"Educación/servicios Sociales -
Formación Profesional
Periodistas
COMISIONES OBRERAS DE NAVARRA
13/04/2022"
