number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_second_conv_outchann,params_split_size,params_weight_decay,state
0,0.13471556305885315,30,0,120,90,12,1.4642550436847626e-05,5,20,0.75,0.020034291588779694,COMPLETE
1,0.0019063943153014406,20,0,180,120,6,0.0004549597414963537,1,24,0.75,0.020272999626375333,COMPLETE
2,0.003956115676555782,20,0.1,150,0,12,0.00095342499359857,1,24,0.75,0.017536831619852315,COMPLETE
3,0.002451756357913837,20,0,120,120,8,0.0008358121982600357,1,16,0.7999999999999999,0.012281530284167777,COMPLETE
4,0.06915609240531921,40,0.1,210,60,8,0.0006542344869090405,7,24,0.7,0.01832521891820094,COMPLETE
5,0.0035265987738966943,40,0,120,30,6,0.00025166834025585006,3,24,0.7,0.01856712824873794,COMPLETE
6,0.10364381074905396,30,0,150,90,12,1.5893262198214822e-05,7,24,0.7999999999999999,0.06758202924788657,COMPLETE
7,0.009385214895009994,50,0,120,60,12,0.0002444180605771697,7,24,0.7999999999999999,0.023488746605657092,COMPLETE
8,0.04388171315193176,50,0,150,0,10,0.00017806195970322138,3,20,0.7999999999999999,0.019693127531122054,COMPLETE
9,0.08323411345481872,30,0,150,150,10,0.00022690138732476102,9,16,0.7999999999999999,0.058603861197982623,COMPLETE
10,0.03130033249035478,10,0.1,210,150,6,4.799954351302017e-05,3,20,0.75,0.035455845206032614,COMPLETE
11,0.018185906973667443,10,0,180,120,8,0.000536616919743748,1,16,0.75,0.01218764717019547,COMPLETE
12,0.003424571268260479,20,0,180,120,6,7.391846806562793e-05,1,16,0.7,0.010744688097744792,COMPLETE
13,0.004027442447841168,20,0,180,120,8,0.0004709962186278079,1,16,0.75,0.034634420162570456,COMPLETE
14,0.011434535542503,20,0.1,180,120,6,0.0009628610838742922,3,20,0.7999999999999999,0.013289984449892777,COMPLETE
15,0.00715524404658936,10,0,210,150,8,0.000428052792279925,5,20,0.75,0.02793509516517998,COMPLETE
16,0.006197388842701912,20,0,120,90,10,0.00011559140995217053,1,16,0.7999999999999999,0.04690300927993509,COMPLETE
17,0.03021318428218365,40,0,150,120,6,2.8260120819501963e-05,3,20,0.7,0.09501602567462489,COMPLETE
18,0.0053503541159443556,10,0.1,180,90,8,0.0003618393412438612,5,24,0.75,0.013433735462611437,COMPLETE
19,0.006864083604887128,20,0,210,150,6,0.00011794779497319616,1,16,0.7999999999999999,0.010096698607940784,COMPLETE
20,0.002326949447160587,30,0,120,60,8,0.0006319842277242031,3,20,0.75,0.01455088928345723,COMPLETE
21,0.0018910319001103442,30,0,120,60,8,0.0007343900628327818,3,20,0.75,0.014370210570627139,COMPLETE
22,0.013133896638949712,30,0,120,30,10,0.0003065681043331969,3,20,0.75,0.015049492852918312,COMPLETE
23,0.0034391100984066726,40,0,150,60,8,0.0006146000861042693,3,20,0.75,0.026393500272805875,COMPLETE
24,0.05834321826696396,30,0,120,30,8,0.00016080187606549667,5,20,0.75,0.01583395335077584,COMPLETE
25,0.01606573835015297,30,0,150,60,6,0.0006588925819887334,3,24,0.7,0.02163221724122187,COMPLETE
