image_type,image_number,patience_validation,patience_plateau,delta_min,batch_size,split_size,max_loss_reset,learning_rate,weight_decay,first_conv_outchann,second_conv_outchann,fclayer1,fclayer2,criterion_type,optimizer,verbosity,accuracy,precision,recall,f1,average_loss,combined_score,rank
T88_111,1,0,1,0.1,30,0.8,1,0.001,0.008,12,20,180,30,BCElogitsloss,Adam,1,1.0,0.7346938775510206,0.7777777777777777,0.9833147942157954,0.846179558339897,0.9942580123768316,2.5
T88_111,1,0,1,0.1,30,0.8,1,0.001,0.01,12,20,180,30,BCElogitsloss,Adam,1,0.7499999999999996,0.5510204081632655,0.6666666666666665,0.7942157953281426,0.8361574197017083,0.746136243863879,8.0
T88_111,1,0,1,0.1,30,0.8,1,0.001,0.02,12,20,180,30,BCElogitsloss,Adam,1,0.49999999999999956,0.4285714285714286,0.4444444444444444,0.5280764635603346,0.5095209120653255,0.49847678459280065,21.0
T88_111,1,0,1,0.1,30,0.8,1,0.0009,0.008,12,20,180,30,BCElogitsloss,Adam,1,0.6249999999999996,0.9183673469387756,0.2222222222222222,0.39882697947214063,0.5115543481226885,0.6279039300214875,11.0
T88_111,1,0,1,0.1,30,0.8,1,0.0009,0.01,12,20,180,30,BCElogitsloss,Adam,1,0.0,0.0,0.4444444444444444,0.3184183142559833,0.0,0.0023612511000303733,36.0
T88_111,1,0,1,0.1,30,0.8,1,0.0009,0.02,12,20,180,30,BCElogitsloss,Adam,1,0.49999999999999956,0.5142857142857142,0.33333333333333326,0.43870967741935507,0.545954527510494,0.49936014264142714,19.5
T88_111,1,0,1,0.1,30,0.8,1,0.0012,0.008,12,20,180,30,BCElogitsloss,Adam,1,0.375,0.29670329670329676,0.4444444444444444,0.4700460829493087,0.6929016884053512,0.37402280386663705,25.5
T88_111,1,0,1,0.1,30,0.8,1,0.0012,0.01,12,20,180,30,BCElogitsloss,Adam,1,0.25,0.2142857142857144,0.33333333333333326,0.32497013142174414,0.30761566668840135,0.24982870507140817,33.5
T88_111,1,0,1,0.1,30,0.8,1,0.0012,0.02,12,20,180,30,BCElogitsloss,Adam,1,1.0,0.7346938775510206,0.7777777777777777,0.9833147942157954,0.8684663672483073,0.9942580123768316,2.5
T88_111,1,0,1,0.1,30,0.8,1,0.0015,0.008,12,20,180,30,BCElogitsloss,Adam,1,0.7499999999999996,0.642857142857143,0.5555555555555555,0.7311827956989247,0.7912321034964194,0.7471248641141935,7.0
T88_111,1,0,1,0.1,30,0.8,1,0.0015,0.01,12,20,180,30,BCElogitsloss,Adam,1,0.6249999999999996,0.4945054945054945,0.5555555555555555,0.6658986175115209,0.3684303599227836,0.6223874851527154,15.0
T88_111,1,0,1,0.1,30,0.8,1,0.0015,0.02,12,20,180,30,BCElogitsloss,Adam,1,0.49999999999999956,0.3214285714285714,0.6666666666666665,0.6722164412070759,0.8049180622822276,0.49781532161327324,22.0
