number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_patience_plateau,params_patience_validation,params_second_conv_outchann,params_split_size,params_weight_decay,state
0,0.017937415093183518,40,0.1,180,120,6,2.540837218314661e-05,9,1,2,20,0.7,0.013113003012118587,COMPLETE
1,0.12576113194227218,10,0,150,90,8,0.0006607659233362026,3,0. 3,3,20,0.7999999999999999,0.06316781722486256,COMPLETE
2,0.005096814334392547,50,0.1,120,0,8,0.00041677576698873173,3,1,1,20,0.7,0.06518444306478896,COMPLETE
3,0.0037311750929802656,40,0,180,0,12,8.406043510133569e-05,5,0. 3,0,16,0.7,0.04414014391730762,COMPLETE
4,0.0073001798242330555,30,0.1,180,120,12,5.049435127617096e-05,5,0. 3,1,20,0.7,0.015522677308232393,COMPLETE
5,0.006948996335268021,40,0,150,30,10,0.00011162977916851679,7,0. 3,3,20,0.75,0.0634833688977716,COMPLETE
6,0.011611031368374825,40,0.1,150,150,12,0.00016290875850409693,5,1,1,16,0.7,0.08214738574359073,COMPLETE
7,0.08612476587295533,30,0,150,0,6,8.342184503378581e-05,5,1,3,20,0.75,0.05700965975965482,COMPLETE
8,0.01124563679099083,50,0,120,0,12,0.00014684558968642493,9,1,3,20,0.7999999999999999,0.07199805839262256,COMPLETE
9,0.0007561525050550699,50,0.1,210,0,12,8.435943429568054e-05,1,0. 3,1,24,0.7999999999999999,0.029322326047452323,COMPLETE
10,0.051953803189098834,10,0.1,210,60,10,1.5147901472795335e-05,1,0. 3,0,24,0.7999999999999999,0.023281491089897334,COMPLETE
11,0.3324218463897705,50,0,210,30,10,4.0191964871162116e-05,1,0. 3,0,16,0.75,0.03417387301736832,COMPLETE
12,0.007489798311144114,40,0.1,210,30,12,0.0002780275514269637,3,0. 3,0,24,0.7999999999999999,0.036744332034181766,COMPLETE
13,0.006129997689276934,20,0,180,60,12,6.069858832861618e-05,7,0. 3,2,16,0.75,0.0237245045385208,COMPLETE
14,0.12432642817497254,50,0.1,210,0,10,1.0191946713086815e-05,1,0. 3,0,24,0.75,0.03947310982169695,COMPLETE
15,0.03852348327636719,40,0,180,30,12,0.00025639657987611776,7,0. 3,1,16,0.7999999999999999,0.02359386265944872,COMPLETE
16,0.02686607837677002,30,0,210,60,8,3.3152614971541786e-05,3,0. 3,2,24,0.7,0.0449083874764294,COMPLETE
17,0.00444546778453514,20,0.1,180,90,10,6.9735369400567e-05,1,0. 3,0,16,0.75,0.09730818700057244,COMPLETE
18,0.054493029117584225,50,0,210,0,12,0.0009901514077396182,7,0. 3,1,24,0.75,0.02806909182616937,COMPLETE
19,0.04903089702129364,30,0.1,180,30,10,2.2465822069095833e-05,3,0. 3,0,16,0.7999999999999999,0.016363508554594598,COMPLETE
