number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_patience_plateau,params_patience_validation,params_second_conv_outchann,params_split_size,params_weight_decay,state
0,0.011695498879998923,10,0,180,0,6,3.053726853394779e-05,1,1,0,20,0.75,0.039721242583747964,COMPLETE
1,0.06230587214231491,40,0.1,210,150,12,5.881881321577714e-05,7,0. 3,0,20,0.7999999999999999,0.017950018787879805,COMPLETE
2,0.31212484538555146,20,0.1,150,150,10,0.0007761850492649663,7,0. 3,0,16,0.7999999999999999,0.031110658770971994,COMPLETE
3,0.0004480628110468388,50,0,120,150,8,0.00010476622665627835,1,0. 3,2,16,0.7999999999999999,0.02342420629015025,COMPLETE
4,0.03635497450828552,50,0,180,120,8,9.669715347236954e-05,1,0. 3,2,20,0.75,0.08835067856489397,COMPLETE
5,0.032590084075927735,50,0.1,120,120,8,0.00023019853253449085,5,1,2,20,0.7,0.03826677286342158,COMPLETE
6,0.01743675257312134,10,0.1,150,150,6,2.3257235168689722e-05,1,0. 3,1,16,0.75,0.04535702226613839,COMPLETE
7,0.10722252428531646,20,0.1,150,30,6,8.771122951528536e-05,9,1,2,24,0.7999999999999999,0.03670875996942265,COMPLETE
8,0.0014263662276789546,40,0,210,30,6,0.000617419887392269,3,0. 3,3,16,0.75,0.02051896191172073,COMPLETE
9,0.00019336209322015445,30,0,180,0,10,0.0004384444757175727,1,1,2,24,0.7999999999999999,0.013678566341425644,COMPLETE
10,0.0022591357119381428,30,0,180,60,12,0.00028544018804179625,3,1,3,24,0.7,0.011003136045586533,COMPLETE
11,0.007998275011777878,30,0,120,90,10,1.1313198116364881e-05,3,1,1,24,0.7999999999999999,0.010758176569457822,COMPLETE
12,0.08569751232862473,40,0,120,0,10,0.0002495698495531888,1,1,2,16,0.7999999999999999,0.018064690207565445,COMPLETE
13,0.00046956110745668413,20,0,180,60,8,0.0003688135748094371,3,0. 3,3,24,0.7999999999999999,0.02387049173813712,COMPLETE
14,0.0501556970179081,40,0,150,90,10,0.00015979425343998717,5,0. 3,1,20,0.7999999999999999,0.014776936019158023,COMPLETE
