number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_patience_plateau,params_patience_validation,params_second_conv_outchann,params_split_size,params_weight_decay,state
0,0.012801989447325468,10,0.1,210,30,6,0.0006322177788148055,5,0. 3,1,20,0.7,0.08834627243133653,COMPLETE
1,0.040191614720970395,10,0.1,210,30,8,0.0007093683969144086,9,0. 3,0,24,0.7999999999999999,0.02894617847576297,COMPLETE
2,0.0012443680316209793,50,0.1,150,60,8,0.0007524268170108634,9,0. 3,3,24,0.7999999999999999,0.014229979077451663,COMPLETE
3,0.002500080205500126,50,0,150,150,8,0.00045387776599883255,5,1,0,24,0.7999999999999999,0.02165140086550617,COMPLETE
4,0.009828882068395614,50,0.1,210,150,12,8.121183239499963e-05,5,0. 3,0,24,0.7999999999999999,0.023553901091609705,COMPLETE
5,0.0025693580799270423,10,0,180,120,6,0.00046768544232879953,1,1,3,24,0.75,0.016882618030165244,COMPLETE
6,0.03700953191146254,10,0.1,120,0,12,0.000256997343066537,7,0. 3,2,16,0.75,0.033324686078883954,COMPLETE
7,0.0748135894536972,40,0,120,120,10,1.1049335111469655e-05,9,1,2,20,0.7999999999999999,0.061995173717212866,COMPLETE
8,0.018995379209518434,50,0,210,30,10,8.615987489602788e-05,9,1,3,20,0.75,0.036915105276372255,COMPLETE
9,0.032464844584465025,50,0,180,30,10,0.0006343926004905817,9,0. 3,3,20,0.75,0.010131870328835793,COMPLETE
10,0.005097554872433344,30,0.1,150,90,8,2.3104513076410918e-05,1,0. 3,2,16,0.7,0.010764449479153415,COMPLETE
11,0.006034305008749167,30,0,150,60,8,0.00021703405948567434,3,1,1,24,0.7999999999999999,0.016979786638582434,COMPLETE
12,0.02705098744481802,40,0.1,150,90,8,0.00021458962068302521,7,1,1,24,0.7999999999999999,0.01630735424798923,COMPLETE
13,0.0014539677649736404,40,0,150,150,6,0.0008552709148422837,3,1,0,24,0.7999999999999999,0.02089079300309591,COMPLETE
14,0.00238533653318882,40,0.1,120,60,6,0.0009517594566244748,3,0. 3,2,24,0.7999999999999999,0.013624357086220854,COMPLETE
15,0.005853335373103619,40,0,180,120,6,3.900127349942083e-05,3,1,1,20,0.75,0.04735020259268442,COMPLETE
16,0.05999479927122593,20,0,150,90,6,0.00031829208265169833,7,1,0,24,0.7999999999999999,0.021622880520317706,COMPLETE
17,0.005834203399717808,40,0.1,180,60,6,0.00013662662999460254,3,0. 3,3,16,0.7,0.013552799965484323,COMPLETE
18,0.012962738734980423,30,0,120,0,8,0.0009504860375417058,5,0. 3,1,24,0.7999999999999999,0.024485566667787388,COMPLETE
