category,El Confidencial,El Diario,El Español,El Mundo,El País,La Nueva España,La Razón,La Vanguardia,La Voz de Asturias,Público
ABORTO,0.3892491398812041,-0.02633531053962923,0.3688345414978708,-0.04870520057712921,-0.03158882774212923,0.1950828395296889,-0.03852836683394739,,-0.13385584847712922,-0.1714847884521292
CAMBIO CLIMÁTICO,0.07985805241591154,-0.15167954095333022,0.14775103035166975,0.07114310824757897,-0.02189977672589899,-0.15754366031429792,0.01981473370866982,,-0.00236310821190161,0.1827917337233364
CASA REAL,-0.0362477467852953,-0.09626195486447175,-0.04255971967950212,0.05249257010761921,0.10765028706986968,0.06564984101887705,-0.022432077729471755,0.0185181891589129,-0.002305038564706985,0.030917073675252427
CIUDADANOS,-0.05350245828782707,-0.04323073361574925,0.06577349995019222,-0.03880762429609763,0.08890061094969937,0.0773295607156097,0.003217385658258798,-0.029152311549486054,0.0028450327260646224,0.02218771074436987
COVID-19,-0.23087662652967683,0.050746687673820845,0.041590156301107295,-0.02521812353103836,-0.040820751097620345,0.03832481079521727,0.0041788327525375535,,0.022337240002838987,-0.0700474347196674
CRISTIANISMO,-0.03920166644341111,-0.04838455620534038,0.097445972491772,-0.11254837534248324,-0.032825682418483215,0.005720002792278689,0.06377857872085008,0.1696093624575168,-0.07268365650094483,0.08651652983316893
DROGAS,-0.014750697628113513,-0.0411615095420024,-0.0614212010898951,-0.19548391237216114,0.09850607734432243,0.03515807491961381,0.08650456725039524,,,-0.11221825998644684
EH BILDU,-0.2850453540227408,0.025516857551148187,-0.07433556672385183,-0.05298344377183162,0.08184481462614812,-0.19082283447107412,-0.03134134975649072,0.08290872177007169,0.2094054110747593,-0.03903181043197157
ERC,0.307911277968141,0.08891114732814098,-0.013880014460747936,-0.11833354583399491,0.01458968253583326,0.045029941406223184,-0.010521904047330777,0.024988361329615905,0.006735452194807645,-0.1661288899218591
FRANQUISMO,-0.03194242750359988,-0.01949794633366775,-0.05478235219212929,,0.08283791319987072,0.10363916913248611,-0.048779474043038396,0.0181894946745374,0.07864440764787067,0.02722973636197329
GUERRA EN UCRANIA,-0.07255208165778179,0.022063938988525045,-0.08824503370209996,0.08206688440053161,0.06267335052290002,0.06934721395529442,0.0022601861375552423,-0.07221037245340517,0.011299243501806278,-0.014233712041297475
IMPUESTOS,0.09807111692310977,-0.04260981949743681,-0.005677184110206013,-0.010857840569872712,0.0008669344592939776,-0.0494727096493599,-0.1064195476732061,,-0.04018330424879424,0.004691834491530766
INDEPENDENTISMO,0.039687440740683644,-0.17223342210764975,-0.016529937468931777,,0.0073285557151341885,-0.310103965105745,-0.008006746543750332,,0.02499749033585902,0.07183015683568367
INMIGRACIÓN,0.005933390683145023,0.12246605524107129,-0.041987700873634626,-0.16789847875825,-0.020998835628030232,-0.0016347015403012644,0.07091498353827014,,0.009564684312729,
IU,0.09789441990143566,-0.027795109293564435,-0.07413657357741055,-0.11807719107356435,0.09209488184072134,0.09847655801310229,0.1305525763002452,-0.10043593079856433,-0.029856245216306254,-0.06660702936839197
JUNTS,-0.017376553047888932,-0.10894506286478084,0.030865225895261972,-0.008731856594853205,-0.036952645110614135,-0.02890842681402317,0.03586912401021913,0.01886601612552541,-0.013158644198559444,0.04862080191153506
PNV,-0.011739277860368658,0.03055166064313075,-0.04512299831192146,-0.0653587579998336,0.1373631690909357,0.03871311558745738,0.04031153980050084,0.02267498399226897,0.02617740045093564,0.0017855855046198243
PODEMOS,-0.057985838564539816,0.06917461609712683,-0.020372108182919124,-0.045518056899884196,0.0032385419785612157,0.04920305585323159,-0.04659783744432838,0.04442952807947542,-0.01239452783473216,0.014180182032470734
PP,0.0065837329010489665,-0.006869077821003877,-0.01421836617862099,0.006194455084477024,0.016925100143225236,0.008230658275204639,0.07370298659912011,-0.007822230247535589,0.023352518152487733,-0.049333424464937214
PSOE,0.023165563035782766,-0.009144126885817228,0.007377523960627852,-0.03485927162741598,0.02336190707430752,0.00888545494762738,-0.033870693931619844,-0.005345459620253568,0.017352005746198662,0.048852114719707296
SINDICATOS,0.06670767844562892,-0.049993212287330446,-0.08439142799686122,0.025984826919473958,0.019273643318386213,-0.02179744673591505,-0.010017218083224921,0.19115849076791153,-0.09619168123208854,-0.016666967095675445
TERRORISMO,0.004958033864368494,0.0037094696091864165,-0.13511186869883499,-0.04993435710735772,0.05920839705503708,0.03876532086308146,-0.01619577196985772,,-0.08960837417536145,-0.10044961580303079
TOROS,,-0.004604171698040116,-0.013074141813040119,0.02148972633448676,-0.09382575763494488,0.07785812569059625,0.11462653603547046,,,-0.1658661387063735
VOX,0.02271255057524657,-0.010162621195485166,0.04830927373358801,0.013867512405359939,-0.031501309323239524,0.014556128195092277,0.004635505839921394,,-0.0673757575849055,0.0016015796011500938
YIHADISMO,-0.0808096925611865,-0.3208014944384592,0.10097083444977603,0.04239635614868362,0.034642142863624076,-0.13761341327345925,-0.06604209853845924,0.060631814881911134,-0.08304125752179259,0.05093700513535028
