points,Lat,Long
points1,55.7048759,12.5549231
points2,55.7048759,12.5549278
points3,55.7048759,12.5549278
points4,55.7048683,12.5549355
points5,55.7048492,12.5549479
points6,55.7048492,12.5549536
points7,55.7048416,12.5549726
points8,55.704834,12.5549927
points9,55.704834,12.5550175
points10,55.7048111,12.5550556
points11,55.7048111,12.5550804
points12,55.7048111,12.5550947
points13,55.704834,12.5550842
points14,55.7048683,12.5550251
points15,55.7048836,12.554987
points16,55.7048988,12.5549479
points17,55.7049065,12.5549097
points18,55.7049408,12.5548296
points19,55.7049484,12.5547848
points20,55.7049561,12.55474
points21,55.7049713,12.5546999
points22,55.7049904,12.5546694
points23,55.7050133,12.5546551
points24,55.7050209,12.5546284
points25,55.7050362,12.5546017
points26,55.7050362,12.5545855
points27,55.7050209,12.5545816
points28,55.7050133,12.5545998
points29,55.7050133,12.5546303
points30,55.7050056,12.5546656
points31,55.7049904,12.5546999
points32,55.7049789,12.5547266
points33,55.7049561,12.5547428
points34,55.7049408,12.5547504
points35,55.7049332,12.5547667
points36,55.7049141,12.5548096
points37,55.7049332,12.5548363
points38,55.7049408,12.554842
points39,55.7049484,12.5548201
points40,55.7049561,12.5547791
points41,55.7049789,12.5547342
points42,55.7049904,12.5546875
points43,55.7050133,12.554657
points44,55.7050362,12.5546389
points45,55.7050552,12.5546141
points46,55.7050705,12.5545874
points47,55.7050705,12.5545597
points48,55.7050705,12.5545387
points49,55.7050552,12.554533
points50,55.7050438,12.5545473
points51,55.7050438,12.5545816
points52,55.7050362,12.5546227
points53,55.7050209,12.5546627
points54,55.7050133,12.5546913
points55,55.7049904,12.5547142
points56,55.7049789,12.5547323
points57,55.7049561,12.5547466
points58,55.7049484,12.5547686
points59,55.7049484,12.5547915
points60,55.7049408,12.5548134
points61,55.7049332,12.5548315
points62,55.7049141,12.5548868
points63,55.7049332,12.5549068
points64,55.7049408,12.5548992
points65,55.7049484,12.5548811
points66,55.7049561,12.5548668
points67,55.7049713,12.5548506
points68,55.7049904,12.5548363
points69,55.7050056,12.554822
points70,55.7050133,12.5547972
points71,55.7050133,12.5547733
points72,55.7050209,12.5547504
points73,55.7050362,12.5547285
points74,55.7050362,12.5547094
points75,55.7050552,12.554698
points76,55.7050552,12.5546818
points77,55.7050705,12.5546656
points78,55.7050705,12.5546484
points79,55.7050781,12.554635
points80,55.7050781,12.5546265
points81,55.7050781,12.5546227
points82,55.7050781,12.5546179
points83,55.7050781,12.5545797
points84,55.7050781,12.5545597
points85,55.7050552,12.5545549
points86,55.7050552,12.5545712
points87,55.7050438,12.5546017
points88,55.7050362,12.5546408
points89,55.7050133,12.5546732
points90,55.7049904,12.5547094
points91,55.7049713,12.5547342
points92,55.7049561,12.5547571
points93,55.7049408,12.5547752
points94,55.7049332,12.5547915
points95,55.7049141,12.5548153
points96,55.7048988,12.5548363
points97,55.7048683,12.5549068
points98,55.7048683,12.5549297
points99,55.7048492,12.5549603
points100,55.7048683,12.5549803
points101,55.7048836,12.5549707
points102,55.7048836,12.5549498
points103,55.7049141,12.5548582
points104,55.7049408,12.5548182
points105,55.7049713,12.554738
points106,55.7049904,12.5547037
points107,55.7050056,12.5546751
points108,55.7050209,12.5546589
points109,55.7050438,12.5546427
points110,55.7050552,12.5546179
points111,55.7050438,12.554594
points112,55.7050362,12.5545816
points113,55.7050209,12.5545902
points114,55.7050133,12.5546103
points115,55.7050133,12.5546446
points116,55.7049904,12.5547285
points117,55.7049789,12.5547705
points118,55.7049713,12.5548058
points119,55.7049561,12.5548382
points120,55.7049484,12.5548725
points121,55.7049408,12.5548906
points122,55.7049332,12.5549068
points123,55.7049141,12.5548725
points124,55.7049332,12.554842
points125,55.7049408,12.5548153
points126,55.7049561,12.5547972
points127,55.7049789,12.5547705
points128,55.7050056,12.554738
points129,55.7050133,12.5547056
points130,55.7050362,12.5546837
points131,55.7050552,12.5546627
points132,55.7050705,12.554637
points133,55.7050781,12.5546122
points134,55.7050705,12.5545759
points135,55.7050438,12.5545816
points136,55.7050438,12.5546103
points137,55.7050438,12.554637
points138,55.7050362,12.5546627
points139,55.7050209,12.5546961
points140,55.7049904,12.5547361
points141,55.7049789,12.5547628
points142,55.7049713,12.5547829
points143,55.7049561,12.5548058
points144,55.7049484,12.5548344
points145,55.7049484,12.5548992
points146,55.7049713,12.5548649
points147,55.7049789,12.5548439
points148,55.7050056,12.5548058
points149,55.7050056,12.5547915
points150,55.7050133,12.5547771
points151,55.7050209,12.554759
points152,55.7050209,12.5547361
points153,55.7050362,12.5547142
points154,55.7050438,12.5546999
points155,55.7050438,12.554657
points156,55.7050362,12.5546427
points157,55.7050209,12.5546408
points158,55.7050056,12.5546465
points159,55.7049904,12.554657
points160,55.7049789,12.5546751
points161,55.7049713,12.5546999
points162,55.7049561,12.5547285
points163,55.7049484,12.5547504
points164,55.7049332,12.5547771
points165,55.7049141,12.5548058
points166,55.7049141,12.5548296
points167,55.7049141,12.5548563
points168,55.7049141,12.5548811
points169,55.7049408,12.5548744
points170,55.7049484,12.554842
points171,55.7049561,12.554801
points172,55.7049713,12.5547504
points173,55.7049904,12.5547056
points174,55.7050133,12.5546713
points175,55.7050362,12.5546532
points176,55.7050552,12.5546284
points177,55.7050705,12.5546064
points178,55.7050705,12.5545816
points179,55.7050552,12.5545673
points180,55.7050438,12.5545778
points181,55.7050362,12.5546045
points182,55.7050209,12.5546322
points183,55.7050056,12.5546694
points184,55.7049789,12.5547037
points185,55.7049713,12.5547361
points186,55.7049484,12.5547733
points187,55.7049408,12.5548038
points188,55.7049332,12.5548363
points189,55.7049332,12.5548649
points190,55.7049332,12.5548811
points191,55.7049484,12.5548687
points192,55.7049561,12.554842
points193,55.7049789,12.5548038
points194,55.7050133,12.5547199
points195,55.7050705,12.5546446
points196,55.7050705,12.5546141
