img_id,humidity,time,index,temp,Cx,Cy,Cz
3,36.7,1611002844.1258757,2,36.4,4.1,5,4.0
5,36.3,1611002844.2780285,4,34.4,4.1,5,3.9
7,36.1,1611002844.432158,6,34.3,4.1,5,3.9
9,36.2,1611002845.1915658,8,34.2,4.1,5,3.9
11,36.0,1611002845.35055,10,34.1,4.1,5,3.9
13,40.6,1611002845.4987159,12,47.2,4.1,5,4.6
15,36.1,1611002852.4012566,14,34.1,4.1,5,3.9
17,36.6,1611002852.5579572,16,34.3,4.1,5,3.9
19,36.4,1611002852.7100992,18,34.1,4.1,5,3.9
21,37.5,1611002852.8647544,20,34.5,4.1,5,3.9
23,41.0,1611002853.0217261,22,47.9,4.1,5,4.7
25,36.1,1611002853.1843157,24,34.0,4.1,5,3.9
27,41.2,1611002853.3311527,26,47.9,4.1,5,4.7
29,36.1,1611002853.4881353,28,34.0,4.1,5,3.9
31,37.0,1611002854.0874934,30,34.3,4.1,5,3.9
33,37.3,1611002854.2376208,32,34.4,4.1,5,3.9
35,36.4,1611002854.3992653,34,34.0,4.1,5,3.9
37,37.4,1611002854.5456867,36,33.7,4.1,5,3.9
39,36.1,1611002854.7051797,38,34.2,4.1,5,3.9
41,37.7,1611002854.8683877,40,34.0,4.1,5,3.9
