id,name,obcn,location,latitude,longitude,status
2,(GDL-001) C. Epigmenio Glez./ Av. 16 de Sept.,GDL-001,POLÍGONO CENTRAL,20.666378,-103.34882,IN_SERVICE
3,(GDL-002) C. Colonias  / Av.  Niños héroes,GDL-002,POLÍGONO CENTRAL,20.667228,-103.366,IN_SERVICE
4,(GDL-003) C. Vidrio / Av. Chapultepec,GDL-003,POLÍGONO CENTRAL,20.66769,-103.368252,IN_SERVICE
5,(GDL-004) C. Ghilardi /C. Miraflores,GDL-004,POLÍGONO CENTRAL,20.69175,-103.36255,IN_SERVICE
6,(GDL-005) C. San Diego /Calzada Independencia,GDL-005,POLÍGONO CENTRAL,20.681151,-103.338863,IN_SERVICE
8,(GDL-006) C. Venustiano Carranza /C. Reforma,GDL-006,POLÍGONO CENTRAL,20.680717,-103.344415,IN_SERVICE
9,(GDL-007) C. Epigmenio Glez./Av. Cristobal C.,GDL-007,POLÍGONO CENTRAL,20.666771,-103.350562,IN_SERVICE
10,(GDL-008) C. J. Angulo / C. González Ortega,GDL-008,POLÍGONO CENTRAL,20.681871,-103.350396,IN_SERVICE
11,(GDL-009) Calz. Federalismo/ C. J. Angulo,GDL-009,POLÍGONO CENTRAL,20.681984,-103.353835,IN_SERVICE
12,(GDL-010) C. Cruz verde / C. Joaquin Angulo,GDL-010,POLÍGONO CENTRAL,20.6818519,-103.3573381,IN_SERVICE
13,(GDL-011) C. Garibaldi / C. Frías,GDL-011,POLÍGONO CENTRAL,20.681081,-103.360099,IN_SERVICE
14,(GDL-012) C. Joaquín Angulo / C. Ghilardi,GDL-012,POLÍGONO CENTRAL,20.681989,-103.36292,IN_SERVICE
15,(GDL-013) C. Vidrio  / C. Marsella,GDL-013,POLÍGONO CENTRAL,20.667623,-103.370499,IN_SERVICE
16,(GDL-014) C. J. Angulo/C José Clemente Orozco,GDL-014,POLÍGONO CENTRAL,20.682059,-103.365969,IN_SERVICE
17,(GDL-015) C. Herrera y Cairo /C. Pedro Buzeta,GDL-015,POLÍGONO CENTRAL,20.683191,-103.369349,IN_SERVICE
18,(GDL-016) C. Bernardo de Balbuena/C J. Angulo,GDL-016,POLÍGONO CENTRAL,20.682007,-103.372642,IN_SERVICE
19,(GDL-017) Av. México /C. Bernardo de Balbuena,GDL-017,POLÍGONO CENTRAL,20.679086,-103.372841,IN_SERVICE
20,(GDL-018) Av. México / C. Manuel M. Diéguez,GDL-018,POLÍGONO CENTRAL,20.679296,-103.370658,IN_SERVICE
21,(GDL-019)  C. Juan Manuel / C. Andrés Terán,GDL-019,POLÍGONO CENTRAL,20.678835,-103.368045,IN_SERVICE
22,Ex-GDL-020 Juan Manuel / C.General Coronado,Ex-GDL-020,POLÍGONO CENTRAL,20.678714,-103.36573,NOT_IN_SERVICE
23,(GDL-021) C. Nicolás Romero / C. Reforma,GDL-021,POLÍGONO CENTRAL,20.67966,-103.362224,IN_SERVICE
24,(GDL-022) C. San Felipe /C Enrique D. de León,GDL-022,POLÍGONO CENTRAL,20.679389,-103.35913,IN_SERVICE
25,(GDL-023) C. Jesús / C. San Felipe,GDL-023,POLÍGONO CENTRAL,20.679309,-103.356281,IN_SERVICE
26,(GDL-024) Av.  Federalismo / C. Juan Manuel,GDL-024,POLÍGONO CENTRAL,20.678777,-103.354035,IN_SERVICE
27,(GDL-025) C. Reforma / C. González Ortega,GDL-025,POLÍGONO CENTRAL,20.680227,-103.350146,IN_SERVICE
28,(GDL-026) C. Pedro Loza / C. Reforma,GDL-026,POLÍGONO CENTRAL,20.680478,-103.348377,IN_SERVICE
29,(GDL-027) C. Belén / C. San Felipe,GDL-027,POLÍGONO CENTRAL,20.679861,-103.345198,IN_SERVICE
30,(GDL-028) C. Gregorio Dávila /C. Manuel Acuña,GDL-028,POLÍGONO CENTRAL,20.6840145,-103.361267,IN_SERVICE
31,(GDL-029) Calz. Indep. /C. Juan Manuel,GDL-029,POLÍGONO CENTRAL,20.679899,-103.339438,IN_SERVICE
32,(GDL-030) C. Pedro Moreno/ C. Progreso,GDL-030,POLÍGONO CENTRAL,20.675461,-103.367501,IN_SERVICE
33,(GDL-031) C. Hospital / C. Andrés Terán,GDL-031,POLÍGONO CENTRAL,20.685652,-103.368215,IN_SERVICE
34,(GDL-032) C. Degollado / Av. Hidalgo,GDL-032,POLÍGONO CENTRAL,20.6772627,-103.344908,IN_SERVICE
35,(GDL-033) Av. Hidalgo / C. Pedro Loza,GDL-033,POLÍGONO CENTRAL,20.677419,-103.347983,IN_SERVICE
36,(GDL-034) C. Morelos / C. Donato Guerra,GDL-034,POLÍGONO CENTRAL,20.676461,-103.350244,IN_SERVICE
37,(GDL-035) C. Mezquitán / Av. Hidalgo,GDL-035,POLÍGONO CENTRAL,20.677315,-103.3534145,IN_SERVICE
38,(GDL-036) C. Marcos Castellanos/ C. Morelos,GDL-036,POLÍGONO CENTRAL,20.676078,-103.356458,IN_SERVICE
39,(GDL-037) C.Juan N. Cumplido /C. Independenci,GDL-037,POLÍGONO CENTRAL,20.678034,-103.358466,IN_SERVICE
40,(GDL-038) C. Nicolás Romero / Av. Hidalgo,GDL-038,POLÍGONO CENTRAL,20.676656,-103.362331,IN_SERVICE
41,(GDL-039) C. General Coronado / Av. Hidalgo,GDL-039,POLÍGONO CENTRAL,20.677108,-103.365088,IN_SERVICE
42,(GDL-040) C. Morelos / C. Progreso,GDL-040,POLÍGONO CENTRAL,20.676067,-103.367049,IN_SERVICE
43,(GDL-041) C. Manuel M. Diéguez / Av. Hidalgo,GDL-041,POLÍGONO CENTRAL,20.67671,-103.37066,IN_SERVICE
44,(GDL-042) C. Bernardo de Balbuena /Av Hidalgo,GDL-042,POLÍGONO CENTRAL,20.676628,-103.372687,IN_SERVICE
45,(GDL-043) C. Simón Bolivar / C. López Cotilla,GDL-043,POLÍGONO CENTRAL,20.673756,-103.372613,IN_SERVICE
46,(GDL-044) C. Gral. San Martín /Av.  Vallarta,GDL-044,POLÍGONO CENTRAL,20.674636,-103.371639,IN_SERVICE
47,(GDL-045) C. Pedro Moreno / C. Marsella,GDL-045,POLÍGONO CENTRAL,20.675444,-103.370147,IN_SERVICE
48,(GDL-046) C. Emerson / Av. Vallarta,GDL-046,POLÍGONO CENTRAL,20.675014,-103.365025,IN_SERVICE
49,(GDL-047) C. Robles Gil / Av. Vallarta,GDL-047,POLÍGONO CENTRAL,20.674931,-103.362351,IN_SERVICE
50,(GDL-048) C. Constancio Hernández/ Av. Juaréz,GDL-048,POLÍGONO CENTRAL,20.674721,-103.358548,IN_SERVICE
51,(GDL-049) Lopez Cotilla/ Marcos Castellanos,GDL-049,POLÍGONO CENTRAL,20.6740865,-103.3563196,IN_SERVICE
52,(GDL-050) C. Pedro Moreno / Calz. Federalismo,GDL-050,POLÍGONO CENTRAL,20.675746,-103.354579,IN_SERVICE
53,(GDL-051) C. 8 de Julio / Av. Juárez,GDL-051,POLÍGONO CENTRAL,20.674559,-103.352663,IN_SERVICE
54,(GDL-052) Av. Juárez / Av. 16 de Septiembre,GDL-052,POLÍGONO CENTRAL,20.675244,-103.347889,IN_SERVICE
55,(GDL-053) C. Maestranza / Av. Juárez,GDL-053,POLÍGONO CENTRAL,20.675401,-103.345665,IN_SERVICE
56,(GDL-054) Av. Juárez / Calz. Independencia,GDL-054,POLÍGONO CENTRAL,20.675421,-103.342049,IN_SERVICE
57,(GDL-055) C. Degollado /C.Prisciliano Sánchez,GDL-055,POLÍGONO CENTRAL,20.672696,-103.345366,IN_SERVICE
58,(GDL-056) Av. 16 de Sept. / C. Miguel Blanco,GDL-056,POLÍGONO CENTRAL,20.671971,-103.347422,IN_SERVICE
59,(GDL-057) C. Ocampo / C. Prisciliano Sánchez,GDL-057,POLÍGONO CENTRAL,20.672516,-103.349573,IN_SERVICE
60,(GDL-058) C. Pavo / C. Prisciliano Sánchez,GDL-058,POLÍGONO CENTRAL,20.672641,-103.353542,IN_SERVICE
61,(GDL-059) C. Miguel Blanco / C. Penitenciaria,GDL-059,POLÍGONO CENTRAL,20.672231,-103.355508,IN_SERVICE
62,(GDL-060) C. Madero/ C. Camarena,GDL-060,POLÍGONO CENTRAL,20.6734,-103.357684,IN_SERVICE
63,(GDL-061) C. Libertad /  C. Argentina,GDL-061,POLÍGONO CENTRAL,20.671778,-103.361274,IN_SERVICE
64,(GDL-062) C. Libertad / C. Moscú,GDL-062,POLÍGONO CENTRAL,20.673072,-103.365055,IN_SERVICE
65,(GDL-063) C. Colonias  / C. López Cotilla,GDL-063,POLÍGONO CENTRAL,20.674132,-103.366139,IN_SERVICE
66,(GDL-064) C. Marsella / C. López Cotilla,GDL-064,POLÍGONO CENTRAL,20.673321,-103.370571,IN_SERVICE
67,(GDL-065) C. Simón Bolivar / Av. La Paz,GDL-065,POLÍGONO CENTRAL,20.6722064,-103.372588,IN_SERVICE
68,(GDL-066) C Lerdo de Tejada/C Gral. Sn Martín,GDL-066,POLÍGONO CENTRAL,20.671364,-103.371786,IN_SERVICE
