text;created;retweets
«Mientras vivas, ríete hasta de la muerte» decía mi abuelo, y así lo hacía, siempre de broma en broma riéndose de t… https://t.co/v0aKiAwfqf;2020-09-01 23:44:53;0
Silent Hill, obviamente.;2020-09-01 23:44:57;0
❤️ Si ya se dieron cuenta que a veces nada más discuto porque me gusta hacerlo 😁😁;2020-09-01 23:44:58;0
Igualmente señorita;2020-09-01 23:44:59;0
X2;2020-09-01 23:45:00;0
No tiene huevo para tomar la decisión y siempre se esconde en la decisión del pueblo;2020-09-01 23:45:03;0
Bacilos, Mi Primer Millón 🌷        https://t.co/c149ntqYho “Tranquila querida Paulina sólo es una amiga”. 💃🏻🕺🏼;2020-09-01 23:45:06;0
Hoy se estrena la temporada 16 de Grey’s Anatomy en Netflix. Adiós! https://t.co/XXqhXpSe98;2020-09-01 23:45:12;0
#RedDeadRedemption2 https://t.co/XygcdO8E0t;2020-09-01 23:45:14;0
Ya septiembre... 2020 ya plis calmateeeee https://t.co/SebQMI2eCG;2020-09-01 23:45:14;0
De haber sabido q tendría q poner una empresa Alemana y arreglar el trabajo de 3 adultos habría pedido más dinero ¬¬';2020-09-01 23:45:20;0
🤗;2020-09-01 23:45:20;0
El efecto no es el verdadero nombre de la canción. Es la canción de Ester Exposito.;2020-09-01 23:45:22;0
"FELIZ CUMPLEAÑOS 🎂

Hoy mandamos una felicitación a nuestro LB Óscar ‘‘Coca’’ Escalante. Deseamos que pases un exce… https://t.co/RzumE1jZuX";2020-09-01 23:45:23;0
I felt pretty the other day https://t.co/tskBFIuMJG;2020-09-01 23:45:24;0
Ojete 😡😡😡;2020-09-01 23:45:24;0
Suscribo ☝🏼;2020-09-01 23:45:26;0
Smart out here looking like Jordan in 93!;2020-09-01 23:45:28;0
Qué hueva la vdd este tipo de gente se hace pasar por una pareja y yo creo es un hombre frustrado o qué se yo la ne… https://t.co/Paur8EW957;2020-09-01 23:45:32;0
https://t.co/DLTichCPV4;2020-09-01 23:45:34;0
🙋🏻‍♀️;2020-09-01 23:45:36;0
Mmm que pdo 👀🙃;2020-09-01 23:45:42;0
Por supuesto que excelente.;2020-09-01 23:45:45;0
Las queens me tienen tieso viendo sus videos musicales #LoveForTheArts https://t.co/d6FcqL8iQW;2020-09-01 23:45:47;0
Merci pour tout #Caserol 🤍🤟🏻 https://t.co/URYefXu27N;2020-09-01 23:45:47;0
