N°,artists,explicit,genre,lyric,musixmatch_rating,rank,title,Violencia verbal,Violencia Física,Violencia Psicológica,Violencia Sexual,VIolencia Económica,Violencia Simbólica,Apto para niñxs,clase,Observacion
1,MALUMA,,,,,1,HAWAI,0,0,1,0,0,0,0,1,
2,"SECH, DADDY YANKEE, J BALVIN FEATURING ROSALIA, FARRUKO",1.0,,"Ahora todo cambió, le toca a ella
Latino gang

Ayer la vi perreando solita (Welcome to the remix)
Se ve má' bonita
Ahora que no está con ese man
Que la felicidad como ropa se la quita

Que yo siempre estaba cuando tú no estaba'
Fue tanto dolor que ya no me mataba
Poco a poco, ya no te necesitaba
Y yo sonreía mientra' lo enrolaba

Y tú (Uh-uh-uh)
Diciendo que fue falta de actitud
Pero en esta relación hice más que tú, yeh (Yeh-eh)
Y en un estado te manda a decir que (¡Da-ddy Yan-kee!)

Ahora todo cambió, le toca a ella (Prr)
Mari y una botella (¿Qué, qué?)
Gracia' al maltrato se puso bella (What?)
Ahora tú la quiere' y no te quiere ella

Ahora todo cambió, le toca a ella
Party y una botella
Gracia' al maltrato se puso bella (D-D-D-D.Y)
Ahora tú la quiere' y no te quiere ella (One; yeah; huh)

Ahora quiere que la grabe (Prr)
Vacilando y que se la enseñen a él (Dile)
Ya no le gusta seguir patrone', ella e' la patrona (Ey)
Se te fue la princecita, búscate a Fiona, porque

To' los fine' de semana está de party en party (Wuh)
Sigue matando las gana' con botella y mari
Te dejaron un estado ahí, ahí, ahí
Dice ""me sigue tirando y no caí ahí, ahí"" (¿Qué, qué?)

...


 ",90.0,2,RELACION,0,0,0,1,0,0,0,1,
3,"J BALVIN, DUA LIPA, BAD BUNNY & TAINY",,,,,3,UN DIA (ONE DAY),0,0,1,0,0,0,0,1,
4,OZUNA,0.0,Latin / Pop in Spanish,"Woh-oh-oh-oh (Dime, ma')
Baby, baby
Ozuna

Aunque no pueda tengo la curiosidad (Curiosidad)
Aunque no pretendo quedarme me da un poco de ansiedad (Oh-oh)
Y e' que en la vida todo se puede, esté bien o esté mal (Esté mal)
Pero podré vivir con la culpa de que al menos una vez más (Baby)

Te volví a probar, tu boca no pierde el sabor a caramelo, oh (Oh-oh)
Nos dejamos llevar, tú ere' mi bandolera y yo soy tu bandolero, oh
Te volví a probar, tu boca no pierde el sabor a caramelo, oh (Oh-oh)
Nos dejamos llevar, tú ere' mi bandolera y yo soy tu bandolero, oh

Esa boquita tan dulce sabor a caramelo
Ella e' un ángel pero si la tienta' e' caliente, fuego
Siempre en alta, no necesita vuelo
A nadie le cuenta cómo e' que la consuelo (Oh-oh, eh)
Ella e' muy atractiva, prende de la sativa
Siempre provocativa, soltera vive la vida (Woh, yeah)
En traje 'e baño e' que se ve bien explosiva (Explosiva)
To' los domingo' sport con to'a la combi Adida'

Dale ven, ven mátame
...


 ",79.0,4,CARAMELO,0,0,1,0,0,0,0,1,
5,NIO GARCIA X ANUEL AA X MYKE TOWERS X BRRAY X JUANKA,,,,,5,LA JEEPETA,0,0,0,1,0,0,0,1,
6,KAROL G,0.0,,"Ovy On The Drums
Ya no te estaba buscando, babe
Pero cuando coincidimos, bebé
Fue una cosa que yo no sé
Tú fuiste conquistándome
Y en tus ojos yo lo noté
Que tú querías y yo también
Entre botellas de Rosé
Nos fuimos calentando

Tu man me escribió, oh, y me dijo a mí (mí)
Que le gustaban toda' mis canciones (eh-eh)
Y yo le dije: ""¡ay, Dios mío!, ¡qué rico, Dios mío!""
Luego, me dijo, oh, que le gusté yo (yo)
Que conmigo quiere tener relaciones, eh
Y yo le dije: ""¡ay, Dios mío!, ¡qué rico, Dios mío!""

¡Ay, Dios mío!, ¡qué rico, Dios mío! (mmh)
¡Ay, Dios mío!, ¡qué rico, Dios mío! (yeh)
¡Ay, Dios mío!, ¡qué rico! (¡qué rico!)
¡Ay, Dios mío!, ¡qué rico! (¡qué rico!)
...


 ",80.0,6,"AY, DIOS MIO!",0,0,0,0,0,0,0,0,
7,BLACK EYED PEAS X J BALVIN,1.0,Latin / Pop in Spanish,"This is the rhythm, rhythm, rhythm, rhythm
This is the rhythm, rhythm, rhythm, rhythm, rhythm, rhythm
This is the rhythm, rhythm, rhythm, rhythm, rhythm of the night

Toda la noche rompemo' (Of the night)
Al otro día volvemo' (Oh, yeah)
Tú sabes cόmo lo hacemo', baby
(This is the rhythm of the night)

Baby, tonight's like fuego (Of the night)
We 'bout to spend a dinero (Oh, yeah)
We party to the extremo, baby
(This is the rhythm of the night)

Toda la noche rompemo' (Of the night)
Al otro día volvemo' (Oh, yeah)
Tú sabes cόmo lo hacemo', baby
(This is the rhythm of the night)

Baby, tonight's like fuego (Of the night)
We 'bout to spend a dinero (Oh, yeah)
We party to the extremo, extremo, extremo, extremo, extremo
Ritmo

No son ni Reebook ni son Nike (No)
Sin estilista luzco fly (Yes)
La Rosalía me dice que luzco guay (La Rosalía)
No te lo niego porque yo sé lo que hay (Wuh)

Lo que se ve, no se pregunta (Na')
Soy próspero y tengo claro que e' mi culp (Es mi culpa, culpa, ah)
Como Canelo en el ring, nada me asusta
Vivo en mi base y la paz no me la tumban (Wuh)
...


 ",82.0,8,RITMO (BAD BOYS FOR LIFE),0,0,0,0,0,0,0,0,
8,TAINY X J BALVIN,0.0,Music,"(SpongeBob SquarePants)
(SpongeBob SquarePants)
(SpongeBob SquarePants)
(SpongeBob SquarePants)

Esto, esto, hey, esto e' un party por debajo 'el agua (J Balvin, man)
Baby, busca tu paragua'
'Tamo' bailando como pez en el agua, ey (Tainy, Tainy)
Hey, como pez en el agua, agua

No existe la noche ni el día
Aquí la fiesta mantenla encendía (-día)
Siempre que pasa me guiña, hey
Dulce como piña (yeah, uh)

Esto e' un party por debajo 'el agua (uh)
Baby, busca tu paragua'
'Tamo' bailando como pez en el agua, hey
Como pez en el agua

Eso e' así, debajo 'el sol (hey)
Vamo' pa'l agua que hace calor (uh)
Dice que me vio en el televisor
Dizque me reconoció, mmm, no fue un error, hey (yeah)
...


 ",80.0,9,AGUA,0,0,0,0,0,0,0,0,
9,"OZUNA, DOJA CAT & SIA",1.0,,"Ah-ah-ah-oh-oh-oh
Ah-ah-ah-oh-oh
Yeah-eh
Ah-ah-ah-ya-ya-yo
Ozuna
Ah-ah-ah

Se pierde en la arena y el mar, ah-ah-ah (ah-ah)
¿'Taré soñando yo?
Se ve tan tropical (tan tropical)
El sol está que quema y quiero má' (quiero má')
Le dije: ""Baby, ¿qué pasó?"" (Woh-oh-oh)
Pa'l agua que hace calor

Se pierde en la arena y el mar, yeah-ah-ah
¿'Taré soñando yo?
Se ve tan tropical (tan tropical)
El sol está qué quema, quiero más (quiero más)
Le dije: ""Baby, ¿qué pasó?""
Pa'l agua que hace calor, eh-eh-еh

Gimmе more, gimme more (gimme more)
Tell me you want this waistline
Dímelo, dímelo (dímelo)
Kiss my skin, I won't tell lies
Lucky son of a gun
I give you a no stress life
Vacation, live our best life
Whenever you want

...


 ",81.0,10,DEL MAR,1,0,0,0,0,0,0,1,
10,"BLACK EYED PEAS, OZUNA + J.REY SOUL",1.0,,"Baby, ven conmigo (ven conmigo)
Baila (baila)
La música es testigo, ya la veo
Mamacita
Louis Vuitton es su vestido (su vestido)
Diamantes
Le gusta cuando al oído yo le digo, eh, eh

Mamacita, mamacita
Qué bonita, mamacita

Eh oh, eh eh

Eh oh, eh eh

Mamacita, mamacita
Qué bonita, mamacita

Ella no le baja, nunca tumba (nunca tumba)
Siempre está lista pa' la rumba (pa' la rumba)
Dos amigas, que le secundan (oh oh)
Salen y gastan la funda
Le gusta sudar el alcohol (sudar el)
Sola, la pasa mejor (pasa)
Vestida de Christian Dior
Siempre llega cuando sale el sol

Dame lo que yo sé-eh
Una botella 'e Rosé-eh
Que la shorty tiene sed-eh
Ese booty mami la rompe

Ella tiene algo que hace que a mí me guste
Ella tiene algo que hace que a mí me guste

I'ma put you in the mix, put you in the mix
Put you in the, put you in the, put you in the mix, ay

...


 ",26.0,11,MAMACITA,0,0,0,0,0,1,0,1,
11,LOS DOS CARNALES,0.0,Music,"Pocas amistades, a la más sincera la llevo en la lista
Pocos los amigos, los que me ayudaron y eso no se olvida
Los que se pasaron, ahora vienen solos, es hipocresía
No quieren lo que tengo, quieren no lo tenga y eso es pura envidia

Yo no tengo nada, pero mi palabra vale más que todo
Para un buen amigo, siempre está mi mano y esa vale oro
A los que me aprecian, saben bien de sobra que estamos pa' todo
Y cuando se ocupe, si se ocupa Lupe, le damos con Toño

Y es que el envidioso es más peligroso y no por su persona
...


 ",74.0,12,EL ENVIDIOSO,0,0,0,0,0,0,0,0,
12,"FEID, J BALVIN, MALUMA, NICKY JAM, SECH & JUSTIN QUILES",,,,,13,PORFA,0,0,0,0,0,1,0,1,
13,DJ NELSON PRESENTA JAY WHEELER & MYKE TOWERS,,,,,14,LA CURIOSIDAD,0,0,0,0,0,0,0,0,
14,ROSALIA & TRAVIS SCOTT,1.0,Music,"Cosa' de familia, no la' tienen que escucha'
Lo' capo' con lo' capo' y yo soy la mamá
Los secreto' solo con quien pueda' confia'
Más-más te vale no romper la omertá

Hay nivele' para todo en esta vi'a
No jodemo' con persona' desconoci'a'
Ni un amigo nuevo, ni uno haría
Ni un amigo nuevo, ni uno haría

TKN, TKN, TKN
Ni un amigo nuevo, ni uno haría
TKN, TKN
Ni un amigo nuevo, ni uno haría

Zoom en la cara, Gaspar Noé
E'to no dispara', la vacié
VVS, VVS, Dolce Vita
Mi mando está duro, dinamita
...


 ",81.0,15,TKN,0,0,,,,,,0,
15,FARRUKO,1.0,,"A ella ya no le motiva salir
Quedó traumada
Todavía piensa en ese infeliz
Sus amigas la sonsacan a llevársela pa' la calle
Pa' que se despeje y olvide
De una relación tóxica acaba 'e salir
La convencieron y se arregló pa' ir (Laramercy gang, ¡Farru!)

Y se va pa' la calle
En busca de un jangueo, pri-yah-yah
Donde pongan música, haya hookah y botelleo

Y se va pa' la calle
En busca de un jangueo
Ella no quiere amore' y está puesta pa'l perreo
(Pri-yah-yah)

Ella llegó depresiva pero le pusieron ""Tusa""
Ahí se soltó y se desabotonó la blusa
Se les pegó a la hookah y de la botella abusa
Dice que hoy se bebe y pone cabrón de excusa (¡Blep!)

Le da hasta abajo, al ritmo del bajo
Lo que hablen de ella le importa un carajo
...


 ",30.0,16,LA TOXICA,0,1,0,0,0,0,0,1,
16,OZUNA X ARCANGEL X COSCULLUELA X WISIN X MYKE TOWERS X JUANKA,1.0,,"Dímelo Químico
Los Legendarios

Yo no tengo enemigos, todos son ocultos
Ahora que estoy brillando, no los culpo
La mantengo real, cero bulto
Con elegancia pero siempre calle

El ""negrito ojos claros""
Eh, entre tú y yo no hay semejanza
Así que vos mantén distancia
Que si ponemos mi nombre en balanza
Tú no tienes break
Es que tu movie es fake
Donde te pillamos te apretamos el spray

Tanto que roncan
Hablan de calle, pero ninguno se monta, (ninguno se monta)
Estamos frío, siempre chilling
Y no hay preocupación, sobran los Benji, los culos y los Richard Mille
Ustedes son trili

Por eso no entiendo tanto que roncan
Hablan de calle, pero ninguno se monta
Estamos frío', siempre chilling
Y no hay preocupación, sobran los Benji, los culos y los Richard Mille
Ustedes son trili (Austin La Marash)

De nuevo Arcángel, padre de una generación
Tanto así que a mis enemigos le sirvo de inspiración (tú sabes)
El mejor artista en esto canción por canción
Pero es obvio no están listo para esta conversación

Dame un break, ¿quieres ver cómo te lo detallo?
Rapeo, canto, introduzco, escribo y te lo subrayo
Mejor me callo, soy la solución, y soy el fallo
Lo que escucha tu mujer por la mañana y no es el gallo

Cada vez que llego formó el alboroto
Pasajero siéntate que llegó el piloto
Se pasan hablando de ustedes mismos
Al otro día se maman el bicho y vienen y suben foto

No creo en valentía (no)
Si sale de una nota, a eso yo le llamo cobardía
Dicen que en tu compañía, hay par de por de bajo el agua
Cooperando con la policía (dímelo Tito Gargola)

Trick trick or treat lo de ustedes es Halloween
Lo mío es la Hollow-point, boy it's a gangsta' team
Me rich and me cool, no school, no rule
Maybach y con cien trabajos en el baúl

Saliendo del rehab, diez año son diez sortijas
Inbrincable cabrones son diez temporadas fijas
Blanca Nieves pregunta en Alaska por mi zip code
La NASA estudió el flow, y dicen Coscu that's the real god

Homeboy esto es mafia a lo Goodfella
You're fucking with the best si hablan de Cosculluela
Protegido por Dios, ustedes no hablen de Glock
Graban con 69 después que choteó a todos los Bloods

Jodedores a donde es que está toda esa jodedera
El código es igual en PR o allá afuera
...


 ",73.0,17,ENEMIGOS OCULTOS,1,0,0,0,0,0,0,1,
17,ESLABON ARMADO,0.0,Music,"Con tus besos me haces sentir bien
Simplemente me encanta tu forma de ser
Cuando caminas matas a cualquier hombre
Y yo contigo, neta, sí me enamoré
Me traes bien loco, todo el día pensándote
Me atrevería a llevarte banda tal vez
Y escribirte canciones, gritar tu nombre

Se me hace que ya tengo con quién
Vivir la vida, recorrerla constante
Conocer lugares románticos también
Llevarte a luna o bajártela ¿Dónde?
Tú quieras, m'hija, sabes por ti pelearé
Seré el hombre que te de lo que tú desies
Yo sé muy bien con verte que tú me quieres

...


 ",22.0,18,CON TUS BESOS,0,0,0,0,0,0,0,0,
18,MALUMA,0.0,,"No te has ido de mi vida, vida mía, pero ya te extraño
Quién diría, nadie lo creía y ya vamos pa' un año
De solo pensar en perderte
Las milésimas se vuelven horas
Contigo yo me voy a muerte
Y mucho más cuando estamos a solas

Cuando nos falle la memoria y solo queden las fotografías
Que se me olvide todo, menos que tú eres mía

Cuando los años nos pesen
Y las piernas no caminen
Los ojos se nos cierren
Y la piel ya no se estire

Cuando lo único que pese
Sea lo que hicimos en vida
Y aunque nada de esto pase, woh-oh
Eres el amor de vida, woh, oh, oh
Eres el amor de mi vida

...


 ",81.0,19,ADMV,0,0,1,0,0,0,0,1,
19,6IX9INE,1.0,Hip Hop/Rap / Hardcore Rap,"Ransom got that sauce in it

Se pinta los labio', hoy no tiene horario
Quiere que la busque en la Lambo'
Esta noche coronamo', ¡dale!
Para terminar lo que empezamo'

Oh-oh, oh, baila morena, baila morena
Oh-oh, oh, baila morena, baila morena
Oh-oh, oh, baila morena, baila morena
Oh-oh, oh, oh

Una nena así me hacía falta
Que metiera mi mano por su falda
Se ve que no e' santa
Es como yo, que le gusta la maldad

Dale, baby, no sea' mala, no pare' de moverte que eso me encanta
Bebecita, dame una, una proba'ita, tú ere' una mamacita
Cuando chingamos, baby, tú nunca te quita'
Mueve to' ese booty, tan chulita como Anitta

...


 ",74.0,20,YAYA,1,0,0,0,0,0,0,1,
20,CHRISTIAN NODAL,0.0,,"Todos hablan, nadie sabe la verdad
La gente opina desde su posición
De afuera es diferente, vieran qué feo se siente
El andar sufriendo por un mal de amor

Aquí abajo donde estamos los decepcionados
Llorar, fumar, tomar, rogar es casi necesario
Así estoy yo, y ¿cómo no?
...


 ",78.0,21,AQUI ABAJO,0,0,0,0,0,1,0,1,
21,JHAY CORTEZ & BAD BUNNY,1.0,,"Yeh, nos matamo'
Dime tú dónde nos vemo'
Que el tiempo está pasando
Y tú estás perdiéndote

¿Cómo se siente, cómo se siente?
Cuando yo estoy adentro y tú está' al frente
O si no es encima 'e mí
¿Cómo terminamo' así, así, así?
¿Cómo se siente, cómo se siente?
Cuando yo estoy adentro y tú está' al frente
Hacemos posiciones diferente'
Baby, tú no sales de mi mente

No, nunca, baby
Perdona la pregunta
Si tu cuerpo fuera la calle
Sabe' que yo tengo la ruta y

Yo te sentí
Tú mojá' y yo recorriendo tu cuerpo, ma', como un jetski y
En la Merdece' ven a mí
Pa' yo jugar contigo como Wii

...


 ",27.0,22,COMO SE SIENTE,0,0,0,1,0,1,0,1,
22,NATTI NATASHA,0.0,,"Yeah-yeah-yeah-yeah
Natti Nat, mmh
Rude gyal

La última vez (La última vez)
Tú me dijiste que me odiaba' y que pa'trá' no ibas a volver (no, no)
De repente recibí una llamada y eras tú otra vez (eras tú otra vez)
Tú que pensaba' que por irte el mundo se me iba a virar al revés
Qué mal te fue

¿Qué pasó? ¿Qué pasó?
Probaste con otro culito pero al final no te resultó
¿Qué pasó?
Ahora la vuelta se te cayó

¿Qué pasó? ¿Qué pasó?
Probaste con otro culito pero al final no te resultó
¿Qué pasó?
Ahora la vuelta se te cayó

Ahora soy yo la de la vuelta, tu gyal anda suelta
Por ahí revuelta, soltera pero hay uno de respuesta
Dicen que hablar claro nada cuesta
Pero gastaste todo lo del banco y de la renta (yo')

Ya llegó mi tiempo, oh-oh
...


 ",21.0,23,QUE MAL TE FUE,1,0,0,0,0,1,0,1,
23,CARIN LEON,,Country / Traditional Country,,1.0,24,TU,0,0,0,0,0,1,0,1,
24,"PLAY N SKILLZ, DADDY YANKEE & ZION & LENNOX",,,,,25,BESAME,0,0,0,0,0,1,0,1,
25,ANUEL AA & BAD BUNNY,1.0,,"Brr

Hoy la noche se acaba
Tú, desnuda en mi cama
Anoche te soñé
Y me quedé con la' gana' (Uah)

Baby, apaga el celular que te quiero disfrutar
No le vaya' a contestar, no (Yeh)
Y ese traje se ve bien con tus nalgas apreta'
Pero e' hora de quitarlo (Ey)

Hoy la noche es tuya y mía
La luz está apaga', pero tú está' prendi'a
La nota me dice que siga (Me dice)
Te vo' a dar hasta que Dios diga, ey (Brr)

Hoy la noche e' tuya y mía
La luz está apaga', pero tú está' prendi'a
La nota me dice que siga (Que)
Te vo' a dar hasta que Dios diga (Uah)

Tan dura, que hasta Ricky Martin quiere darte (Darte)
Tú llega' y esta' puta' empiezan a envidiarte (Envidiarte)
Tu gato dice que es real, pero él te miente (Brr)
Y eso es real, eso es real hasta la muerte, yah

Porque ese jevo tuyo 'tá celoso ('Tá celoso)
Y eso labio' allá abajo 'tán jugoso' (Jugoso')
Baby, hoy la noche es de nosotro' (De nosotro')
Y ese totito en mi boca está chicloso, ey (-closo)

Que nos perdonen la Virgen y Jesucristo
Fue que yo te vi y me tropecé con tu culito
...


 ",29.0,26,HASTA QUE DIOS DIGA,1,0,0,1,0,1,0,1,
26,BANDA MS DE SERGIO LIZARRAGA & SNOOP DOGG,,,,,27,QUE MALDICION,0,0,0,0,0,0,0,0,
27,OZUNA X WISIN,1.0,,"Señoritas, desde Plutón
Le llaman ""Los Fantásticos""
W, Ozuna
Urba y Rome
¡Prende!

Ella me dijo: ""pa' la pared"" (Pa' la pared, ¡duro!)
Callaíta' donde no se ve (¡Duro!)
Entonce' e' que no me dejé, rápido me pegué (Woh-oh-oh)
Y ahora es que e', eh

Bam, bam, bam
Tú quiere' un perreo como ante' (Tú me dice')
Ram-pam-pam-pam-pam
A la nena de papi le gustan maleante'
Hoy se va (¡Prende!)

Vélala, que está fronteando en el corillo
Enséñame el gistro amarillo
Es sencillo, guaya el calzoncillo
Se siente bien, bien a fueguillo

Vélala, que está fronteando en el corillo
Enséñame el gistro amarillo
Es sencillo, guaya el calzoncillo
Y se siente bien, bien a fueguillo (Oh-oh)

Se siente bien, bien a fueguillo (Woh-oh)
Se siente bien, bien a fueguillo (Woh-oh)
Se siente bien, bien a fueguillo (Woh-oh)
Se siente bien (Yeah)

Mami, no deje' que la nota te domine
Un shot de tequila y se suelta la pupila (¡tra!)
Llegó la dura bella, nunca me hace fila (rra)
Si pone reggaetón a todos aniquila
Ella sigue bebiendo y es la más que vacila (rra, rra, rra)

...


 ",27.0,28,GISTRO AMARILLO,0,0,0,1,0,1,0,1,
28,YANDEL X BAD BUNNY,0.0,,"Ella es la que me encanta
Ella es la que me levanta
Cuando estoy jodi'o
Nunca se va del lado mío

Pero ella me cela por to', me jode por to'
Pelea por to', por todo
A veces ni la soporto, pero en el cuarto nos damos con to'
Y arreglamos to'

Pero ella me cela por to', me jode por to'
Pelea por to', por todo
A veces ni la soporto, pero en el cuarto nos damos con to'
Y arreglamos to'

Y aunque a veces mal me porto, ella me espera en la casa en vestidito corto
Trépate en mi cama pronto
Y quítate to' que quiero recorrer tu cuerpo
Por ti soy loco, se ve en mis ojos cuando te toco
Tú dime, ma'
Esto yo no lo hago con ninguna má'

Yo te conocí perreando, recuérdate
Cuando los dos éramos chamacos de 16
...


 ",28.0,29,CANCION CON YANDEL,0,0,0,0,0,1,0,1,
29,EL FANTASMA & LOS DOS CARNALES,,,,11.0,30,CABRON Y VAGO,1,0,0,0,0,0,0,1,
30,"JUSTIN QUILES, DADDY YANKEE & EL ALFA",1.0,,"Yao-oh
Tengo una nota (jefe)
Me fronteó y el humo le pasé de boca a boca (DY)
Y eso que dijo conmigo no iba a estar ni loca (wuh, rrr)
Le ponen la music y con el booty me choca (wuh)
Esta noche le toca (rah)

Cuando la azoto, suena pam, pam, pam, pam, pam (pam, yeh-yeh)
Y la' pistola' suenan pam, pam, pam, pam, pam (pam, cómo suena)
Tú ya conoce' el refrán, -frán, -frán, -frán, -frán (dale)
Aquí lo que hay es muslo y pam-pam-pam-pam-pam-pam-pam-pam-pam (Daddy, Daddy)

Cuando lo' saludo e' Richard Millie y no e' Jacob (wuh)
Y eso que en el case no tenía ni pa' un Seiko (yeah)
Hasta lo' gringo' me conocen, dicen: ""hey, bro"" (win)
¿Vas a seguir?, digo: ""sí, es el takeover

El número 1 desde Rusia hasta la USA
Jhay Co, tenemo' la' piedra' en la ""Medusa"" (money)
My G, cuando escucho a Karol G
Recuerdo rrr, borré toda la tusa (uah)

Empecé picando piedra como bam-bam-bam
Ese horno en la mañana pide pan-pan-pan
Como la nieve cuando hierve, soy un crack-crack-crack
Y si suena la 'e Darell, suena ""ra-ta-ta-tá"" (dale)

Loca, le ponen la music y con el booty me choca
Esta noche le toca
...


 ",27.0,31,PAM,1,0,0,0,0,1,0,1,
31,MYKE TOWERS,1.0,,"Era mi reina
Ahora e' mi diosa
Hace lucir a las demá' como envidiosas
Pelinegra y peligrosa
Al seducirla ella se me pone nerviosa

Otra cosa
Tú ere' otra cosa
Se ve que en la cama
Tú ere' talentosa
Los ignora
Por má' que la acosan
Cuando otra me habla
Se pone celosa

Era mi reina
Ahora e' mi diosa
Y hace lucirla' a las demá' como envidiosas
Pelinegra y peligrosa
Y al seducirla ella se me pone nerviosa

Oye, no hay ni que decirlo, mami, tú ere' otra cosa
Las mujere' como tú son las que hay que tener de esposa
Le gusta hacerlo vece' corrida, no reposa
Si le falla', ella el corazón te lo destroza

...


 ",25.0,32,DIOSA,0,0,0,0,0,1,0,1,
32,OZUNA X CAMILO,0.0,,"Yeah, eh, eh, oh
La Tribu
Ozuna 'El Oso' (Mmm)

¿Por qué todo tiene que ser confuso? (Confuso)
Desde el principio fuiste tú la que impuso (Oh-oh)
Que lo dejaramo' así
El alma y la mente en un duelo (El alma y la mente en un duelo)
Forcejeando pa' quedarse aquí (aquí)

Haciéndolo está muy adelantá' la nena (Woh-oh)
Seca con los demá' y conmigo en humeda' (Humeda')
Que cuando te va' má' gana' me dan (Me dan, oh)

Por algo será
Que no cambio lo de conocerte (No-oh)
Cambio que te vaya' cuando amanece (Cuando amanece)
Porque te entrega', pero no lo suficiente (Suficiente)
No llama', pero cuando te aparece', eh

Tu piel mojada, tira' en la cama
Muy maquillada, así será
Tu piel mojada, tan despeinada
Sin decir nada, así se ve (Así se va)

Así será (Yeah)
No hemos empeza'o y odio cuando tú te vas (Cuando tú te va')
Solo hemos habla'o y te siento muy humeda (Humeda)
La vida e' muy frágil, mira qué fácil se va (Oh-oh-oh)

...


 ",81.0,33,DESPEINADA,0,0,0,0,0,1,0,1,
