"artists","explicit","genre","lyric","lyric_provider","musixmatch_rating","rank","title"
"MALUMA","","","Deja de mentirte (ah)
La foto que subiste con él diciendo que era tu cielo
Bebé, yo te conozco tan bien, sé que fue pa' darme celos
No te diré quién, pero llorando por mí te vieron
Por mí te vieron

Déjame decirte
Se ve que él te trata bien, que es todo un caballero
Pero eso no cambiará que yo llegué primero
Sé que te va ir bien pero no te quiere como yo te quiero

Puede que no te haga falta na', aparentemente na'
Hawái de vacaciones, mis felicitaciones
Muy lindo en Instagram lo que posteas
Pa' que yo vea cómo te va, pa' que yo vea

Puede que no te haga falta na', aparentemente na'
Hawái de vacaciones, mis felicitaciones
Muy lindo en Instagram lo que posteas
Pa' que yo vea como te va de bien, pero te haces mal
Porque el amor no se compra na'

Miéntele a todos tus seguidore'
Dile que los tiempo' de ahora son mejore'
No creo que cuando te llame me ignores
Si después de mí ya no habrán más amores

Tú y yo fuimo' uno
Lo hacíamo' en ayuna' antes del desayuno
Fumábamo' la hookah y te pasaba el humo
Y ahora en esta guerra no gana ninguno

Si me preguntas, nadie tiene culpa
A vece' los problemas a uno se le juntan
Déjame hablar, porfa, no me interrumpas
Si te hice algo malo, entonces discúlpame
La gente te lo va a creer, actúas bien ese papel
Baby, pero no eres feliz con él

Puede que no te haga falta na', aparentemente na'
Hawái de vacaciones, mis felicitaciones
Muy lindo en Instagram lo que posteas
Pa' que yo vea cómo te va, pa' que yo vea

Puede que no te haga falta na', aparentemente na'
Hawái de vacaciones, mis felicitaciones
Muy lindo en Instagram lo que posteas
Pa' que yo vea como te va de bien, pero te haces mal
Porque el amor no se compra na'

(Deja de mentirte
La foto que subiste con él diciendo que era tu cielo)
Mamacita
(Bebé, yo te conozco tan bien, sé que fue pa' darme celos)

Maluma, baby
(No te diré quién, pero llorando por mí te vieron)
Jaja
(Por mí te vieron)
Papi Juancho

","Google","",1,"HAWAI"
"SECH,DADDY YANKEE,J BALVIN FEATURING ROSALIA,FARRUKO",1.0,"","","MusicMatch",90.0,2,"RELACION"
"J BALVIN,DUA LIPA,BAD BUNNY & TAINY","","","You know that sometimes
I think about us now and then
But I never wanna fall again, ah-ah-ah
Yo no te quisiera olvidar (eh-eh)
Pero contigo es todo o na' (eh-eh)
Yeah-yeah

You're deep in the water, yeah, you're drownin' us
You question my love like it's not enough
But I hate that you know, you know, you know
You got me tied up
You regret it now, but it's your mistake
What makes you think that my mind will change?
And you hate that you know, you know, you know
You know you messed up

One day you'll love me again
One day you'll love me for sure
One day you'll wake up feelin' how I've been feelin'
Baby, you'll knock at my door
One day you'll love me again
Hug me again 'til the end
One day you'll beg me to try
One day you'll realize I'm more than your lover
I'm more than your lover, I'm your friend

Acércate un poquito nomá'
Que yo quiero que te quedes conmigo
Deja a tus amiga' allá atrás
Que no' vamos en un viaje escondido'
No' vamo' pa' Turks and Caicos
Y ahí calmamo' las ganas
Suéltate conmigo, mamá
Que ya no hay marcha atrás
Una noche sin ti
No es tan fácil, baby
Que yo soy pa' ti
Y tú eres pa' mí

Nunca me dejes de querer
Oh, na-na-na
Contigo por siempre, baby
No quiero dejarte esta vez

One day you'll love me again
One day you'll love me for sure
One day you'll wake up feelin' how I've been feelin'
Baby, you'll knock at my door
One day you'll love me again
Hug me again 'til the end
One day you'll beg me to try
One day you'll realize I'm more than your lover (yeah, yeah, yeah)
I'm more than your lover, I'm your friend

Yo sé que estoy en tu corazón, quizás en el fondo
Otra baby me escribe, nunca le respondo (no)
La vida da vuelta' y el mundo es redondo
Y yo voy a que te beso de nuevo en London
O si no en Marbella (wuh)
Encima de la arena viendo las estrella'
Yo sé que ni la' ola' han borrao' mi huella (yeh)
Pero tu pichaera es lo que me atropella
Sol, playa y en la arena, vamo' allá (wuh)
Baby, no te quedes callá'
Yo sé que tú quiere' guayar conmigo
Otra vez me tienes en depresión
Fumando en la habitación, eh
Pero yo sé que

One day you'll love me again (wuh)
One day you'll love me for sure
One day you'll wake up feelin' how I've been feelin'
Baby, you'll knock at my door
One day you'll love me again
Hug me again 'til the end
One day you'll beg me to try
One day you'll realize I'm more than your lover
I'm more than your lover, I'm your friend

Baby (ay-ay-ay-aye)
One day you'll love me again
One day you'll realize I'm more than your lover
I'm more than your lover, I'm your friend
J Balvin, man
Bad Bunny, baby
Tainy
Latino Gang (yeah)
La Familia

","Google","",3,"UN DIA (ONE DAY)"
"OZUNA",0.0,"Latin / Pop in Spanish","Uoo oh (oye ma')
Baby, baby
Ozuna

Aunque no pueda tengo la curiosidad (la curiosidad)
Aunque no pretendo quedarme me da un poco de ansiedad
Y es que en la vida todo se puede
Esté bien o esté mal (esté mal)
Pero podré vivir con la culpa de que al menos una vez más (baby)

Te volví a probar
Tu boca no pierde el sabor a caramelo-oh
Nos dejamos llevar
Tú eres mi bandolera y yo soy tu bandolero-oh
Te volví a probar
Tu boca no pierde el sabor a caramelo-oh
Nos dejamos llevar
Tú eres mi bandolera y yo soy tu bandolero-oh

Esa boquita tan dulce sabor a caramelo
Ella es un ángel, pero si la tienta caliente fuego
Siempre en alta, no necesita vuelo
A nadie le cuenta cómo es que la consuelo (woh-oh)
Ella es muy atractiva
Prende de la sativa
Siempre provocativa
Soltera vive la vida
En traje de baño es que se ve bien explosiva
Todos los domingos sport con todas las combi Adidas

Dale ven ven mátame
Me dice dale baby maltrátame
Si quiere' ir de viaje solo déjame saber
Si te enamoras yo nada voy a perder
Ya tú eres mía
Dale dale ven ven mátame
Me dice dale baby maltrátame
Si quiere' ir de viaje solo déjame saber
Si te enamoras yo nada voy a perder (uo-oh)

Te volví a probar
Tu boca no pierde el sabor a caramelo-oh
Nos dejamos llevar
Tú eres mi bandolera y yo soy tu bandolero-oh
Te volví a probar
Tu boca no pierde el sabor a caramelo-oh
Nos dejamos llevar
Tú eres mi bandolera y yo soy tu bandolero-oh (eh, eh)

Siempre seré tu bandolero (tu bandolero)
Te juro que de to'as tú amor va primero (va primero)
No tiene que preocuparte por lo que quiero (quiero)
Siempre yo voy a estar por si ese es tu miedo
Mi amor me complace
Me mata siempre que me lo hace (que me lo hace)
Hay pares que me tiran pero en flow le da clase (clase)
Tu mai y tu pai se robaron to'a la base (oh-oh)
'Tás tan dura que como ella cada cien años nace

Dale ven ven mátame
Me dice dale baby maltrátame (maltrátame)
Si quiere' ir de viaje solo déjame saber
Si te enamoras yo nada voy a perder
Ya tú eres mía
Dale dale ven ven mátame
Me dice dale baby maltrátame
Si quiere' ir de viaje solo déjame saber
Si te enamoras yo nada voy a perder (uo-oh)

Te volví a probar
Tu boca no pierde el sabor a caramelo-oh
Nos dejamos llevar
Tú eres mi bandolera y yo soy tu bandolero-oh
Te volví a probar
Tu boca no pierde el sabor a caramelo-oh
Nos dejamos llevar
Tú eres mi bandolera y yo soy tu bandolero-oh

El negrito ojos claros
Ozuna
Jeje
Dímelo Gotay
Dynell
Yasso
Hyde El Químico
Tainy

","MusicMatch",79.0,4,"CARAMELO"
"NIO GARCIA X ANUEL AA X MYKE TOWERS X BRRAY X JUANKA","","","","","",5,"LA JEEPETA"
"KAROL G",0.0,"","Ovy on the drums

Yo no te estaba buscando, babe
Pero cuando coincidimos, bebé
Fue una cosa que yo no sé
Tú fuiste conquistándome
Y en tus ojos yo lo noté
Que tú querías y yo también
Entre botellas de Rosé
Nos fuimos calentando

Tu man me escribió (oh), y me dijo a mí (a mí)
Que le gustaban toda' mis cancione' (eh, eh)
Y yo le dije: ""ay, Dios mío, qué rico, Dios mío""
Luego me dijo (oh) que le gusté yo (-té yo)
Que conmigo quiere tener relaciones, eh
Y yo le dije: ""ay, Dios mío, qué rico, Dios mío""

Ay, Dios mío, qué rico, Dios mío (mmm)
Ay, Dios mío, qué rico, Dios mío (yeh)
Ay, Dios mío, qué rico (qué rico)
Ay, Dios mío, qué rico (qué rico)

Él me jaló y me dijo: ""ven pa'cá"" (oh; ah)
Yo le dije ""lento"", y me hizo tra-tra
Yo sé que lo notó y no pude evitar
Dejar de mirarlo (ah), y me hizo (y me hizo, ah)

Él me invitó a salir a bailar (ah-ah)
Un perreíto de eso' bien anormal (eh-eh)
Cuando me fui él me mandó a buscar (oh)
Y yo no pude, no (no), decirle que no

Tu man me escribió (oh), y me dijo a mí (a mí)
Que le gustaban toda' mis cancione' (eh, eh)
Y yo le dije: ""ay, Dios mío, qué rico, Dios mío""
Luego me dijo (oh) que le gusté yo (-té yo)
Que conmigo quiere tener relaciones, eh (eh, eh, ah)
Y yo le dije: ""ay, Dios mío, qué rico, Dios mío""

Ay, Dios mío, qué rico, Dios mío (mmm)
Ay, Dios mío, qué rico, Dios mío (yeh)
Ay, Dios mío, qué rico (qué rico)
Ay, Dios mío, qué rico (qué rico)

Él me invitó a salir a bailar (ah-ah)
Un perreíto de eso' bien anormal (eh)
Cuando me fui él me mandó a buscar (oh)
Y yo no pude, no (no), decirle que no
No pude, no (no), decirle que no
No pude, no, decirle que no (no)
Ay, Dios mío, qué rico, Dios mío

El man me escribió (oh), y me dijo a mí (a mí)
Que le gustaban toda' mis cancione' (eh, eh)
Y yo le dije: ""ay, Dios mío, qué rico, Dios mío""
Luego me dijo (oh) que le gusté yo (-té yo)
Que conmigo quiere tener relaciones, eh (eh)
Y yo le dije: ""ay, Dios mío, qué rico, Dios mío"" (ah)

Y yo le dije: ""ay, Dios mío, qué rico, Dios mío""
Ay, Dios mío, qué rico

","MusicMatch",80.0,6,"AY,DIOS MIO!"
"BLACK EYED PEAS X J BALVIN",1.0,"Latin / Pop in Spanish","This is the rhythm, rhythm, rhythm, rhythm
This is the rhythm, rhythm, rhythm, rhythm, rhythm, rhythm
This is the rhythm, rhythm, rhythm, rhythm, rhythm of the night

Toda la noche rompemo' (of the night)
Al otro día volvemo' (oh, yeah)
Tú sabes cómo lo hacemo', baby
(This is the rhythm of the night)
Baby, tonight's like fuego (of the night)
We 'bout to spend the dinero (oh, yeah)
We party to the extremo, baby
(This is the rhythm of the night)
Toda la noche rompemo' (of the night)
Al otro día volvemo' (oh, yeah)
Tú sabes cómo lo hacemo', baby
(This is the rhythm of the night)
Baby, tonight's like fuego (of the night)
We 'bout to spend the dinero (oh, yeah)
We party to the extremo, extremo, extremo, extremo, extremo

Ritmo

No son ni Reebook ni son Nike (no)
Sin estilista, luzco fly (yes)
La Rosalía me dice que luzco guay (La Rosalía)
No te lo niego porque yo sé lo que hay (wuh)
Lo que se ve, no se pregunta (na')
Si los perdí, tengo claro que e' mi culpa (es mi culpa, culpa; ah)
Como Canelo en el ring nada me asusta
Vivo en mi Oasis y la paz no me la tumban (wuh)
Hakuna Matata como Timón y Pumba
Voy pa' leyenda así que dale zumba
Los dejo ciego' con la vibra que me alumbra
Haters pa' la tumba, nosotros pa' la rumba (ra)

This is the rhythm, rhythm, rhythm, rhythm, rhythm of the night

Toda la noche rompemo' (of the night)
Al otro día volvemo' (oh, yeah)
Tú sabes cómo lo hacemo', baby
(This is the rhythm of the night)
Baby, tonight's like fuego (of the night)
We 'bout to spend the dinero (oh, yeah)
We party to the extremo, baby
(This is the rhythm of the night)
Toda la noche rompemo' (of the night)
Al otro día volvemo' (oh, yeah)
Tú sabes cómo lo hacemo', baby
(This is the rhythm of the night)
Baby, tonight's like fuego (of the night)
We 'bout to spend the dinero (oh, yeah)
We party to the extremo, extremo, extremo, extremo, extremo

Ritmo

The rhythm, the rebel, styles upon styles upon styles, I got several
Born to be wild 'cause I live like a daredevil
Live it up, hit 'em up, that's the scenario (2Pac)
I get around like a merry go (rooftop)
I am on top of the pedestal (flu shot)
I am so sick I need medical (who thought?)
I learned that shit down in Mexico (hahaha!)
The rhythm, the rebel
New and improved, I be on a new level (oh yeah)
That's how we do it, we buildin' like LEGO (oh yeah)
Feel on the fire, you dealin' with fuego
Can't stop, I am addicted I never quit
Won't stop, don't need to speak to no therapist
No stop, keepin' it movin' is the narrative
Nonstop, do it like woo, there it is

This is the rhythm, rhythm, rhythm, rhythm, rhythm of the night

Toda la noche rompemo' (of the night)
Al otro día volvemo' (oh, yeah)
Tú sabes cómo lo hacemo', baby
(This is the rhythm of the night)
Baby, tonight's fuego (of the night)
We 'bout to spend the dinero (oh, yeah)
We party to the extremo, baby
(This is the rhythm of the night)
Toda la noche rompemo' (of the night)
Al otro día volvemo' (oh, yeah)
Tú sabes cómo lo hacemo', baby
(This is the rhythm of the night)
Baby, tonight's like fuego (of the night)
We 'bout to spend the dinero (oh, yeah)
We party to the extremo, extremo, extremo, extremo, extremo

Ritmo
You like that space?

","MusicMatch",82.0,8,"RITMO (BAD BOYS FOR LIFE)"
"TAINY X J BALVIN",0.0,"Music","","MusicMatch",80.0,9,"AGUA"
"OZUNA,DOJA CAT & SIA",1.0,"","Ah-ah-ah-oh-oh-oh
Ah-ah-ah-yo-oh (yeah-eh)
Ah-ah-ya-ya-ya-yo (Ozuna)
Ah-ah-ya-ya-ya

Se pierde en la arena y el mar, ah-ah-ah
¿'Taré soñando yo? Se ve tan tropical (tan tropical)
El sol está que quema y quiero más (quiero más)
Le dije, ""Baby, ¿qué pasó? Pa'l agua, que hace calor"" (oh-oh-oh)

Se pierde en la arena y el mar, yeah (ah-ah-ah)
¿'Taré soñando yo? Se ve tan tropical (tan tropical)
El sol está que quema, quiero más (quiero más)
Le dije, ""Baby, ¿qué pasó? Pa'l agua, que hace calor"" (oh-oh-oh, eh, eh, eh)

Gimme more, gimme more (gimme more)
Tell me you want this wet sign
Dímelo, dímelo (dímelo)
Kiss my skin, I won't tell lies

Lucky son of a gun
I give you that no stress life
Vacation, live our best life
Whenever you want

Boy, I need you like a vacay
Need you like I need you like I, eh-eh
'Cause we just keep on drinkin' like we straight from the sea
Wet, got a big pussy like my man ain't drippin'

If you fuckin' with me then you fancy living
Mini jean skirt with the crop top fitted
Tell me he don't like when I got panties with it
Long hair, wet wave, Pantene in it

Big bag, wallet got mad cheese in it
I don't need a ticket 'cause I'm passed these bitches 
Get it passed these bitches
Get it passed these bitches like

Se pierde en la arena y el mar, ah-ah-ah
¿'Taré soñando yo? Se ve tan tropical (tan tropical)
El sol está que quema y quiero más (quiero más)
Le dije, ""Baby, ¿qué pasó? Pa'l agua, que hace calor"" (oh-oh-oh)

Se pierde en la arena y el mar, yeah (ah-ah-ah)
¿'Taré soñando yo? Se ve tan tropical (tan tropical)
El sol está que quema, quiero más (quiero más)
Le dije, ""Baby, ¿qué pasó? Pa'l agua, que hace calor"" (calo-o-or, eh)

Cuerpo natural, no tiene compe (no tiene compe)
Donde ella le llega siempre rompe (siempre rompe)
Prende algo que quiere quemar, dolores olvidar
Hoy quiere salir, la calle la espera

I love the way that you smile
I love the way that you smell
I love the faces you make 
When you storytell

I love the way that you are
I love the things that you do
The things that you do 
When you think I ain't watchin' you

Se pierde en la arena y el mar, ah-ah-ah
¿'Taré soñando yo? Se ve tan tropical (tan tropical)
El sol está que quema y quiero más (quiero más)
Le dije, ""Baby, ¿qué pasó? Pa'l agua, que hace calor"" (oh-oh-oh)

Se pierde en la arena y el mar, yeah (ah-ah-ah)
¿'Taré soñando yo? Se ve tan tropical (tan tropical)
El sol está que quema, quiero más (quiero más)
Le dije, ""Baby, ¿qué pasó? Pa'l agua, que hace calor"" (eh, eh, eh)

Uoh-oh-oh-oh-oh, yeah-eh
El negrito 'e ojos claro' (ah-ah-ah-yo)
Ozuna, ja (Dynell)
Hi Music Hi Flow (ah-yo, ah-ah-yo)
High El Químico (ah-la-la, eh-eh)
Dímelo, Gotay (ay-ay-ay-eh-eh-oh)
Yazid

","MusicMatch",81.0,10,"DEL MAR"
"BLACK EYED PEAS,OZUNA + J.REY SOUL",1.0,"","","MusicMatch",26.0,11,"MAMACITA"
