rank,artists,title
1,Maluma,Hawai
2,"Sech,Daddy Yankee,J Balvin Featuring ROSALIA,Farruko",Relacion
3,"J Balvin,Dua Lipa,Bad Bunny & Tainy",Un Dia (One Day)
4,Ozuna,Caramelo
5,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,La Jeepeta
6,Karol G,"Ay,Dios Mio!"
8,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life)
9,Tainy x J Balvin,Agua
10,"Ozuna,Doja Cat & Sia",Del Mar
11,"Black Eyed Peas,Ozuna + J.Rey Soul",Mamacita
12,Los Dos Carnales,El Envidioso
13,"Feid,J Balvin,Maluma,Nicky Jam,Sech & Justin Quiles",Porfa
14,DJ Nelson Presenta Jay Wheeler & Myke Towers,La Curiosidad
15,ROSALIA & Travis Scott,TKN
16,Farruko,La Toxica
17,Ozuna x Arcangel x Cosculluela x Wisin x Myke Towers x Juanka,Enemigos Ocultos
18,Eslabon Armado,Con Tus Besos
19,Maluma,ADMV
20,6ix9ine,YaYa
21,Christian Nodal,Aqui Abajo
22,Jhay Cortez & Bad Bunny,Como Se Siente
23,Natti Natasha,Que Mal Te Fue
24,Carin Leon,Tu
25,"Play N Skillz,Daddy Yankee & Zion & Lennox",Besame
26,Anuel AA & Bad Bunny,Hasta Que Dios Diga
27,Banda MS de Sergio Lizarraga & Snoop Dogg,Que Maldicion
28,Ozuna X Wisin,Gistro Amarillo
29,Yandel X Bad Bunny,Cancion Con Yandel
30,El Fantasma & Los Dos Carnales,Cabron y Vago
31,"Justin Quiles,Daddy Yankee & El Alfa",PAM
32,Myke Towers,Diosa
33,Ozuna x Camilo,Despeinada
34,Jowell & Randy & J Balvin,Anaranjado
35,Ozuna & Daddy Yankee,No Se Da Cuenta
36,Los 2 de La S & Banda MS de Sergio Lizarraga,Somos Los Que Somos
37,Ir-Sais x Rauw Alejandro,Dream Girl
38,Junior H,Mente Positiva
39,J Balvin,Azul
40,"Ozuna,J Balvin & Chencho Corleone",Una Locura
41,Los Dos Carnales,Vida Ventajosa
42,Anuel AA,Reggaetonera
43,Jerry Di,Mi Cuarto
44,Lunay,Relaciones
45,Aya Nakamura Featuring Maluma,Djadja (Remix)
46,Grupo Firme Featuring Los Contacto,El Roto
47,Anuel AA & Enrique Iglesias,Futbol & Rumba
48,Eslabon Armado,Dame Tu Calor
49,Anuel AA,Narcos
50,Maluma & Myke Towers,Madrid
