rank,artists,title
1,EL FANTASMA,PALABRA DE HOMBRE
2,CHRISTIAN NODAL,SE ME OLVIDÓ
3,EL FANTASMA,ENCANTADORA
4,JOAN SEBASTIAN FT. CALIBRE 50,QUE SEA
5,JULION ALVAREZ,CUANDO TE AME
6,CALIBRE 50,SOLO TU
7,CHRISTIAN NODAL,AQUI ABAJO
8,BANDA LOS SEBASTIANES,A TRAVÉS DEL VASO
9,CALIBRE 50,POR QUÉ CAMBIASTE DE OPINIÓN
10,CHRISTIAN NODAL,NADA NUEVO
11,EL FANTASMA,BORRACHO DE COCHERA
12,PANCHO BARRAZA,POR QUE
13,CALIBRE 50,SIMPLEMENTE GRACIAS
14,JULION ALVAREZ,MAS TE RECUERDO
15,PANCHO BARRAZA,LA MUJER QUE AMO
16,JULION ALVAREZ,TE LO ESTOY AFIRMANDO
17,CHRISTIAN NODAL,NO TE CONTARON MAL
18,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,ESCONDIDOS
19,VOZ DE MANDO,QUITATE LA CARETA
20,EL FANTASMA,EL CIRCO
21,CALIBRE 50,BARQUILLERO
22,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,ME HICISTE UN BORRACHO
23,"ALEJANDRO FERNANDEZ,CALIBRE 50",DECEPCIONES
24,BANDA MS,POR SIEMPRE MI AMOR
25,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,LO QUE NUNCA SERA
26,REMMY VALENZUELA,QUE LEVANTE LA MANO
27,LA ARROLLADORA BANDA EL LIMÓN,NO HE LOGRADO APRENDER
28,BANDA LOS SEBASTIANES,CUANTO A QUE TE OLVIDO
29,REMMY VALENZUELA,MENTIRAS
30,"ALFREDO OLIVAS,JULION ALVAREZ",SIN MEMORIA
31,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,ME HUBIERAS AVISADO
32,JOSS FAVELA,YA NO QUIERO ANDAR CONTIGO
33,JARY FRANCO,DILE
34,BANDA MS,POR MI NO TE DETENGAS
35,LA ARROLLADORA BANDA EL LIMÓN,TU ERES LA RAZON
36,BANDA LOS RECODITOS,ESTO VA POR TI
37,ALDO TRUJILLO,"TODOS HABLAN,NADA SABEN"
38,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,NI MIL BORRACHERAS
39,BANDA CARNAVAL,OLVIDARTE COMO
40,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,EL AMOR DE MI VIDA
41,JORGE MEDINA,ESPERO QUE TU
42,ALFREDO OLIVAS,MEDALLA DE PLATA
43,BANDA CARNAVAL,ESTA VEZ SOY YO
44,CHRISTIAN NODAL,DE LOS BESOS QUE TE DI
45,EL BEBETO,MI PERSONA PREFERIDA
46,CRISTIAN JACOBO,MEJOR RECUERDA
47,JORGE MEDINA,PORQUE TU LLEGASTE
48,LOS PLEBES DEL RANCHO DE ARIEL CAMACHO,TRES BOTELLAS
49,LOS PLEBES DEL RANCHO DE ARIEL CAMACHO,EN UN DIA COMO HOY
50,LA ARROLLADORA BANDA EL LIMÓN,AHORA QUE ME ACUERDO
51,LA ADICTIVA BANDA SAN JOSE DE MESILLAS,CON TODO INCLUIDO
52,BANDA CARNAVAL,SUEÑA
53,EL BEBETO,QUE TE DUELA MAS QUE A MI
54,JORGE MEDINA,ASI O MAS CLARO
55,LA ARROLLADORA BANDA EL LIMÓN,MIA DESDE SIEMPRE
56,"BANDA EL RECODO,DAVID BISBAL",GRACIAS POR TU AMOR
57,BANDA LOS RECODITOS,PERFECTA
58,PANCHO BARRAZA,UN SUEÑO
59,LOS HIJOS DE BARRON,PARA NO QUEDARTE MAL
60,BANDA MS,MEJOR ME ALEJO
61,ALFREDO OLIVAS,EL SILLON
62,BANDA LOS RECODITOS,TE DARÁN GANAS DE VERME
63,LA ARROLLADORA BANDA EL LIMÓN,CEDI
64,EL BEBETO,TE QUISE OLVIDAR
65,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,DORMIDA
66,LOS PLEBES DEL RANCHO DE ARIEL CAMACHO,MI SOLEDAD
67,LOS ROJOS,EL ALUMNO
68,ALFREDO OLIVAS,VOLVERA
69,LOS ROJOS,FUIMOS
70,LA ARROLLADORA BANDA EL LIMÓN,IGUAL
71,ALFREDO OLIVAS,A ESTAS HORAS
72,EL FANTASMA,EN EL CAMINO
73,FIDEL RUEDA,CADA QUIEN POR DONDE VINO
74,BANDA CARNAVAL,VAS A ESTAR BIEN
75,LA ARROLLADORA BANDA EL LIMÓN FT. ESPINOZA PAZ,TIENE RAZÓN LA LÓGICA
76,JOAN SEBASTIAN,HOY TENGO MIEDO
77,EDWIN LUNA Y LA TRAKALOSA DE MONTERREY,ES MUY IRRESPONSABLE
78,BANDA LOS SEBASTIANES,MI META CONTIGO
79,JARY FRANCO,NO ME ENSEÑASTE
80,SOMOS 3 FT. JULION ALVAREZ,SOÑE
81,JARY FRANCO,NO TE MIENTO
82,LOS HIJOS DE BARRON,MI ARREPENTIMIENTO
83,LOS DOS CARNALES,EL ENVIDIOSO
84,BANDA MS,NO ELEGÍ CONOCERTE
