date2,date,Date,Hour,year,id_station,CO,NO,NO2,NOX,O3,PA,PBa,PM10,PM2.5,PMCO,RH,SO2,TMP,WDR,WSP
2015-12-01 00:00:00,01/12/2015 01:00,01/12/2015,0,2015,GAM,,,,,4.0,,,,30.0,,60.0,,16.1,77.0,0.6
2015-12-01 01:00:00,01/12/2015 02:00,01/12/2015,1,2015,GAM,,,,,4.0,,,,47.0,,63.0,,15.4,108.0,0.5
2015-12-01 02:00:00,01/12/2015 03:00,01/12/2015,2,2015,GAM,,,,,4.0,,,,60.0,,64.0,,14.4,39.0,1.0
2015-12-01 03:00:00,01/12/2015 04:00,01/12/2015,3,2015,GAM,,,,,4.0,,,,56.0,,65.0,,13.8,58.0,1.1
2015-12-01 04:00:00,01/12/2015 05:00,01/12/2015,4,2015,GAM,,,,,5.0,,,,57.0,,64.0,,13.1,43.0,1.0
2015-12-01 05:00:00,01/12/2015 06:00,01/12/2015,5,2015,GAM,,,,,3.0,,,,55.0,,71.0,,12.5,48.0,0.8
2015-12-01 06:00:00,01/12/2015 07:00,01/12/2015,6,2015,GAM,,,,,3.0,,,,63.0,,72.0,,11.9,44.0,1.4
2015-12-01 07:00:00,01/12/2015 08:00,01/12/2015,7,2015,GAM,,,,,4.0,,,,58.0,,69.0,,12.2,100.0,0.7
2015-12-01 08:00:00,01/12/2015 09:00,01/12/2015,8,2015,GAM,,,,,6.0,,,,94.0,,67.0,,13.2,81.0,1.0
2015-12-01 09:00:00,01/12/2015 10:00,01/12/2015,9,2015,GAM,,,,,17.0,,,,76.0,,59.0,,15.3,75.0,1.2
2015-12-01 10:00:00,01/12/2015 11:00,01/12/2015,10,2015,GAM,,,,,42.0,,,,85.0,,48.0,,18.0,94.0,1.1
2015-12-01 11:00:00,01/12/2015 12:00,01/12/2015,11,2015,GAM,,,,,78.0,,,,55.0,,39.0,,20.9,261.0,1.2
2015-12-01 12:00:00,01/12/2015 13:00,01/12/2015,12,2015,GAM,,,,,107.0,,,,76.0,,31.0,,23.0,56.0,1.7
2015-12-01 13:00:00,01/12/2015 14:00,01/12/2015,13,2015,GAM,,,,,99.0,,,,54.0,,23.0,,24.7,82.0,1.6
2015-12-01 14:00:00,01/12/2015 15:00,01/12/2015,14,2015,GAM,,,,,94.0,,,,61.0,,20.0,,25.8,78.0,1.9
2015-12-01 15:00:00,01/12/2015 16:00,01/12/2015,15,2015,GAM,,,,,94.0,,,,13.0,,18.0,,26.4,169.0,1.9
2015-12-01 16:00:00,01/12/2015 17:00,01/12/2015,16,2015,GAM,,,,,116.0,,,,7.0,,20.0,,26.2,94.0,1.6
2015-12-01 17:00:00,01/12/2015 18:00,01/12/2015,17,2015,GAM,,,,,55.0,,,,33.0,,21.0,,24.6,127.0,3.3
2015-12-01 18:00:00,01/12/2015 19:00,01/12/2015,18,2015,GAM,,,,,20.0,,,,24.0,,30.0,,21.9,139.0,2.5
2015-12-01 19:00:00,01/12/2015 20:00,01/12/2015,19,2015,GAM,,,,,11.0,,,,34.0,,39.0,,20.4,66.0,1.9
2015-12-01 20:00:00,01/12/2015 21:00,01/12/2015,20,2015,GAM,,,,,7.0,,,,44.0,,41.0,,19.4,35.0,1.7
2015-12-01 21:00:00,01/12/2015 22:00,01/12/2015,21,2015,GAM,,,,,5.0,,,,42.0,,44.0,,18.9,64.0,0.8
2015-12-01 22:00:00,01/12/2015 23:00,01/12/2015,22,2015,GAM,,,,,4.0,,,,55.0,,50.0,,18.3,63.0,0.9
2015-12-01 23:00:00,01/12/2015 24:00,01/12/2015,23,2015,GAM,,,,,5.0,,,,72.0,,53.0,,17.4,25.0,0.7
2015-12-02 00:00:00,02/12/2015 01:00,02/12/2015,0,2015,GAM,,,,,5.0,,,,54.0,,57.0,,16.3,29.0,1.1
2015-12-02 01:00:00,02/12/2015 02:00,02/12/2015,1,2015,GAM,,,,,4.0,,,,50.0,,58.0,,15.7,66.0,1.2
2015-12-02 02:00:00,02/12/2015 03:00,02/12/2015,2,2015,GAM,,,,,3.0,,,,44.0,,62.0,,14.5,38.0,1.3
2015-12-02 03:00:00,02/12/2015 04:00,02/12/2015,3,2015,GAM,,,,,3.0,,,,57.0,,63.0,,13.9,54.0,0.9
2015-12-02 04:00:00,02/12/2015 05:00,02/12/2015,4,2015,GAM,,,,,4.0,,,,49.0,,65.0,,13.0,32.0,1.3
2015-12-02 05:00:00,02/12/2015 06:00,02/12/2015,5,2015,GAM,,,,,5.0,,,,43.0,,64.0,,12.6,32.0,1.4
2015-12-02 06:00:00,02/12/2015 07:00,02/12/2015,6,2015,GAM,,,,,3.0,,,,50.0,,64.0,,12.3,50.0,1.3
2015-12-02 07:00:00,02/12/2015 08:00,02/12/2015,7,2015,GAM,,,,,4.0,,,,59.0,,62.0,,12.0,28.0,1.4
2015-12-02 08:00:00,02/12/2015 09:00,02/12/2015,8,2015,GAM,,,,,7.0,,,,57.0,,56.0,,13.4,48.0,1.4
2015-12-02 09:00:00,02/12/2015 10:00,02/12/2015,9,2015,GAM,,,,,15.0,,,,51.0,,51.0,,15.7,67.0,1.2
