place_id,conteo_reviews,ambiente,recomendable,ambiente_norm,recomendable_norm
ChIJ_49r7jn_0YURdP7aK7krgd0,65,12.0,23.0,0.18461538461538463,0.35384615384615387
ChIJ04dL3rr40YURAM4KJYTf3F0,95,10.0,59.0,0.10526315789473684,0.6210526315789474
ChIJ0fhThCQA0oURALaHxBtFZ14,82,11.0,59.0,0.13414634146341464,0.7195121951219512
ChIJ0-qvVCz50YUR90ecnM1a0Ik,68,16.0,63.0,0.23529411764705882,0.9264705882352942
ChIJ1_utKhsA0oURhrVIAvCWWBM,63,4.0,28.0,0.06349206349206349,0.4444444444444444
ChIJ2zLMSjL_0YURHCfs8UyYqiM,85,37.0,61.0,0.43529411764705883,0.7176470588235294
ChIJ39AlzcGJzYURK4TEFMEzNdU,75,6.0,49.0,0.08,0.6533333333333333
ChIJ3dGBci350YURsDYUZcq-kIw,81,11.0,40.0,0.13580246913580246,0.49382716049382713
ChIJ3UEddt4B0oUR99SkjEQvQnc,81,25.0,56.0,0.30864197530864196,0.691358024691358
ChIJ445B0AAAzoURDJ5enadXEDM,55,14.0,26.0,0.2545454545454545,0.4727272727272727
ChIJ4a8nxjL50YURJ19RJ_A9T5E,91,13.0,43.0,0.14285714285714285,0.4725274725274725
ChIJ4W5PJPUAzoUROIpsdTFgeqI,72,14.0,33.0,0.19444444444444445,0.4583333333333333
ChIJ53XajJH4zYUROVaDw4ljKLM,94,14.0,71.0,0.14893617021276595,0.7553191489361702
ChIJ5w6LZMT70YURaYNh6TQrOGE,88,14.0,45.0,0.1590909090909091,0.5113636363636364
ChIJ5xY48Z350YURhLTdU3_KgJs,81,25.0,28.0,0.30864197530864196,0.345679012345679
ChIJ66w-bDrj0YURCOLQZYI5iOg,78,15.0,46.0,0.19230769230769232,0.5897435897435898
ChIJ6-mYhcH_0YURLjWlwMkTqAc,80,19.0,45.0,0.2375,0.5625
ChIJ6SVzyvQAzoUR5ZgcjlTdWtA,107,41.0,108.0,0.38317757009345793,1.0093457943925233
ChIJ6XzRWQIA0oURzNHWnQB_ERs,78,8.0,68.0,0.10256410256410256,0.8717948717948718
ChIJ7WCy8TL50YURs8r52Z_Lm3k,92,25.0,49.0,0.2717391304347826,0.532608695652174
ChIJ7WEEHvb_0YURI3nR9DC2x_g,83,27.0,60.0,0.3253012048192771,0.7228915662650602
ChIJ7YaCsy750YURNFYYJ2_ZwtA,76,22.0,36.0,0.2894736842105263,0.47368421052631576
ChIJ86iWpKAD0oURTw-cUL0Lw8c,76,10.0,37.0,0.13157894736842105,0.4868421052631579
ChIJ8csWFMH_0YURprN910GiPvY,77,32.0,61.0,0.4155844155844156,0.7922077922077922
ChIJ8zug4HIAzoURl_h__aNLwIU,83,23.0,45.0,0.27710843373493976,0.5421686746987951
ChIJ9_mnXTH50YURh7my4joJ0qQ,79,14.0,54.0,0.17721518987341772,0.6835443037974683
ChIJ92PiHjgD0oURkSMM5VucrGE,102,51.0,48.0,0.5,0.47058823529411764
ChIJ9aTQgzr_0YURaua-0bHZiBQ,79,21.0,61.0,0.26582278481012656,0.7721518987341772
ChIJ9dC2SSr50YURbY8j7GyISTc,73,23.0,53.0,0.3150684931506849,0.726027397260274
ChIJ9TqkSzH-0YURlHO3Yye18xU,54,9.0,41.0,0.16666666666666666,0.7592592592592593
ChIJ9Ug2kk390YURwqukqf5ZZ5I,105,38.0,91.0,0.3619047619047619,0.8666666666666667
ChIJ9xa7fUX_0YURdhHhQ-v_ZAU,68,19.0,43.0,0.27941176470588236,0.6323529411764706
ChIJA0KYsiz50YURNCVEmA8LKxs,84,14.0,63.0,0.16666666666666666,0.75
ChIJa4YdgjP50YURda1s8q-h8kQ,69,15.0,42.0,0.21739130434782608,0.6086956521739131
ChIJAQAAMLMB0oURD_4FLwX5JUs,80,13.0,50.0,0.1625,0.625
ChIJAW6mReEB0oURfai5Fj_zJO8,88,23.0,43.0,0.26136363636363635,0.48863636363636365
ChIJb1NCWiv50YUR7bkDySJHeu0,46,11.0,33.0,0.2391304347826087,0.717391304347826
ChIJB-AzoNH-0YURZryH2uWPzQ8,68,18.0,30.0,0.2647058823529412,0.4411764705882353
ChIJc5iJQeX_0YURi8rtgHnJ3ko,120,55.0,133.0,0.4583333333333333,1.1083333333333334
ChIJCeIxnoIMzoURKWZkX_aZ-o0,98,19.0,65.0,0.19387755102040816,0.6632653061224489
ChIJCT06bhoC0oURszwDTCLicpM,178,36.0,140.0,0.20224719101123595,0.7865168539325843
ChIJd0_AmtX40YURWtzx7Y7wS0Q,76,22.0,40.0,0.2894736842105263,0.5263157894736842
ChIJDxH2OTP50YURh7Lp438zrIg,110,20.0,77.0,0.18181818181818182,0.7
ChIJdxKzFU3_0YURmaeR4nLGhzY,66,24.0,45.0,0.36363636363636365,0.6818181818181818
ChIJDyVqpOEB0oURU3r1WNxPXlo,62,7.0,36.0,0.11290322580645161,0.5806451612903226
ChIJE5GPQ9z_0YURQPbhxubo9to,79,28.0,59.0,0.35443037974683544,0.7468354430379747
ChIJESeEi1D_0YURlnz6pjoW-Jg,87,13.0,60.0,0.14942528735632185,0.6896551724137931
ChIJewYUqQEA0oURZz2YNZAvENw,76,23.0,47.0,0.3026315789473684,0.618421052631579
ChIJE-z088wBzoURBQC1jpv8UXc,82,17.0,57.0,0.2073170731707317,0.6951219512195121
ChIJg1XQSjP_0YURvSoF_rBMZQw,73,21.0,59.0,0.2876712328767123,0.8082191780821918
ChIJg6EO8iz50YUR_zGPSn9s8Cw,65,28.0,47.0,0.4307692307692308,0.7230769230769231
ChIJGejuV8b_0YUR8n8674zMxRA,78,22.0,36.0,0.28205128205128205,0.46153846153846156
ChIJgf9T6jr_0YUR-G4EP8imAQ0,67,7.0,48.0,0.1044776119402985,0.7164179104477612
ChIJgS5Ynq740YUR9xjrIvLbEow,69,19.0,43.0,0.2753623188405797,0.6231884057971014
ChIJHdqkGS_Gz4UReVyTr5-JaYk,81,7.0,68.0,0.08641975308641975,0.8395061728395061
ChIJHR9WD-EBzoURC4jBlCSCY6o,75,20.0,46.0,0.26666666666666666,0.6133333333333333
ChIJHSAhfnAAzoURSQyJUPspwX0,68,17.0,42.0,0.25,0.6176470588235294
ChIJHUMfYOcc0oURQnCEd9UDaNY,83,20.0,53.0,0.24096385542168675,0.6385542168674698
ChIJhwilCijGz4URxQHHgRUmIVs,86,10.0,50.0,0.11627906976744186,0.5813953488372093
ChIJhZtL4Yb_0YURtR8RljTZ4n4,59,24.0,17.0,0.4067796610169492,0.288135593220339
ChIJi2ZY8yz50YURZ55DVTtl_h8,81,22.0,45.0,0.2716049382716049,0.5555555555555556
ChIJI4_tR83-0YURwk0tscoXHrI,59,24.0,38.0,0.4067796610169492,0.6440677966101694
ChIJIRo9WdX-0YUR8SAxEJ2aSHU,98,17.0,83.0,0.17346938775510204,0.8469387755102041
ChIJj1MJHVX_0YURor06_ZVMflI,51,11.0,26.0,0.21568627450980393,0.5098039215686274
ChIJJfEBfSv50YURaNP03IqAoyI,98,15.0,63.0,0.15306122448979592,0.6428571428571429
ChIJjQmjut8B0oUR5nxEUZGk94c,78,30.0,43.0,0.38461538461538464,0.5512820512820513
ChIJKRwOy9L-0YURRykspU-RWlg,82,14.0,68.0,0.17073170731707318,0.8292682926829268
ChIJkSAWLUH_0YURK4ulFbhirUk,79,17.0,47.0,0.21518987341772153,0.5949367088607594
ChIJKVF2xsX40YUR0C6jSDUAPyU,84,37.0,80.0,0.44047619047619047,0.9523809523809523
ChIJL7EfCzP50YURNvzmA7gabIU,138,30.0,68.0,0.21739130434782608,0.4927536231884058
ChIJLahTZNL40YUR7EO1a89lTYU,16,3.0,12.0,0.1875,0.75
ChIJLeheezz50YURsQP4V2EKOyw,72,13.0,44.0,0.18055555555555555,0.6111111111111112
ChIJLf2dT4z_0YURV7t4qnqiwwI,78,16.0,65.0,0.20512820512820512,0.8333333333333334
ChIJMRaGYS3_0YURikDm0eJD4L0,69,18.0,61.0,0.2608695652173913,0.8840579710144928
ChIJMUgTY8z_0YURQVR0mAgAZYo,83,20.0,49.0,0.24096385542168675,0.5903614457831325
ChIJmVP0CVr_0YURmK4FtqQ4H58,75,19.0,42.0,0.25333333333333335,0.56
ChIJnb61RNX40YURjLOqxoI9oh0,154,30.0,130.0,0.19480519480519481,0.8441558441558441
ChIJnfKdSGD_0YURkmQcI8nM2sY,94,17.0,65.0,0.18085106382978725,0.6914893617021277
ChIJO58uWSv50YURhYRYIwjiVX0,81,6.0,43.0,0.07407407407407407,0.5308641975308642
ChIJoXG9Uz4BzoURUh6XkUqgPmw,91,15.0,72.0,0.16483516483516483,0.7912087912087912
ChIJOz-6AMT_0YURofTM9_ekAWI,96,10.0,54.0,0.10416666666666667,0.5625
ChIJP7h8VS350YUR2YwWHaUnQ6s,80,23.0,62.0,0.2875,0.775
ChIJQ5FD8fP-0YURvpy2M0C7vWQ,67,12.0,48.0,0.1791044776119403,0.7164179104477612
ChIJQ9Gr0Sr_0YUR4E4rpf_9EAA,81,7.0,55.0,0.08641975308641975,0.6790123456790124
ChIJq9Xzvcz40YURfmP3sO7YJMU,64,12.0,27.0,0.1875,0.421875
ChIJqY5HNzP50YURxcqDF58XtuE,70,8.0,36.0,0.11428571428571428,0.5142857142857142
ChIJr3dossT_0YUR3xKeSSnRp7Y,73,10.0,52.0,0.136986301369863,0.7123287671232876
ChIJRb4ejiz50YURqY1yJK7bolc,73,24.0,31.0,0.3287671232876712,0.4246575342465753
ChIJrQvKHwcAzoURvVdwzj9PUs8,76,21.0,52.0,0.27631578947368424,0.6842105263157895
ChIJRVkChvj_0YURriMSF4QlBf0,86,21.0,63.0,0.2441860465116279,0.7325581395348837
ChIJRWueLTP50YURlCgtSyiZm14,77,12.0,52.0,0.15584415584415584,0.6753246753246753
ChIJs_N7ANL-0YUR72p7FaEep-Y,68,14.0,39.0,0.20588235294117646,0.5735294117647058
ChIJS0th0lP_0YURUhbp0wYZ1Cw,58,20.0,33.0,0.3448275862068966,0.5689655172413793
ChIJScjIILQB0oURJMVub-MaI4Q,96,12.0,47.0,0.125,0.4895833333333333
ChIJswpPMt3_0YURsyNqrVtJ_6Y,92,21.0,62.0,0.22826086956521738,0.6739130434782609
ChIJSXaFysz-0YUR_TmRjmzfMN0,68,17.0,47.0,0.25,0.6911764705882353
ChIJTQGqdSv50YURJKLN5Eu1o3U,70,15.0,49.0,0.21428571428571427,0.7
ChIJTQGqdSv50YURz-imDdIQ2Bc,68,7.0,36.0,0.10294117647058823,0.5294117647058824
ChIJTR59T9L40YURq47GFMiDfFw,77,12.0,49.0,0.15584415584415584,0.6363636363636364
ChIJtRxwQ8z-0YURzg4Xu1Ffc0o,70,10.0,45.0,0.14285714285714285,0.6428571428571429
ChIJu8qD9YTq0YUREQwl_IAUOdQ,99,24.0,65.0,0.24242424242424243,0.6565656565656566
ChIJv0LcYRoC0oURwXXz3593qE8,65,16.0,39.0,0.24615384615384617,0.6
ChIJV5TiG1D_0YUR_QVQFSGVq-4,77,22.0,32.0,0.2857142857142857,0.4155844155844156
ChIJvf_Zh4QBzoURmky8NTfX8Zg,92,38.0,71.0,0.41304347826086957,0.7717391304347826
ChIJVSETXR0A0oURnCpMTXsKQdw,63,22.0,44.0,0.3492063492063492,0.6984126984126984
ChIJvUeFagsAzoURBMV2ubEDduI,54,13.0,37.0,0.24074074074074073,0.6851851851851852
ChIJVXmuMcP_0YURBRTMHESl2zo,78,5.0,53.0,0.0641025641025641,0.6794871794871795
ChIJw4SugHAAzoURyRtoBBdxfAc,77,29.0,31.0,0.37662337662337664,0.4025974025974026
ChIJWbZn1c_40YURM2XEZgPFq54,60,12.0,34.0,0.2,0.5666666666666667
ChIJ-wBzWNH40YURTUqnO6pJWOM,72,20.0,59.0,0.2777777777777778,0.8194444444444444
ChIJwf-xgjL_0YURoYMD3zwLSBo,68,21.0,46.0,0.3088235294117647,0.6764705882352942
ChIJxak0Kpz50YURsGoopfnqoCE,91,11.0,35.0,0.12087912087912088,0.38461538461538464
ChIJXd8uYiz50YURLFjpXAHeFLQ,94,22.0,71.0,0.23404255319148937,0.7553191489361702
ChIJy2TvI83-0YUR3g8_H4M519E,60,11.0,32.0,0.18333333333333332,0.5333333333333333
ChIJY2WVmNX40YUReN3PtV1PvGQ,78,18.0,37.0,0.23076923076923078,0.47435897435897434
ChIJyTUW3jL50YURKMKXNk1a184,82,22.0,58.0,0.2682926829268293,0.7073170731707317
ChIJYW8DpNP-0YURiUmMwnN1i8Q,78,22.0,52.0,0.28205128205128205,0.6666666666666666
ChIJYWPttNj-0YUR7jI4exTvVJc,90,17.0,54.0,0.18888888888888888,0.6
ChIJZ2On-3IAzoURHaRAraGdprE,55,11.0,32.0,0.2,0.5818181818181818
ChIJZ6vzqM740YURhRCNngYDyiY,68,11.0,54.0,0.16176470588235295,0.7941176470588235
ChIJz8dbfeYB0oURF7jfsmSa6D8,76,14.0,58.0,0.18421052631578946,0.7631578947368421
ChIJZbmfJy_Gz4URgVYZhn1Y2Mg,69,8.0,45.0,0.11594202898550725,0.6521739130434783
ChIJZTMErjL-0YURBU8Dj-O1oYY,82,21.0,48.0,0.25609756097560976,0.5853658536585366
ChIJzw7RuTT_0YURE2EXNI7CeCc,67,13.0,49.0,0.19402985074626866,0.7313432835820896
ChIJZxLBKjL50YURn3B43HOh60Y,72,20.0,52.0,0.2777777777777778,0.7222222222222222
ChIJfbxVhjL_0YURCiDlh4xnSpM,89,29.0,52.0,0.3258426966292135,0.5842696629213483
ChIJj3iqTz6KzYURIm7ydPUefxg,51,11.0,27.0,0.21568627450980393,0.5294117647058824
ChIJp3zIgyP50YUR6zMJBWCMnhc,75,15.0,19.0,0.2,0.25333333333333335
ChIJzQIePTgezoURvfWK1TJj9cs,79,17.0,44.0,0.21518987341772153,0.5569620253164557
ChIJDd3MPTgezoURdK58cFNLFAg,88,16.0,50.0,0.18181818181818182,0.5681818181818182
ChIJ9cD_1cP30YURNsUyg6c10PA,70,17.0,24.0,0.24285714285714285,0.34285714285714286
