nombre_lugar,place_id,place_id_2
Museo Muca Roma,{'place_id': 'ChIJ_49r7jn_0YURdP7aK7krgd0'},ChIJ_49r7jn_0YURdP7aK7krgd0
La Cocina Tradicional Mexicana,{'place_id': 'ChIJ_6PxIP_-0YURb-iv-Yq3gPM'},ChIJ_6PxIP_-0YURb-iv-Yq3gPM
Santuario de Sta. MarÃ­a Auxiliadora,{'place_id': 'ChIJ04dL3rr40YURAM4KJYTf3F0'},ChIJ04dL3rr40YURAM4KJYTf3F0
Candelilla 16,{'place_id': 'ChIJ06Wq3J4BzoUREnZuxiDcPo8'},ChIJ06Wq3J4BzoUREnZuxiDcPo8
Museo Nacional De Arte (MUNAL),{'place_id': 'ChIJ0fhThCQA0oURALaHxBtFZ14'},ChIJ0fhThCQA0oURALaHxBtFZ14
Antojitos MÃ©xicanos Don Max,{'place_id': 'ChIJ0-IjfKoDzoURrhSoInEmyrs'},ChIJ0-IjfKoDzoURrhSoInEmyrs
Teatro de la Ciudad Esperanza Iris,{'place_id': 'ChIJ0-qvVCz50YUR90ecnM1a0Ik'},ChIJ0-qvVCz50YUR90ecnM1a0Ik
Rico Amanecer,{'place_id': 'ChIJ0RedUVYCzoURQcJ0Bo5LJew'},ChIJ0RedUVYCzoURQcJ0Bo5LJew
El Lago Restaurante,{'place_id': 'ChIJ0Vr0QeUB0oURZfWZGMhVCpg'},ChIJ0Vr0QeUB0oURZfWZGMhVCpg
Museo Casa Estudio Diego Rivera y Frida Kahlo,{'place_id': 'ChIJ1_utKhsA0oURhrVIAvCWWBM'},ChIJ1_utKhsA0oURhrVIAvCWWBM
Alameda de Santa MarÃ­a,{'place_id': 'ChIJ196jq8T40YURiuJzqm1JMQY'},ChIJ196jq8T40YURiuJzqm1JMQY
Parque TezozÃ³moc,{'place_id': 'ChIJ1d-tcZUC0oUR5pEVJ_YZw-c'},ChIJ1d-tcZUC0oUR5pEVJ_YZw-c
Guadiana San Ãngel,{'place_id': 'ChIJ21LyB_f_0YURW_F1RfqWhiI'},ChIJ21LyB_f_0YURW_F1RfqWhiI
Rancho MÃ¡gico,{'place_id': 'ChIJ24Pmcp8HzoUR12UoiDjCnrI'},ChIJ24Pmcp8HzoUR12UoiDjCnrI
Hanal K'U,{'place_id': 'ChIJ2aMgewj_0YURpdcFaz8FMgs'},ChIJ2aMgewj_0YURpdcFaz8FMgs
Don Rafa,{'place_id': 'ChIJ2bbY7Dv-0YURUiiWvISOsIM'},ChIJ2bbY7Dv-0YURUiiWvISOsIM
El Gnomo,{'place_id': 'ChIJ2YvzBf7_0YUR8sk-6mA9wG8'},ChIJ2YvzBf7_0YUR8sk-6mA9wG8
Foro 37 - Teatro Boutique,{'place_id': 'ChIJ2zLMSjL_0YURHCfs8UyYqiM'},ChIJ2zLMSjL_0YURHCfs8UyYqiM
Toluca Cathedral,{'place_id': 'ChIJ39AlzcGJzYURK4TEFMEzNdU'},ChIJ39AlzcGJzYURK4TEFMEzNdU
Museo del Templo Mayor,{'place_id': 'ChIJ3dGBci350YURsDYUZcq-kIw'},ChIJ3dGBci350YURsDYUZcq-kIw
"Museo de GeofÃ­sica, UNAM",{'place_id': 'ChIJ3UEddt4B0oUR99SkjEQvQnc'},ChIJ3UEddt4B0oUR99SkjEQvQnc
Las Polas del Valle,{'place_id': 'ChIJ3xty5nT_0YUR3YiY2g8h1b0'},ChIJ3xty5nT_0YUR3YiY2g8h1b0
MUCA CU - Museo Universitario de Ciencias y Arte,{'place_id': 'ChIJ445B0AAAzoURDJ5enadXEDM'},ChIJ445B0AAAzoURDJ5enadXEDM
Mercado MedellÃ­n,{'place_id': 'ChIJ48KvaD7_0YURhzmZCryLbSw'},ChIJ48KvaD7_0YURhzmZCryLbSw
Mexico City Metropolitan Cathedral,{'place_id': 'ChIJ4a8nxjL50YURJ19RJ_A9T5E'},ChIJ4a8nxjL50YURJ19RJ_A9T5E
TORTAS AHOGADAS EL CHIFLADERO GDL,{'place_id': 'ChIJ4ftOXEH-zYUREp_SkJ49kVI'},ChIJ4ftOXEH-zYUREp_SkJ49kVI
Museo de Historia de Tlalpan,{'place_id': 'ChIJ4W5PJPUAzoUROIpsdTFgeqI'},ChIJ4W5PJPUAzoUROIpsdTFgeqI
Ex Convento Desierto de los Leones,{'place_id': 'ChIJ53XajJH4zYUROVaDw4ljKLM'},ChIJ53XajJH4zYUROVaDw4ljKLM
Templo de la CIudad de MÃ©xico,{'place_id': 'ChIJ5w6LZMT70YURaYNh6TQrOGE'},ChIJ5w6LZMT70YURaYNh6TQrOGE
Museo De Los Ferrocarrileros,{'place_id': 'ChIJ5xY48Z350YURhLTdU3_KgJs'},ChIJ5xY48Z350YURhLTdU3_KgJs
Cathedral Jesus Lord of Mercy,{'place_id': 'ChIJ66w-bDrj0YURCOLQZYI5iOg'},ChIJ66w-bDrj0YURCOLQZYI5iOg
La Perla TapatÃ­a Azcapotzalco,{'place_id': 'ChIJ6aAgy3740YURlAM6t3ylxuk'},ChIJ6aAgy3740YURlAM6t3ylxuk
Museo JosÃ© Luis Cuevas,{'place_id': 'ChIJ6-mYhcH_0YURLjWlwMkTqAc'},ChIJ6-mYhcH_0YURLjWlwMkTqAc
"Las Klayudas, tlayudas y antojitos oaxaqueÃ±os",{'place_id': 'ChIJ6QlgPHr40YURLu6gEG4Y5m0'},ChIJ6QlgPHr40YURLu6gEG4Y5m0
Museo del Tiempo,{'place_id': 'ChIJ6SVzyvQAzoUR5ZgcjlTdWtA'},ChIJ6SVzyvQAzoUR5ZgcjlTdWtA
Museo Casa Del Risco,{'place_id': 'ChIJ6XzRWQIA0oURzNHWnQB_ERs'},ChIJ6XzRWQIA0oURzNHWnQB_ERs
Restaurante El Cardenal,{'place_id': 'ChIJ7w5HFPj_0YURHTyE1LwPB_c'},ChIJ7w5HFPj_0YURHTyE1LwPB_c
Restaurante El Cardenal,{'place_id': 'ChIJ7w5HFPj_0YURHTyE1LwPB_c'},ChIJ7w5HFPj_0YURHTyE1LwPB_c
El Cardenal,{'place_id': 'ChIJ7w5HFPj_0YURHTyE1LwPB_c'},ChIJ7w5HFPj_0YURHTyE1LwPB_c
Tlayudas el Tasajo,{'place_id': 'ChIJ7WAfwbv_0YURiSIZGMdRuto'},ChIJ7WAfwbv_0YURiSIZGMdRuto
Museo de la Caricatura,{'place_id': 'ChIJ7WCy8TL50YURs8r52Z_Lm3k'},ChIJ7WCy8TL50YURs8r52Z_Lm3k
Teatro HelÃ©nico,{'place_id': 'ChIJ7WEEHvb_0YURI3nR9DC2x_g'},ChIJ7WEEHvb_0YURI3nR9DC2x_g
Museo del Tequila y el Mezcal,{'place_id': 'ChIJ7YaCsy750YURNFYYJ2_ZwtA'},ChIJ7YaCsy750YURNFYYJ2_ZwtA
BasÃ­lica de Nuestra SeÃ±ora de los Remedios,{'place_id': 'ChIJ86iWpKAD0oURTw-cUL0Lw8c'},ChIJ86iWpKAD0oURTw-cUL0Lw8c
