place_id,tipo_lugar
ChIJrfTq9Tr_0YURAW5g2EXpLMY,Comida mexicana
ChIJkSAWLUH_0YURK4ulFbhirUk,Teatro
ChIJlfF36c3_0YURhdxsSsOr4l4,Comida mexicana
ChIJDfAUUmr8zYUREuBB4FTCe_8,Ecoturismo
ChIJ196jq8T40YURiuJzqm1JMQY,Ecoturismo
ChIJQ7PTnCQB0oUR3BM4Eyrbo_4,Comida mexicana
ChIJtx82pHb40YURdEVhuQNLHA4,Comida mexicana
ChIJZ6vzqM740YURhRCNngYDyiY,Teatro
ChIJc5iJQeX_0YURi8rtgHnJ3ko,Museo
ChIJR9WWFMP_0YURY2cMl0sNyyc,Comida mexicana
ChIJ0-IjfKoDzoURrhSoInEmyrs,Comida mexicana
ChIJtzpPhzT80YURfFBvdLz6AN8,Comida mexicana
ChIJp3zIgyP50YUR6zMJBWCMnhc,Museo
ChIJVSETXR0A0oURnCpMTXsKQdw,Museo
ChIJnfKdSGD_0YURkmQcI8nM2sY,Museo
ChIJoWYxEDf_0YURKQ4yzO0cDPI,Comida mexicana
ChIJBa69bJkC0oURgUnOYp0Jiuw,Comida mexicana
ChIJCeIxnoIMzoURKWZkX_aZ-o0,Pirámides
ChIJHSAhfnAAzoURSQyJUPspwX0,Pirámides
ChIJxycAjK7-0YUR1qZv-NWNDYM,Comida mexicana
ChIJQwV_jIcC0oURJCEnuCkX9V8,Comida mexicana
ChIJJ08y4CQH0oURDHmemy5Srno,Comida mexicana
ChIJZ-dNcTr_0YURvT79FclhNi0,Comida mexicana
ChIJP1dJRVf_0YURr8MZosHl4kI,Ecoturismo
ChIJg-cGfJX70YURlx_cPSebmLM,Ecoturismo
ChIJFSqes0OS04URMBSh_d9zmCo,Ecoturismo
ChIJ06Wq3J4BzoUREnZuxiDcPo8,Comida mexicana
ChIJD08EXM340YURzuNh3vsiCYs,Comida mexicana
ChIJH6k-DVD50YURL6RiM5nEb_Y,Comida mexicana
ChIJ2bbY7Dv-0YURUiiWvISOsIM,Comida mexicana
ChIJgX7NHyQFzoURHKN3tanlLzY,Comida mexicana
ChIJDyVqpOEB0oURU3r1WNxPXlo,Museo
ChIJzQIePTgezoURvfWK1TJj9cs,Pirámides
ChIJu8qD9YTq0YUREQwl_IAUOdQ,Pirámides
ChIJswpPMt3_0YURsyNqrVtJ_6Y,Teatro
ChIJ7WEEHvb_0YURI3nR9DC2x_g,Teatro
ChIJQ5FD8fP-0YURvpy2M0C7vWQ,Teatro
ChIJY0Y_A_8B0oURN4uHr150-YY,Comida mexicana
ChIJA0KYsiz50YURNCVEmA8LKxs,Museo
ChIJOUt-Z_n40YURzpik35UGuS8,Comida mexicana
ChIJnznjaPoCzoURUt3xWtMpatQ,Comida mexicana
ChIJs7qYCksA0oURhrtRb-GnQW8,Comida mexicana
ChIJMctPPxkB0oURd5rSwaBHMvU,Comida mexicana
ChIJeYLOZMT_0YURFEhp2ubb43c,Comida mexicana
ChIJ9cD_1cP30YURNsUyg6c10PA,Pirámides
ChIJE5GPQ9z_0YURQPbhxubo9to,Teatro
ChIJY2WVmNX40YUReN3PtV1PvGQ,Museo
ChIJz8dbfeYB0oURF7jfsmSa6D8,Museo
ChIJxaXnZgIC0oUR5kwVJF3F_X8,Comida mexicana
ChIJkzWrrxX5zYURjohBBW22J98,Comida mexicana
ChIJX5DIiy8FzoUR_r1rWfBAklM,Comida mexicana
ChIJmRyjRi350YUR5JZ-zfmpy6M,Comida mexicana
ChIJmZ2mGlACzoURlX59N2X8mXQ,Comida mexicana
ChIJtfhD_tT40YURj39iqrcd2ww,Comida mexicana
ChIJAySOzDkJ0YUR_reXMVel030,Ecoturismo
ChIJ2YvzBf7_0YUR8sk-6mA9wG8,Comida mexicana
ChIJvQLg2Ar50YUR_M-6l6qNvCU,Comida mexicana
ChIJ0Vr0QeUB0oURZfWZGMhVCpg,Comida mexicana
ChIJPZR8esX_0YURLn19i9XLfn4,Comida mexicana
ChIJRU2FLk__0YURikrh-RZMung,Comida mexicana
ChIJrXiQqKr_0YURQRyD-zBJQS0,Comida mexicana
ChIJk0hhrEIAzoURalWFM4X3ssc,Comida mexicana
ChIJL5oQ-JMC0oURZaf9wq4TjBg,Comida mexicana
ChIJ9Ug2kk390YURwqukqf5ZZ5I,Teatro
ChIJu7IziDkH0oURrwsuybTpzKI,Comida mexicana
ChIJdxKzFU3_0YURmaeR4nLGhzY,Teatro
ChIJh9XuegMBzoURZef90WljQxs,Ecoturismo
ChIJkakAt2j_0YUReRVJVRpH5N0,Comida mexicana
ChIJKRwOy9L-0YURRykspU-RWlg,Museo
ChIJZbmfJy_Gz4URgVYZhn1Y2Mg,Pirámides
ChIJqY5HNzP50YURxcqDF58XtuE,Museo
ChIJR6RG1pv_0YURmXE_3q0nhEE,Comida mexicana
ChIJVVVVFfn40YURQWN1neoikzg,Comida mexicana
ChIJL7EfCzP50YURNvzmA7gabIU,Museo
ChIJ9xa7fUX_0YURdhHhQ-v_ZAU,Teatro
ChIJ2zLMSjL_0YURHCfs8UyYqiM,Teatro
ChIJOz-6AMT_0YURofTM9_ekAWI,Museo
