place_id,conteo_reviews,comida,servicio,ambiente,satisfaccion,specials,comida_norm,servicio_norm,ambiente_norm,satisfaccion_norm
ChIJ_6PxIP_-0YURb-iv-Yq3gPM,61,66.0,20.0,14.0,24.0,,1.0819672131147542,0.32786885245901637,0.22950819672131148,0.39344262295081966
ChIJ06Wq3J4BzoUREnZuxiDcPo8,36,21.0,3.0,9.0,14.0,,0.5833333333333334,0.08333333333333333,0.25,0.3888888888888889
ChIJ0-IjfKoDzoURrhSoInEmyrs,41,40.0,15.0,16.0,23.0,pozole-tacos,0.975609756097561,0.36585365853658536,0.3902439024390244,0.5609756097560976
ChIJ0RedUVYCzoURQcJ0Bo5LJew,57,68.0,29.0,25.0,27.0,,1.1929824561403508,0.5087719298245614,0.43859649122807015,0.47368421052631576
ChIJ0Vr0QeUB0oURZfWZGMhVCpg,94,50.0,47.0,14.0,47.0,carne-chocolate-nogada,0.5319148936170213,0.5,0.14893617021276595,0.5
ChIJ21LyB_f_0YURW_F1RfqWhiI,67,42.0,30.0,19.0,37.0,tacos-chocolate-nogada,0.6268656716417911,0.44776119402985076,0.2835820895522388,0.5522388059701493
ChIJ2aMgewj_0YURpdcFaz8FMgs,93,99.0,44.0,20.0,45.0,yucateca-cochinita-tacos,1.064516129032258,0.4731182795698925,0.21505376344086022,0.4838709677419355
ChIJ2bbY7Dv-0YURUiiWvISOsIM,95,90.0,30.0,12.0,26.0,tacos-carne-carnitas,0.9473684210526315,0.3157894736842105,0.12631578947368421,0.2736842105263158
ChIJ2YvzBf7_0YUR8sk-6mA9wG8,78,66.0,20.0,2.0,28.0,carne,0.8461538461538461,0.2564102564102564,0.02564102564102564,0.358974358974359
ChIJ3xty5nT_0YUR3YiY2g8h1b0,87,112.0,33.0,12.0,31.0,yucateca-cochinita-tortas-tacos,1.2873563218390804,0.3793103448275862,0.13793103448275862,0.3563218390804598
ChIJ48KvaD7_0YURhzmZCryLbSw,87,49.0,17.0,3.0,12.0,mariscos-carne-tacos-carnitas,0.5632183908045977,0.19540229885057472,0.034482758620689655,0.13793103448275862
ChIJ4ftOXEH-zYUREp_SkJ49kVI,86,73.0,17.0,1.0,33.0,tacos-tortas-carne-carnitas,0.8488372093023255,0.19767441860465115,0.011627906976744186,0.38372093023255816
ChIJ6aAgy3740YURlAM6t3ylxuk,93,94.0,41.0,6.0,23.0,tacos-birria-carne-pozole-enchiladas,1.010752688172043,0.44086021505376344,0.06451612903225806,0.24731182795698925
ChIJ6QlgPHr40YURLu6gEG4Y5m0,56,55.0,16.0,12.0,27.0,chocolate,0.9821428571428571,0.2857142857142857,0.21428571428571427,0.48214285714285715
ChIJ7w5HFPj_0YURHTyE1LwPB_c,327,282.0,249.0,30.0,198.0,mole-cochinita-enchiladas-nogada-chocolate,0.8623853211009175,0.7614678899082569,0.09174311926605505,0.6055045871559633
ChIJ7WAfwbv_0YURiSIZGMdRuto,115,147.0,47.0,5.0,62.0,mole-carne-chocolate,1.2782608695652173,0.40869565217391307,0.043478260869565216,0.5391304347826087
ChIJ9fq-YdH-0YURa3zaK7Gz8lc,105,95.0,62.0,17.0,79.0,tacos-mole-nogada-carnitas-chocolate,0.9047619047619048,0.5904761904761905,0.1619047619047619,0.7523809523809524
ChIJa1lZNZ__0YURjDHz4gNWVQc,103,101.0,43.0,0.0,21.0,carne-pozole-tortas-tacos,0.9805825242718447,0.4174757281553398,0.0,0.20388349514563106
ChIJASya8GX50YURN0r_0oVNXTU,59,47.0,23.0,23.0,22.0,carne,0.7966101694915254,0.3898305084745763,0.3898305084745763,0.3728813559322034
ChIJBa69bJkC0oURgUnOYp0Jiuw,93,92.0,46.0,10.0,58.0,tacos-carne-mole-barbacoa-enchiladas-chocolate,0.989247311827957,0.4946236559139785,0.10752688172043011,0.6236559139784946
ChIJBeL1vQj_0YURMcKqVViw2ok,113,107.0,37.0,10.0,46.0,cochinita-carne,0.9469026548672567,0.3274336283185841,0.08849557522123894,0.40707964601769914
ChIJbS0fR3740YUR9YaIL0WpqpU,43,41.0,8.0,1.0,4.0,carne-tacos,0.9534883720930233,0.18604651162790697,0.023255813953488372,0.09302325581395349
ChIJbS8EZf8B0oURwwD8B0MpqK0,89,33.0,31.0,10.0,42.0,mole-tacos-chocolate,0.3707865168539326,0.34831460674157305,0.11235955056179775,0.47191011235955055
ChIJCacXGY350YURPOvR1VMkAl0,88,76.0,39.0,8.0,56.0,mole-chocolate,0.8636363636363636,0.4431818181818182,0.09090909090909091,0.6363636363636364
ChIJCb0mr30C0oURB9O4eiWffhc,86,96.0,66.0,12.0,37.0,mariscos-tacos,1.1162790697674418,0.7674418604651163,0.13953488372093023,0.43023255813953487
ChIJcXkqTmP_0YURgL7SkW2AGaY,87,71.0,46.0,23.0,45.0,carne-nogada,0.8160919540229885,0.5287356321839081,0.26436781609195403,0.5172413793103449
