place_id,user_ratings_total,rating,actividades_norm,naturaleza_norm,familiar_norm,satisfaccion_norm,nature,family,nature_family_balance,nature_family_balance_cat,activities,cluster
ChIJ196jq8T40YURiuJzqm1JMQY,18617,4.6,0.0,0.157142857,0.071428571,0.728571429,1,1,0,2.0,0,1
ChIJ1d-tcZUC0oUR5pEVJ_YZw-c,19070,4.4,0.21686747,0.301204819,0.21686747,0.469879518,2,2,0,2.0,1,2
ChIJ24Pmcp8HzoUR12UoiDjCnrI,2246,4.5,0.522727273,0.21590909100000003,0.261363636,1.113636364,1,3,2,3.0,1,3
ChIJ8Wls0Y_-zYURTqBshe3uSGs,3002,4.6,0.38888888899999996,0.6759259259999999,0.25,0.981481481,3,2,-1,1.0,1,0
ChIJAUB80GzUzYURx8aRtasn4Cs,4012,4.8,0.079207921,0.01980198,0.138613861,1.287128713,1,2,1,3.0,0,1
ChIJAySOzDkJ0YUR_reXMVel030,4667,4.8,0.106796117,0.553398058,0.21359223300000002,0.805825243,3,2,-1,1.0,0,0
ChIJAZuvG3kC0oURZpwgpzgYgp4,34386,4.7,0.39583333299999995,0.635416667,0.39583333299999995,0.84375,3,3,0,2.0,1,2
ChIJDfAUUmr8zYUREuBB4FTCe_8,160,4.4,0.09836065599999999,0.229508197,0.131147541,0.68852459,2,1,-1,1.0,0,0
ChIJeWOnMrV-zoURY1qzrHl9gJ0,8293,4.7,0.268041237,0.402061856,0.319587629,1.257731959,3,3,0,2.0,1,2
ChIJF5cFefgB0oURmsC_YnK-shQ,13187,4.6,0.146341463,0.475609756,0.280487805,0.707317073,3,3,0,2.0,1,2
ChIJFSqes0OS04URMBSh_d9zmCo,542,4.4,0.083333333,0.268518519,0.268518519,1.2685185190000001,2,3,1,3.0,0,1
ChIJg-cGfJX70YURlx_cPSebmLM,16402,4.3,0.22448979600000002,0.489795918,0.204081633,0.775510204,3,2,-1,1.0,1,0
ChIJGfSjXjL-0YURp14nFKJ3zCM,12264,4.3,0.11458333300000001,0.39583333299999995,0.135416667,0.979166667,3,1,-2,1.0,0,0
ChIJh9XuegMBzoURZef90WljQxs,13227,4.3,0.078947368,0.144736842,0.22368421100000002,0.8684210529999999,1,2,1,3.0,0,1
ChIJj5QRywUV0oUR3MWDybBFqds,2896,4.6,0.31683168300000003,0.702970297,0.386138614,1.0792079209999998,3,3,0,2.0,1,2
ChIJnXfLGgUg0oURwjnBEm3oheE,10346,4.5,0.22826087,0.35869565200000003,0.38043478299999994,0.869565217,2,3,1,3.0,1,3
ChIJP1dJRVf_0YURr8MZosHl4kI,179511,4.6,0.2125,0.325,0.2375,0.575,2,2,0,2.0,1,2
ChIJQxDRaf_40YURTCU6FKsJl3w,1340,4.6,0.028571429,0.028571429,0.095238095,1.466666667,1,1,0,2.0,0,1
ChIJ-VT-R-EvzoURyFHTem1z86c,288,4.7,0.031746032,0.206349206,0.031746032,0.682539683,1,1,0,2.0,0,1
ChIJVVVVVYg8zoURRFWKaR5djMo,19439,4.5,0.46875,0.21875,0.4375,1.260416667,2,3,1,3.0,1,3
ChIJO4RHmCD4zYUREOONfjawkPc,11324,4.5,0.13253012,0.385542169,0.33734939799999997,0.746987952,2,3,1,3.0,1,3
ChIJkTWLbvkDzoURMoTKaekOPkA,6850,4.4,0.083333333,0.027777778,0.125,0.8472222220000001,1,1,0,2.0,0,1
ChIJUYNW_5QAzoURoYimp9fwTUw,399,4.5,0.054794521,0.08219178099999999,0.08219178099999999,1.0,1,1,0,2.0,0,1
ChIJAbfVduoa0oURWVJdh09wA6c,101,4.6,0.10869565199999999,0.0,0.086956522,0.7173913040000001,1,1,0,2.0,0,1
ChIJo1vaV9L_zYUR70tTSdQ2hYg,14583,4.6,0.181818182,0.477272727,0.125,0.636363636,3,1,-2,1.0,1,0
ChIJCxNtZYYAzoURIyPFhCv9XSE,4546,4.3,0.094117647,0.24705882399999998,0.164705882,1.0,2,2,0,2.0,0,1
