reviewer_id,num_ratings,age,sexo
1.0,56,28,1
2.0,44,46,0
3.0,50,26,1
4.0,45,57,1
5.0,58,72,1
6.0,52,52,0
7.0,56,68,0
8.0,37,74,0
9.0,38,55,0
10.0,43,63,1
11.0,44,32,1
12.0,44,49,1
13.0,45,62,1
14.0,54,44,1
15.0,48,73,0
16.0,47,40,1
17.0,44,70,0
18.0,53,40,0
19.0,52,31,1
20.0,46,35,1
21.0,45,24,0
22.0,42,21,1
23.0,51,61,1
24.0,47,21,1
25.0,51,31,0
26.0,44,48,0
27.0,48,39,1
28.0,45,58,1
29.0,52,61,0
30.0,45,32,1
31.0,52,32,0
32.0,39,68,1
33.0,47,26,0
34.0,50,72,0
35.0,55,52,0
36.0,37,29,0
37.0,39,73,1
38.0,42,48,1
39.0,33,69,0
40.0,40,44,0
41.0,49,59,0
42.0,59,37,1
43.0,56,71,0
44.0,50,40,1
45.0,48,51,0
46.0,38,39,1
47.0,37,33,0
48.0,38,68,0
49.0,53,56,1
50.0,45,62,0
51.0,53,30,0
52.0,47,51,1
53.0,23,58,1
54.0,54,33,1
55.0,56,63,1
56.0,40,36,1
57.0,65,40,1
58.0,55,43,1
59.0,40,22,1
60.0,50,35,0
61.0,53,43,1
62.0,39,73,0
63.0,44,44,0
64.0,42,37,0
65.0,49,37,0
66.0,54,33,1
67.0,47,58,1
68.0,58,26,1
69.0,61,31,0
70.0,43,26,0
71.0,43,28,1
72.0,45,37,1
73.0,41,58,1
74.0,39,69,0
75.0,49,63,1
76.0,34,53,0
77.0,41,59,1
78.0,46,20,0
79.0,40,39,0
80.0,47,45,1
81.0,47,59,1
82.0,52,29,0
83.0,46,37,1
84.0,44,48,0
85.0,52,55,1
86.0,49,19,0
87.0,52,68,1
88.0,39,47,1
89.0,44,47,1
90.0,55,42,1
91.0,45,33,0
92.0,47,38,1
93.0,39,38,0
94.0,53,30,1
95.0,49,74,0
96.0,51,35,1
97.0,38,65,1
98.0,52,66,1
99.0,62,29,1
100.0,50,23,1
101.0,42,41,0
102.0,38,36,1
103.0,58,41,0
104.0,34,33,1
105.0,41,35,0
106.0,48,21,0
107.0,48,18,1
108.0,46,29,0
109.0,47,65,1
110.0,40,32,1
111.0,32,41,1
112.0,36,56,0
113.0,44,52,1
114.0,45,70,0
115.0,44,28,1
116.0,45,35,1
117.0,58,38,1
118.0,55,60,1
119.0,55,53,0
120.0,47,26,0
121.0,44,54,1
122.0,54,36,0
123.0,51,55,1
124.0,46,25,1
125.0,40,61,1
126.0,41,41,1
127.0,45,47,1
128.0,51,26,0
129.0,43,74,0
130.0,56,51,0
131.0,51,55,1
132.0,49,67,0
133.0,32,67,1
134.0,47,23,1
135.0,53,28,0
136.0,46,40,1
137.0,55,56,0
138.0,42,67,1
139.0,44,23,1
140.0,48,45,1
141.0,43,26,0
142.0,45,48,0
143.0,37,32,0
144.0,53,45,0
145.0,49,58,1
146.0,44,55,0
147.0,57,50,1
148.0,39,60,1
149.0,46,35,0
150.0,57,64,1
151.0,49,59,1
152.0,35,58,1
153.0,61,47,1
154.0,38,62,1
155.0,47,19,0
156.0,41,70,1
157.0,54,50,1
158.0,52,33,0
159.0,37,73,1
160.0,41,71,1
161.0,51,19,0
162.0,61,48,0
163.0,38,65,0
164.0,40,33,0
165.0,43,22,1
166.0,49,74,1
167.0,48,70,0
168.0,38,43,0
169.0,50,31,0
170.0,52,29,0
171.0,43,72,1
172.0,46,59,0
173.0,49,34,1
174.0,35,34,0
175.0,51,40,1
176.0,56,65,0
177.0,40,72,0
178.0,54,74,1
179.0,46,40,0
180.0,47,67,1
181.0,41,58,0
182.0,48,25,1
183.0,49,52,1
184.0,46,36,0
185.0,41,54,1
186.0,37,45,0
187.0,54,54,0
188.0,37,45,0
189.0,38,53,1
190.0,44,67,0
191.0,46,39,0
192.0,37,69,0
193.0,40,27,0
194.0,49,60,0
195.0,43,34,1
196.0,45,46,1
197.0,46,36,0
198.0,43,58,0
199.0,44,33,0
200.0,36,43,1
201.0,42,31,1
202.0,45,74,0
203.0,51,18,0
204.0,40,58,1
205.0,47,29,0
206.0,44,50,1
207.0,50,56,0
208.0,49,65,1
209.0,55,51,0
210.0,43,72,0
211.0,38,31,0
212.0,52,48,0
213.0,50,61,0
214.0,53,66,0
215.0,51,45,1
216.0,54,23,1
217.0,39,62,1
218.0,51,28,1
219.0,44,56,0
220.0,44,44,0
221.0,45,44,1
222.0,51,50,0
223.0,46,40,0
224.0,46,18,0
225.0,39,44,0
226.0,40,22,1
227.0,43,44,1
228.0,52,44,1
229.0,40,67,1
230.0,64,36,1
231.0,37,42,1
232.0,43,72,0
233.0,39,36,0
234.0,49,21,0
235.0,41,21,1
236.0,49,31,0
237.0,49,38,1
238.0,46,20,0
239.0,63,66,0
240.0,42,59,1
241.0,59,47,1
242.0,42,58,1
243.0,52,46,1
244.0,46,35,1
245.0,51,38,1
246.0,30,71,0
247.0,38,73,1
248.0,49,74,0
249.0,45,23,0
250.0,46,22,0
251.0,49,59,0
252.0,43,66,1
253.0,43,62,1
254.0,46,61,1
255.0,37,23,1
256.0,45,41,0
257.0,41,61,1
258.0,49,31,1
259.0,42,29,0
260.0,53,42,0
261.0,49,42,0
262.0,42,50,0
263.0,47,37,0
264.0,49,38,0
265.0,46,28,0
266.0,52,42,0
267.0,52,26,0
268.0,41,33,0
269.0,44,59,0
270.0,47,42,0
271.0,46,30,0
272.0,54,52,1
273.0,65,47,0
274.0,49,30,1
275.0,47,60,0
276.0,64,51,0
277.0,37,24,1
278.0,45,57,0
279.0,44,73,0
280.0,44,33,1
281.0,53,68,0
282.0,50,53,1
283.0,38,35,1
284.0,42,36,0
285.0,52,63,0
286.0,57,22,0
287.0,47,42,1
288.0,39,31,1
289.0,41,60,0
290.0,59,19,0
291.0,51,35,1
292.0,44,60,1
293.0,41,52,1
294.0,52,22,1
295.0,39,54,0
296.0,40,39,0
297.0,52,18,0
298.0,45,66,0
299.0,49,70,0
300.0,44,52,1
301.0,39,22,0
302.0,46,63,1
303.0,55,20,1
304.0,40,69,1
305.0,59,52,0
306.0,54,69,1
307.0,41,40,1
308.0,57,43,0
309.0,51,36,0
310.0,55,40,1
311.0,42,55,1
312.0,47,48,0
313.0,39,63,1
314.0,37,50,0
315.0,63,25,0
316.0,46,63,0
317.0,41,63,1
318.0,54,57,0
319.0,54,21,0
320.0,38,48,1
321.0,33,23,1
322.0,53,58,0
323.0,47,29,0
324.0,48,74,1
325.0,52,61,0
326.0,52,59,0
327.0,48,68,0
328.0,50,52,0
329.0,42,26,1
330.0,42,54,1
331.0,40,18,0
332.0,50,18,1
333.0,62,24,0
334.0,57,57,0
335.0,50,22,0
336.0,51,45,1
337.0,34,18,0
338.0,36,45,0
339.0,36,55,1
340.0,60,45,1
341.0,57,44,0
342.0,45,28,0
343.0,52,27,0
344.0,52,39,0
345.0,54,29,0
346.0,45,61,1
347.0,40,62,0
348.0,45,65,1
349.0,57,24,1
350.0,47,29,1
351.0,48,72,0
352.0,34,71,1
353.0,56,26,1
354.0,42,59,0
355.0,37,64,0
356.0,43,40,1
357.0,41,67,0
358.0,44,64,0
359.0,39,52,1
360.0,47,65,1
361.0,43,73,0
362.0,43,58,1
363.0,59,55,1
364.0,43,56,1
365.0,47,37,0
366.0,54,40,0
367.0,51,71,1
368.0,41,58,0
369.0,47,30,0
370.0,49,63,0
371.0,55,63,1
372.0,46,46,0
373.0,43,71,1
374.0,50,59,0
375.0,31,26,0
376.0,46,36,1
377.0,37,21,0
378.0,55,67,0
379.0,29,71,1
380.0,51,18,1
381.0,51,46,1
382.0,46,49,1
383.0,50,50,1
384.0,41,43,1
385.0,61,63,0
386.0,32,53,1
387.0,65,42,1
388.0,40,43,1
389.0,36,56,0
390.0,37,62,0
391.0,39,57,1
392.0,50,49,0
393.0,41,33,1
394.0,46,64,1
395.0,49,66,1
396.0,58,27,0
397.0,48,71,0
398.0,48,41,0
399.0,42,36,0
400.0,57,24,1
401.0,54,38,0
402.0,57,64,1
403.0,45,23,1
404.0,47,59,1
405.0,54,46,0
406.0,56,70,1
407.0,42,36,1
408.0,47,58,0
409.0,52,40,1
410.0,53,58,1
411.0,40,22,1
412.0,48,33,1
413.0,46,61,0
414.0,47,33,0
415.0,51,20,0
416.0,56,29,1
417.0,46,29,0
418.0,47,70,0
419.0,50,61,1
420.0,37,70,1
421.0,44,74,1
422.0,48,34,0
423.0,44,55,0
424.0,52,38,1
425.0,50,54,0
426.0,57,52,1
427.0,50,64,0
428.0,49,28,1
429.0,54,53,1
430.0,31,30,1
431.0,39,31,1
432.0,46,47,1
433.0,49,46,0
434.0,41,20,1
435.0,36,43,1
436.0,44,30,0
437.0,52,58,1
438.0,50,51,0
439.0,49,47,0
440.0,45,20,0
441.0,49,40,0
442.0,29,42,0
443.0,48,46,0
444.0,52,18,0
445.0,49,29,0
446.0,57,56,1
447.0,39,33,0
448.0,41,19,1
449.0,43,69,0
450.0,48,43,0
451.0,41,73,1
452.0,45,56,0
453.0,39,38,0
454.0,56,30,1
455.0,53,36,1
456.0,53,59,0
457.0,40,27,0
458.0,39,41,1
459.0,46,64,0
460.0,46,58,0
461.0,50,64,0
462.0,40,39,1
463.0,41,18,1
464.0,48,72,1
465.0,39,19,1
466.0,46,62,0
467.0,49,45,0
468.0,51,25,0
469.0,54,45,1
470.0,45,52,1
471.0,52,72,0
472.0,49,71,1
473.0,44,18,0
474.0,61,21,1
475.0,47,69,1
476.0,56,49,0
477.0,45,42,0
478.0,53,23,1
479.0,48,27,1
480.0,47,30,1
481.0,44,73,0
482.0,58,69,1
483.0,53,66,0
484.0,47,38,0
485.0,40,31,0
486.0,29,21,1
487.0,57,57,0
488.0,45,70,1
489.0,49,19,1
490.0,49,45,1
491.0,47,27,0
492.0,53,45,1
493.0,60,52,0
494.0,37,43,0
495.0,52,32,1
496.0,55,34,1
497.0,35,42,0
498.0,46,70,0
499.0,45,41,1
500.0,52,47,1
501.0,57,39,0
502.0,51,73,0
503.0,56,26,1
504.0,38,46,1
505.0,41,41,1
506.0,60,54,0
507.0,50,22,0
508.0,58,37,1
509.0,55,61,0
510.0,40,49,0
511.0,50,41,1
512.0,40,44,1
513.0,45,35,1
514.0,46,28,0
515.0,53,38,1
516.0,49,69,1
517.0,46,43,0
518.0,43,21,1
519.0,44,28,1
520.0,53,29,0
521.0,48,45,0
522.0,49,58,1
523.0,47,28,1
524.0,46,65,1
525.0,55,29,1
526.0,38,32,0
527.0,42,59,1
528.0,49,54,1
529.0,52,56,0
530.0,50,24,1
531.0,54,65,1
532.0,45,68,0
533.0,43,28,1
534.0,43,31,1
535.0,46,67,1
536.0,50,31,1
537.0,55,24,0
538.0,61,60,1
539.0,55,43,0
540.0,50,69,0
541.0,43,36,0
542.0,59,55,0
543.0,46,41,1
544.0,39,54,1
545.0,41,50,1
546.0,53,32,1
547.0,41,38,1
548.0,47,60,1
549.0,53,64,1
550.0,51,54,1
551.0,59,63,0
552.0,47,20,0
553.0,42,36,0
554.0,51,23,0
555.0,43,48,0
556.0,43,59,1
557.0,43,38,1
558.0,45,23,1
559.0,48,30,1
560.0,45,62,1
561.0,36,30,1
562.0,49,57,1
563.0,45,21,1
564.0,41,26,0
565.0,45,63,1
566.0,48,42,0
567.0,50,41,1
568.0,47,35,1
569.0,43,29,0
570.0,44,20,0
571.0,65,42,0
572.0,40,25,1
573.0,46,28,0
574.0,53,44,0
575.0,51,66,0
576.0,51,34,0
577.0,53,67,0
578.0,39,68,0
579.0,62,33,0
580.0,46,26,1
581.0,31,56,1
582.0,51,52,0
583.0,56,23,1
584.0,42,33,1
585.0,52,59,1
586.0,53,40,1
587.0,44,32,1
588.0,48,57,1
589.0,47,60,1
590.0,43,54,0
591.0,44,49,1
592.0,52,46,0
593.0,59,41,0
594.0,41,58,1
595.0,54,41,1
596.0,37,21,1
597.0,47,66,1
598.0,39,64,1
599.0,53,51,0
600.0,41,24,1
601.0,45,63,1
602.0,47,30,0
603.0,54,46,1
604.0,48,50,0
605.0,46,31,1
606.0,47,65,1
607.0,43,18,1
608.0,51,50,1
609.0,50,42,0
610.0,51,20,1
611.0,67,65,1
612.0,57,57,0
613.0,46,42,0
614.0,47,27,1
615.0,44,71,0
616.0,45,63,1
617.0,42,31,0
618.0,41,26,0
619.0,49,62,1
620.0,42,60,1
621.0,53,32,0
622.0,43,65,1
623.0,46,40,1
624.0,42,21,0
625.0,40,52,1
626.0,44,35,1
627.0,50,22,0
628.0,38,31,0
629.0,42,60,0
630.0,60,41,0
631.0,41,29,1
632.0,50,68,1
633.0,49,34,1
634.0,47,72,0
635.0,60,65,1
636.0,43,73,1
637.0,37,68,0
638.0,40,27,0
639.0,47,21,1
640.0,59,38,0
641.0,58,19,1
642.0,43,60,1
643.0,61,23,0
644.0,53,23,1
645.0,54,37,1
646.0,42,55,0
647.0,50,47,1
648.0,46,19,1
649.0,52,67,1
650.0,48,23,1
651.0,55,30,0
652.0,42,64,1
653.0,47,24,0
654.0,51,48,0
655.0,51,64,0
656.0,41,40,0
657.0,44,60,1
658.0,37,74,1
659.0,62,63,0
660.0,53,36,0
661.0,42,43,0
662.0,62,47,0
663.0,36,32,0
664.0,58,54,1
665.0,49,65,0
666.0,44,65,1
667.0,44,31,0
668.0,41,61,1
669.0,49,19,0
670.0,48,32,0
671.0,41,27,1
672.0,46,21,1
673.0,46,53,0
674.0,48,59,1
675.0,43,49,1
676.0,39,27,1
677.0,56,62,0
678.0,46,23,1
679.0,44,39,0
680.0,41,47,0
681.0,49,50,0
682.0,51,41,0
683.0,44,28,0
684.0,61,35,0
685.0,46,39,0
686.0,54,40,1
687.0,46,43,1
688.0,51,55,1
689.0,49,70,1
690.0,55,28,1
691.0,44,56,1
692.0,49,57,1
693.0,53,22,1
694.0,46,65,1
695.0,44,48,1
696.0,45,68,1
697.0,45,23,0
698.0,38,59,1
699.0,47,20,1
700.0,35,53,0
701.0,57,36,0
702.0,48,20,1
703.0,44,58,0
704.0,46,31,0
705.0,42,37,0
706.0,65,30,0
707.0,44,24,1
708.0,44,54,1
709.0,56,61,1
710.0,42,36,1
711.0,54,24,1
712.0,48,50,0
713.0,50,57,1
714.0,41,18,1
715.0,49,63,0
716.0,52,22,0
717.0,64,53,1
718.0,46,21,1
719.0,45,71,0
720.0,34,35,1
721.0,44,36,1
722.0,57,68,0
723.0,43,31,1
724.0,47,21,0
725.0,49,69,1
726.0,43,38,0
727.0,42,62,0
728.0,36,68,1
729.0,48,39,0
730.0,45,28,1
731.0,39,67,1
732.0,38,74,0
733.0,48,74,1
734.0,49,53,1
735.0,42,73,1
736.0,31,74,1
737.0,44,59,1
738.0,49,18,1
739.0,47,55,1
740.0,49,44,0
741.0,57,57,1
742.0,47,55,0
743.0,39,24,0
744.0,47,74,0
745.0,45,33,1
746.0,39,59,1
747.0,43,61,0
748.0,54,33,1
749.0,40,35,1
750.0,54,46,1
751.0,47,66,0
752.0,46,23,1
753.0,45,71,0
754.0,43,73,0
755.0,45,29,1
756.0,39,59,0
757.0,48,39,0
758.0,49,24,0
759.0,48,55,0
760.0,62,50,0
761.0,51,44,0
762.0,51,66,1
763.0,54,44,0
764.0,37,63,1
765.0,36,68,1
766.0,57,20,0
767.0,53,69,1
768.0,49,39,1
769.0,58,24,1
770.0,45,67,0
771.0,42,41,0
772.0,47,43,1
773.0,34,72,0
774.0,46,46,1
775.0,47,32,1
776.0,52,73,0
777.0,47,72,1
778.0,35,73,0
779.0,55,58,1
780.0,53,22,0
781.0,40,30,1
782.0,39,40,0
783.0,35,53,1
784.0,35,27,1
785.0,51,48,0
786.0,47,36,1
787.0,33,47,1
788.0,38,41,1
789.0,44,31,0
790.0,43,70,0
791.0,52,48,1
792.0,56,18,1
793.0,46,40,0
794.0,47,57,0
795.0,46,53,0
796.0,43,37,0
797.0,48,50,1
798.0,39,45,0
799.0,60,57,1
800.0,46,62,0
801.0,55,74,1
802.0,42,68,0
803.0,49,56,0
804.0,58,42,0
805.0,58,31,0
806.0,32,44,1
807.0,37,64,1
808.0,45,60,1
809.0,43,50,0
810.0,37,57,1
811.0,44,41,1
812.0,36,53,0
813.0,53,30,0
814.0,43,34,1
815.0,43,22,1
816.0,51,38,0
817.0,41,68,0
818.0,48,56,1
819.0,55,64,0
820.0,52,31,1
821.0,44,36,1
822.0,46,62,0
823.0,53,50,0
824.0,51,41,0
825.0,47,20,0
826.0,47,29,0
827.0,47,57,0
828.0,56,45,1
829.0,49,39,1
830.0,45,66,0
831.0,46,72,1
832.0,51,55,0
833.0,45,40,1
834.0,61,38,1
835.0,60,36,0
836.0,40,18,0
837.0,41,70,1
838.0,50,67,1
839.0,41,43,1
840.0,52,36,0
841.0,42,51,1
842.0,38,73,0
843.0,45,31,0
844.0,58,18,0
845.0,51,41,1
846.0,57,57,0
847.0,50,33,0
848.0,36,42,0
849.0,55,25,0
850.0,46,65,0
851.0,56,49,1
852.0,55,73,1
853.0,46,58,0
854.0,39,25,1
855.0,36,29,1
856.0,42,35,1
857.0,53,65,1
858.0,50,56,0
859.0,56,74,1
860.0,49,21,1
861.0,46,30,0
862.0,49,46,1
863.0,44,33,0
864.0,36,57,1
865.0,54,28,1
866.0,37,54,1
867.0,49,26,1
868.0,47,67,0
869.0,35,47,1
870.0,53,38,1
871.0,52,70,0
872.0,48,61,0
873.0,52,26,1
874.0,46,18,1
875.0,60,64,1
876.0,52,39,1
877.0,50,64,0
878.0,39,29,0
879.0,57,50,0
880.0,57,33,0
881.0,42,48,0
882.0,50,43,1
883.0,41,40,1
884.0,46,23,1
885.0,42,62,1
886.0,44,57,1
887.0,49,20,1
888.0,37,63,0
889.0,43,52,0
890.0,55,28,1
891.0,41,40,0
892.0,41,71,1
893.0,48,62,1
894.0,37,54,0
895.0,35,59,0
896.0,41,61,0
897.0,55,70,0
898.0,52,56,1
899.0,41,33,0
900.0,49,74,0
901.0,42,23,1
902.0,54,32,1
903.0,41,53,0
904.0,53,35,0
905.0,49,73,1
906.0,54,20,0
907.0,36,56,1
908.0,45,35,0
909.0,56,66,1
910.0,47,21,1
911.0,59,60,0
912.0,47,18,1
913.0,35,73,1
914.0,44,36,0
915.0,37,64,1
916.0,44,37,0
917.0,43,70,0
918.0,58,33,1
919.0,62,28,0
920.0,61,21,0
921.0,50,22,1
922.0,49,70,1
923.0,48,47,1
924.0,46,57,1
925.0,44,54,1
926.0,59,44,1
927.0,39,39,1
928.0,47,45,0
929.0,46,24,0
930.0,47,42,0
931.0,42,37,0
932.0,46,28,0
933.0,43,30,0
934.0,41,28,0
935.0,52,19,1
936.0,53,46,0
937.0,59,29,0
938.0,44,52,0
939.0,43,31,0
940.0,54,60,1
941.0,42,30,0
942.0,44,37,0
943.0,51,38,1
944.0,47,52,1
945.0,45,53,0
946.0,48,51,0
947.0,38,46,0
948.0,52,28,0
949.0,40,30,1
950.0,49,61,1
951.0,42,41,0
952.0,54,18,0
953.0,41,18,0
954.0,56,39,1
955.0,41,34,1
956.0,43,63,0
957.0,43,66,1
958.0,51,45,0
959.0,50,19,1
960.0,59,74,1
961.0,56,24,1
962.0,43,38,0
963.0,61,21,0
964.0,49,30,1
965.0,49,29,0
966.0,52,34,1
967.0,64,67,0
968.0,50,56,1
969.0,54,69,0
970.0,42,73,1
971.0,47,33,0
972.0,45,30,0
973.0,47,52,0
974.0,48,61,1
975.0,40,49,1
976.0,52,46,0
977.0,33,23,1
978.0,50,70,1
979.0,59,50,0
980.0,55,66,0
981.0,45,49,1
982.0,53,73,0
983.0,54,69,1
984.0,48,71,1
985.0,52,20,0
986.0,43,59,1
987.0,50,39,0
988.0,43,32,1
989.0,46,63,1
990.0,44,61,0
991.0,43,20,1
992.0,42,71,1
993.0,43,32,0
994.0,39,45,1
995.0,56,27,0
996.0,47,74,1
997.0,43,24,0
998.0,48,68,0
999.0,44,73,0
1000.0,58,19,1
