,producto,descripcion,precio,fecha
0,huevo,Huevo Blanco Precissimo 30 Piezas pieza(s) ,59.9,30-10-2020
1,huevo,Huevo Blanco Paq 30Pz San Juan pieza(s) ,54.5,30-10-2020
2,huevo,Huevo Blanco Paq 12Pz San Juan pieza(s) ,24.5,30-10-2020
3,huevo,Huevo Blanco Paq 18Pz San Juan pieza(s) ,35.5,30-10-2020
4,huevo,Huevo Blanco Soriana 12 Piezas pieza(s) ,25.5,30-10-2020
5,huevo,Claras De Huevo San Juan 1 Kg pieza(s) ,42.75,30-10-2020
6,huevo,Huevo Blanco Soriana 18 Piezas pieza(s) ,39.9,30-10-2020
7,huevo,Claras De Huevo San Juan 500 G pieza(s) ,25.5,30-10-2020
8,huevo,Fideo Oriental De Huevo Blue Dragon 200 Gramo Bolsa pieza(s) ,53.75,30-10-2020
9,huevo,Huevo Blanco Orespi Jumbo 20 Piezas pieza(s) ,54.9,30-10-2020
10,huevo,Huevo Blanco Orespi Libre Pastoreo 12 Piezas pieza(s) ,45.9,30-10-2020
11,huevo,Huevo Codorniz Paq 24Pz San Andres pieza(s) ,70.25,30-10-2020
12,huevo,Huevo Organico Paq 12 Pz E Él pieza(s) ,68.0,30-10-2020
13,huevo,Huevo Salsa/Jamon Kg pieza(s) ,100.0,30-10-2020
14,huevo,Orespi Huevo Blanco Neto 1080 Gr 18 Pz Paq pieza(s) ,45.9,30-10-2020
15,huevo,Orespi Huevo Blanco Neto 1650 Gr 30 Pz Paq pieza(s) ,58.9,30-10-2020
16,huevo,Orespi Huevo Blanco Neto 720 Gr 12 Pz Paq pieza(s) ,28.9,30-10-2020
17,huevo,Pasta Codo 2 Lucchetti Huevo 200 Gr pieza(s) ,6.3,30-10-2020
18,huevo,Pasta Fideo 2 Lucchetti Huevo 200 Gr pieza(s) ,6.3,30-10-2020
19,huevo,Pasta Para Sopa Caneloni Al Huevo Cj 250 pieza(s) ,102.9,30-10-2020
20,huevo,Pasta Spaguetti Lucchetti Huevo 200 Gr pieza(s) ,6.2,30-10-2020
21,frijol,Frijol Pinto Verde Valle 900 Gr pieza(s) ,50.0,30-10-2020
22,frijol,Frijol Mayo Coba Verde Valle 900 Gr pieza(s) ,50.75,30-10-2020
23,frijol,Frijolin Frijol Negro 906 Gr Bol pieza(s) DE ,27.5,30-10-2020
24,frijol,Frijol Negro Precissimo 908G pieza(s) ,29.75,30-10-2020
25,frijol,Frijoles Peruanos Valle Verde 400 Gr pieza(s) ,17.9,30-10-2020
26,frijol,Frijoles Refritos Negros Isadora 400 Gr pieza(s) DE ,17.3,30-10-2020
27,frijol,Frijolin Frijol Peruano Mayocoba 906 Gr Bol pieza(s) ,41.9,30-10-2020
28,frijol,Soriana Frijol Pinto Pinto 908 Gr Bol pieza(s) ,42.9,30-10-2020
29,frijol,Frijol Negro Verde Valle 900 Gr pieza(s) ,37.0,30-10-2020
30,frijol,Frijoles Ranch Style 425 Gr pieza(s) ,19.6,30-10-2020
31,frijol,Frijoles Bayos La Costeña Refritos 310 Gr pieza(s) ,10.1,30-10-2020
32,frijol,Frijoles Refritos Bayos Sin Grasa Isadora 430 Gr pieza(s) ,19.7,30-10-2020
33,frijol,Carne De Res Y Cerdo Hormel Chili Frijoles 425 G pieza(s) ,52.0,30-10-2020
34,frijol,Frijol Pinto Schettino 900 Gramo Bolsa pieza(s) ,27.5,30-10-2020
35,frijol,Frijoles Bayos La Costeña 580 Gr pieza(s) ,15.5,30-10-2020
36,frijol,Frijoles Enteros Negros Isadora 454 Gr pieza(s) ,17.85,30-10-2020
37,frijol,Frijoles Negros La Costeña Enteros Refritos 430 Gr pieza(s) ,13.45,30-10-2020
38,frijol,Frijoles Negros La Sierra Enteros 560 Gr pieza(s) ,12.5,30-10-2020
39,frijol,Frijol Bayo La Costeña 400 Gramo Pouch pieza(s) ,14.8,30-10-2020
40,frijol,Frijol Bayos Refritos La Sierra 440 Gr pieza(s) ,13.75,30-10-2020
41,frijol,Frijol Chata 430 Gramo Pouch pieza(s) ,15.0,30-10-2020
42,frijol,Frijol Chorizo Pouch La Sierra 430 Gr pieza(s) ,20.0,30-10-2020
43,frijol,Frijol El Jarro Pinto America Bol 907Gr pieza(s) DE ,42.5,30-10-2020
44,frijol,Frijol Negros La Costeña 400 Gramo Pouch pieza(s) ,14.8,30-10-2020
45,leche,Leche Evaporada Carnation 360 Gr pieza(s) ,17.2,30-10-2020
46,leche,Leche Lala Entera 1 L pieza(s) ,22.7,30-10-2020
47,leche,Leche Fresca Lala 1.8 Litro Bote pieza(s) DE ,34.9,30-10-2020
48,leche,Leche Lala Deslactosada 1 L pieza(s) ,23.0,30-10-2020
49,leche,Leche Condensada La Lechera 387 Gr pieza(s) ,23.5,30-10-2020
50,leche,Leche Lala Deslactosada Light 1 L pieza(s) ,23.0,30-10-2020
51,leche,Leche Ultra Lala Light 1Lt pieza(s) ,22.7,30-10-2020
52,leche,Leche Alpura Deslactosada 1 L pieza(s) ,22.5,30-10-2020
53,leche,Leche Lala Deslactosada 1.5 Ml pieza(s) ,33.2,30-10-2020
54,leche,Leche Evaporada Carnation 720 Gr pieza(s) ,31.5,30-10-2020
55,leche,Leche Fresca 100 Red Grasa Lala 1 Litro Bote pieza(s) ,27.5,30-10-2020
56,leche,Leche Alpura Clásica Entera 1 L pieza(s) ,22.9,30-10-2020
57,leche,Leche Condensada La Lechera 190 Gr pieza(s) DE ,13.1,30-10-2020
58,leche,Leche Fresca 100 Semidesc Lala 1 Litro Bote pieza(s) ,27.5,30-10-2020
59,leche,Leche Lala 100 Sin Lactosa Light+Proteína 1 L pieza(s) ,26.3,30-10-2020
60,leche,Leche Lala Entera 1Lt pieza(s) ,21.75,30-10-2020
61,leche,La Lechera Leche Sirve Facil 355 Gr Bot pieza(s) DE ,36.5,30-10-2020
62,leche,Leche Alpura Light 1 L pieza(s) ,22.9,30-10-2020
63,leche,Leche Lala Deslactosada Light 1.5 L pieza(s) ,33.6,30-10-2020
64,leche,Leche Lala Sin Lactosa +Proteína 1 L pieza(s) ,26.3,30-10-2020
65,leche,Leche Ultra Deslactosada Nutrileche 1 Litro Natural Tetrabrick pieza(s) DE ,17.9,30-10-2020
66,leche,Leche Ultra Santa Clara Entera 1Lt pieza(s) ,23.2,30-10-2020
67,leche,Leche Alpura Semidescremada 1 L pieza(s) ,22.9,30-10-2020
68,leche,Leche Alpura Deslactosada Light 1 L pieza(s) ,22.5,30-10-2020
69,tortilla,Tortilla Maíz Blanca 1 Kg pieza(s) ,11.5,30-10-2020
70,tortilla,Tortilla Harina 10 Piezas pieza(s) ,15.5,30-10-2020
71,tortilla,Tortilla De Harina Cruda Baldito 50 Piezas pieza(s) ,52.5,30-10-2020
72,tortilla,Tortilla De Maíz Amarilla 1 Kg pieza(s) ,12.5,30-10-2020
73,tortilla,Tio Baldo Tortilla De Harina Integral 500 Gr Bol pieza(s) ,31.5,30-10-2020
74,tortilla,Tio Baldo Tortilla Hariina Normal 500 Gr pieza(s) ,31.5,30-10-2020
75,tortilla,Harina Para Tortillas Selecta 1 Kg pieza(s) ,22.0,30-10-2020
76,tortilla,Tortillas De Harina Tía Rosa 12 Piezas pieza(s) ,15.35,30-10-2020
77,tortilla,Tortillas De Harina Tía Rosa 22 Piezas pieza(s) ,25.25,30-10-2020
78,tortilla,Tira Para Sopa De Tortilla En Bolsa F/M pieza(s) ,21.0,30-10-2020
79,tortilla,Tortilla Maíz Azul 1 Kg pieza(s) ,15.0,30-10-2020
80,tortilla,Tortilla Nopal Chia-Ajon Muy Natural 400 pieza(s) ,35.25,30-10-2020
81,tortilla,Tortilla Para Tacos V.A. 12 Hs 1 Kg pieza(s) ,15.0,30-10-2020
82,tortilla,1/4 Pollo Con Tortillas pieza(s) ,45.0,30-10-2020
83,tortilla,Caldo Sopa Tortilla Campbells 300 Gr Lat pieza(s) ,18.8,30-10-2020
84,tortilla,Marroquin Tortilla Harina 550 Gr Pz pieza(s) ,26.7,30-10-2020
85,tortilla,Marroquin Tortilla Harina Integral 550 Gr Pz pieza(s) ,26.7,30-10-2020
86,tortilla,Marroquin Tortilla Harina Taquera 1 Kg Pz pieza(s) ,46.9,30-10-2020
87,tortilla,Medio Pollo Rostizado Y Tortillas pieza(s) ,60.0,30-10-2020
88,tortilla,Taco Barbacoa-Carnitas/Tortilla Chica pieza(s) ,16.0,30-10-2020
89,tortilla,Tortilla De Harina Cruda Villareal 500Gr pieza(s) ,27.9,30-10-2020
90,tortilla,Tortilla De Harina Tia Rosa 255 Gramo Pieza pieza(s) ,13.5,30-10-2020
91,tortilla,Tortilla De Maiz Con Nopal Mision Con No pieza(s) DE ,25.0,30-10-2020
92,tortilla,Tortilla De Maíz Enchilada Tortiregias T pieza(s) ,22.5,30-10-2020
93,papel higiénico,Papel Higiénico Pétalo Ultra Jumbo 16 Rollos pieza(s) DE ,60.5,30-10-2020
94,papel higiénico,Papel Higiénico Pétalo Rendimax Manzanilla 12 Rollos pieza(s) DE ,78.0,30-10-2020
95,papel higiénico,Papel Higiénico Suavel 32 Rollos pieza(s) DE ,109.0,30-10-2020
96,papel higiénico,Papel Aluminio Reynolds 1 Pza De 7.6 M X 30 Cm pieza(s) DE ,45.5,30-10-2020
97,papel higiénico,Papel Aluminio Precissimo 1 Pza De 7 M X 30 Cm pieza(s) ,15.2,30-10-2020
98,papel higiénico,Papel Higiénico Regio Luxury 4 Rollos pieza(s) DE ,22.0,30-10-2020
99,papel higiénico,Papel Higiénico Cottonelle 32 Rollos pieza(s) ,233.0,30-10-2020
100,papel higiénico,Papel Higiénico Regio Rinde Más 12 Rollos pieza(s) ,68.0,30-10-2020
101,papel higiénico,Papel Higiénico Pétalo Ultra Jumbo 6 Rollos Con 234 Hojas pieza(s) DE ,24.9,30-10-2020
102,papel higiénico,Papel Higienico 285 Hj Precissimo 4 Rollos pieza(s) DE ,20.0,30-10-2020
103,papel higiénico,Papel Higiénico Elite Dúo 4 Rollos Con 341 Hojas Dobles pieza(s) DE ,31.0,30-10-2020
104,papel higiénico,Papel Higiénico Premier 6 Rollos pieza(s) DE ,28.5,30-10-2020
105,papel higiénico,Papel Aluminio Precissimo 1 Pza De 7.6 M X 30 Cm pieza(s) ,29.0,30-10-2020
106,papel higiénico,Papel Aluminio Reynolds 15.2Mx30cm pieza(s) ,79.0,30-10-2020
107,papel higiénico,Papel Encerado Reynolds 1 Pza De 10 M X 30 Cm pieza(s) ,42.0,30-10-2020
108,papel higiénico,Papel Higiénico Pétalo Ultra Care 32 Rollos pieza(s) ,168.0,30-10-2020
109,papel higiénico,Papel Higiénico Regio Aires De Frescura 32 Rollos pieza(s) ,121.0,30-10-2020
110,papel higiénico,Papel Higiénico Suavel 12 Rollos pieza(s) ,45.0,30-10-2020
