,producto,descripcion,precio,fecha
0,huevo,Huevo blanco Aires de campo orgánico 12 pzas ,68.0,24-10-2020
1,huevo,Huevo blanco San Juan 12 pzas ,26.0,24-10-2020
2,huevo,Huevo blanco Eel orgánico 12 pzas ,66.5,24-10-2020
3,huevo,Huevo rojo Bachoco fresco 12 pzas ,27.55,24-10-2020
4,huevo,Huevo blanco Bachoco fresco 18 pzas ,36.0,24-10-2020
5,huevo,"Huevo blanco Nutri Campo fresco, de libre pastoreo 12 pzas ",52.0,24-10-2020
6,huevo,Huevo blanco El Calvario fresco 30 pzas ,57.0,24-10-2020
7,huevo,Huevo blanco Aurrera 30 pzas ,52.5,24-10-2020
8,huevo,Huevo rojo Aires de campo orgánico 12 pzas ,68.0,24-10-2020
9,huevo,Huevo blanco El Calvario 18 pzas ,35.2,24-10-2020
10,huevo,Huevo blanco Bachoco fresco 12 pzas ,21.35,24-10-2020
11,huevo,Huevo blanco El Calvario 12 pzas ,23.55,24-10-2020
12,huevo,Huevo blanco Aurrera 18 pzas ,32.5,24-10-2020
13,huevo,Huevo blanco Aurrera 12 pzas ,20.0,24-10-2020
14,huevo,Huevo blanco Sabro Huevo grande 30 pzas ,64.0,24-10-2020
15,huevo,Huevo blanco orgánico Campo Vivo 6 piezas ,33.2,24-10-2020
16,huevo,Huevo blanco Guadalupe 1 paquete con 30 pzas ,61.0,24-10-2020
17,huevo,Clara de huevo San Juan líquida 500 g ,24.0,24-10-2020
18,huevo,Huevo blanco San Juan 30 pzas ,58.5,24-10-2020
19,huevo,Huevo rojo Bachoco fresco 18 pzas ,39.7,24-10-2020
20,frijol,Frijol Verde Valle peruano 900 g ,52.0,24-10-2020
21,frijol,Frijoles bayos La Sierra refritos en bolsa 430 g ,14.0,24-10-2020
22,frijol,Frijoles negros La Sierra refritos en bolsa 430 g ,14.0,24-10-2020
23,frijol,Frijol pinto La Sierra 1 kg ,40.9,24-10-2020
24,frijol,Frijol negro Verde Valle 1 kg ,39.0,24-10-2020
25,frijol,Frijol pinto Verde Valle 1 kg ,52.0,24-10-2020
