Tipo,Tipo_2,Marca,Empaque,Contenido,UnidadMedida,Fuente,precio,fecha
huevo,blanco,Precissimo,paquete,30,pieza,soriana,59.9,2020-10-30
huevo,blanco,SanJuan,paquete,30,pieza,soriana,54.5,2020-10-30
huevo,blanco,SanJuan,paquete,12,pieza,soriana,24.5,2020-10-30
huevo,blanco,SanJuan,paquete,18,pieza,soriana,35.5,2020-10-30
huevo,blanco,Soriana,paquete,12,pieza,soriana,25.5,2020-10-30
huevo,claro,SanJuan,bolsa,1,kilogramo,soriana,42.75,2020-10-30
huevo,blanco,Soriana,paquete,18,pieza,soriana,39.9,2020-10-30
huevo,claro,SanJuan,bolsa,500,gramo,soriana,25.5,2020-10-30
huevo,oriental,BlueDragon,bolsa,200,gramo,soriana,53.75,2020-10-30
huevo,blanco_jumbo,Orespi,paquete,20,pieza,soriana,54.9,2020-10-30
huevo,libre_pastoreo,Orespi,bolsa,12,pieza,soriana,45.9,2020-10-30
huevo,codorniz,SanAndres,paquete,24,pieza,soriana,70.25,2020-10-30
huevo,organico,no_especificado,paquete,12,pieza,soriana,68.0,2020-10-30
huevo,salsa/jamon,no_especificado,bote,1,kilogramo,soriana,100.0,2020-10-30
huevo,blanco,Orespi,paquete,18,pieza,soriana,45.9,2020-10-30
huevo,blanco,Orespi,paquete,30,pieza,soriana,58.9,2020-10-30
huevo,blanco,Orespi,paquete,12,pieza,soriana,28.9,2020-10-30
huevo,codo,Lucchetti,paquete,200,gramo,soriana,6.3,2020-10-30
huevo,no_especificado,Lucchetti,paquete,200,gramo,soriana,6.3,2020-10-30
huevo,sopa,Caneloni,bote,250,pieza,soriana,102.9,2020-10-30
huevo,spaguetti,Lucchetti,bote,200,gramo,soriana,6.2,2020-10-30
frijol,pinto,VerdeValle,bolsa,900,gramo,soriana,50.0,2020-10-30
frijol,mayo_coba,VerdeValle,bolsa,900,gramo,soriana,50.75,2020-10-30
frijol,negro,Frijolin,bolsa,906,gramo,soriana,27.5,2020-10-30
frijol,negro,Precissimo,bolsa,908,gramo,soriana,29.75,2020-10-30
frijol,peruano,VerdeValle,bolsa,400,gramo,soriana,17.9,2020-10-30
frijol,negro,Isadora,bolsa,400,gramo,soriana,17.3,2020-10-30
frijol,peruano,MayoCoba,bolsa,906,gramo,soriana,41.9,2020-10-30
frijol,pinto,Soriana,bolsa,908,gramo,soriana,42.9,2020-10-30
frijol,negro,VerdeValle,bolsa,900,gramo,soriana,37.0,2020-10-30
frijol,frijol,RanchStyle,bolsa,425,gramo,soriana,19.6,2020-10-30
frijol,refrit,LaCostena,bolsa,310,gramo,soriana,10.1,2020-10-30
frijol,bayos_singrasa,Isadora,bolsa,430,gramo,soriana,19.7,2020-10-30
frijol,con_res_cerdo,Hormel,bolsa,425,gramo,soriana,52.0,2020-10-30
frijol,pinto,Schettino,bolsa,900,gramo,soriana,27.5,2020-10-30
frijol,bayos,LaCostena,bolsa,580,gramo,soriana,15.5,2020-10-30
frijol,negro_entero,Isadora,bolsa,454,gramo,soriana,17.85,2020-10-30
frijol,entero_refrito,LaCostena,bolsa,430,gramo,soriana,13.45,2020-10-30
frijol,enter@,LaSierra,bote,560,gramo,soriana,12.5,2020-10-30
frijol,bayos,LaCostena,bolsa,400,gramo,soriana,14.8,2020-10-30
frijol,refrit,LaSierra,bolsa,440,gramo,soriana,13.75,2020-10-30
frijol,frijol,Chata,bolsa,430,gramo,soriana,15.0,2020-10-30
frijol,con_chorizo,LaSierra,bolsa,430,gramo,soriana,20.0,2020-10-30
frijol,pinto,ElJarro,bolsa,907,gramo,soriana,42.5,2020-10-30
frijol,negro,LaCostena,bolsa,400,gramo,soriana,14.8,2020-10-30
leche,evaporada,Carnation,bote,360,gramo,soriana,17.2,2020-10-30
leche,enter@,Lala,bote,1,litro,soriana,22.7,2020-10-30
leche,fresco,Lala,bote,1.8,litro,soriana,34.9,2020-10-30
leche,deslactosada,Lala,paquete,1,litro,soriana,23.0,2020-10-30
leche,condensada,LaLechera,paquete,387,gramo,soriana,23.5,2020-10-30
leche,deslact_light,Lala,paquete,1,litro,soriana,23.0,2020-10-30
leche,light_ultra,Lala,bolsa,1,litro,soriana,22.7,2020-10-30
leche,deslactosada,Alpura,paquete,1,litro,soriana,22.5,2020-10-30
leche,deslactosada,Lala,paquete,1.5,ml,soriana,33.2,2020-10-30
leche,evaporada,Carnation,bote,720,gramo,soriana,31.5,2020-10-30
leche,fresca_singrasa,Lala100,bote,1,litro,soriana,27.5,2020-10-30
leche,enter@,Alpura,bote,1,litro,soriana,22.9,2020-10-30
leche,condensada,LaLechera,paquete,190,gramo,soriana,13.1,2020-10-30
leche,semideslactosada,Lala100,bote,1,litro,soriana,27.5,2020-10-30
leche,deslactosada_light+protein,Lala100,bolsa,1,litro,soriana,26.3,2020-10-30
leche,enter@,Lala,bote,1,litro,soriana,21.75,2020-10-30
leche,sirve_facil,LaLechera,bote,355,gramo,soriana,36.5,2020-10-30
leche,light,Alpura,bolsa,1,litro,soriana,22.9,2020-10-30
leche,deslact_light,Lala,paquete,1.5,litro,soriana,33.6,2020-10-30
leche,deslactosada_+protein,Lala,bolsa,1,litro,soriana,26.3,2020-10-30
leche,deslact_tetrabrick,natural,bote,1,litro,soriana,17.9,2020-10-30
leche,enter@,SantaClara,bote,1,litro,soriana,23.2,2020-10-30
leche,semidescremada,Alpura,bote,1,litro,soriana,22.9,2020-10-30
leche,deslact_light,Alpura,paquete,1,litro,soriana,22.5,2020-10-30
tortilla,blanco,no_especificado,paquete,1,kilogramo,soriana,11.5,2020-10-30
tortilla,harina,no_especificado,bote,10,pieza,soriana,15.5,2020-10-30
tortilla,cruda,Baldito,paquete,50,pieza,soriana,52.5,2020-10-30
tortilla,maiz_amarillo,no_especificado,bolsa,1,kilogramo,soriana,12.5,2020-10-30
tortilla,integral,TioBaldo,bolsa,500,gramo,soriana,31.5,2020-10-30
tortilla,no_especificado,TioBaldo,paquete,500,gramo,soriana,31.5,2020-10-30
tortilla,harina,Selecta,bote,1,kilogramo,soriana,22.0,2020-10-30
tortilla,harina,TiaRosa,bote,12,pieza,soriana,15.35,2020-10-30
tortilla,harina,TiaRosa,bote,22,pieza,soriana,25.25,2020-10-30
tortilla,sopa,Tira,bolsa,1,pieza,soriana,21.0,2020-10-30
tortilla,maiz_azul,no_especificado,bolsa,1,kilogramo,soriana,15.0,2020-10-30
tortilla,chia-ajon_nopal,natural,lata,400,pieza,soriana,35.25,2020-10-30
tortilla,taquera,no_especificado,bolsa,1,kilogramo,soriana,15.0,2020-10-30
tortilla,con_pollo,no_especificado,lata,0.25,pieza,soriana,45.0,2020-10-30
tortilla,caldo_sopa,Campbells,lata,300,gramo,soriana,18.8,2020-10-30
tortilla,harina,Marroquin,bote,550,pieza,soriana,26.7,2020-10-30
tortilla,integral,Marroquin,bolsa,550,pieza,soriana,26.7,2020-10-30
tortilla,harina,Marroquin,bote,1,pieza,soriana,46.9,2020-10-30
tortilla,medio_pollo_rostizado,no_especificado,bolsa,1,pieza,soriana,60.0,2020-10-30
tortilla,cruda,VillaReal,paquete,500,gramo,soriana,27.9,2020-10-30
tortilla,harina,TiaRosa,bote,255,gramo,soriana,13.5,2020-10-30
tortilla,maiz_nopal,mision,bolsa,1,pieza,soriana,25.0,2020-10-30
tortilla,maiz_enchilado,Tortiregias,bolsa,1,pieza,soriana,22.5,2020-10-30
papel,higienico_jumbo,Petalo,bolsa,16,rollo,soriana,60.5,2020-10-30
papel,manzanilla_rendimax,Petalo,bolsa,12,rollo,soriana,78.0,2020-10-30
papel,higienico,Suavel,bolsa,32,rollo,soriana,109.0,2020-10-30
papel,aluminio,Reynolds,bolsa,30,pza,soriana,45.5,2020-10-30
papel,aluminio,Precissimo,bolsa,30,pza,soriana,15.2,2020-10-30
papel,higienico,RegioLuxury,bolsa,4,rollo,soriana,22.0,2020-10-30
papel,higienico,Cottonell,bolsa,32,rollo,soriana,233.0,2020-10-30
papel,higienico,Regio,bolsa,12,rollo,soriana,68.0,2020-10-30
papel,higien_hoj_jumb,Petalo,bolsa,6,rollo,soriana,24.9,2020-10-30
papel,higienico,Precissimo,bolsa,4,rollo,soriana,20.0,2020-10-30
papel,higienico_hoja_doble,Elite,bolsa,4,rollo,soriana,31.0,2020-10-30
papel,higienico_premium,no_especificado,bolsa,6,rollo,soriana,28.5,2020-10-30
papel,aluminio,Precissimo,bolsa,30,pza,soriana,29.0,2020-10-30
papel,aluminio,Reynolds,bolsa,1,rollo,soriana,79.0,2020-10-30
papel,encerado,Reynolds,bote,30,pza,soriana,42.0,2020-10-30
papel,higienico,Petalo,bolsa,32,rollo,soriana,168.0,2020-10-30
papel,higienico,AiresDeCampo,bolsa,32,rollo,soriana,121.0,2020-10-30
papel,higienico,Suavel,bolsa,12,rollo,soriana,45.0,2020-10-30
papel,aluminio,Reynolds,bolsa,1,rollo,soriana,81.5,2020-10-30
papel,higienico_soft,Elite,bolsa,12,rollo,soriana,85.0,2020-10-30
papel,higienico,CottenellBeauty,bolsa,18,rollo,soriana,141.0,2020-10-30
papel,higienico,CottenellBeauty,bolsa,4,rollo,soriana,33.5,2020-10-30
papel,higienico,Cottonell,bolsa,4,rollo,soriana,32.0,2020-10-30
papel,higienico,Elite,bolsa,12,rollo,soriana,79.5,2020-10-30
huevo,organico,AiresDeCampo,paquete,12,pzas,superama,68.0,2020-10-24
huevo,blanco,SanJuan,paquete,12,pzas,superama,26.0,2020-10-24
huevo,organico,eel,paquete,12,pzas,superama,66.5,2020-10-24
huevo,roj_fresc,Bachoco,bolsa,12,pzas,superama,27.55,2020-10-24
huevo,blanco,Bachoco,paquete,18,pzas,superama,36.0,2020-10-24
huevo,libre_pastoreo,no_especificado,bolsa,12,pzas,superama,52.0,2020-10-24
huevo,blanco,Calvari,paquete,30,pzas,superama,57.0,2020-10-24
huevo,blanco,aurrer,paquete,30,pzas,superama,52.5,2020-10-24
huevo,organico,AiresDeCampo,paquete,12,pzas,superama,68.0,2020-10-24
huevo,blanco,Calvari,paquete,18,pzas,superama,35.2,2020-10-24
huevo,blanco,Bachoco,paquete,12,pzas,superama,21.35,2020-10-24
huevo,blanco,Calvari,paquete,12,pzas,superama,23.55,2020-10-24
huevo,blanco,aurrer,paquete,18,pzas,superama,32.5,2020-10-24
