Headline,Category
"Ante la ausencia de Arce,  Choquehuanca preside el país hasta el martes 15",1
Morales lamenta que su estadía en Argentina haya causado presiones a Fernández,1
Caen dos funcionarios de Sabsa por introducir droga en el aeropuerto de Viru Viru,1
"Luis Arce y Evo Morales se juntan otra vez, ahora en un acto en Ivirgarzama",1
Vocero Jorge Richter: Comunicaré la postura oficial del presidente Arce,1
La persecución política interrumpida por el voto popular,1
Robo en casa de Paolo Rossi durante su entierro,1
Cuatro personas apuñaladas y una herida de bala tras manifestaciones pro-Trump,1
"Violación de tregua en Nagorno Karabaj, Azerbaiyán anuncia pérdidas militares",1
Áñez le pide a Arce dejar de ‘lloriquear’ y asumir su responsabilidad sobre la crisis,1
Alcaldía ratifica horario de circulación hasta las 01.00 en Santa Cruz,1
"El exdirector de Migración Marcel Rivas permanece en una clínica, piden detención domiciliaria",1
"La víctima del ‘abogado torturador’ pide ayuda, ministro Lima se compromete a seguir el caso",1
El Gobierno retoma la vocería presidencial y designa en el cargo al politólogo Jorge Richter,1
La Fiscalía aprehende a exfuncionaria por la compra de respiradores chinos,1
"Vicepresidente Choquehuanca: ‘Somos mayoría, somos más del 90% los indígenas’",1
Arce viajará a Brasil a un chequeo médico de rutina tras superar el cáncer de riñón,1
Prada anuncia próximo lanzamiento de medidas de austeridad como anulación de cargos,1
"España no buscó el rescate de los asilados en la residencia mexicana, cuenta Wilma Alanoca",1
Loza dice que los cocaleros del Chapare ‘no se corren’ a debatir un impuesto a la coca,1
EEUU busca construir con Bolivia una ‘relación respetuosa’ y expandir el comercio,1
Exdiputada Patty llama ‘pitita’ al ministro del Castillo y pide su destitución,1
"William Kushner, sentenciado por feminicidio, sale de la cárcel para cumplir detención domiciliaria",1
El Gobierno lanza una estrategia para que la Policía enfrente la segunda ola del COVID-19,1
El ministro de Justicia afirma que la reforma judicial recibe ‘apoyo militante’,1
El Gobierno normará el cumplimiento de las sentencias internacionales en DDHH,1
La ONU llama a construir una cultura de paz con diálogo y respeto de los DDHH,1
Detienen a miembro de la ‘resistencia cruceña’ por portación ilegal de armas,1
El TSE actualiza datos: Suben a 5.538 los recintos electorales y a 3.602 los asientos electorales,1
Diputados aprueba ley para devolver en efectivo el 5% de las compras en el mercado formal,1
Justicia ratifica orden de enviar a la cárcel al exdirector de Migración Marcel Rivas,1
Los expertos del GIEI recibirán a Áñez en Santa Cruz,1
El exviceministro Maturano figura como precandidato del MAS a la Gobernación de Chuquisaca,1
"Los generales Arce, Calderón, Kaliman y Orellana serán llamados a declarar por Senkata",1
El abogado de Patty insiste en su petición de activar la alerta migratoria contra Camacho,1
El viceministro Rodas dice que la Fiscalía tiene la obligación de esclarecer la crisis de 2019,1
El Gobierno apunta a acuerdos con privados para luchar contra la corrupción,1
Reyes Villa presenta su alianza Súmate Cochabamba como opción electoral,1
Choquehuanca convoca a la transparencia y recrimina el ‘poder a toda costa’,1
La Fiscalía emite una segunda orden de aprehensión contra el coronel Iván Rojas,1
El ministro Del Castillo aclara que no hay alerta migratoria contra Camacho,1
Viceministro ve ‘unanimidad’ en el consejo de expertos para anular la Magistratura,1
Novillo asegura que las FFAA se comprometen a dar información sobre los hechos de violencia de 2019,1
"La Fiscalía inicia investigación contra Camacho, su padre y exjefes militares y policiales",1
El Legislativo ya analiza la ley del impuesto a ‘multimillonarios’,1
"Defensa califica de ‘excesivo’ cobro de Bs 1.300 e instruye devolver Bs 4,8 MM a premilitares",1
"Magistrado Egüez califica de ilegal fallo que anula su mandato, TCP dice que debe cumplirse",1
Arce cumple un mes de gobierno y destaca acciones para reactivar la economía,1
Novillo a las FFAA: La Justicia Ordinaria está por encima de la militar en casos como Sacaba y Senkata,1
Periodistas expresan su escepticismo sobre la reforma judicial del Gobierno,1
Periodistas coinciden en que el futuro del gobierno de Arce dependerá de las subnacionales,1
El exalcalde Omar Rocha se presenta como candidato del MAS en La Paz,1
El Gobierno dice que encontró un ‘Estado quebrado’ y sin liquidez,1
Observa Bolivia entrega informe al TSE y recomienda reforma a la legislación electoral,1
El Gobierno demanda al TSJ acatar fallo de ‘cumplimiento obligatorio’ y separar a Egüez,1
Perú plantea a Bolivia ampliar operaciones en Ilo y consolidar abastecimiento de gas a su frontera,1
"Fallo ordena anular elección y posesión del magistrado Egüez, TSJ cuestiona y advierte riesgo",1
"‘No es posible eludir la justicia’, advierte Arce a las FFAA sobre las muertes de 2019",1
"Ante un presunto descontento en la tropa, Aguilera recuerda que la Policía no delibera",1
El GIEI ya planteó fecha a Áñez para audiencia,1
En Bolivia fueron registradas 38 alianzas para terciar en las subnacionales de marzo,1
"Arce, expresidentes y otros líderes políticos destacan el legado de integración de Vázquez",1
"La oposición se dispersa otra vez, ahora para las subnacionales",1
La Policía ya indaga ‘robo’ de objetos de domicilio de Morales en 2019,1
"El MAS va solo a las subnacionales, Larrea consolida acuerdo y se renueva la alianza CC",1
Novillo a las FFAA: No hay privilegio ni fuero cuando se trata de delitos de lesa humanidad,1
Morales y Rodríguez se encuentran en Venezuela para observar las elecciones legislativas,1
"Facundo Molares, argentino vinculado a la violencia en Montero, es repatriado en una aeronave militar",1
Abogado Becker al exembajador Aparicio: Hace declaración ‘increíblemente deshonesta y engañosa’,1
Áñez espera audiencia con el GIEI para presentar ‘pruebas que el Gobierno quiere ocultar’,1
"Alianzas en el limbo y a contrarreloj, este sábado se cierran las inscripciones",1
Morales pide a la Policía devolución de objetos robados de su domicilio en Achumani,1
Comisión legislativa recibe proposición para un juicio contra Áñez,1
Nelson Cox renuncia a la Defensoría para ser precandidato a la Alcaldía cochabambina,1
La Fiscalía admite la denuncia contra Camacho y exjefes de las FFAA y la Policía,1
Enviado de NNUU ve en Bolivia ‘mucho resentimiento’ y oportunidad para superar diferencias,1
Dos hombres de confianza del gobernador Costas renuncian para participar de las subnacionales,1
Fiscalía critica a Interpol y pedirá notificación sobre ‘sello azul’ contra Murillo y López,1
"Fiscalía policial dice que investiga motín de 2019, pero que no hay denuncia formal",1
¿Morales o García? Uno puede ser embajador ante la OEA para ‘demostrar que no hubo fraude’ electoral en 2019,1
Arce deja en la congeladora al avión presidencial y opta por vuelos comerciales,1
Morales habla de ‘golpe’ y Áñez lo ve ‘desesperado’ de posicionar ese discurso,1
Patricia Hermosa revela que la encerraron ‘40 días con candado’,1
Surgen testigos clave en la ‘reconstrucción’ de Senkata,1
Camacho sale en defensa de militares y policías: ‘Tuvieron el compromiso de no salir a meter bala a su pueblo’,1
Grupo de expertos analiza si los cambios a la justicia requieren reforma constitucional,1
"Arce recibe 49% de aprobación a su gestión, 47% desaprueba a la oposición",1
Comisión de expertos comienza a trabajar en la reforma judicial,1
Interpol descarta la búsqueda internacional de los exministros Murillo y López,1
Vicepresidenta del TSE dice que es ‘increíble’ que no haya nada formal pese a las denuncias contra el padrón,1
"Ante la ONU, Arce afirma que Bolivia retomó la democracia tras el ‘gobierno de facto’",1
"A un año de su renuncia, Morales retornó a La Paz y definirá precandidaturas",1
"Este jueves comienza el empadronamiento electoral, hasta el 17 de diciembre",1
La Fiscalía observa la denuncia contra Camacho y abogado dice que la subsanará,1
Fiscales y peritos reconstruirán este jueves y viernes los hechos de noviembre de 2019 en Senkata,1
Rodríguez no descarta que un posible referéndum de reforma judicial se realice junto a las subnacionales,1
El Parlamento Andino pide una auditoría al informe de la OEA sobre las elecciones de 2019,1
La ONU se compromete a acompañar la consolidación de la paz en Bolivia,1
"Tras un año de su renuncia, Morales vuelve a La Paz por las elecciones subnacionales",1
Fiscalía policial abre causa contra los denunciados por el motín en la crisis de 2019,1
Montaño dice que en la estatal Mi Teleférico no hay para pagar ‘salarios’,1
"El TSE aprueba reglamento para las alianzas subnacionales, hay 13 tipos",1
"Cronenbold tras denuncia contra Camacho: ‘Si mi gobierno empieza a perseguir, que se busquen otro candidato’",1
El Gobierno asegura que la Magistratura ‘no garantiza’ elección de los jueces ‘más idóneos’,1
"Destituyen a Cáceres, Arce posesiona a Characayo como ministro de Desarrollo Rural y Tierras",1
"Arce a la Policía: Lo que pasó el año pasado, no debe volver a ocurrir en nuestro país",1
Lima le pide a Cáceres que dé ‘un paso al costado’ si se equivocó en nombramiento,1
"Contrabandistas sobre Rodríguez: ‘Que lo meta y no va a salir, los vamos a quemar a los gran p…”",1
Comunidad Ciudadana se suma a generar la reforma parcial de la Constitución,1
"Exdiputada del MAS denuncia a Camacho, a su padre y a exjefes militares y policiales por terrorismo",1
Alcón posesiona a cuatro directores de medios estatales,1
Preocupa al Gobierno la reciente designación de 140 jueces por parte de la Magistratura,1
Ministro Cáceres califica de error la contratación de Gutiérrez,1
Enviado de NNUU abre posibilidad de instalar en Bolivia una oficina de la Alta Comisionada de DDHH,1
Preocupa al gobierno la reciente designación de 140 jueces,1
Áñez dice que al exjefe de la CIDH ‘le tienta la defensa del poder’ y no de las personas,1
IDIF tilda de ‘sesgado’ informe de la Defensoría y defiende la idoneidad de su personal,1
Choquehuanca rememora al Mariscal de Zepita y resalta la hermandad entre Perú y Bolivia,1
La Defensoría identifica deficiencias en los IDIF y pone en duda informes forenses,1
El GIEI y la Fiscalía comprometen colaboración mutua para esclarecer la violencia de 2019,1
Del Castillo informa que la semana pasada se incautó 497 kilos de droga,1
El Gobierno se plantea una reforma judicial a través de modificaciones a la Constitución,1
"Impuesto a las fortunas: ‘No se preocupen, compañeros de la prensa, a ustedes no les alcanza’",1
Arce aboga por justicia y llama a ‘limpiar la imagen’ de vecinos acusados de Senkata,1
La ONU desplaza al país a un funcionario para la consolidación de la paz,1
Del Castillo ordena auditorías especiales a compras y paraliza procesos de contratación,1
Paulo Abrao: El gobierno de Áñez puso trabas para instalar el GIEI,1
Áñez pide a la CIDH dar la ‘talla’ en la investigación de las muertes de 2019,1
Carlos Romero afirma que fue sistemático el intento de inculpar a Evo Morales,1
"La injerencia de las FFAA en el proceso político de 2019 alertó a la CIDH, devela Paulo Abrao",1
"Tras denuncias de nepotismo, retiran a jefa de gabinete que pedía renuncia de funcionarios",1
"Costas, Franco y Barrientos son precandidatos de Demócratas en tres alcaldías",1
"Libres, Romero, Ferrier y Yucra denuncian que fueron presionados para inculpar a Morales",1
Denuncian que jefa de gabinete del ministro Cáceres pide a funcionarios poner sus cargos a disposición,1
Militares en reserva marchan en protesta por el proceso contra el general Cuéllar por el caso Sacaba,1
El Gobierno activa siete acciones para enfrentar la crisis y la violencia hacia la mujer,1
El Gobierno garantiza a Áñez debido proceso y le ‘exhorta’ responder ante la Justicia,1
El exmagistrado Cusi anuncia su candidatura a la Gobernación de La Paz,1
Habilitan ‘permisos excepcionales’ para incentivar a funcionarios públicos a hacer turismo,1
La FTC reporta a la fecha 2.000 hectáreas de coca reducidas y perfila llegar a las 8.000 en 2021,1
Del Castillo: La UNODC está preocupada por el incremento de coca en la gestión de Áñez,1
El expresidente Rodríguez Veltzé será parte de 10 ‘notables’ para la reforma judicial,1
El Gobierno retoma la erradicación concertada de coca en el trópico cochabambino,1
El ministro Lima instaura un juicio de responsabilidades contra tres consejeros,1
Las candidaturas a la Alcaldía de La Paz tienden a dispersarse,1
Larrea y Albarracín fueron proclamados como candidatos a la alcaldía de La Paz,1
"Ley prevé que las subnacionales en Santa Cruz, Tarija y Pando se guiarán por sus estatutos",1
García aclara que Interpol define en 10 días si activa ‘sello azul’ contra Murillo y López,1
"Dan arresto domiciliario a Facundo Molares, argentino detenido tras violencia en Montero",1
Ministro Del Castillo: No entiendo cómo en caso Kushner se da detención domiciliaria sin escolta policial,1
Trifulca y ‘huevazo’ en la cita del Comité pro Santa Cruz que terminó en intenciones,1
La Interpol autoriza búsqueda de los exministros Murillo y López,1
Detención domiciliaria sin derecho al trabajo y con vigilancia policial para general acusado por caso Sacaba,1
Una vigilia de familiares de víctimas de Sacaba acompaña la audiencia del general Cuéllar,1
De Áñez para Arce: ‘Dedíquese a la economía y a la salud de la gente’,1
Un niño boliviano de 13 años fue herido de bala en frontera chilena,1
"Áñez: ‘Estoy aquí en mi país, en mi patria, y aquí voy a estar’",1
Fundación Tierra: Titulan tierras en favor de la familia Marinkovic a poco de que Áñez deje el poder,1
Defensoría entrega a la misión del GIEI el Informe defensorial sobre violación de DDHH en 2019,1
Fiscal de Oruro rechaza denuncia contra expresidente Morales y dirigente de la COB por bloqueos en agosto,1
