Id,Category,Topic,Source,Headline,Text,Link
1,Fake,Education,El Ruinaversal,"RAE INCLUIRÁ LA PALABRA ""LADY"" EN EL DICCIONARIO DEL IDIOMA ESPAÑOL COMO DEFINICIÓN DE ""MUJER PROBLEMÁTICA""","RAE INCLUIRÁ LA PALABRA ""LADY"" EN EL DICCIONARIO DEL IDIOMA ESPAÑOL COMO DEFINICIÓN DE ""MUJER PROBLEMÁTICA""
España.- El presidente de la Real Academia Española (RAE), Darío Villanueva, informó en conferencia de prensa que a partir del próximo mes se incluirá el término ""Lady"" como una nueva palabra en el diccionario del idioma español.
Darío señaló que ""Lady"" servirá para definir a una ""mujer problemática"" o a una ""mujer que causa problemas"", y mencionó que esta palabra será una de las pocas que también se utilizan en el idioma inglés pero que en castellano tiene un significado diferente:
""Son contadas las palabras del idioma inglés que se utilizan en el español pero que tienen otro significado. Con la globalización las personas han comenzado a adoptar términos anglosajones pero los utilizan con su significado real, sin embargo en este caso la expresión Lady no significará lo mismo que en su idioma original (""dama"" en inglés) sino que se usará para definir a una mujer que es problemática o acostumbra causar problemas y alborotos.
La gente podrá decirle Lady a una fémina que cause algún escándalo, sea agresiva o provoque algún tipo de problema. El término dejara de considerarse una palabra exclusiva del idioma inglés ya que tras se incluida en el diccionario de la lengua española también pasara ser una palabra oficial del castellano, pero con un significado distinto"", confesó.
Villanueva presentó a los medios la definición oficial que aparecerá en los diccionarios, señalando que será la siguiente:
-Lady
Del anglosajón Ænglisc, part. de Difficilis 'problematica', ferox 'agresiva'
*NUMBER*.- adj. f. Mujer excesivamente problemática
*NUMBER*.- adj. f. Mujer que causa problemas o alborotos
*NUMBER*.- adj. f. Mujer que tiende a causar conflictos, es agresiva
Te puede interesar Cholas descubren que las Donitas Bimbo también se pueden comer y no solo sirven para maquillarse
*NUMBER*.- adj. f. Mujer que se guía por sus instintos animales, que no le importa crear conflictos
El presidente señaló que fue uno de los miembros mexicanos de la RAE quien propuso incluir la palabra, y tras meses de análisis finamente fue aceptada por el comité:
""Es una término que tuvo su origen en México pero se usará en todos los países de habla hispana. Los videos de las Lady´s que han circulado nos sirvieron para crear una perfecta definición, la cual servirá para resumir y definir a una hembra problemática"", dijo
Por último, Darío reveló que también ya se encuentran analizando la idea de incluir el término Lord en el diccionario, que sería el equivalente a la definición masculina de Lady.",http://www.elruinaversal.com/2017/06/10/rae-incluira-la-palabra-lady-en-el-diccionario-del-idioma-espanol-como-definicion-de-mujer-problematica/
2,Fake,Education,Hay noticia,"La palabra ""haiga"", aceptada por la RAE","La palabra ""haiga"", aceptada por la RAE La Real Academia de la Lengua (RAE), ha aceptado el uso de ""HAIGA"", para su utilización en las tres personas del singular del presente del subjuntivo del verbo hacer, aunque asegura que la forma más recomendable en la lengua culta para este tiempo, sigue siendo ""haya"".
Así lo han confirmado fuentes de la RAE, que explican que este cambio ha sido propuesto y aprobado por el pleno de la Academia de la Lengua, tras la extendida utilización por todo el territorio nacional, sobre todo, empleado por personas carentes de estudios o con estudios básicos de graduado escolar. Ya no será objeto de burla ese compañero que a diario repite aquello de ""Mientras que haiga faena, no podemos quejarnos"" o esa abuela que repite aquello de ""El que haiga sacao los juguetes, que los recoja"".
Entre otras palabras novedosas que ha aceptado la RAE, contamos también con ""Descambiar"", significa deshacer un cambio, por ejemplo ""devolver la compra"". Visto lo visto, nadie apostaría que la palabra ""follamigos"" sea la siguiente de la lista.",https://haynoticia.es/la-palabra-haiga-aceptada-la-rae9999/
3,Fake,Education,El Ruinaversal,YORDI ROSADO ESCRIBIRÁ Y DISEÑARÁ LOS NUEVOS LIBROS DE TEXTO DE LA SEP PARA HACERLOS MÁS ATRACTIVOS,"YORDI ROSADO ESCRIBIRÁ Y DISEÑARÁ LOS NUEVOS LIBROS DE TEXTO DE LA SEP PARA HACERLOS MÁS ATRACTIVOS
México.- El director de la Secretaría de Educación Pública, Aurelio Nuño, informó que el dramaturgo y conductor Yordi Rosado será el encargado de redactar los nuevos libros de texto que se reparten en todas las escuelas del país, y que a partir del próximo ciclo escolar dejarán de ser gratuitos y tendrán costo.
Aurelio señala que decidió contratar a Yordi para escribir los manuales con el fin de hacer ""más atractivos los textos"" y que los alumnos se interesen más por aprender, por lo que los libros dejarán de tener un lenguaje aburrido y serán presentados con un idioma ""más fresco, juvenil y moderno"":
""Desafortunadamente el gobierno ya no tiene los recursos para seguir regalando los libros, por lo que a partir del próximo ciclo escolar los padres de familia deberán hacer un pequeño sacrificio y pagar una módica cantidad para que sus hijos puedan seguir aprendiendo. Realmente es algo simbólico, cada libro costará solo USD*NUMBER* pesitos, es un precio muy bajo si tenemos en cuenta que con esto los niños podrán forjarse un futuro. Decidimos contratar a Rosado porque queríamos hacer libros de calidad, que fueran atractivos para las nueva generaciones"", dijo,
Nuño menciona que el conductor explicará a los estudiantes las materias de matemáticas, historia, geografía, español"", y otros temas, en un idioma más alegre y jocoso para hacer más disfrutable el aprendizaje:
""Queremos que los niños lleguen a sus casas y abran gustosos sus libros de texto en vez de que se aburran al hojearlos. ¿Qué ondiux con las matemáticas?, será el ejemplar de matemáticas, ¿Qué pex con el spanish?, será la edición para español. Cada texto será redactado de forma atractiva y tendrá padrísimos dibujos e ilustraciones diseñadas por el mismo Rosado"", comentó.
El director menciona que Yordi redactará los libros de primaria, secundaria y prepa: ""él domina muy bien el lenguaje de los adolescentes, pre adolescentes y niños. Realmente hizo una labor de investigación muy grande para entender y dominar a la perfección el lenguaje de las nuevas generaciones, los estudiantes definitivamente van a disfrutar los textos y se van a identificar con el idioma juvenil. Rosado respetó los contenidos sin alterarlos pero logró convertirlos al lenguaje de la chaviza, hasta yo que ya estoy grande me quedé picado al leerlos, la neta están padrísimos"", puntualizó riendo el director.",http://www.elruinaversal.com/2018/05/06/yordi-rosado-escribira-y-disenara-los-nuevos-libros-de-texto-de-la-sep-para-hacerlos-mas-atractivos/
5,Fake,Education,Lamula,pretenden aprobar libros escolares con contenido sesgado sobre el conflicto armado interno,"Alerta: pretenden aprobar libros escolares con contenido sesgado sobre el conflicto armado interno
Sigue la campaña negacionista del fujimorismo. Otra vez desde el Congreso, la bancada Fuerza Popular (FP) presionó para que se revisen los textos escolares y sus contenidos sobre la época del terrorismo, según denuncia la Coordinadora Nacional de Derechos Humanos (Cnddhh).
De acuerdo a esta organización, el Ministerio de Educación (Minedu) estaría a punto de aprobar libros de primero, segundo y tercero de secundaria con contenidos sesgados sobre el periodo del conflicto armado interno, faltando así a la verdad y a la memoria de los cientos de miles de víctimas de la violencia y el terror desatadas entre los años *NUMBER* y *NUMBER* en Perú.
La Cnddhh denunció que esto sería el resultado de un convenio suscrito, en setiembre del *NUMBER*, entre el entonces ministro de Educación, Idel Vexler, y el presidente del Congreso, el fujimorista Luis Galarreta, para la conformación de una comisión que incluía a personajes como el exvicepresidente de Alberto Fujimori, Francisco Tudela, y el vicealmirante en retiro, implicado en la matanza de El Frontón, Luis Giampietri.
En este proceso de revisión, se habrían realizado talleres en los que participaron congresistas y asesores de FP y miembros en retiro de las Fuerzas Armadas, en lugar de instituciones y especialistas expertos en asuntos pedagógicos y derechos humanos. En este sentido, la Cnddhh advirtió que esta es una modalidad de injerencia del Congreso en competencias que corresponden al Poder Ejecutivo.
La Cnddhh sostuvo que esto tiene la finalidad de negar los hechos ocurridos, así como ""las responsabilidades de los distintos actores que cometieron graves crímenes contra la humanidad y sometieron al país al miedo y al terror, incluyendo la responsabilidad del propio Estado"". Este es el pronunciamiento de la Cnddhh:
SOBRE EL MINEDU Y LOS TEXTOS ESCOLARES:
LAS POLÍTICAS EDUCATIVAS NO PUEDEN DESCONOCER EL PASADO DEL PAÍS
Pronunciamiento
La Coordinadora Nacional de Derechos Humanos (CNDDHH), frente a la propuesta del Ministerio de Educación (MINEDU) de contenidos para la enseñanza sobre el terrorismo en el Perú en los textos escolares, que se pretenden validar e imprimir con extrema celeridad, señala y alerta a la ciudadanía con carácter de urgencia sobre lo siguiente:
*NUMBER*. El actual Congreso de la República y su mayoría vienen ejerciendo presiones sobre el poder ejecutivo y demás entidades del Estado para favorecer sus intereses particulares, que resultan lesivos al país y sus mayorías ciudadanas. En este contexto, ha desplegado una agresiva campaña que pretende negar una visión comprehensiva del período del conflicto armado interno (CAI), así como las responsabilidades de los distintos actores que cometieron graves crímenes contra la humanidad y sometieron al país al miedo y al terror, incluyendo la responsabilidad del propio Estado.
*NUMBER*. La campaña del negacionismo se ha propuesto imponer a través del MINEDU una visión sesgada de la historia y de los hechos del CAI, afectando así el derecho a la verdad que tiene la ciudadanía, en particular las niñas, niños y adolescentes en formación escolar. Para ello, el *NUMBER* de septiembre del *NUMBER* el Congreso y el MINEDU suscribieron un convenio para ""reforzar la educación cívica y democrática en los colegios"" y anunciaron la conformación de una ""Comisión"" para este fin. Abriendo así una peligrosa puerta para la injerencia del Congreso sobre competencias que corresponden al gobierno.
*NUMBER*. En esta orientación, la actual gestión del MINEDU ha realizado tres (*NUMBER*) talleres de consulta para validar los contenidos de los textos escolares, priorizando la participación de congresistas y asesores de Fuerza Popular y la de miembros en situación de retiro de las FFAA. El proceso de validación adquiere así un carácter político que se impone sobre los criterios técnico, pedagógico y especializado que deben garantizar el derecho a la educación. Este proceso omite además criterios metodológicos claros, así como la participación amplia de especialistas en la materia.
*NUMBER*. La política educativa del país debe ser leal a nuestra historia reciente, a los principios democráticos y al respeto profundo a los derechos fundamentales de las personas. Como lo advierte el Consejo de Derechos Humanos de las Naciones Unidas, en su estrategia global para hacer frente a las condiciones que propician la propagación del terrorismo, las ""medidas eficaces contra el terrorismo y la protección de los derechos humanos no son objetivos contrapuestos"".
*NUMBER*. El derecho a la verdad es un derecho fundamental individual y colectivo reconocido por nuestro Tribunal Constitucional y la Corte Interamericana de Derechos Humanos, que exige a los Estados promover en sus políticas, más aún de educación, objetividad sobre qué pasó en el país y cuáles fueron sus causas. En este sentido, el MINEDU no puede someterse a las presiones del Congreso y menos hacerse cómplice del negacionismo.
Bajo estas consideraciones, la CNDDHH exhorta al MINEDU y exige al Estado peruano a promover un diálogo amplio y abierto sobre los contenidos y fines de los mencionados textos escolares, conducente a garantizar a las futuras generaciones el derecho a una política educativa y de memoria que respete los principios democráticos y el derecho fundamental a la verdad.",https://redaccion.lamula.pe/2018/06/19/memoria-derechos-humanos-conflicto-armado-interno-peru-ministerio-educacion-libros-secundaria-cnddhh/jorgepaucar/
7,Fake,Education,El Ruinaversal,UNAM REALIZARÁ PRUEBAS ANTIDOPING A ESTUDIANTES DE SOCIOLOGÍA Y FILOSOFÍA; EXPULSARÁN A LOS QUE DEN POSITIVO,"UNAM REALIZARÁ PRUEBAS ANTIDOPING A ESTUDIANTES DE SOCIOLOGÍA Y FILOSOFÍA; EXPULSARÁN A LOS QUE DEN POSITIVO
México.- El rector de la Universidad Autónoma de México, Enrique Graue Wiechers, reveló en conferencia de prensa que a partir del próximo ciclo escolar, estudiantes de las carreras de Sociología y Filosofía serán sometidos a un examen antidoping que se les aplicará cada *NUMBER* meses, y los alumnos que den positivo serán expulsados definitivamente de la institución, esto con la finalidad de frenar la venta y consumo de drogas dentro de las instalaciones, además de limpiar la fama que dichas licenciaturas tienen de ser ""para puro marihuano y borracho"".
Enrique dejo en claro que es bien sabido por todos que en dichas facultades es donde más se consumen sustancias ilícitas dentro de las instalaciones, ya que incluso los alumnos se han apoderado de ciertas áreas para irse a drogar en horarios de clase:
""Hemos sido muy tolerantes con los alumnos en general: cuando descubrimos a un alumno (independientemente de la facultad en la que se encuentre) consumiendo bebidas alcohólicas o cometiendo una falta al reglamento, inmediatamente es trasladado a rectoría para imponerle un castigo (que incluso puede llegar a la expulsión), sin embargo los vigilantes y cuerpo de seguridad de Sociología y Filosofía prefieren hacerse de la vista gorda porque en dichas carreras ya es algo común que los alumnos todo el día se estén drogando, y es imposible controlarlos a todos.
Los anteriores rectores les dieron muchas libertades a estos estudiantes pero ya es hora de ponerles un alto, una cosa es que quieran luchar contra el sistema, y otra romper las reglas y luego hacerse los ofendidos"", comentó.
Graue recordó el caso de ""El Yorch"", un estudiante que hace meses fue detenido por traficar droga dentro en las inmediaciones del auditorio de Filosofía:
""Ese es el caso más conocido pero no es el único del que se tiene registro, la realidad es que decenas de alumnos de estas carreras venden, compran, trafican y consumen drogas dentro de las instalaciones como si nada.
La venta y consumo se da en todas las carreras no lo voy a negar, pero en Filosofía y Sociología lo hacen de un modo descarado. Es un hecho que realizaremos las pruebas antidoping y al que no le guste que se salga, algunos ya amenazaron con ir a Derechos Humanos pero nosotros tenemos la libertad de implementar cualquier regla siempre y cuando no violentemos física ni psicológicamente a alguien.
Los alumnos que opten por seguir drogándose serán obligados a dejar la institución para cederle su lugar a alguien que realmente tenga deseos de ir a estudiar, y no a agarrar a la facultad como cantina o bar para echarse sus churros de mota o tomarse sus aguas locas"", puntualizó.",http://www.elruinaversal.com/2017/05/06/unam-realizara-pruebas-antidoping-a-estudiantes-de-sociologia-y-filosofia-expulsaran-a-los-que-den-positivo/
10,Fake,Education,El Ruinaversal,"LIMITARÁN EL TIEMPO DE EGRESO EN FILOSOFÍA Y SOCIOLOGÍA A MÁXIMO *NUMBER* AÑOS PARA EVITAR LA FORMACIÓN DE ""FÓSILES""","LIMITARÁN EL TIEMPO DE EGRESO EN FILOSOFÍA Y SOCIOLOGÍA A MÁXIMO *NUMBER* AÑOS PARA EVITAR LA FORMACIÓN DE ""FÓSILES""
México.- El rector de la UNAM, Enrique Luis Graue, citó a los medios a una conferencia de prensa para informar que a partir del próximo año el tiempo de egreso de las carreras de Filosofía y Sociología de las Universidades de todo el país será limitado a un máximo de ""*NUMBER* años"" (solo uno más de lo que normalmente dura la licenciatura) con la finalidad de frenar la formación de ""fósiles"" y así evitar que las universidades tengan un gasto innecesario.
 Enrique señala que decidieron implementar la estrategia en dichas carreras ya que es donde se registra mayor número de ""fósiles"", es decir, alumnos que reprueban materias de adrede, toman solo una o dos por año, o se salen de la escuela para regresar el próximo semestre con la finalidad de prolongar su estadía en la Universidad ya que que se convierte en su zona de confort:
Te puede interesar Lolita de la Vega gana demanda para evitar que TV Azteca vuelva a retrasmitir Sailor Moon
 ""Las licenciaturas de Filosofía y Sociología están diseñada para acabarse en un máximo *NUMBER* años, en estas carreras es donde se registra un mayor número de chairos guerrilleros pero también en donde existe el mayor número de fósiles. Para estas personas su institución se convierte en su zona de confort y hacen lo posible por prolongar su estadía porque sienten un miedo terrible de salir al mundo real. En la Universidad se sienten parte de algo, tienen miedo que al egresar se conviertan en fantasmas y nadie los tome en cuenta. Cada alumno de una Universidad pública le cuesta más de USD*NUMBER* mil pesos semestrales al estado, no es justo que el gobierno pague dicha cantidad por alguien que solo se inscribe para tomar una o dos materias cada *NUMBER* meses para alargar su estadía, que muchas veces llega a ser hasta de *NUMBER* años"", dijo.
 Luis mencionó que estas licenciaturas duran *NUMBER* semestres, y a partir del próximo año solo se les dará oportunidad de estudiar en la institución otros *NUMBER* semestres más en caso de que se retrasen: ""hay gente que literalmente dura *NUMBER* semestres en la Universidad, esto se va a terminar. Los alumnos de estas carreras no podrán dar de bajas materias, y si reprueban de adrede los pasaremos aunque no quieran. Si aun así el estudiante se empeña en reprobar para no salir y desaprovecha su año de tolerancia entonces será dado de baja de manera automática y no podrá volver a ingresar a la Universidad nunca más, ni a su carrera ni a ninguna otra. No es justo que su capricho le provoque al gobierno un gasto millonario incensario que puede ser invertido en infraestructura o nuevo material. A partir del *NUMBER* tendrán un año de tolerancia para egresar, es la única manera en que podemos acabar con los fósiles"", puntualizó.",http://www.elruinaversal.com/2017/05/19/limitaran-el-tiempo-de-egreso-en-filosofia-y-sociologia-a-maximo-5-anos-para-evitar-la-formacion-de-fosiles/
12,Fake,Education,Los replicantes,La Universidad de Oxford da más tiempo a las mujeres para hacer los exámenes,"La Universidad de Oxford da más tiempo a las mujeres para hacer los exámenes
La polémica medida que ha puesto en marcha la Universidad se da para intentar mejorar los resultados de las estudiantes.
La Universidad de Oxford ha puesto en marcha una medida para buscar la mejora de las notas en sus estudiantes. A pesar de que la medida comenzó a implantarse hace unos meses, concretamente en junio del *NUMBER*, ha trascendido ahora gracias a las informaciones ofrecidas por el medio británico The Telegraph.
La medida ha generado cierta polémica debido a su carácter desigual con los sexos de sus estudiantes, ya que la Universidad ha decidido dar *NUMBER* minutos más de tiempo a las mujeres para realizar un examen respecto a los estudiantes varones. Este aumento de duración de los exámenes viene motivado por el bajo rendimiento de las mujeres en las notas de los exámenes respecto al de los hombres.
En anteriores años las notas altas en los hombres duplicaban a las de las mujeres y con este cambio se pretende ecualizar estos desajustes. La Universidad indica que este aumento de duración con el que las mujeres disponen de *NUMBER* minutos respecto a los habituales *NUMBER* minutos se hace con motivos reales en los que las mujeres ""manejan peor el estrés"" y ""repasan más sus respuestas"".
No obstante, y tras la polémica generada en tan curiosa medida que está realizada con el fin de ""mitigar la brecha de género que ha aparecido en los últimos años"", la Universidad no piensa dar marcha atrás con la misma. La razón es que los resultados de esta medida han sido satisfactorios pues se ha conseguido mejorar la nota media de las estudiantes.
Muchas voces críticas respecto a la situación
La medida ha causado gran polémica pues muchos expertos han asegurado que no hay diferencias de género en lo referente a las habilidades matemáticas. Además de ello, a pesar de que la Universidad indica que lo hacen para igualar géneros, la percepción es la de causar una gran desigualdad que hace ver que las mujeres siguen siendo el ""sexo débil"".
Las redes por su lado han mostrado su incredulidad al respecto y critican la medida en la que sienten que se genera una minusvaloración de las mujeres respecto al hombre.",https://www.losreplicantes.com/articulos/universidad-oxford-tiempo-mujeres-examenes/
14,Fake,Education,Hay noticia,La nueva selectividad permitirá a los estudiantes realizar los exámenes online,"La nueva selectividad permitirá a los estudiantes realizar los exámenes online
El Ministerio de Educación ha dado a conocer por finen la mañana de hoy las nuevas condiciones para la nueva selectividad, conocida ahora como EBAU por sus siglas Evaluación de Bachillerato para Acceso a la Universidad.
Una de las condiciones más novedosas y que más han llamado la atención es que la prueba se podrá hacer desde casa, de manera online y sin asistir al centro examinador. ""Creemos que ésta es la mejor forma de actualizarnos a los nuevos tiempos que corren. Si hoy todo se puede hacer por internet ¿por qué no ésta prueba?"" explica el portavoz del Ministerio de Educación ""confiamos que los alumnos no miren los libros o consulten en Google durante la prueba, estaría mal y se engañarían a ellos mismos. Pero no creemos que nadie hiciera algo así…""
Las fechas de convocatoria para la EBAU tendrán lugar durante la primera quincena de Junio, dependiendo de la Comunidad Autónoma, y se deberá solicitar acceso para hacer la prueba online en la web del Ministerio de Educación antes de que finalice Mayo.",https://haynoticia.es/la-nueva-selectividad-permitira-los-estudiantes-realizar-los-examenes-online3333/
15,Fake,Education,El Ruinaversal,"PIETRO BOSELLI, EL MAESTRO MÁS SEXY DEL MUNDO, DARÁ CLASES EN LA UNAM","PIETRO BOSELLI, EL MAESTRO MÁS SEXY DEL MUNDO, DARÁ CLASES EN LA UNAM
México.- Gran sorpresa causó el presidente Enrique Peña Nieto, al revelar que acaba de cerrar un acuerdo con el famoso profesor de matemáticas de la en la University College of London, Pietro Boselli (que se hizo viral en todo el mundo al ser considerado como ""el maestro más sexy del planeta), para que de clases por un semestre en la Universidad Nacional Autónoma de México en el área de ingeniería.
EPN mencionó que decidió revelar que el famoso profesor vendría a México a dar clases con la finalidad de ""que fuera un regalo por el día del maestro"", mencionando que ya es un hecho que dará clases en la facultad de ingeniería de la UNAM, por lo que el número de mujeres que han sacado ficha para ingresar a dicha carrera incrementó un *NUMBER*%:
""Decidimos contratar a Boselli para elevar el nivel académico de la UNAM, hace décadas nuestra universidad estaba en el top *NUMBER* de las mejores del mundo, y ahora ya hasta está a punto de salir del top *NUMBER*. Necesitamos que la gente del mundo ponga sus ojos en la UNAM para que vuelva a adquirir el prestigio de antes.
Fue mi asesor quien me recomendó traer a Boselli, pero yo fui tajante y le dije que teníamos que hacerles pruebas para comprobar que era buen profesor, y merecía entrar en la nómina del gobierno.
Por supuesto nos entusiasma el revuelo que causara su contratación, pero finalmente mi intención es aumentar el prestigio por lo que de nada sirve que sea tan guapo si no es bueno dando clases.
Al final nos percatamos que de hecho está mucho mejor preparado que los profesores actuales así que lo contratamos de inmediato. Nos salió algo caro convencerlo porque él también es modelo y tuvimos que pagarle doble, como profesor y como modelo"", dijo.
EPN señaló que ""muchas mujeres pedían que lo pusieran a dar clases en alguna licenciatura como Comunicación"", sin embargo Pietro es experto en materias de ingeniera:
""Cuando se corrió el rumor de que lo contrataríamos las chicas nos decían que lo mandáramos a la licenciatura donde estudian, pero el profesor es experto en ingeniería y no tenía caso ponerlo a dar clases en algo que no es su área.
Al final las mujeres decidieron que se cambiarán a la ingeniería donde se clases. Si van a tomar esa decisión solo porque quieren ver de cerca al maestro piénsenlo bien porque Boselli solo estará un semestre, y además solo dará clases *NUMBER* días a la semana, ya que los demás los usará para cumplir con su otra labor de modelo"", puntualizó Nieto.",http://www.elruinaversal.com/2017/05/19/pietro-boselli-el-maestro-mas-sexy-del-mundo-dara-clases-en-la-unam/
16,Fake,Society,Modonoticia,"Angelica Rivera ""Mis hijas no son de sangre indígena,","Angelica Rivera ""Mis hijas no son de sangre indígena, por eso no viven en este país tan peligroso""
La primera dama de México Angelica Rivera asegura que su vida siempre la ha manejado con ''honestidad, verticalidad y transparencia"".
Angelica Rivera, quien realiza una gira junto a su esposo para hacer frente a los retos comunes de la región, quien además aseguró que hace un esfuerzo para mantener a su familia en Estados Unidos con doble propósito; que sus hijas aprendan otros idiomas más beneficiosos.
Resaltó: ""Tengo a mis hijas fuera del país porque México está lleno de 'nacos' y delincuentes, de esta manera mantengo más tranquilo, sin preocupaciones."" Además agregó que ""Mis hijas no son de sangre indígena, por eso no viven en este país tan peligroso""
""Mi familia es lo más importante que tengo y estoy haciendo un esfuerzo por darles una educación a mis hijas para que puedan aprender otro idioma; es la misma oportunidad que a mí me dieron cuando era niña"", expuso.
Todo lo que tengo está en mis declaraciones; mis gastos están perfectamente cuadrados con los ingresos con que cuento. No tengo la más remota idea (de donde vengan los señalamientos), de lo que estoy convencida es que la información que se habla de mi es falsa.",http://modonoticia.com/2018/06/04/angelica-rivera-mis-hijas-no-son-de-sangre-indigena-por-eso-no-viven-en-este-pais-tan-peligroso/
