Texto,Idioma
Juan vendió sus ovejas,Español
El gato persigue al ratón,Español
El niño come el choclo,Español
Abre la puerta,Español
Escúchenme,Español
EL ZORRO Y LA OVEJA,Español
"Un zorro estaba andando por la puna. Allí encontró una oveja comiendo pasto. El zorro asustó a la oveja. Entonces la oveja se fue escapando. El zorro se fue corriendo detrás de la oveja hasta alcanzarla. Un niño pastor vio al zorro allí y gritó: “¡A mi oveja no!” Aunque dijo eso, el zorro comió su corderito",Español
Luego su mamá preguntó al niño: “¿Dónde está nuestro corderito?”,Español
"“El zorro me lo robó”, dijo el niño llorando. Entonces la mamá acarició a su niño: “No llores. Ven acá para que durmamos”, dijo.",Español
EL CONEJO Y EL ZORRO,Español
"Un día, un conejo estaba andando con un zorro. Allí el zorro insultó al conejo. El zorro saltó encima del conejo para comerlo diciéndole: “¿Eres oveja?”",Español
"Mientras el zorro estaba comiendo al conejo, llegó el dueño del conejo. Al ser descubierto, el zorro corrió dentro del monte. Cuando el dueño fue a buscar a su conejo, ya no lo encontró",Español
"Otro día apareció un cuy. Entonces el zorro se puso a reír diciendo: “Ahora voy a comer al cuy”. Después de comerlo, se fue a esconder. Pero no sabía que el cuy estaba con veneno.",Español
"Entonces cuando el dueño no encontró a su cuy, fue en su búsqueda dentro del monte. Él dijo: “¿Qué apesta?” En el monte encontró al zorro muerto. Entonces pasó por su lado diciendo: “Esto apesta”.",Español
"Un hombre tenía dos hijos. Esos hijos comían bastante. (Eran comelones.) Por eso sus padres los llevaron a botar por la peña, metiéndolos en una alforja para que mueran. Los niños se atajaron en medio de la peña.",Español
LA ENDIABLADA (LA ENVIDIOSA),Español
"Mientras estaban atajados en medio de la peña, vieron a un cóndor y lo llamaron: “Tío cóndor, sácanos de esta peña a una pampa”. Entonces el cóndor se fue a sacar a los niños. Cargándolos, los puso en una pampa. Dejándolos allí, el cóndor se fue",Español
Luego apareció un pajarito con la flor de la papa en su pico. Los niños lo correteaban queriendo agarrarlo. Luego llegaron a una chacra de papas. Los niños sacaron papas para comer.,Español
Luego los niños vieron una casa humeando. Viendo eso la hermana dijo a su hermano: “Vete a pedir una olla y candela para que cocinemos papas para comer”. Su hermano fue a pedir una olla. Esa era la casa de la endiablada.,Español
La endiablada dijo: “Anda. Dile a tu hermana que venga acá nomás a cocinar”. Entonces se fue a traer a su hermana a la casa de la endiablada.,Español
La endiablada comía solamente la parte de adentro de la papa. A los niños les daba de comer solamente la cáscara. De noche dormía con el niño. A la niña la puso a dormir con su hijo. ¡Esa noche comió al niño!,Español
Al día siguiente la niña encontró solo los huesos de su hermano.,Español
"La endiablada dijo a su hijo: “Vete a traer un perol. Hierve el agua. Engañándola (a la niña) dices: ‘¡Mira allí! Hay muchos aretes’. Al decir eso, túmbala, para que luego yo la coma”.",Español
"Cuando el hijo de la endiablada había dicho eso, la otra dijo: “A ver tú mira primero”. Cuando estaba mirando, tumbó al hijo de la endiablada. Después de tumbar a ese niño se fue hacia un cerro cargando los huesos de su hermano.",Español
Mientras la endiablada estaba comiendo se dio cuenta de que era su hijo. Después se fue siguiendo a esa niña,Español
"Cuando la niña llegó al cerro llamó: “Dios Padre, manda tu soga de oro”. Por eso Dios mandó la soga de oro. Con esa soga jaló a la niña al cielo.",Español
"Para la endiablada mandó una soguilla con ratón. Cuando la endiablada estaba en el medio, el ratón cortó la soga. Mientras la endiablada caía dijo gritando: “A la pampa nomás, a los pastos nomás”. Mientras hablaba cayó entre las piedras y las espinas.",Español
"Cuando la niña llegó al cielo, le lloró a Dios: “Sáname a mi hermano”",Español
"Dios le dijo: “No mires. Tu hermano se va a sanar”. Aunque dijo eso, la niña volvió a mirar a su hermano que ya estaba formándose. Luego su hermano se convirtió en perro. Cuando Dios llegó, le preguntó: “¿Has mirado? Seguro. Por eso se convirtió en perro”.",Español
LA MUJER Y EL OSO,Español
Una mujer fue a buscar maíz. Allí se le apareció un oso. Después el oso se llevó a la mujer a una cueva. La tuvo allí en la cueva.,Español
Vivió bastante tiempo con la mujer. Luego ella dio a luz al hijo del oso.,Español
