Texto,Idioma
pishqu,Quechua
allpa,Quechua
baka,Quechua
tuta,Quechua
wintuyan,Quechua
das,Quechua
killa,Quechua
manka,Quechua
sigis,Quechua
qarwa,Quechua
qaqa,Quechua
shumaq,Quechua
fyista,Quechua
saka,Quechua
shimi,Quechua
jyirru,Quechua
llantu,Quechua
chumpaka,Quechua
ĉhaki,Quechua
manka,Quechua
nawi,Quechua
,Quechua
ñushi,Quechua
runa,Quechua
karru,Quechua
lakwash,Quechua
wasi,Quechua
yaku,Quechua
kiru,Quechua
kuru,Quechua
karu,Quechua
qiwa,Quechua
quntay,Quechua
tuta,Quechua
rumi,Quechua
ishkay,Quechua
qiwa,Quechua
uysha,Quechua
quntay,Quechua
allqu,Quechua
wasikuna,Quechua
ruran,Quechua
munankichu,Quechua
Juan uyshankunata rantikuran,Quechua
Mishi ukchata qatiĉhan,Quechua
Wamra chuqlluta mikun,Quechua
Wamra mikun chuqlluta,Quechua
tayta,Quechua
papa,Quechua
mama,Quechua
wamra,Quechua
ullqu,Quechua
warmi,Quechua
irmanu,Quechua
irmana,Quechua
agwilu,Quechua
agwila,Quechua
willka,Quechua
runa,Quechua
qusa,Quechua
swigru,Quechua
swigra,Quechua
llunchu,Quechua
masha,Quechua
kuñaw,Quechua
kuñada,Quechua
primu,Quechua
prima,Quechua
tiyu,Quechua
tiya,Quechua
subrinu,Quechua
subrina,Quechua
rupay,Quechua
puktay,Quechua
riyu,Quechua
quĉha,Quechua
rumi,Quechua
shallqa,Quechua
surru,Quechua
atuq,Quechua
lluychu,Quechua
luychu,Quechua
kuru,Quechua
tuktu,Quechua
qiru,Quechua
uqsha,Quechua
yura,Quechua
qiwa,Quechua
ĉhakra,Quechua
rukitu,Quechua
runa,Quechua
wamra,Quechua
chinita,Quechua
musu,Quechua
shipash,Quechua
wasi,Quechua
chuklla,Quechua
chikru,Quechua
pwinti,Quechua
uysha,Quechua
pishqu,Quechua
kuchi,Quechua
burru,Quechua
punku,Quechua
bintana,Quechua
qatanan,Quechua
simintu,Quechua
kurral,Quechua
uqsha,Quechua
numral,Quechua
qishqi,Quechua
panku,Quechua
masma,Quechua
kuchu,Quechua
kwartun,Quechua
sumru,Quechua
pañu,Quechua
kamsa,Quechua
anuku,Quechua
justan,Quechua
lliklla,Quechua
pullu,Quechua
qalla,Quechua
maki wallqa,Quechua
kunka wallqa,Quechua
waĉhku,Quechua
llanqi,Quechua
kukush,Quechua
gurru,Quechua
kamsa,Quechua
punchu,Quechua
pantalun,Quechua
sinchu,Quechua
kasaka,Quechua
chumpa,Quechua
alburja,Quechua
uma,Quechua
aqcha,Quechua
urku,Quechua
nawipa shapran,Quechua
nawi,Quechua
sinqa,Quechua
rinri,Quechua
shimi,Quechua
aqru,Quechua
kiru,Quechua
qallu,Quechua
ĉhaqli,Quechua
shapra,Quechua
kunka,Quechua
rikra,Quechua
liklachu,Quechua
rikra,Quechua
qukĉhi,Quechua
maki,Quechua
qara,Quechua
millwa,Quechua
