id,disposition
normal_K00001.01,1
normal_K00002.01,1
normal_K00003.01,1
normal_K00004.01,1
normal_K00005.02,0
normal_K00006.01,0
normal_K00007.01,1
normal_K00008.01,0
normal_K00009.01,0
normal_K00010.01,1
normal_K00011.01,0
normal_K00012.01,1
normal_K00013.01,1
normal_K00014.01,0
normal_K00015.01,0
normal_K00016.01,0
normal_K00017.01,1
normal_K00018.01,1
normal_K00019.01,0
normal_K00020.01,1
normal_K00021.01,0
normal_K00022.01,1
normal_K00023.01,0
normal_K00024.01,0
normal_K00025.01,0
normal_K00026.01,0
normal_K00027.01,0
normal_K00028.01,0
normal_K00031.01,0
normal_K00033.01,0
normal_K00041.01,1
normal_K00041.02,1
normal_K00041.03,1
normal_K00042.01,1
normal_K00043.01,0
normal_K00044.01,0
normal_K00045.01,0
normal_K00046.01,1
normal_K00046.02,1
normal_K00048.01,0
normal_K00049.01,1
normal_K00051.01,0
normal_K00052.01,0
normal_K00053.01,0
normal_K00061.01,0
normal_K00063.01,1
normal_K00065.01,0
normal_K00066.01,0
normal_K00068.01,0
normal_K00069.01,1
normal_K00070.01,1
normal_K00070.02,1
normal_K00070.03,1
normal_K00070.04,1
normal_K00070.05,1
normal_K00072.01,1
normal_K00072.02,1
normal_K00074.01,0
normal_K00081.01,0
normal_K00082.01,1
normal_K00082.02,1
normal_K00082.03,1
normal_K00082.04,1
normal_K00082.05,1
normal_K00082.06,0
normal_K00084.01,1
normal_K00085.01,1
normal_K00085.02,1
normal_K00085.03,1
normal_K00087.01,1
normal_K00088.01,0
normal_K00089.01,1
normal_K00089.02,1
normal_K00090.01,0
normal_K00092.01,1
normal_K00094.01,1
normal_K00094.02,1
normal_K00094.03,1
normal_K00094.04,1
normal_K00097.01,1
normal_K00098.01,1
normal_K00099.02,0
normal_K00103.01,1
normal_K00104.01,1
normal_K00105.01,1
normal_K00106.01,0
normal_K00107.01,1
normal_K00108.01,1
normal_K00108.02,1
normal_K00109.01,0
normal_K00110.01,1
normal_K00111.01,1
normal_K00111.02,1
normal_K00111.03,1
normal_K00111.04,0
normal_K00112.01,1
normal_K00112.02,1
normal_K00113.01,0
normal_K00114.01,0
normal_K00115.01,1
normal_K00115.02,1
normal_K00116.01,1
normal_K00116.02,1
normal_K00116.03,1
normal_K00116.04,1
normal_K00117.01,1
normal_K00117.02,1
normal_K00117.03,1
normal_K00117.04,1
normal_K00118.01,1
normal_K00119.01,1
normal_K00119.02,1
normal_K00120.01,0
normal_K00121.01,0
normal_K00122.01,1
normal_K00123.01,1
normal_K00123.02,1
normal_K00124.01,1
normal_K00124.02,1
normal_K00125.01,1
normal_K00126.01,0
normal_K00127.01,1
normal_K00128.01,1
normal_K00129.01,1
normal_K00130.01,0
normal_K00131.01,1
normal_K00132.01,0
normal_K00133.01,0
normal_K00135.01,1
normal_K00136.01,0
normal_K00137.01,1
normal_K00137.02,1
normal_K00137.03,1
normal_K00138.01,0
normal_K00139.01,1
normal_K00139.02,1
normal_K00140.01,0
normal_K00142.01,1
normal_K00142.02,0
normal_K00143.01,0
normal_K00144.01,1
normal_K00145.01,0
normal_K00146.01,0
normal_K00147.01,0
normal_K00148.01,1
normal_K00148.02,1
normal_K00148.03,1
normal_K00149.01,1
normal_K00150.01,1
normal_K00150.02,1
normal_K00152.01,1
normal_K00152.02,1
normal_K00152.03,1
normal_K00152.04,1
normal_K00153.01,1
normal_K00153.02,1
normal_K00154.01,0
normal_K00155.01,1
normal_K00156.01,1
normal_K00156.02,1
normal_K00156.03,1
normal_K00157.01,1
normal_K00157.02,1
normal_K00157.03,1
normal_K00157.04,1
normal_K00157.05,1
normal_K00157.06,1
normal_K00158.01,0
normal_K00159.01,1
normal_K00159.02,1
normal_K00160.01,0
normal_K00161.01,1
normal_K00162.01,1
normal_K00163.01,1
normal_K00164.01,0
normal_K00167.01,1
normal_K00168.01,1
normal_K00168.02,1
normal_K00168.03,1
normal_K00169.01,0
normal_K00170.01,0
normal_K00171.01,1
normal_K00171.02,1
normal_K00172.01,1
normal_K00172.02,1
normal_K00173.01,1
normal_K00174.01,1
normal_K00175.01,0
normal_K00176.01,1
normal_K00177.01,1
normal_K00178.01,0
normal_K00179.01,1
normal_K00179.02,1
normal_K00180.01,1
normal_K00181.01,0
normal_K00182.01,0
normal_K00183.01,1
normal_K00184.01,0
normal_K00186.01,1
normal_K00188.01,1
normal_K00189.01,1
normal_K00190.01,0
normal_K00191.01,1
normal_K00191.02,1
normal_K00191.04,1
normal_K00192.01,1
normal_K00193.01,0
normal_K00194.01,1
normal_K00195.01,1
normal_K00196.01,1
normal_K00197.01,1
normal_K00198.01,0
normal_K00199.01,1
normal_K00199.02,0
normal_K00200.01,1
normal_K00201.01,1
normal_K00202.01,1
normal_K00203.01,1
normal_K00204.01,1
normal_K00205.01,1
normal_K00206.01,1
normal_K00208.01,1
normal_K00209.01,1
normal_K00209.02,1
normal_K00213.01,0
normal_K00214.01,1
normal_K00215.01,0
normal_K00216.01,1
normal_K00216.02,1
normal_K00217.01,1
normal_K00218.01,0
normal_K00219.01,1
normal_K00220.01,1
normal_K00220.02,1
normal_K00221.01,1
normal_K00221.02,1
normal_K00222.01,1
normal_K00222.02,1
normal_K00223.01,1
normal_K00223.02,1
normal_K00224.01,0
normal_K00225.01,0
normal_K00226.01,1
normal_K00229.01,1
normal_K00230.01,0
normal_K00231.01,0
normal_K00232.01,1
normal_K00232.02,1
normal_K00232.03,1
normal_K00232.04,1
normal_K00232.05,1
normal_K00234.01,1
normal_K00235.01,1
normal_K00237.01,1
normal_K00238.01,1
normal_K00238.02,1
normal_K00239.01,1
normal_K00239.02,1
normal_K00240.01,1
normal_K00241.01,1
normal_K00241.02,1
normal_K00241.03,1
normal_K00242.01,0
normal_K00243.01,0
normal_K00244.01,1
normal_K00244.02,1
normal_K00245.01,1
normal_K00245.02,1
normal_K00245.03,1
normal_K00245.04,1
normal_K00246.01,1
normal_K00246.02,1
normal_K00247.01,1
normal_K00248.01,1
normal_K00248.02,1
normal_K00248.03,1
normal_K00248.04,1
normal_K00249.01,1
normal_K00250.01,1
normal_K00250.02,1
normal_K00250.03,1
normal_K00250.04,1
normal_K00251.01,1
normal_K00251.02,1
normal_K00252.01,1
normal_K00254.01,1
normal_K00255.01,1
normal_K00255.03,0
normal_K00256.01,0
normal_K00257.01,1
normal_K00258.01,0
normal_K00259.01,0
normal_K00260.01,1
normal_K00260.02,1
normal_K00260.03,1
normal_K00261.01,1
normal_K00262.01,1
normal_K00262.02,1
normal_K00263.01,0
normal_K00264.01,0
normal_K00265.01,1
normal_K00266.01,1
normal_K00267.01,0
normal_K00269.01,1
normal_K00270.01,1
normal_K00270.02,1
normal_K00271.01,1
normal_K00271.02,1
normal_K00271.03,1
normal_K00273.01,1
normal_K00274.01,1
normal_K00274.02,1
normal_K00275.01,1
normal_K00275.02,1
normal_K00276.01,1
normal_K00277.01,1
normal_K00277.02,1
normal_K00279.01,1
normal_K00279.02,1
normal_K00279.03,1
normal_K00280.01,1
normal_K00281.01,1
normal_K00282.01,1
normal_K00282.02,1
normal_K00282.03,1
normal_K00283.01,1
normal_K00283.02,1
normal_K00284.01,1
normal_K00284.02,1
normal_K00284.03,1
normal_K00284.04,1
normal_K00285.01,1
normal_K00285.02,1
normal_K00285.03,1
normal_K00286.01,0
normal_K00287.01,0
normal_K00288.01,1
normal_K00289.01,1
normal_K00289.02,1
normal_K00290.01,0
normal_K00291.01,1
normal_K00291.02,1
normal_K00292.01,1
normal_K00293.01,0
normal_K00294.01,1
normal_K00295.01,1
normal_K00295.02,1
normal_K00296.01,1
normal_K00297.01,1
normal_K00298.01,1
normal_K00299.01,1
normal_K00300.01,0
normal_K00301.01,1
normal_K00301.02,1
normal_K00302.01,1
normal_K00302.02,0
normal_K00303.01,1
normal_K00304.01,1
normal_K00305.01,1
normal_K00306.01,1
normal_K00307.01,1
normal_K00307.02,1
normal_K00308.01,1
normal_K00309.01,0
normal_K00311.01,0
normal_K00312.01,1
normal_K00312.02,1
normal_K00313.01,1
normal_K00313.02,1
normal_K00314.01,1
normal_K00314.02,1
normal_K00314.03,1
normal_K00315.01,1
normal_K00316.01,1
normal_K00316.02,1
normal_K00317.01,1
normal_K00318.01,1
normal_K00320.01,0
normal_K00321.01,1
normal_K00321.02,1
normal_K00322.01,0
normal_K00323.01,1
normal_K00324.01,0
normal_K00325.01,0
normal_K00326.01,0
normal_K00326.02,0
normal_K00327.01,1
normal_K00327.02,1
normal_K00328.01,0
normal_K00330.01,1
normal_K00330.02,1
normal_K00331.01,1
normal_K00332.01,1
normal_K00333.01,1
normal_K00334.01,0
normal_K00335.01,0
normal_K00336.01,0
normal_K00337.01,1
normal_K00338.01,1
normal_K00338.02,1
normal_K00339.01,1
normal_K00339.02,1
normal_K00339.03,1
normal_K00340.01,0
normal_K00341.01,1
normal_K00341.02,1
normal_K00343.01,1
normal_K00343.02,1
normal_K00343.03,1
normal_K00344.01,1
normal_K00345.01,1
normal_K00346.01,1
normal_K00347.01,0
normal_K00348.01,1
normal_K00349.01,1
normal_K00351.01,1
normal_K00351.02,1
normal_K00351.03,1
normal_K00351.04,1
normal_K00351.05,1
normal_K00351.06,1
normal_K00351.07,1
normal_K00352.01,1
normal_K00352.02,1
normal_K00353.02,1
normal_K00354.01,1
normal_K00354.02,1
normal_K00355.01,1
normal_K00356.01,1
normal_K00358.01,0
normal_K00359.01,0
normal_K00360.01,0
normal_K00361.01,1
normal_K00362.01,0
normal_K00365.01,1
normal_K00368.01,0
normal_K00369.01,1
normal_K00369.02,1
normal_K00370.01,1
normal_K00370.02,1
normal_K00371.01,0
normal_K00371.02,0
normal_K00372.01,1
normal_K00373.01,1
normal_K00374.01,1
normal_K00375.01,1
normal_K00376.01,0
normal_K00376.02,0
normal_K00377.01,1
normal_K00377.02,1
normal_K00377.03,1
normal_K00378.01,0
normal_K00379.01,0
normal_K00380.01,0
normal_K00381.01,0
normal_K00382.01,0
normal_K00383.01,0
normal_K00384.01,1
normal_K00385.01,1
normal_K00386.01,1
normal_K00386.02,1
normal_K00387.01,1
normal_K00388.01,1
normal_K00389.01,0
normal_K00390.01,0
normal_K00391.01,0
normal_K00392.01,1
normal_K00392.02,1
normal_K00393.01,1
normal_K00394.01,0
normal_K00395.01,0
normal_K00397.01,0
normal_K00398.01,1
normal_K00398.02,1
normal_K00398.03,1
normal_K00399.01,0
normal_K00400.01,0
normal_K00401.01,1
normal_K00401.02,1
normal_K00401.03,1
normal_K00402.01,0
normal_K00403.01,0
normal_K00404.01,0
normal_K00405.01,0
normal_K00406.01,0
normal_K00407.01,0
normal_K00408.01,1
normal_K00408.02,1
normal_K00408.03,1
normal_K00408.04,1
normal_K00408.05,0
normal_K00409.01,1
normal_K00410.01,0
normal_K00411.01,0
normal_K00412.01,1
normal_K00413.01,1
normal_K00413.02,1
normal_K00414.01,0
normal_K00414.02,0
normal_K00416.01,1
normal_K00416.02,1
normal_K00418.01,0
normal_K00419.01,0
normal_K00420.01,1
normal_K00421.01,1
normal_K00423.01,1
normal_K00424.01,0
normal_K00425.01,0
normal_K00427.02,1
normal_K00427.03,1
normal_K00428.01,1
normal_K00429.01,1
normal_K00430.01,1
normal_K00431.01,1
normal_K00431.02,1
normal_K00432.01,1
normal_K00433.01,1
