timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
2013207674,34084,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013226398,34085,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013259971,34086,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013291278,34087,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013320006,34088,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013351223,34089,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013381053,34090,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013412562,34091,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013443600,34092,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013541308,34093,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013548753,34094,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013556412,34095,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013588936,34096,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013617663,34097,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013656482,34098,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013682628,34099,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013706491,34100,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013722777,34101,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013754356,34102,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013797649,34103,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013876605,34104,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013930037,34105,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013937625,34106,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013941314,34107,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013958262,34108,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2013978205,34109,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014007643,34110,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014036571,34111,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014075176,34112,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014102557,34113,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014136362,34114,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014161503,34115,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014241503,34116,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014281528,34117,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014290060,34118,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014297767,34119,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014320124,34120,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014348115,34121,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014380255,34122,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014410258,34123,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014446445,34124,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014484333,34125,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014512583,34126,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014535123,34127,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014640243,34128,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014650065,34129,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014653743,34130,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014682763,34131,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014694089,34132,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014722667,34133,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014748442,34134,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014794167,34135,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014824000,34136,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014848941,34137,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014878771,34138,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2014912645,34139,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2015010185,34140,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2015018830,34141,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2015026348,34142,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2015057647,34143,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2015079128,34144,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2015120217,34145,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2015135181,34146,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2015162774,34147,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2015194054,34148,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2015226391,34149,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2015256361,34150,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2015309110,34151,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2015368048,34152,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2015377691,34153,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2015386586,34154,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
