timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
1070077557,17967,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070110943,17968,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070194468,17969,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070210928,17970,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070220896,17971,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070248372,17972,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070268330,17973,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070299773,17974,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070331049,17975,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070361610,17976,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070393819,17977,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070424697,17978,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070453674,17979,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070494817,17980,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070573540,17981,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070603471,17982,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070612200,17983,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070619642,17984,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070644642,17985,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070673600,17986,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070702232,17987,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070738548,17988,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070764986,17989,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070796507,17990,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070825039,17991,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070856091,17992,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070938632,17993,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070955921,17994,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070964611,17995,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1070989729,17996,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1071013371,17997,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
