timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
1175553938,20544,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1175585149,20545,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1175617772,20546,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1175648986,20547,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1175677692,20548,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1175709132,20549,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1175811759,20550,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1175835244,20551,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1175847741,20552,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1175855142,20553,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1175873933,20554,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1175904134,20555,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1175931354,20556,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1175958886,20557,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1175990200,20558,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176036576,20559,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176089039,20560,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176096576,20561,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176174186,20562,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176209050,20563,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176217879,20564,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176242730,20565,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176269065,20566,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176300480,20567,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176307851,20568,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176336499,20569,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176369005,20570,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176399026,20571,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176434113,20572,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176463362,20573,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176518151,20574,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176562943,20575,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176572828,20576,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176595564,20577,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176616655,20578,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176666930,20579,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176684248,20580,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176726753,20581,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176752877,20582,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176779384,20583,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176814078,20584,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176832773,20585,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176887634,20586,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176951606,20587,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176955183,20588,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176965281,20589,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1176999127,20590,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177027887,20591,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177061662,20592,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177092804,20593,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177116822,20594,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177145286,20595,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177179120,20596,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177235513,20597,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177263005,20598,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177311806,20599,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177320442,20600,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177364072,20601,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177372904,20602,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177398024,20603,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177431901,20604,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177469223,20605,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177495371,20606,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177530480,20607,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177569105,20608,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177598009,20609,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177648355,20610,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177664505,20611,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177681640,20612,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177714516,20613,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177742972,20614,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177775623,20615,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177805338,20616,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177838071,20617,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177866546,20618,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177905734,20619,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1177930405,20620,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1178031935,20621,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
