timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
1822841626,31015,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1822875038,31016,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1822906423,31017,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1822936493,31018,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823012943,31019,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823049007,31020,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823060247,31021,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823063027,31022,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823123718,31023,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823131709,31024,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823157708,31025,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823186522,31026,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823218202,31027,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823248899,31028,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823288227,31029,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823310350,31030,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823364371,31031,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823421543,31032,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823429034,31033,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823464137,31034,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823471274,31035,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823501711,31036,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823531456,31037,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823563031,31038,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823590836,31039,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823622822,31040,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823661328,31041,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823706787,31042,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823786883,31043,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823810881,31044,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823822886,31045,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823830024,31046,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823855454,31047,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823873975,31048,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823905405,31049,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823935569,31050,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823974077,31051,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1823996727,31052,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824026359,31053,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824110169,31054,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824137679,31055,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824158824,31056,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824168735,31057,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824198861,31058,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824218936,31059,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824248799,31060,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824281278,31061,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824312523,31062,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824342648,31063,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824396452,31064,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824411143,31065,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824468989,31066,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824501710,31067,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824517640,31068,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824532588,31069,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824563782,31070,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824595011,31071,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824625160,31072,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824657154,31073,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824686341,31074,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824717539,31075,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824748937,31076,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824780052,31077,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824878965,31078,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824887722,31079,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824896350,31080,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824926392,31081,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824941384,31082,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824967488,31083,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1824998877,31084,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825050040,31085,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825071340,31086,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825093466,31087,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825125077,31088,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825201365,31089,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825247321,31090,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825255106,31091,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825262710,31092,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825283804,31093,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825326262,31094,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825344085,31095,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825390158,31096,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825420160,31097,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825433685,31098,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825471410,31099,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825503807,31100,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825585104,31101,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825607607,31102,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825612943,31103,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825645451,31104,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825681349,31105,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825691326,31106,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825721325,31107,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825753805,31108,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1825787513,31109,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
