timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
612727569,10228,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
612783989,10229,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
612838905,10230,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
612848727,10231,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
612887519,10232,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
612893626,10233,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
612919940,10234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
612948605,10235,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
612978644,10236,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613015432,10237,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613034268,10238,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613088058,10239,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613106604,10240,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613185316,10241,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613206445,10242,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613216292,10243,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613241367,10244,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613254173,10245,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613293806,10246,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613322504,10247,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613373713,10248,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613383806,10249,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613414949,10250,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613446242,10251,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613475520,10252,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613578944,10253,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613615186,10254,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613627632,10255,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613636275,10256,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613646249,10257,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613676306,10258,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613696255,10259,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613728829,10260,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613761285,10261,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613797572,10262,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613828576,10263,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613845729,10264,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613922954,10265,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613942195,10266,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613951461,10267,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
613988735,10268,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
614011377,10269,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
614041138,10270,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
614072540,10271,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
614103850,10272,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
614136328,10273,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
614175009,10274,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
614196284,10275,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
614293786,10276,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
614302355,10277,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
614311483,10278,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
614327593,10279,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
