timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
612727569,10228,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
612783989,10229,-2,0,0.0044444444,0.0288888889,0.0300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
612838905,10230,-2,0,0.0322222222,0.0000000000,-0.0200000000,0.0000000000,0.0000000000,0.0000000000,-2.3900000000,-1.8400000000,-9.0100000000
612848727,10231,-2,0,0.0300000000,-0.0044444444,-0.0111111111,0.0000000000,0.0000000000,0.0000000000,-2.3400000000,-1.7700000000,-8.8200000000
612887519,10232,-2,0,0.0177777778,0.0100000000,0.0300000000,11.1250000000,17.5000000000,22.8125000000,-2.4400000000,-1.7100000000,-8.8700000000
612893626,10233,-2,0,0.0233333333,0.0577777778,0.0066666667,11.1250000000,17.5000000000,22.8125000000,-2.3300000000,-1.7000000000,-9.2000000000
612919940,10234,-2,0,0.0266666667,-0.0122222222,-0.0522222222,11.1250000000,17.5000000000,22.8125000000,-2.4100000000,-1.7900000000,-9.2400000000
612948605,10235,-2,0,-0.0233333333,-0.0555555556,0.0588888889,11.1250000000,17.5000000000,22.8125000000,-2.2300000000,-1.7600000000,-9.0000000000
612978644,10236,-2,0,-0.0177777778,-0.0744444444,0.0288888889,10.6875000000,19.3750000000,22.8125000000,-2.3500000000,-1.5700000000,-8.9300000000
613015432,10237,-2,0,0.0011111111,-0.0188888889,-0.0277777778,10.6875000000,19.3750000000,22.8125000000,-2.3100000000,-1.5900000000,-8.6800000000
613034268,10238,-2,0,0.0300000000,0.0311111111,-0.0511111111,10.6875000000,19.3750000000,22.8125000000,-2.2900000000,-1.6100000000,-9.0300000000
613088058,10239,-2,0,-0.0044444444,0.0044444444,-0.0911111111,11.5000000000,18.2500000000,21.3125000000,-2.4400000000,-1.7900000000,-9.0100000000
613106604,10240,-2,0,0.0000000000,0.0044444444,-0.0077777778,11.5000000000,18.2500000000,21.3125000000,-2.3500000000,-1.6800000000,-8.9100000000
613185316,10241,-2,0,0.0100000000,0.0211111111,-0.0400000000,11.5000000000,18.2500000000,21.3125000000,-2.3600000000,-1.7600000000,-9.0000000000
613206445,10242,-2,0,0.0155555556,0.0300000000,-0.0444444444,10.6875000000,17.5000000000,22.8125000000,-2.3600000000,-1.8300000000,-9.0600000000
613216292,10243,-2,0,-0.0133333333,0.0044444444,0.0522222222,10.6875000000,17.5000000000,22.8125000000,-2.4000000000,-1.6900000000,-8.7800000000
613241367,10244,-2,0,0.0000000000,0.0444444444,0.0100000000,10.6875000000,17.5000000000,22.8125000000,-2.3800000000,-1.6100000000,-9.0000000000
613254173,10245,-2,0,-0.0044444444,0.0077777778,-0.0388888889,10.6875000000,17.5000000000,21.6875000000,-2.3500000000,-1.8000000000,-9.1200000000
613293806,10246,-2,0,-0.0455555556,-0.0266666667,0.0122222222,10.6875000000,17.5000000000,21.6875000000,-2.4300000000,-1.9400000000,-9.1500000000
613322504,10247,-2,0,-0.0366666667,-0.0700000000,0.0755555556,10.6875000000,17.5000000000,21.6875000000,-2.3500000000,-1.6900000000,-9.0100000000
613373713,10248,-2,0,-0.0255555556,-0.0677777778,0.0000000000,9.4375000000,18.2500000000,23.1875000000,-2.3000000000,-1.6900000000,-8.5600000000
613383806,10249,-2,0,0.0155555556,0.0433333333,0.0011111111,9.4375000000,18.2500000000,23.1875000000,-2.4300000000,-1.6700000000,-8.9400000000
613414949,10250,-2,0,0.0388888889,0.0255555556,-0.0600000000,9.4375000000,18.2500000000,23.1875000000,-2.3600000000,-1.7800000000,-9.1900000000
613446242,10251,-2,0,0.0022222222,-0.0255555556,-0.0300000000,9.4375000000,18.2500000000,23.1875000000,-2.3000000000,-1.8400000000,-9.0300000000
613475520,10252,-2,0,0.0000000000,-0.0344444444,0.0300000000,11.1250000000,16.7500000000,21.6875000000,-2.4100000000,-1.6400000000,-8.9300000000
613578944,10253,-2,0,0.0066666667,-0.0122222222,-0.0266666667,11.1250000000,16.7500000000,21.6875000000,-2.3200000000,-1.7100000000,-8.8700000000
613615186,10254,-2,0,0.0077777778,0.0055555556,-0.0100000000,11.1250000000,16.7500000000,21.6875000000,-2.2600000000,-1.7300000000,-8.9500000000
613627632,10255,-2,0,0.0011111111,-0.0033333333,-0.0011111111,9.8750000000,18.6250000000,23.5625000000,-2.4300000000,-1.7600000000,-9.0200000000
613636275,10256,-2,0,-0.0100000000,0.0022222222,0.0277777778,9.8750000000,18.6250000000,23.5625000000,-2.3500000000,-1.6900000000,-8.9400000000
613646249,10257,-2,0,0.0022222222,0.0155555556,-0.0655555556,9.8750000000,18.6250000000,23.5625000000,-2.2700000000,-1.8200000000,-9.3400000000
613676306,10258,-2,0,-0.0188888889,-0.0866666667,0.0555555556,10.6875000000,18.2500000000,22.8125000000,-2.1200000000,-1.7900000000,-9.0000000000
613696255,10259,5,0,-0.0166666667,-0.1088888889,0.0833333333,10.6875000000,18.2500000000,22.8125000000,-2.2800000000,-1.5400000000,-8.6700000000
613728829,10260,5,0,0.0266666667,0.0244444444,-0.0555555556,10.6875000000,18.2500000000,22.8125000000,-2.1900000000,-1.5700000000,-8.9000000000
613761285,10261,5,0,0.0355555556,-0.0066666667,-0.0888888889,10.6875000000,17.5000000000,22.0625000000,-2.2200000000,-1.7200000000,-9.1800000000
613797572,10262,5,0,-0.0144444444,-0.0288888889,-0.0377777778,10.6875000000,17.5000000000,22.0625000000,-2.3300000000,-1.8200000000,-9.0300000000
613828576,10263,5,0,-0.0055555556,-0.0300000000,0.0088888889,10.6875000000,17.5000000000,22.0625000000,-2.2100000000,-1.7000000000,-8.9600000000
613845729,10264,5,0,0.0000000000,0.0000000000,-0.0344444444,10.3125000000,17.1250000000,22.0625000000,-2.2100000000,-1.7300000000,-8.8700000000
613922954,10265,5,0,0.0100000000,0.0222222222,-0.0066666667,10.3125000000,17.1250000000,22.0625000000,-2.3200000000,-1.7300000000,-8.9900000000
613942195,10266,5,0,-0.0100000000,0.0100000000,0.0022222222,10.3125000000,17.1250000000,22.0625000000,-2.2100000000,-1.7400000000,-8.9000000000
613951461,10267,5,0,-0.0077777778,0.0166666667,0.0066666667,10.3125000000,17.1250000000,22.0625000000,-2.1600000000,-1.7100000000,-8.9500000000
613988735,10268,5,0,0.0077777778,0.0188888889,-0.0133333333,11.1250000000,17.8750000000,24.3125000000,-2.4200000000,-1.7500000000,-9.1200000000
614011377,10269,5,0,-0.0233333333,-0.0144444444,0.0622222222,11.1250000000,17.8750000000,24.3125000000,-2.2100000000,-1.8900000000,-9.2400000000
614041138,10270,5,0,-0.0277777778,-0.0966666667,0.0911111111,11.1250000000,17.8750000000,24.3125000000,-2.1400000000,-1.5900000000,-8.8300000000
614072540,10271,5,0,-0.0111111111,-0.0022222222,0.0133333333,9.5000000000,18.2500000000,22.8125000000,-2.2100000000,-1.6200000000,-8.6200000000
614103850,10272,5,0,0.0255555556,0.0711111111,-0.0500000000,9.5000000000,18.2500000000,22.8125000000,-2.2300000000,-1.6900000000,-9.2200000000
614136328,10273,5,0,0.0022222222,-0.0100000000,-0.0633333333,9.5000000000,18.2500000000,22.8125000000,-2.1900000000,-1.8900000000,-9.0500000000
614175009,10274,5,0,-0.0077777778,-0.0100000000,0.0666666667,10.6875000000,19.0000000000,23.1875000000,-2.1800000000,-1.7600000000,-8.9300000000
614196284,10275,5,0,-0.0022222222,0.0133333333,0.0133333333,10.6875000000,19.0000000000,23.1875000000,-2.2300000000,-1.6700000000,-8.9500000000
614293786,10276,5,0,-0.0011111111,0.0166666667,0.0022222222,10.6875000000,19.0000000000,23.1875000000,-2.2300000000,-1.7300000000,-8.7700000000
614302355,10277,5,0,-0.0211111111,0.0777777778,-0.0222222222,9.0625000000,18.6250000000,23.9375000000,-2.2600000000,-1.8000000000,-8.8900000000
614311483,10278,5,0,-0.0044444444,0.0566666667,0.0400000000,9.0625000000,18.6250000000,23.9375000000,-2.4400000000,-1.8100000000,-9.1000000000
614327593,10279,5,0,0.0100000000,0.0533333333,0.0233333333,9.0625000000,18.6250000000,23.9375000000,-2.3600000000,-1.8300000000,-9.2100000000
614356472,10280,5,0,-0.0200000000,0.0133333333,-0.0244444444,10.3125000000,19.7500000000,23.5625000000,-2.3000000000,-1.9300000000,-9.1400000000
614387684,10281,5,0,-0.0066666667,-0.0300000000,0.1122222222,10.3125000000,19.7500000000,23.5625000000,-2.2200000000,-1.7200000000,-9.0400000000
614415000,10282,5,0,-0.0122222222,-0.0666666667,0.0455555556,10.3125000000,19.7500000000,23.5625000000,-2.2700000000,-1.6400000000,-8.7200000000
614451493,10283,5,0,0.0166666667,0.0200000000,-0.0177777778,10.3125000000,19.7500000000,23.5625000000,-2.2100000000,-1.6700000000,-8.9700000000
614480794,10284,5,0,0.0322222222,0.0233333333,-0.0511111111,12.8125000000,18.2500000000,21.6875000000,-2.3500000000,-1.7100000000,-9.1100000000
614508525,10285,5,0,-0.0133333333,0.0100000000,-0.0611111111,12.8125000000,18.2500000000,21.6875000000,-2.3100000000,-1.8800000000,-8.9900000000
614538714,10286,5,0,-0.0100000000,0.0122222222,0.0022222222,12.8125000000,18.2500000000,21.6875000000,-2.2400000000,-1.8000000000,-9.0000000000
614572449,10287,5,0,-0.0044444444,0.0000000000,-0.0233333333,10.7500000000,17.8750000000,23.5625000000,-2.3700000000,-1.7900000000,-8.8500000000
614673797,10288,5,0,0.0088888889,0.0488888889,-0.0166666667,10.7500000000,17.8750000000,23.5625000000,-2.3300000000,-1.8500000000,-8.9300000000
