timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
722830739,12793,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
722873153,12794,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
722896840,12795,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
722976017,12796,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723050380,12797,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723060429,12798,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723073095,12799,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723102960,12800,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723122079,12801,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723139136,12802,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723168102,12803,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723181636,12804,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723206891,12805,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723238210,12806,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723270664,12807,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723358101,12808,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723365644,12809,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723380498,12810,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723401925,12811,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723432095,12812,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723453182,12813,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723485443,12814,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723517001,12815,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723548237,12816,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723600139,12817,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723619435,12818,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723648522,12819,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723741856,12820,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723750441,12821,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723761919,12822,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723778385,12823,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723798703,12824,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723829336,12825,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723860542,12826,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723899438,12827,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723928498,12828,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723966029,12829,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
723981087,12830,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724021934,12831,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724120748,12832,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724131858,12833,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724141895,12834,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724177060,12835,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724201932,12836,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724244790,12837,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724249709,12838,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724273235,12839,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724303069,12840,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724338387,12841,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724360662,12842,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724389484,12843,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724488739,12844,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724495914,12845,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724506766,12846,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724525828,12847,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724554327,12848,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724588514,12849,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724615907,12850,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724647133,12851,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724678137,12852,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724713157,12853,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724739401,12854,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724845809,12855,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724900928,12856,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724910711,12857,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724924533,12858,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724958447,12859,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
724975361,12860,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
725000862,12861,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
