timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
722830739,12793,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
722873153,12794,-2,0,-0.0066666667,0.0188888889,0.0033333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
722896840,12795,-2,0,0.0000000000,-0.0166666667,0.0611111111,0.0000000000,0.0000000000,0.0000000000,-2.6800000000,-1.7200000000,-9.0500000000
722976017,12796,-2,0,-0.0133333333,-0.0800000000,-0.0455555556,0.0000000000,0.0000000000,0.0000000000,-2.6100000000,-1.7800000000,-8.6300000000
723050380,12797,-2,0,0.0100000000,0.0111111111,-0.0055555556,10.6875000000,19.3750000000,20.9375000000,-2.7000000000,-1.7900000000,-8.7100000000
723060429,12798,-2,0,0.0300000000,0.0177777778,-0.0711111111,10.6875000000,19.3750000000,20.9375000000,-2.6800000000,-1.8700000000,-9.1000000000
723073095,12799,-2,0,0.0000000000,-0.0555555556,-0.0155555556,10.6875000000,19.3750000000,20.9375000000,-2.7200000000,-1.8200000000,-8.7000000000
723102960,12800,-2,0,0.0222222222,0.0177777778,0.0200000000,11.5000000000,19.3750000000,20.5625000000,-2.6400000000,-1.6700000000,-8.8000000000
723122079,12801,-2,0,0.0244444444,0.0144444444,-0.0766666667,11.5000000000,19.3750000000,20.5625000000,-2.7300000000,-1.8100000000,-8.8200000000
723139136,12802,-2,0,0.0177777778,0.0277777778,-0.0300000000,11.5000000000,19.3750000000,20.5625000000,-2.7100000000,-1.8300000000,-8.8900000000
723168102,12803,-2,0,0.0044444444,0.0022222222,0.0233333333,13.1875000000,19.0000000000,21.3125000000,-2.7000000000,-1.7000000000,-8.7900000000
723181636,12804,-2,0,0.0111111111,0.0322222222,-0.0211111111,13.1875000000,19.0000000000,21.3125000000,-2.7700000000,-1.7100000000,-8.9200000000
723206891,12805,-2,0,0.0088888889,-0.0033333333,-0.0344444444,13.1875000000,19.0000000000,21.3125000000,-2.6400000000,-1.8000000000,-8.9700000000
723238210,12806,-2,0,0.0011111111,-0.0266666667,0.0366666667,13.1875000000,19.0000000000,21.3125000000,-2.7500000000,-1.7000000000,-8.6600000000
723270664,12807,-2,0,0.0177777778,0.0566666667,-0.0122222222,12.3750000000,19.3750000000,20.5625000000,-2.8100000000,-1.6600000000,-8.9100000000
723358101,12808,-2,0,-0.0222222222,0.0188888889,-0.0555555556,12.3750000000,19.3750000000,20.5625000000,-2.6900000000,-1.8800000000,-9.1100000000
723365644,12809,-2,0,-0.0233333333,-0.0600000000,0.0400000000,12.3750000000,19.3750000000,20.5625000000,-2.7200000000,-1.7500000000,-8.9100000000
723380498,12810,-2,0,-0.0322222222,-0.0600000000,0.0111111111,10.3125000000,19.0000000000,19.4375000000,-2.6900000000,-1.7300000000,-8.4800000000
723401925,12811,-2,0,0.0244444444,0.0577777778,-0.0300000000,10.3125000000,19.0000000000,19.4375000000,-2.6900000000,-1.7200000000,-8.8500000000
723432095,12812,-2,0,0.0266666667,0.0033333333,-0.0555555556,10.3125000000,19.0000000000,19.4375000000,-2.7200000000,-1.8700000000,-9.0500000000
723453182,12813,-2,0,-0.0133333333,-0.0266666667,0.0311111111,10.3125000000,17.8750000000,22.0625000000,-2.7200000000,-1.8000000000,-8.7700000000
723485443,12814,-2,0,0.0066666667,0.0088888889,0.0277777778,10.3125000000,17.8750000000,22.0625000000,-2.7000000000,-1.6700000000,-8.9200000000
723517001,12815,-2,0,0.0055555556,-0.0122222222,-0.0555555556,10.3125000000,17.8750000000,22.0625000000,-2.6700000000,-1.8100000000,-8.7400000000
723548237,12816,-2,0,-0.0100000000,0.0233333333,0.0077777778,11.5000000000,18.2500000000,22.4375000000,-2.7900000000,-1.8200000000,-8.6800000000
723600139,12817,-2,0,-0.0033333333,0.0522222222,0.0233333333,11.5000000000,18.2500000000,22.4375000000,-2.7900000000,-1.7200000000,-9.1100000000
