timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
73196549421,21594,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73196583013,21595,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73196611839,21596,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73196642892,21597,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73196705430,21598,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73196764358,21599,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73196771609,21600,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73196777724,21601,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73196800383,21602,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73196830470,21603,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73196867829,21604,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73196886131,21605,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73196930420,21606,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73196956833,21607,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73196986568,21608,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73197022958,21609,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73197050356,21610,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73197102748,21611,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73197118951,21612,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73197149079,21613,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73197174112,21614,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73197215528,21615,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73197249286,21616,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73197266162,21617,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73197295189,21618,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73197327989,21619,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
