timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
72502068716,8743,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
72502083684,8744,-2,0,-0.1311111111,-0.0966666667,0.0933333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
72502121143,8745,-2,0,-0.1700000000,-0.0888888889,0.0722222222,0.0000000000,0.0000000000,0.0000000000,-3.7300000000,-3.4700000000,-7.5300000000
72502142369,8746,-2,0,-0.1244444444,-0.0322222222,0.0400000000,0.0000000000,0.0000000000,0.0000000000,-3.6200000000,-3.4200000000,-7.7100000000
72502175051,8747,-2,0,-0.0622222222,-0.0111111111,-0.0288888889,-1.5625000000,29.3750000000,26.0625000000,-3.6000000000,-3.6500000000,-8.2600000000
72502205736,8748,-2,0,-0.0511111111,-0.0622222222,-0.0777777778,-1.5625000000,29.3750000000,26.0625000000,-3.4000000000,-3.6500000000,-8.0200000000
72502256069,8749,-2,0,-0.0266666667,-0.0744444444,-0.0455555556,-1.5625000000,29.3750000000,26.0625000000,-3.2500000000,-3.1500000000,-7.6400000000
72502276024,8750,-2,0,-0.0077777778,-0.0266666667,-0.1677777778,-1.5625000000,30.8750000000,25.6875000000,-3.3000000000,-3.5400000000,-7.9800000000
72502298655,8751,-2,0,-0.0200000000,-0.0566666667,-0.1477777778,-1.5625000000,30.8750000000,25.6875000000,-3.3900000000,-3.7900000000,-8.0000000000
72502329663,8752,-2,0,-0.0866666667,-0.0300000000,-0.0777777778,-1.5625000000,30.8750000000,25.6875000000,-3.4300000000,-3.7900000000,-7.9200000000
72502372227,8753,-2,0,-0.1200000000,0.0033333333,-0.0244444444,-0.7500000000,30.5000000000,25.0000000000,-3.3700000000,-3.9600000000,-8.0600000000
72502434692,8754,-2,0,-0.1266666667,-0.0222222222,0.0244444444,-0.7500000000,30.5000000000,25.0000000000,-3.4100000000,-4.0800000000,-8.0600000000
72502443621,8755,-2,0,-0.1155555556,-0.0500000000,0.0722222222,-0.7500000000,30.5000000000,25.0000000000,-3.2400000000,-3.8200000000,-7.9700000000
72502461234,8756,-2,0,-0.0700000000,-0.0755555556,0.0633333333,-0.7500000000,30.5000000000,25.0000000000,-3.2100000000,-3.7700000000,-7.7200000000
