timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
72817776469,15218,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72817847526,15219,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72817851369,15220,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72817883902,15221,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72817900225,15222,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72817931517,15223,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72817960809,15224,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72817999170,15225,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818033988,15226,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818059139,15227,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818087647,15228,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818120222,15229,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818148916,15230,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818238961,15231,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818246439,15232,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818252561,15233,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818282571,15234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818306386,15235,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818337772,15236,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818364475,15237,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818401704,15238,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818427893,15239,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818464180,15240,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818522975,15241,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818532738,15242,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818600253,15243,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818607842,15244,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818619055,15245,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818646642,15246,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818678953,15247,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818719028,15248,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818741501,15249,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818771313,15250,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818804259,15251,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818850515,15252,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818865195,15253,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818934091,15254,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818965309,15255,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818973984,15256,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72818996705,15257,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819025255,15258,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819055409,15259,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819086388,15260,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819117908,15261,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819167783,15262,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819176299,15263,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819211504,15264,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819242886,15265,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819312978,15266,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819322824,15267,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
