timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
688414647703,29978,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688414668964,29979,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688414693834,29980,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688414723766,29981,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688414752531,29982,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688414773645,29983,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688414824593,29984,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688414835080,29985,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688414893912,29986,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688414902814,29987,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688414925055,29988,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688414968838,29989,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688415001313,29990,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688415023794,29991,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688415068799,29992,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688415119167,29993,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688415149878,29994,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688415156335,29995,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688415184800,29996,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688415207519,29997,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688415250126,29998,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688415286545,29999,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688415321316,30000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688415344046,30001,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688415378014,30002,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
