timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
689128325133,41165,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128348866,41166,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128373908,41167,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128412408,41168,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128461758,41169,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128474363,41170,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128497910,41171,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128545243,41172,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128575115,41173,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128622660,41174,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128645613,41175,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128668958,41176,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128694066,41177,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128724169,41178,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128747889,41179,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128791473,41180,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128813951,41181,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128843978,41182,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128887665,41183,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128924137,41184,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128946496,41185,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689128972867,41186,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129020866,41187,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129044063,41188,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129074185,41189,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129099281,41190,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129122782,41191,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129171303,41192,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129193937,41193,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129223942,41194,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129269092,41195,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129293961,41196,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129323860,41197,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129347765,41198,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129371472,41199,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129419227,41200,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129449008,41201,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129523960,41202,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129535381,41203,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129562897,41204,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129582938,41205,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129595215,41206,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129626373,41207,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129669013,41208,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129700456,41209,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129744062,41210,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129774547,41211,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129780319,41212,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129824196,41213,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129847859,41214,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129880877,41215,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129913028,41216,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129940612,41217,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689129977778,41218,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130000512,41219,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130030462,41220,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130075411,41221,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130099226,41222,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130162085,41223,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130166532,41224,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130201657,41225,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130221609,41226,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130263998,41227,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130286475,41228,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130326629,41229,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130369248,41230,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130377803,41231,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130419167,41232,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130449151,41233,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130473818,41234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130500074,41235,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130543936,41236,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130575137,41237,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130619936,41238,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130650096,41239,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130664873,41240,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130685126,41241,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130726433,41242,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130752552,41243,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
689130802569,41244,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
