timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
689128325133,41165,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
689128348866,41166,-2,0,0.0000000000,0.0100000000,0.0244444444,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
689128373908,41167,-2,0,0.0044444444,0.0000000000,-0.0166666667,0.0000000000,0.0000000000,0.0000000000,-2.4500000000,-2.3900000000,-8.7100000000
689128412408,41168,-2,0,-0.0033333333,0.0066666667,-0.0077777778,0.0000000000,0.0000000000,0.0000000000,-2.4500000000,-2.4300000000,-8.8400000000
689128461758,41169,-2,0,-0.0033333333,0.0000000000,0.0000000000,8.8750000000,23.8125000000,3.7500000000,-2.4100000000,-2.4000000000,-8.8900000000
689128474363,41170,-2,0,-0.0055555556,-0.0155555556,-0.0044444444,8.8750000000,23.8125000000,3.7500000000,-2.4500000000,-2.4000000000,-8.7800000000
689128497910,41171,-2,0,-0.0011111111,-0.0111111111,0.0111111111,8.8750000000,23.8125000000,3.7500000000,-2.3900000000,-2.3900000000,-8.7300000000
689128545243,41172,-2,0,-0.0044444444,-0.0077777778,0.0088888889,8.5000000000,25.2500000000,3.3750000000,-2.3900000000,-2.3600000000,-8.7800000000
689128575115,41173,-2,0,-0.0033333333,-0.0100000000,0.0000000000,8.5000000000,25.2500000000,3.3750000000,-2.4400000000,-2.3700000000,-8.7300000000
689128622660,41174,-2,0,-0.0066666667,0.0000000000,0.0022222222,8.5000000000,25.2500000000,3.3750000000,-2.3800000000,-2.3800000000,-8.7700000000
689128645613,41175,-2,0,-0.0055555556,-0.0022222222,0.0000000000,9.3125000000,23.8125000000,3.7500000000,-2.4000000000,-2.3600000000,-8.8300000000
689128668958,41176,-2,0,-0.0011111111,-0.0200000000,-0.0188888889,9.3125000000,23.8125000000,3.7500000000,-2.4700000000,-2.4100000000,-8.8100000000
689128694066,41177,-2,0,-0.0055555556,-0.0222222222,-0.0033333333,9.3125000000,23.8125000000,3.7500000000,-2.4200000000,-2.3900000000,-8.8000000000
689128724169,41178,-2,0,-0.0044444444,-0.0277777778,-0.0177777778,9.3125000000,23.8125000000,3.7500000000,-2.3600000000,-2.3500000000,-8.8300000000
689128747889,41179,-2,0,-0.0066666667,-0.0344444444,-0.0377777778,7.6875000000,24.1875000000,2.2500000000,-2.4500000000,-2.3800000000,-8.8800000000
689128791473,41180,-2,0,-0.0155555556,-0.0455555556,-0.0322222222,7.6875000000,24.1875000000,2.2500000000,-2.3400000000,-2.4000000000,-8.8200000000
689128813951,41181,-2,0,-0.0088888889,-0.0366666667,-0.0344444444,7.6875000000,24.1875000000,2.2500000000,-2.3000000000,-2.3900000000,-8.7800000000
689128843978,41182,-2,0,-0.0055555556,-0.0244444444,-0.0388888889,8.8750000000,24.1875000000,3.7500000000,-2.3300000000,-2.4300000000,-8.7500000000
689128887665,41183,-2,0,-0.0077777778,-0.0088888889,-0.0133333333,8.8750000000,24.1875000000,3.7500000000,-2.2900000000,-2.4300000000,-8.6700000000
689128924137,41184,-2,0,0.0044444444,0.0100000000,-0.0233333333,8.8750000000,24.1875000000,3.7500000000,-2.3000000000,-2.3900000000,-8.7400000000
689128946496,41185,-2,0,-0.0022222222,0.0211111111,-0.0133333333,8.5000000000,23.0625000000,2.6250000000,-2.3300000000,-2.4500000000,-8.9100000000
689128972867,41186,-2,0,-0.0055555556,0.0111111111,-0.0033333333,8.5000000000,23.0625000000,2.6250000000,-2.3400000000,-2.3600000000,-8.9200000000
689129020866,41187,-2,0,0.0011111111,-0.0022222222,-0.0044444444,8.5000000000,23.0625000000,2.6250000000,-2.3100000000,-2.4300000000,-8.8400000000
689129044063,41188,-2,0,-0.0066666667,0.0033333333,0.0000000000,9.6875000000,23.4375000000,3.0000000000,-2.2800000000,-2.4300000000,-8.7300000000
689129074185,41189,-2,0,0.0000000000,0.0122222222,0.0044444444,9.6875000000,23.4375000000,3.0000000000,-2.3900000000,-2.3700000000,-8.7400000000
689129099281,41190,-2,0,0.0088888889,0.0177777778,-0.0066666667,9.6875000000,23.4375000000,3.0000000000,-2.3300000000,-2.4100000000,-8.7700000000
689129122782,41191,-2,0,0.0100000000,0.0188888889,-0.0011111111,9.6875000000,23.4375000000,3.0000000000,-2.3400000000,-2.3900000000,-8.7900000000
689129171303,41192,-2,0,0.0100000000,0.0166666667,-0.0144444444,8.8750000000,22.3125000000,2.6250000000,-2.4700000000,-2.3200000000,-8.8100000000
689129193937,41193,-2,0,0.0044444444,0.0166666667,-0.0111111111,8.8750000000,22.3125000000,2.6250000000,-2.4000000000,-2.3700000000,-8.8200000000
689129223942,41194,-2,0,-0.0055555556,0.0100000000,-0.0100000000,8.8750000000,22.3125000000,2.6250000000,-2.3800000000,-2.4200000000,-8.8500000000
689129269092,41195,-2,0,-0.0133333333,0.0033333333,0.0000000000,9.3125000000,22.3125000000,4.5000000000,-2.4600000000,-2.3600000000,-8.7600000000
689129293961,41196,5,0,-0.0044444444,0.0033333333,0.0066666667,9.3125000000,22.3125000000,4.5000000000,-2.3500000000,-2.3600000000,-8.8300000000
689129323860,41197,5,0,-0.0044444444,-0.0011111111,-0.0033333333,9.3125000000,22.3125000000,4.5000000000,-2.3600000000,-2.3900000000,-8.7800000000
689129347765,41198,5,0,-0.0044444444,-0.0033333333,0.0000000000,8.0625000000,23.0625000000,3.0000000000,-2.3700000000,-2.3500000000,-8.7700000000
689129371472,41199,5,0,-0.0044444444,-0.0033333333,0.0000000000,8.0625000000,23.0625000000,3.0000000000,-2.4000000000,-2.3900000000,-8.7800000000
689129419227,41200,5,0,-0.0033333333,0.0000000000,0.0000000000,8.0625000000,23.0625000000,3.0000000000,-2.3500000000,-2.4100000000,-8.8200000000
689129449008,41201,5,0,-0.0044444444,0.0033333333,0.0000000000,8.8750000000,22.3125000000,2.2500000000,-2.3700000000,-2.4200000000,-8.7700000000
689129523960,41202,5,0,-0.0011111111,0.0022222222,-0.0011111111,8.8750000000,22.3125000000,2.2500000000,-2.3800000000,-2.4300000000,-8.7900000000
689129535381,41203,5,0,0.0000000000,-0.0011111111,0.0000000000,8.8750000000,22.3125000000,2.2500000000,-2.3400000000,-2.4400000000,-8.8000000000
689129562897,41204,5,0,0.0000000000,0.0000000000,-0.0011111111,8.0625000000,23.4375000000,2.6250000000,-2.3300000000,-2.3900000000,-8.8000000000
689129582938,41205,5,0,0.0033333333,0.0000000000,-0.0011111111,8.0625000000,23.4375000000,2.6250000000,-2.4300000000,-2.3900000000,-8.8200000000
689129595215,41206,5,0,0.0000000000,0.0000000000,-0.0066666667,8.0625000000,23.4375000000,2.6250000000,-2.3300000000,-2.4000000000,-8.8000000000
689129626373,41207,5,0,-0.0055555556,-0.0088888889,-0.0022222222,8.0625000000,23.4375000000,2.6250000000,-2.3500000000,-2.4200000000,-8.8100000000
689129669013,41208,5,0,-0.0100000000,-0.0066666667,0.0000000000,8.5000000000,24.1875000000,4.1250000000,-2.4100000000,-2.4300000000,-8.7800000000
689129700456,41209,5,0,-0.0077777778,0.0000000000,-0.0088888889,8.5000000000,24.1875000000,4.1250000000,-2.3400000000,-2.3900000000,-8.7300000000
689129744062,41210,5,0,0.0022222222,0.0022222222,-0.0088888889,8.5000000000,24.1875000000,4.1250000000,-2.3400000000,-2.3900000000,-8.7500000000
689129774547,41211,5,0,0.0122222222,0.0077777778,-0.0166666667,8.1250000000,23.4375000000,3.3750000000,-2.3100000000,-2.3000000000,-8.7100000000
689129780319,41212,5,0,0.0044444444,0.0122222222,-0.0155555556,8.1250000000,23.4375000000,3.3750000000,-2.3900000000,-2.4200000000,-8.8100000000
689129824196,41213,5,0,-0.0077777778,0.0011111111,-0.0022222222,8.1250000000,23.4375000000,3.3750000000,-2.3500000000,-2.4000000000,-8.9400000000
689129847859,41214,5,0,-0.0111111111,-0.0100000000,0.0000000000,8.1250000000,23.0625000000,5.2500000000,-2.2800000000,-2.4000000000,-8.8700000000
689129880877,41215,5,0,-0.0100000000,-0.0200000000,0.0055555556,8.1250000000,23.0625000000,5.2500000000,-2.3600000000,-2.4100000000,-8.7800000000
689129913028,41216,5,0,0.0000000000,-0.0122222222,-0.0100000000,8.1250000000,23.0625000000,5.2500000000,-2.3200000000,-2.4100000000,-8.7400000000
689129940612,41217,5,0,0.0111111111,-0.0055555556,0.0000000000,8.5000000000,21.9375000000,1.8750000000,-2.2800000000,-2.3800000000,-8.7400000000
689129977778,41218,5,0,0.0155555556,0.0033333333,-0.0077777778,8.5000000000,21.9375000000,1.8750000000,-2.3700000000,-2.3900000000,-8.7800000000
689130000512,41219,5,0,0.0077777778,0.0066666667,-0.0033333333,8.5000000000,21.9375000000,1.8750000000,-2.3100000000,-2.3700000000,-8.7800000000
689130030462,41220,5,0,0.0011111111,0.0100000000,-0.0155555556,8.1250000000,22.3125000000,2.6250000000,-2.2900000000,-2.3400000000,-8.7400000000
689130075411,41221,5,0,-0.0033333333,0.0133333333,-0.0100000000,8.1250000000,22.3125000000,2.6250000000,-2.4300000000,-2.4300000000,-8.8200000000
689130099226,41222,5,0,-0.0088888889,0.0077777778,-0.0100000000,8.1250000000,22.3125000000,2.6250000000,-2.3900000000,-2.4300000000,-8.8300000000
689130162085,41223,5,0,-0.0055555556,0.0000000000,0.0000000000,8.1250000000,22.3125000000,2.6250000000,-2.3400000000,-2.4100000000,-8.8600000000
689130166532,41224,5,0,0.0000000000,-0.0166666667,-0.0044444444,7.6875000000,23.4375000000,3.0000000000,-2.4000000000,-2.4300000000,-8.7700000000
689130201657,41225,5,0,0.0011111111,-0.0077777778,0.0044444444,7.6875000000,23.4375000000,3.0000000000,-2.3700000000,-2.4000000000,-8.7500000000
689130221609,41226,5,0,0.0055555556,-0.0088888889,0.0000000000,7.6875000000,23.4375000000,3.0000000000,-2.2800000000,-2.3600000000,-8.7900000000
689130263998,41227,5,0,0.0066666667,-0.0033333333,-0.0055555556,8.1250000000,22.6875000000,3.7500000000,-2.4000000000,-2.4100000000,-8.7800000000
689130286475,41228,5,0,0.0000000000,0.0000000000,0.0011111111,8.1250000000,22.6875000000,3.7500000000,-2.3500000000,-2.3900000000,-8.8300000000
689130326629,41229,5,0,-0.0022222222,0.0000000000,-0.0022222222,8.1250000000,22.6875000000,3.7500000000,-2.2700000000,-2.3800000000,-8.8100000000
689130369248,41230,5,0,0.0000000000,-0.0022222222,-0.0066666667,7.6875000000,21.9375000000,1.1250000000,-2.2900000000,-2.4000000000,-8.7800000000
689130377803,41231,5,0,-0.0011111111,0.0000000000,-0.0044444444,7.6875000000,21.9375000000,1.1250000000,-2.3300000000,-2.3700000000,-8.7900000000
689130419167,41232,5,0,0.0022222222,0.0033333333,-0.0100000000,7.6875000000,21.9375000000,1.1250000000,-2.2800000000,-2.4000000000,-8.7800000000
689130449151,41233,5,0,0.0000000000,0.0077777778,-0.0055555556,8.9375000000,22.3125000000,2.2500000000,-2.3000000000,-2.3900000000,-8.7900000000
689130473818,41234,5,0,0.0000000000,0.0100000000,-0.0100000000,8.9375000000,22.3125000000,2.2500000000,-2.3500000000,-2.3900000000,-8.7800000000
689130500074,41235,5,0,0.0000000000,0.0133333333,-0.0111111111,8.9375000000,22.3125000000,2.2500000000,-2.3100000000,-2.4100000000,-8.8000000000
689130543936,41236,5,0,0.0033333333,0.0177777778,-0.0077777778,8.9375000000,23.0625000000,2.6250000000,-2.2900000000,-2.3900000000,-8.7700000000
689130575137,41237,5,0,0.0055555556,0.0200000000,-0.0088888889,8.9375000000,23.0625000000,2.6250000000,-2.4100000000,-2.3900000000,-8.8300000000
689130619936,41238,5,0,0.0022222222,0.0100000000,-0.0077777778,8.9375000000,23.0625000000,2.6250000000,-2.3600000000,-2.4000000000,-8.8600000000
689130650096,41239,5,0,-0.0044444444,0.0011111111,-0.0066666667,8.9375000000,23.0625000000,2.6250000000,-2.3500000000,-2.3800000000,-8.7300000000
689130664873,41240,5,0,0.0033333333,0.0022222222,-0.0044444444,8.5000000000,24.9375000000,2.2500000000,-2.3800000000,-2.3600000000,-8.8100000000
689130685126,41241,5,0,0.0066666667,0.0000000000,-0.0188888889,8.5000000000,24.9375000000,2.2500000000,-2.3300000000,-2.3400000000,-8.7300000000
689130726433,41242,5,0,0.0033333333,0.0066666667,-0.0200000000,8.5000000000,24.9375000000,2.2500000000,-2.3700000000,-2.4400000000,-8.7400000000
689130752552,41243,5,0,-0.0033333333,0.0100000000,0.0000000000,8.5000000000,22.6875000000,1.8750000000,-2.3500000000,-2.3900000000,-8.8900000000
689130802569,41244,5,0,0.0000000000,-0.0055555556,-0.0066666667,8.5000000000,22.6875000000,1.8750000000,-2.3700000000,-2.3600000000,-8.8400000000
689130813835,41245,5,0,0.0000000000,-0.0122222222,-0.0011111111,8.5000000000,22.6875000000,1.8750000000,-2.3000000000,-2.4200000000,-8.7800000000
689130853164,41246,5,0,-0.0033333333,-0.0088888889,0.0011111111,8.1250000000,23.0625000000,2.6250000000,-2.2900000000,-2.3600000000,-8.7300000000
689130874312,41247,5,0,0.0055555556,0.0011111111,0.0000000000,8.1250000000,23.0625000000,2.6250000000,-2.3500000000,-2.3500000000,-8.8000000000
689130902608,41248,5,0,0.0100000000,0.0055555556,-0.0111111111,8.1250000000,23.0625000000,2.6250000000,-2.3400000000,-2.3700000000,-8.7700000000
689130951388,41249,5,0,0.0044444444,0.0066666667,-0.0077777778,8.9375000000,22.3125000000,4.1250000000,-2.3000000000,-2.3600000000,-8.7800000000
689130975349,41250,5,0,0.0011111111,0.0066666667,-0.0100000000,8.9375000000,22.3125000000,4.1250000000,-2.4300000000,-2.3100000000,-8.7400000000
689131009969,41251,5,0,-0.0022222222,0.0100000000,-0.0055555556,8.9375000000,22.3125000000,4.1250000000,-2.3600000000,-2.3800000000,-8.7500000000
689131049040,41252,5,0,-0.0088888889,0.0022222222,0.0000000000,8.1250000000,24.1875000000,3.0000000000,-2.3600000000,-2.3800000000,-8.8400000000
689131072662,41253,5,0,-0.0022222222,-0.0066666667,-0.0033333333,8.1250000000,24.1875000000,3.0000000000,-2.4500000000,-2.3900000000,-8.8700000000
689131098867,41254,5,0,0.0000000000,-0.0188888889,0.0044444444,8.1250000000,24.1875000000,3.0000000000,-2.3500000000,-2.3800000000,-8.8300000000
689131126414,41255,5,0,0.0044444444,-0.0200000000,0.0100000000,8.1250000000,24.1875000000,3.0000000000,-2.3000000000,-2.3900000000,-8.7800000000
689131170205,41256,5,0,0.0033333333,-0.0100000000,0.0044444444,7.6875000000,23.0625000000,3.3750000000,-2.3700000000,-2.3700000000,-8.7500000000
689131199293,41257,5,0,0.0033333333,0.0000000000,0.0000000000,7.6875000000,23.0625000000,3.3750000000,-2.3200000000,-2.3500000000,-8.7400000000
689131222960,41258,5,0,0.0044444444,0.0088888889,-0.0066666667,7.6875000000,23.0625000000,3.3750000000,-2.2800000000,-2.3400000000,-8.7600000000
689131250108,41259,5,0,0.0055555556,0.0100000000,-0.0077777778,8.1250000000,22.6875000000,2.2500000000,-2.3000000000,-2.3500000000,-8.8100000000
689131280120,41260,5,0,-0.0011111111,0.0044444444,-0.0100000000,8.1250000000,22.6875000000,2.2500000000,-2.3600000000,-2.3800000000,-8.7800000000
689131324298,41261,5,0,0.0000000000,0.0033333333,-0.0033333333,8.1250000000,22.6875000000,2.2500000000,-2.3300000000,-2.3800000000,-8.7800000000
689131352693,41262,5,0,0.0000000000,0.0000000000,-0.0066666667,8.5000000000,22.6875000000,4.5000000000,-2.2900000000,-2.3900000000,-8.8100000000
689131370207,41263,5,0,0.0033333333,-0.0077777778,-0.0077777778,8.5000000000,22.6875000000,4.5000000000,-2.3700000000,-2.3500000000,-8.8000000000
689131416203,41264,5,0,0.0055555556,-0.0066666667,-0.0077777778,8.5000000000,22.6875000000,4.5000000000,-2.3100000000,-2.3700000000,-8.7800000000
689131446724,41265,5,0,0.0100000000,0.0000000000,-0.0122222222,8.5000000000,24.1875000000,3.3750000000,-2.3000000000,-2.3700000000,-8.7700000000
689131472978,41266,5,0,0.0100000000,0.0055555556,-0.0144444444,8.5000000000,24.1875000000,3.3750000000,-2.3900000000,-2.3500000000,-8.7500000000
689131504025,41267,5,0,0.0055555556,0.0066666667,-0.0133333333,8.5000000000,24.1875000000,3.3750000000,-2.3500000000,-2.3800000000,-8.8300000000
689131545424,41268,5,0,-0.0011111111,0.0033333333,-0.0066666667,8.1250000000,24.1875000000,4.1250000000,-2.3300000000,-2.3600000000,-8.8000000000
689131572934,41269,5,0,0.0022222222,0.0000000000,-0.0133333333,8.1250000000,24.1875000000,4.1250000000,-2.4300000000,-2.3200000000,-8.8200000000
689131599039,41270,5,0,0.0100000000,0.0000000000,-0.0177777778,8.1250000000,24.1875000000,4.1250000000,-2.3300000000,-2.3400000000,-8.7400000000
689131624178,41271,5,0,0.0100000000,0.0044444444,-0.0144444444,8.1250000000,24.1875000000,4.1250000000,-2.3200000000,-2.2900000000,-8.6800000000
689131669081,41272,5,0,0.0022222222,0.0122222222,-0.0177777778,7.3125000000,23.8125000000,3.3750000000,-2.3400000000,-2.3800000000,-8.8400000000
689131716591,41273,5,0,-0.0100000000,-0.0088888889,-0.0055555556,7.3125000000,23.8125000000,3.3750000000,-2.3800000000,-2.3500000000,-8.9600000000
689131721198,41274,5,0,0.0000000000,-0.0188888889,-0.0033333333,7.3125000000,23.8125000000,3.3750000000,-2.3300000000,-2.3500000000,-8.8400000000
689131748656,41275,5,0,0.0055555556,-0.0188888889,0.0000000000,8.9375000000,23.4375000000,3.0000000000,-2.2600000000,-2.4000000000,-8.7500000000
689131781397,41276,5,0,0.0122222222,-0.0155555556,-0.0077777778,8.9375000000,23.4375000000,3.0000000000,-2.3300000000,-2.3800000000,-8.6900000000
689131809212,41277,5,0,0.0300000000,0.0000000000,-0.0088888889,8.9375000000,23.4375000000,3.0000000000,-2.3000000000,-2.2900000000,-8.7900000000
689131851811,41278,5,0,0.0277777778,0.0000000000,-0.0166666667,7.3125000000,24.5625000000,2.6250000000,-2.2900000000,-2.3100000000,-8.8200000000
689131875727,41279,5,0,0.0233333333,0.0022222222,-0.0200000000,7.3125000000,24.5625000000,2.6250000000,-2.3500000000,-2.2600000000,-8.7700000000
689131920477,41280,5,0,0.0188888889,0.0011111111,-0.0311111111,7.3125000000,24.5625000000,2.6250000000,-2.3200000000,-2.2700000000,-8.7500000000
689131945377,41281,5,0,0.0077777778,0.0111111111,-0.0311111111,8.9375000000,23.0625000000,4.1250000000,-2.3100000000,-2.3100000000,-8.7900000000
689131974357,41282,5,0,-0.0011111111,0.0122222222,-0.0211111111,8.9375000000,23.0625000000,4.1250000000,-2.4200000000,-2.2900000000,-8.8700000000
689132002480,41283,5,0,-0.0033333333,-0.0044444444,-0.0155555556,8.9375000000,23.0625000000,4.1250000000,-2.3600000000,-2.3100000000,-8.8900000000
