timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
688191453942,27096,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191497588,27097,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191523792,27098,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191547919,27099,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191573778,27100,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191619072,27101,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191649034,27102,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191670427,27103,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191704183,27104,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191736119,27105,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191794346,27106,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191819161,27107,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191825425,27108,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191871675,27109,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191919014,27110,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191926370,27111,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191950217,27112,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688191996448,27113,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192009434,27114,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192052705,27115,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192082119,27116,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192110131,27117,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192153979,27118,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192193880,27119,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192222549,27120,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192231299,27121,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192275141,27122,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192300517,27123,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192325025,27124,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192374200,27125,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192395302,27126,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192424893,27127,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192455731,27128,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192482289,27129,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192526476,27130,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192562893,27131,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688192596378,27132,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
