timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
687503648887,16342,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687503676418,16343,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687503698654,16344,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687503743637,16345,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687503772575,16346,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687503800145,16347,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687503827296,16348,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687503858462,16349,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687503921792,16350,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687503927802,16351,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687503968707,16352,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687503993739,16353,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504026163,16354,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504049073,16355,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504074183,16356,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504118684,16357,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504148753,16358,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504173594,16359,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504227422,16360,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504246397,16361,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504261349,16362,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504302776,16363,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504326357,16364,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504369099,16365,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504399165,16366,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504423877,16367,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504448944,16368,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504528000,16369,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504528810,16370,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504562530,16371,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504584830,16372,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504600914,16373,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504652963,16374,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504675149,16375,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504701254,16376,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504731444,16377,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504775132,16378,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504800355,16379,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504823978,16380,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504874175,16381,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504897648,16382,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504927905,16383,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504958624,16384,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687504987215,16385,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505024031,16386,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505049149,16387,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505074465,16388,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505119143,16389,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505153912,16390,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505201710,16391,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505208836,16392,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505248925,16393,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505261435,16394,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505321309,16395,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505336301,16396,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505355049,16397,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505400294,16398,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505423057,16399,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505450397,16400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505477630,16401,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505526252,16402,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505551484,16403,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505573994,16404,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505618845,16405,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505653529,16406,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505671076,16407,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505701647,16408,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505729059,16409,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505772843,16410,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505796420,16411,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505845281,16412,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505855189,16413,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505901450,16414,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505924103,16415,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505949115,16416,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687505996444,16417,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506032716,16418,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506071999,16419,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506086271,16420,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506118741,16421,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506147983,16422,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506172987,16423,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506205064,16424,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506225188,16425,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506275585,16426,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506304074,16427,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506324183,16428,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506368763,16429,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506410057,16430,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506430303,16431,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506453791,16432,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506493687,16433,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506523834,16434,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506571503,16435,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506597559,16436,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506610760,16437,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506650537,16438,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506672783,16439,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506701386,16440,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687506743885,16441,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
