timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
687850975141,21513,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687850997492,21514,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851026260,21515,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851069656,21516,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851096380,21517,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851123501,21518,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851165277,21519,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851181732,21520,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851222840,21521,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851250066,21522,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851273678,21523,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851325196,21524,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851346200,21525,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851372551,21526,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851401532,21527,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851451290,21528,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851469931,21529,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851498792,21530,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851533992,21531,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851573906,21532,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851593963,21533,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851623776,21534,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851655016,21535,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851698665,21536,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851745467,21537,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851757652,21538,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687851793799,21539,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
