timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
687696456193,18939,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696477431,18940,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696523678,18941,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696558756,18942,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696567523,18943,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696599899,18944,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696643987,18945,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696670698,18946,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696697499,18947,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696726240,18948,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696757745,18949,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696806227,18950,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696821151,18951,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696869161,18952,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696882674,18953,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696925058,18954,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696948715,18955,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687696973734,18956,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687697029087,18957,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687697043969,18958,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687697076237,18959,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687697102574,18960,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687697128693,18961,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687697163924,18962,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687697219983,18963,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
687697232697,18964,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
