timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
688570750057,32412,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688570802786,32413,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688570808896,32414,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688570848841,32415,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688570873848,32416,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688570907373,32417,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688570947707,32418,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688570965758,32419,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688570990029,32420,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571021119,32421,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571050514,32422,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571094117,32423,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571148042,32424,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571150687,32425,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571174014,32426,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571219312,32427,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571249272,32428,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571275862,32429,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571301410,32430,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571331686,32431,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571369728,32432,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571396322,32433,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571446526,32434,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571469149,32435,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571526741,32436,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571531557,32437,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571571398,32438,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571581444,32439,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571625107,32440,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
688571650324,32441,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
