assists	alliedJungleMonsterKills	damagePerMinute	effectiveHealAndShielding	enemyChampionImmobilizations	gameLength	jungleCsBefore10Minutes	knockEnemyIntoTeamAndKill	landSkillShotsEarlyGame	moreEnemyJungleThanOpponent	mythicItemUsed	stealthWardsPlaced	teamDamagePercentage	turretPlatesTaken	visionScorePerMinute	champExperience	consumablesPurchased	damageDealtToBuildings	gameEndedInSurrender	itemsPurchased	largestCriticalStrike	longestTimeSpentLiving	magicDamageDealt	magicDamageDealtToChampions	magicDamageTaken	physicalDamageDealt	physicalDamageTaken	spell1Casts	spell2Casts	spell3Casts	spell4Casts	summoner1Casts	summoner2Casts	summonerLevel	timeCCingOthers	totalDamageShieldedOnTeammates	totalHeal	totalHealsOnTeammates	totalMinionsKilled	totalTimeCCDealt	trueDamageDealt	trueDamageDealtToChampions	turretsLost	wardsPlaced	earlyLaningPhaseGoldExpAdvantage	visionScoreAdvantageLaneOpponent	lps	max_recurrent_position_percentage	mean_partidas_diarias	takedownsFirst25Minutes
23	0.0	670.1845474166149	1233.0001220703125	20	2227.684322370557	0.0	0	19	-121.50000008940697	4005.0	52	0.17984960330708458	1	3.5917314747584936	15770	11	2104	False	32	224	416	8833	7816	7028	61601	12124	5	162	51	27	6	9	602	94	0	5822	1233	33	635	2329	2329	1	64	0.0	0.4167494773864746	16	90.0	6.666666666666667	0
7	0.0	315.38307259221835	2927.44140625	8	1211.678538260439	0.0	0	1	-115.00000005960464	4005.0	17	0.1597312591611227	3	2.48903762192327	6106	10	1473	True	22	0	492	7955	5052	2659	4938	4474	19	50	69	5	3	5	602	14	0	4760	2927	2	112	818	818	0	29	0.0	0.8174116611480713	17	90.0	6.666666666666667	0
20	4.0	576.0536607680507	569.9774169921875	15	2107.64564983186	0.0	0	15	-145.80000013113022	4005.0	43	0.1515294670121481	0	3.282110727795696	13334	8	2420	True	29	151	770	8341	5676	8961	45857	12492	2	156	47	23	5	6	602	68	0	2824	569	36	551	892	672	4	52	0.0	0.0	17	90.0	6.666666666666667	0
8	0.0	389.4340163868015	0.0	13	1156.0686586	0.0	5	9	-126.00000011920929	6693.0	10	0.13131215339291213	5	1.9951036685767083	7243	5	2099	False	18	0	576	0	0	2941	16828	8009	40	50	27	7	3	4	602	10	0	2214	0	30	48	7404	1327	0	20	0.0	1.9393489360809326	17	90.0	6.666666666666667	0
10	0.0	253.20296700799747	0.0	16	930.8068134428927	0.0	7	7	-137.00000008940697	0.0	4	0.0918234085881826	1	1.6717010541056145	4948	5	107	True	15	0	295	0	0	4957	6198	3823	28	37	23	2	2	4	602	11	0	1813	0	18	38	3188	393	0	12	0.0	7.932441711425781	17	90.0	6.666666666666667	0
20	0.0	447.2748933871017	3920.32958984375	57	1867.456585786058	0.0	8	12	-140.00000008940697	2065.0	38	0.08893507995090633	1	2.2457905328146945	13113	9	152	False	28	0	776	33462	6806	15365	6065	13412	72	24	81	10	14	7	602	46	3920	1843	0	25	463	5385	5385	9	45	1.0	0.24287688732147217	-16	90.0	6.666666666666667	0
22	0.0	909.2686129041492	14890.8720703125	21	2649.5166659887313	0.0	0	3	-131.00000008940697	6692.0	57	0.2316066031388149	0	3.006682422590265	21878	8	987	True	31	620	1097	3176	677	11182	142094	20915	131	62	62	11	7	8	602	50	4994	23792	9896	82	424	505	431	8	60	0.0	0.6033867597579956	-17	90.0	6.666666666666667	0
11	0.0	563.6313752837187	0.0	36	1818.062852	0.0	9	5	-130.00000005960464	6691.0	25	0.15225199034007986	1	3.626578821975724	14758	10	0	False	29	0	330	0	0	5939	30045	14733	66	98	52	26	5	7	601	30	0	5624	0	54	99	14874	6109	2	55	0.0	1.1766202449798584	18	90.0	6.666666666666667	0
18	8.0	702.3167647776364	12348.76171875	17	2534.312333589301	0.0	0	5	-129.4000000655651	6692.0	55	0.2031647776119843	1	2.7997076823075724	20586	8	524	False	33	595	576	4966	897	21421	119294	12119	120	72	64	11	5	8	601	37	3168	21547	9180	77	361	3160	1824	11	68	0.0	-0.015832602977752686	-16	90.0	6.666666666666667	0
9	12.400000005960464	911.6831589825522	0.0	0	1590.4015451	0.0	0	1	-145.60000014305115	6671.0	6	0.30784371188700227	2	0.8308518423949077	11544	4	1007	False	25	592	242	10435	4153	19115	128694	10507	62	46	49	16	5	7	601	0	0	0	0	170	0	2617	122	11	12	0.0	-0.7182114720344543	-17	90.0	6.666666666666667	0
