assists	alliedJungleMonsterKills	damagePerMinute	earlyLaningPhaseGoldExpAdvantage	effectiveHealAndShielding	enemyChampionImmobilizations	gameLength	jungleCsBefore10Minutes	knockEnemyIntoTeamAndKill	landSkillShotsEarlyGame	moreEnemyJungleThanOpponent	mythicItemUsed	stealthWardsPlaced	teamDamagePercentage	turretPlatesTaken	visionScoreAdvantageLaneOpponent	visionScorePerMinute	champExperience	consumablesPurchased	damageDealtToBuildings	gameEndedInSurrender	itemsPurchased	largestCriticalStrike	longestTimeSpentLiving	magicDamageDealt	magicDamageDealtToChampions	magicDamageTaken	physicalDamageDealt	physicalDamageTaken	spell1Casts	spell2Casts	spell3Casts	spell4Casts	summoner1Casts	summoner2Casts	summonerLevel	timeCCingOthers	totalDamageShieldedOnTeammates	totalHeal	totalHealsOnTeammates	totalMinionsKilled	totalTimeCCDealt	trueDamageDealt	trueDamageDealtToChampions	turretsLost	wardsPlaced	lps	max_recurrent_position_percentage	mean_partidas_diarias	takedownsFirst25Minutes
10	0.0	646.2385739936271	0.0	0.0	93	1691.118693300529	0.0	6	2	-125.0	3068.0	4	0.19027130366144382	0	-0.4311375617980957	0.3576726729800769	11746	2	0	False	23	0	257	66696	14092	14176	10345	20890	46	98	43	9	7	5	316	42	0	22034	0	126	254	7855	3183	11	5	-17	73.68421052631578	9.5	0
5	3.0	480.6101932108196	0.0	0.0	16	1856.8043586438237	0.0	0	3	-111.20000007748604	3152.0	12	0.16461876411481507	0	0.12581253051757812	0.7100537514553706	15503	2	3828	False	15	0	557	98003	12523	12031	31531	6318	147	49	121	7	5	4	316	12	0	1434	0	193	60	10447	692	3	13	17	73.68421052631578	9.5	0
5	12.000000029802322	823.8208586596152	0.0	356.0	0	1513.4398069	0.0	0	1	-126.00000005960464	6672.0	3	0.29057576564273624	0	-0.4576556086540222	0.5717570891914856	10534	5	3905	False	28	463	506	3920	1560	3498	108115	13589	36	30	33	7	4	4	316	8	0	1253	356	168	220	12515	2563	8	4	-15	73.68421052631578	9.5	0
3	0.0	450.1242708799557	0.0	0.0	18	1594.039872041482	0.0	0	9	-128.50000005960464	6656.0	5	0.1611198719399317	0	0.0	0.8465880373127854	9886	1	0	False	16	0	265	54711	8464	11816	11688	11420	182	10	47	35	4	4	316	37	0	2550	0	117	133	2538	1601	7	10	-16	73.68421052631578	9.5	0
21	4.000000029802322	1020.7762717411729	0.0	0.0	49	2190.4705786420877	0.0	0	9	-116.00000002980232	6656.0	3	0.21292639995334456	5	0.6949253082275391	1.2194822919936499	19398	8	4833	False	33	0	305	165040	31761	16364	12624	24250	140	53	126	25	9	6	316	50	0	7489	0	198	310	11475	3112	11	10	16	73.68421052631578	9.5	0
8	0.0	720.6608035774559	0.0	0.0	33	1790.012430912448	0.0	0	7	-146.00000008940697	6656.0	4	0.19017618359858196	4	-0.3843570351600647	0.5680519378818417	12716	7	3398	True	29	0	323	74656	16123	9591	14454	13083	220	21	57	39	7	5	316	57	0	2034	0	137	180	10336	3231	4	10	-16	73.68421052631578	9.5	0
12	0.0	759.8165027484674	0.0	0.0	17	1173.4808522350147	0.0	0	28	-114.00000005960464	6656.0	3	0.20154631757896224	7	-0.1651020050048828	0.5656632839274326	10021	2	5223	False	17	0	630	55021	8402	4768	12155	7348	69	72	32	25	4	3	315	19	0	2328	0	145	72	29087	3767	2	3	16	73.68421052631578	9.5	0
4	0.0	718.8091719787398	0.0	0.0	26	1808.6546328890647	0.0	0	7	-138.50000008940697	6656.0	5	0.20084823748984126	0	0.41966521739959717	1.0123119081922398	15049	6	0	True	30	15	598	97356	15100	9203	18266	14162	248	26	55	48	7	6	315	43	0	2157	0	205	208	13038	4355	10	9	-16	73.68421052631578	9.5	0
5	5.5	1181.9950891226083	0.0	0.0	0	1707.8519163928636	0.0	0	2	-137.00000008940697	0.0	4	0.26639303629731437	1	-0.2635965347290039	0.7777169836740502	13386	4	3354	False	31	479	436	8821	2996	6444	108224	11948	41	30	32	11	3	4	315	15	0	165	0	134	325	13654	3791	4	4	16	73.68421052631578	9.5	0
15	12.0	897.2111674108028	0.0	962.176513671875	26	1747.9477509327949	0.0	0	3	-150.35000014305115	0.0	4	0.2451372110743463	0	0.6708978414535522	0.9074675941544025	15245	4	2964	False	28	0	464	106475	21928	6305	14807	13213	292	31	56	58	8	6	315	44	0	3955	962	181	149	8752	2226	4	12	18	73.68421052631578	9.5	0
15	0.0	1037.7698613051746	0.0	752.0101928710938	31	1379.4671318186622	0.0	0	8	-138.00000008940697	6656.0	4	0.2780565873150428	1	0.613231897354126	0.7999336167605522	13408	4	2693	True	27	346	826	93893	16737	3208	15958	9959	225	32	52	40	7	4	315	50	564	1942	187	152	174	8698	3665	2	11	0	73.68421052631578	9.5	0
10	26.300000101327896	599.3921787613359	0.0	534.171142578125	0	2683.5280792476974	0.0	0	1	-112.00000002980232	6671.0	9	0.16432146079344725	1	-0.2691383361816406	0.7818919163095678	18653	6	956	False	31	611	299	18527	6593	14052	189703	19714	101	76	74	24	8	6	315	0	0	2690	534	180	0	7318	163	6	13	-20	73.68421052631578	9.5	0
9	21.500000029802322	1046.97632384248	0.0	0.0	10	2179.6123255441757	0.0	2	7	-139.00000008940697	6653.0	3	0.31555826388837177	1	-0.030045270919799805	0.9746659863753492	20234	7	8475	False	28	0	1261	281759	33374	7695	8412	19466	143	252	36	9	6	5	315	18	0	1715	0	279	330	11784	3544	8	16	17	73.68421052631578	9.5	0
7	0.0	759.0082115630241	0.0	0.0	0	1617.3818346734263	4.0	0	0	-117.00000002980232	6671.0	3	0.27402083250281434	3	0.1376897096633911	1.476951565021343	15350	8	3566	False	28	1425	406	9021	2004	5727	142418	11312	79	48	60	18	7	3	314	0	0	145	0	200	0	4269	1364	2	10	17	73.68421052631578	9.5	0
4	5.5	1061.0310813571298	0.0	0.0	7	1570.7269527447015	0.0	5	19	-147.00000005960464	4636.0	4	0.4168024147430313	2	1.519103765487671	1.185610079124146	13562	5	87	False	27	0	679	125797	22911	10213	20343	9673	80	34	48	148	4	4	314	4	0	2009	0	206	108	8553	1137	11	10	-16	73.68421052631578	9.5	0
4	8.0	463.8860132898879	0.0	0.0	7	1305.4860070555856	4.0	0	4	-127.00000008940697	4636.0	5	0.19439469174620833	1	1.736332654953003	1.081209583952167	11082	4	1389	True	17	100	1168	67830	7753	6123	17127	2528	188	13	32	26	3	3	314	17	0	393	0	169	80	1820	1247	0	11	17	73.68421052631578	9.5	0
3	4.0	619.5320378203056	0.0	248.0	21	1629.1916230856111	4.0	0	8	-140.00000008940697	4644.0	4	0.23714906100834354	0	0.9753092527389526	1.3974174741849095	11757	6	141	False	22	0	855	94917	13677	9226	13152	9450	262	31	56	46	6	6	314	43	0	2253	248	179	164	4882	1663	7	14	-16	73.68421052631578	9.5	0
6	8.0	922.5465736105173	0.0	0.0	15	1994.627703101603	0.0	0	11	-135.00000008940697	6655.0	4	0.27802879723735113	0	-0.15112406015396118	0.7709547949007483	17667	7	1185	True	25	0	568	161503	28806	9837	14405	9301	149	84	60	47	3	4	314	34	0	1160	0	201	298	3471	903	1	16	16	73.68421052631578	9.5	0
15	16.000000029802322	899.4526777884066	0.0	575.300048828125	0	1672.478682687724	0.0	0	1	-145.00000008940697	6672.0	7	0.23183647335814359	0	-0.1687512993812561	0.5903847167036492	11989	4	3748	False	23	496	341	601	551	9926	93321	10117	42	36	27	9	6	4	314	12	0	3265	575	148	305	12881	3495	3	8	19	73.68421052631578	9.5	0
