assists	alliedJungleMonsterKills	damagePerMinute	earlyLaningPhaseGoldExpAdvantage	effectiveHealAndShielding	enemyChampionImmobilizations	gameLength	jungleCsBefore10Minutes	knockEnemyIntoTeamAndKill	landSkillShotsEarlyGame	moreEnemyJungleThanOpponent	mythicItemUsed	stealthWardsPlaced	teamDamagePercentage	turretPlatesTaken	visionScoreAdvantageLaneOpponent	visionScorePerMinute	champExperience	consumablesPurchased	damageDealtToBuildings	gameEndedInSurrender	itemsPurchased	largestCriticalStrike	longestTimeSpentLiving	magicDamageDealt	magicDamageDealtToChampions	magicDamageTaken	physicalDamageDealt	physicalDamageTaken	spell1Casts	spell2Casts	spell3Casts	spell4Casts	summoner1Casts	summoner2Casts	summonerLevel	timeCCingOthers	totalDamageShieldedOnTeammates	totalHeal	totalHealsOnTeammates	totalMinionsKilled	totalTimeCCDealt	trueDamageDealt	trueDamageDealtToChampions	turretsLost	wardsPlaced	lps	max_recurrent_position_percentage	mean_partidas_diarias	takedownsFirst25Minutes
7	8.0	910.2352303626105	0.0	0.0	0	1781.1475838	0.0	0	0	-116.00000005960464	6693.0	5	0.22421012240446728	2	0.15202081203460693	0.8532659982959989	18215	2	8393	False	17	1240	254	9490	6360	12648	179157	14043	237	30	130	10	4	4	337	12	0	9543	0	226	252	16943	2964	4	10	16	60.0	6.666666666666667	0
8	1.5	812.1057892983823	0.0	0.0	0	1622.9940346826259	0.0	0	29	-119.00000005960464	3152.0	9	0.24790540708382275	0	0.1050405502319336	0.5049404292639219	16797	6	4594	True	21	0	960	135392	18732	2052	13104	18201	259	11	82	8	4	7	337	3	0	26532	0	208	84	3869	1484	3	11	0	60.0	6.666666666666667	0
10	18.80000001192093	1329.9031444142033	0.0	0.0	0	2318.2240966751065	0.0	0	1	-123.00000002980232	4636.0	4	0.31691102820752687	2	1.868391752243042	1.0812304243679898	17301	6	6166	False	26	0	492	81468	17940	16042	63956	14787	65	91	62	18	6	7	337	21	0	4222	0	186	579	59157	22765	10	13	-16	60.0	6.666666666666667	0
5	0.0	412.99237008549085	0.0	0.0	15	1303.9005926	0.0	1	11	-101.40000009536743	3078.0	5	0.1223853274880101	5	0.1388157606124878	0.5797170623765354	11132	2	10770	False	19	0	1197	3213	602	3929	86994	9552	103	20	21	5	3	3	337	15	0	2470	0	160	296	0	0	0	8	16	60.0	6.666666666666667	0
11	16.400000035762787	848.9831929238363	0.0	0.0	0	1653.5599539258974	0.0	0	1	-133.0000001192093	4636.0	6	0.2081053650025237	4	0.9304434061050415	0.7223581730232049	16109	2	7858	False	19	0	786	61616	7909	2864	65038	14660	46	62	57	12	4	4	337	7	0	3010	0	155	481	23284	6279	2	8	17	60.0	6.666666666666667	0
1	4.0	329.325745087499	0.0	0.0	14	1095.9858523237451	0.0	0	6	-147.10000011324883	0.0	5	0.17560459091719152	1	-0.7269787788391113	0.4295460867004319	7317	2	1850	True	17	0	514	3383	217	2358	53750	8918	68	13	18	3	2	3	337	13	0	1013	0	100	220	4517	0	4	5	-16	60.0	6.666666666666667	0
8	0.0	862.0211595046129	0.0	0.0	0	1675.8180121328792	0.0	0	0	-121.6000000834465	0.0	3	0.22033824377128125	5	1.5944254398345947	0.841857829434361	16226	2	13907	False	22	1559	1147	13580	6870	2320	217728	11829	219	19	108	7	2	4	336	15	0	5994	0	248	293	10124	2509	1	10	16	60.0	6.666666666666667	0
10	3.0	667.0494846654294	0.0	0.0	0	2260.034844163235	0.0	0	0	-124.60000005364418	6693.0	4	0.1934828079306674	2	0.06336808204650879	0.890414797999873	18101	3	3103	False	24	1654	431	11846	4222	9430	250240	22842	256	35	144	12	4	6	336	11	0	6673	0	245	257	9508	3679	10	16	-16	60.0	6.666666666666667	0
7	0.0	245.01272451121898	0.0	4984.70263671875	7	1599.7742948889259	0.0	0	37	-128.00000005960464	2065.0	20	0.0942033683654235	2	-0.3143696188926697	1.9183644874888932	8698	5	779	True	16	0	364	11364	4613	4875	3118	9545	68	65	59	8	3	7	336	47	4984	78	0	12	359	988	988	10	22	-16	60.0	6.666666666666667	0
13	4.0	604.4086926058501	0.0	0.0	11	1704.5861389676645	0.0	0	19	-110.40000006556511	4005.0	20	0.17575728103468707	1	0.2538555860519409	2.238201522018705	10664	5	324	False	19	130	549	7634	5184	8106	25756	7913	0	94	29	17	3	7	336	55	0	797	0	16	424	2266	2266	11	22	-16	60.0	6.666666666666667	0
