assists	alliedJungleMonsterKills	damagePerMinute	earlyLaningPhaseGoldExpAdvantage	effectiveHealAndShielding	enemyChampionImmobilizations	gameLength	jungleCsBefore10Minutes	knockEnemyIntoTeamAndKill	landSkillShotsEarlyGame	moreEnemyJungleThanOpponent	mythicItemUsed	stealthWardsPlaced	teamDamagePercentage	turretPlatesTaken	visionScoreAdvantageLaneOpponent	visionScorePerMinute	champExperience	consumablesPurchased	damageDealtToBuildings	gameEndedInSurrender	itemsPurchased	largestCriticalStrike	longestTimeSpentLiving	magicDamageDealt	magicDamageDealtToChampions	magicDamageTaken	physicalDamageDealt	physicalDamageTaken	spell1Casts	spell2Casts	spell3Casts	spell4Casts	summoner1Casts	summoner2Casts	summonerLevel	timeCCingOthers	totalDamageShieldedOnTeammates	totalHeal	totalHealsOnTeammates	totalMinionsKilled	totalTimeCCDealt	trueDamageDealt	trueDamageDealtToChampions	turretsLost	wardsPlaced	takedownsFirst25Minutes	lps	max_recurrent_position_percentage	mean_partidas_diarias
9	0.0	340.4855255965624	0.0	0.0	3	1599.356602555671	0.0	0	0	-122.00000005960464	6656.0	3	0.1039258165494558	0	-0.3305681347846985	0.5686535971077538	14105	4	1037	False	23	0	545	69033	8512	7297	16054	12331	56	56	46	99	3	3	33	13	0	794	0	161	105	0	0	4	7	0.0	22	71.42857142857143	5.25
4	0.0	409.676347386724	0.0	0.0	5	1749.4407873203363	0.0	0	2	-109.25000005960464	6655.0	3	0.1255056629681315	2	-0.4801266193389892	0.4639974525625089	15043	3	5490	True	23	0	626	94002	9185	5756	22387	10266	49	107	91	8	4	4	33	7	0	2843	0	207	90	588	588	2	4	0.0	27	71.42857142857143	5.25
7	9.200000017881392	498.89081988948266	-0.1633691191673278	0.0	8	2170.144083183048	0.0	0	1	-129.00000008940697	6655.0	5	0.1616039007961773	0	2.886514902114868	1.1437366686811157	16225	4	1343	False	23	0	959	119212	15041	5631	24309	12134	60	120	100	14	5	5	33	11	0	0	0	239	206	4366	1042	8	8	4.0	-5	71.42857142857143	5.25
1	0.0	732.3602583046351	0.0	0.0	3	1223.3774794785716	0.0	1	0	-104.60000005364418	6673.0	5	0.2323896219996001	5	0.0	0.3846842451952686	11454	1	6047	True	14	290	604	0	0	695	81133	8959	95	0	3	6	1	2	33	0	0	716	0	178	1	22994	5743	0	5	4.0	28	71.42857142857143	5.25
7	11.0	573.287039253449	-0.3168608546257019	0.0	4	1741.9854748730777	0.0	0	14	-113.60000011324884	6655.0	4	0.2094207011124705	0	2.004842519760132	0.99519782036724	14724	3	1013	False	20	0	578	85051	13793	6511	16851	8610	48	78	94	11	3	5	32	6	0	1713	0	155	125	518	518	4	6	14.0	0	71.42857142857143	5.25
9	0.0	916.496951441257	0.0047646760940551	0.0	6	1825.480064534327	0.0	0	2	-112.60000011324884	6656.0	5	0.2519015641639938	0	1.132440447807312	0.6216324897964906	16322	1	6634	False	19	0	422	121376	25611	5658	19776	17090	97	76	60	137	4	2	32	27	0	5252	0	189	164	126	54	2	6	14.0	26	71.42857142857143	5.25
1	0.0	318.22490188623505	-0.1334257125854492	0.0	0	634.6275414410321	0.0	0	5	-113.40000006556512	0.0	3	0.2654873460535092	0	0.7611876130104065	0.5723498064324688	4168	1	0	True	8	0	204	12351	2888	1279	5830	3048	26	20	15	15	1	1	32	6	0	228	0	63	59	210	30	4	3	2.0	-5	71.42857142857143	5.25
0	0.0	271.2292709937268	0.0069841146469116	0.0	3	1135.4366408	0.0	0	0	-119.00000002980232	0.0	3	0.1949897670414315	0	1.3864842653274536	0.4668588748945537	8108	5	0	False	15	0	876	50305	4873	4057	7377	3609	69	28	8	4	2	2	32	7	0	0	0	128	98	259	259	10	5	0.0	-5	71.42857142857143	5.25
16	87.00000020861626	714.3765330052262	-0.0835658311843872	0.0	86	1808.58076456516	52.00000008940697	16	1	-64.0	6632.0	2	0.2179010862461443	2	0.7925793528556824	0.5107968660992103	14053	3	1390	False	19	195	780	21112	2743	12285	131319	19654	276	62	63	9	6	19	32	30	0	17731	0	36	182	14372	1281	4	5	15.0	28	71.42857142857143	5.25
3	4.0	672.0678312158954	-0.1483494639396667	0.0	7	1618.6527066685928	0.0	0	122	-110.00000008940695	6655.0	3	0.2607665251899014	1	0.8118324875831604	0.8497903920473925	11891	1	224	False	19	0	402	60915	14282	3182	15077	16162	44	84	95	10	4	6	32	12	0	86	0	147	151	1732	1302	7	4	13.0	-5	71.42857142857143	5.25
