assists	alliedJungleMonsterKills	damagePerMinute	earlyLaningPhaseGoldExpAdvantage	effectiveHealAndShielding	enemyChampionImmobilizations	gameLength	jungleCsBefore10Minutes	knockEnemyIntoTeamAndKill	landSkillShotsEarlyGame	moreEnemyJungleThanOpponent	mythicItemUsed	stealthWardsPlaced	teamDamagePercentage	turretPlatesTaken	visionScoreAdvantageLaneOpponent	visionScorePerMinute	champExperience	consumablesPurchased	damageDealtToBuildings	gameEndedInSurrender	itemsPurchased	largestCriticalStrike	longestTimeSpentLiving	magicDamageDealt	magicDamageDealtToChampions	magicDamageTaken	physicalDamageDealt	physicalDamageTaken	spell1Casts	spell2Casts	spell3Casts	spell4Casts	summoner1Casts	summoner2Casts	summonerLevel	timeCCingOthers	totalDamageShieldedOnTeammates	totalHeal	totalHealsOnTeammates	totalMinionsKilled	totalTimeCCDealt	trueDamageDealt	trueDamageDealtToChampions	turretsLost	wardsPlaced	lps	max_recurrent_position_percentage	mean_partidas_diarias	takedownsFirst25Minutes
13	8.000000029802322	821.1067980873243	0.0	0.0	32	1418.0504913	0.0	0	2	-116.25000011920929	6673.0	7	0.18717695272417412	1	-0.05826997756958008	0.47139533817787005	13115	1	5413	False	17	558	345	12783	3513	7679	112898	11731	238	43	60	7	3	4	497	20	0	2324	0	160	115	3031	2731	1	7	16	90.0	2.857142857142857	0
11	19.000000059604645	996.5848418234417	0.0	0.0	7	1947.5778097188447	0.800000011920929	0	20	-145.4000000655651	6655.0	8	0.23484392741937415	1	-0.361301064491272	0.6253462992795746	16503	3	3188	False	22	0	581	159475	29424	7153	11036	12119	100	19	116	34	5	8	497	23	0	632	0	183	294	17588	2706	4	11	17	90.0	2.857142857142857	0
7	5.5	1058.8773334600576	0.0	0.0	7	1553.801173903457	0.0	4	3	-134.00000008940697	6653.0	6	0.30985277687639323	0	-0.37506359815597534	0.6523078785493949	14080	2	0	False	19	0	514	103670	25939	2097	5864	18960	75	131	7	10	4	4	497	15	0	40	0	175	255	8039	1339	9	8	-16	90.0	2.857142857142857	0
8	26.30000001192093	789.4339282792729	0.0	0.0	44	1827.7805659209653	0.800000011920929	7	2	-129.60000002384186	6655.0	7	0.28579717490797923	5	0.3442322015762329	0.8030026045233188	17549	5	9435	False	23	0	873	195668	23650	3607	16689	9753	241	176	51	9	4	6	496	26	0	2574	0	243	259	0	0	4	9	17	90.0	2.857142857142857	0
12	17.5	1037.7877110687155	0.0	0.0	74	1514.836883107404	0.0	11	19	-115.00000005960464	6655.0	9	0.32752955348681523	4	0.7577452659606934	0.9071965782989826	12458	3	2412	False	19	0	475	126575	24952	5038	10013	11037	175	138	49	10	4	6	496	41	0	1286	0	172	294	234	0	1	10	17	90.0	2.857142857142857	0
6	1.5	697.6197538060649	0.0	981.1499633789062	0	1492.8539068999999	0.0	0	3	-139.20000010728836	0.0	8	0.26767949425487814	0	-0.2929772138595581	0.4463573548798656	13546	1	1855	False	14	0	409	102629	11524	5300	35475	16718	56	41	66	5	4	5	496	10	0	3304	981	211	254	11391	525	11	8	-16	90.0	2.857142857142857	0
6	4.0	773.5975816956231	0.0	0.0	0	1402.2553752169226	0.0	0	12	-126.00000005960464	3068.0	7	0.19453928651618946	0	-0.3372310400009155	0.43858161936615914	12646	3	2346	True	20	0	377	83514	16104	6788	13458	12220	122	24	53	14	2	3	496	2	0	653	0	188	63	4140	90	0	7	16	90.0	2.857142857142857	0
3	0.0	595.4217714147962	0.0	0.0	0	1545.912207692875	0.0	0	15	-123.00000008940697	6662.0	8	0.19693162339311385	0	-0.4559125304222107	0.4489320600150351	10856	2	804	True	15	0	331	63606	12641	17299	10925	8423	110	27	40	11	3	5	496	2	0	667	0	147	282	3904	1064	7	8	-16	90.0	2.857142857142857	0
9	6.0	991.2519179101001	0.0	0.0	35	1503.0729902810904	0.0	0	2	-119.50000014901161	6673.0	8	0.23754383275618787	4	-0.2518601417541504	0.4192838901995304	14156	1	4801	False	19	507	309	15919	4302	2930	138162	17345	258	34	45	8	2	6	496	26	0	2966	0	186	160	6246	3121	2	8	18	90.0	2.857142857142857	0
16	4.0	464.1844432940571	0.0	144.46142578125	11	1586.7416323200805	0.0	0	0	-138.60000011324883	6671.0	6	0.146571505326848	1	-0.15228933095932007	0.6616361465644606	13251	1	3782	False	17	972	439	2980	786	7057	117949	8889	94	42	22	25	3	5	496	15	0	1958	144	183	42	2091	237	5	8	17	90.0	2.857142857142857	0
6	0.0	746.1273896895876	0.0	0.0	0	1145.3123133226206	0.0	0	6	-130.60000005364418	0.0	5	0.2630421656826003	6	0.20305407047271729	0.6656027261553922	11652	2	11543	True	15	410	515	3504	865	3988	103297	4043	49	27	38	5	2	3	496	1	0	821	0	185	22	3831	798	1	6	17	90.0	2.857142857142857	0
4	28.0	907.4972139981073	0.0	0.0	11	1959.8721066334972	4.0	0	42	-145.00000008940697	6653.0	9	0.27706238969257724	1	-0.2876806855201721	0.936367527525644	16759	4	701	False	22	0	510	179588	29057	9447	8911	14789	115	32	135	18	5	4	495	31	0	1894	0	255	432	296	90	8	12	-16	90.0	2.857142857142857	0
5	4.0	840.8417501501588	1.0	0.0	8	1307.2203294986357	0.0	0	21	-133.50000008940697	6656.0	5	0.26555089489082684	0	-0.7730976939201355	0.4970736893679946	12464	4	3098	False	19	0	1067	93328	17274	1322	10057	10122	76	13	76	30	3	6	495	19	0	717	0	168	203	2242	48	0	7	18	90.0	2.857142857142857	0
1	0.0	384.25453094011	0.0	0.0	0	200.87357044561193	0.0	0	5	-29.000000029802322	0.0	1	0.7549705669814243	0	-0.5342200994491577	0.139126278200337	770	2	0	False	6	0	189	1554	734	184	1216	1090	3	0	6	0	1	1	495	0	0	0	0	12	3	0	0	0	1	0	90.0	2.857142857142857	0
2	5.5	1126.3144754275347	0.0	0.0	0	1841.1015237	0.0	0	1	-145.00000005960464	6672.0	6	0.36289918310581193	3	-0.2365483045578003	0.7728566534431464	17365	1	6249	False	26	544	708	7673	2233	8916	167122	19815	76	40	58	15	4	6	495	5	0	2886	0	259	72	15987	4734	10	9	-15	90.0	2.857142857142857	0
6	32.00000002980232	1065.081952011759	1.0	0.0	7	1560.5220829351258	4.0	0	22	-108.25000005960464	6653.0	7	0.289311970896796	5	0.586694598197937	0.9878480183095542	15074	2	2093	False	25	0	365	141407	27046	7970	12653	10473	126	18	106	31	5	4	495	21	0	298	0	184	326	68	0	1	9	16	90.0	2.857142857142857	0
3	5.5	543.3269120951131	0.0	0.0	4	1438.2754693999975	0.0	0	22	-139.00000005960464	6655.0	6	0.2315227550018551	1	-0.5872422456741333	0.4683058249142995	10738	3	3247	False	20	0	369	87865	12703	5197	11404	8317	74	18	71	10	4	2	495	14	0	0	0	181	138	5120	0	11	8	-16	90.0	2.857142857142857	0
5	11.0	646.4376848569027	1.0	0.0	22	1859.1195254048887	4.0	0	4	-134.00000008940697	6655.0	5	0.1950219883664388	5	0.04537689685821533	0.8043471557406914	18204	2	4037	False	21	0	1019	151342	15779	5383	26021	14980	120	195	52	30	3	4	495	33	0	2243	0	289	92	21987	0	10	11	-12	90.0	2.857142857142857	0
9	5.5	1261.4087863329958	0.0	0.0	0	2137.448879449329	0.0	0	18	-126.00000005960464	6655.0	5	0.3413569957588064	0	0.19006133079528809	0.7014009342943852	18707	4	3971	False	23	0	361	204211	39188	9042	22747	14226	80	56	98	180	4	4	495	20	0	2485	0	277	482	8061	3286	10	10	-16	90.0	2.857142857142857	0
6	8.000000029802322	909.0145741682861	0.0	0.0	0	1458.9772267550843	0.0	0	3	-123.00000008940697	6672.0	8	0.3180702661995516	0	-0.07209652662277222	0.8108945665751766	8334	2	0	True	21	398	235	7365	3706	10421	77130	10014	60	28	55	6	5	5	495	2	0	1384	0	128	14	3860	1463	3	8	-15	90.0	2.857142857142857	0
