assists	alliedJungleMonsterKills	damagePerMinute	earlyLaningPhaseGoldExpAdvantage	effectiveHealAndShielding	enemyChampionImmobilizations	gameLength	jungleCsBefore10Minutes	knockEnemyIntoTeamAndKill	landSkillShotsEarlyGame	moreEnemyJungleThanOpponent	mythicItemUsed	stealthWardsPlaced	teamDamagePercentage	turretPlatesTaken	visionScoreAdvantageLaneOpponent	visionScorePerMinute	champExperience	consumablesPurchased	damageDealtToBuildings	gameEndedInSurrender	itemsPurchased	largestCriticalStrike	longestTimeSpentLiving	magicDamageDealt	magicDamageDealtToChampions	magicDamageTaken	physicalDamageDealt	physicalDamageTaken	spell1Casts	spell2Casts	spell3Casts	spell4Casts	summoner1Casts	summoner2Casts	summonerLevel	timeCCingOthers	totalDamageShieldedOnTeammates	totalHeal	totalHealsOnTeammates	totalMinionsKilled	totalTimeCCDealt	trueDamageDealt	trueDamageDealtToChampions	turretsLost	wardsPlaced	lps	max_recurrent_position_percentage	mean_partidas_diarias	takedownsFirst25Minutes
13	16.500000059604645	776.5375276528296	0.0	0.0	42	2315.495889245512	0.25	3	8	-104.50000005960464	3078.0	9	0.19110717965857307	1	-0.07198065519332886	0.6170050912273025	18862	3	2999	False	22	0	663	21683	5331	13132	197618	29040	180	28	37	11	4	5	46	46	0	9148	0	241	619	3777	746	9	10	-15	90.0	20.0	0
14	0.0	307.89753520256556	0.0	1220.589599609375	112	1922.9357181415223	0.0	13	3	-112.40000003576279	3190.0	36	0.08182375146445224	1	2.0535809993743896	2.1885670038920915	11718	10	738	False	30	0	287	14473	6516	12842	5995	12086	43	35	33	13	13	23	46	68	1220	1825	0	33	284	8219	726	4	44	18	90.0	20.0	0
10	1.5	441.77964070258633	0.0	0.0	0	1726.1775496115242	0.0	0	0	-107.00000008940697	3078.0	10	0.16004980912564482	0	-0.02873438596725464	0.46178094386160623	15305	0	3492	False	14	758	797	13030	2345	7216	123533	13848	162	25	106	6	2	5	46	6	0	6647	0	172	283	14844	1166	1	10	17	90.0	20.0	0
2	0.0	452.21722545796746	0.0	0.0	31	1152.10969048917	0.0	0	3	-93.0	0.0	5	0.20681836147100816	1	-0.05762392282485962	0.42807362433875995	7913	0	707	True	11	0	480	33569	5347	3594	31354	11928	49	40	20	7	2	2	46	21	0	2104	0	117	351	4320	0	8	5	-16	90.0	20.0	0
1	0.0	400.1210098750832	0.0	0.0	0	814.8066991	0.0	0	4	-145.50000005960464	0.0	2	0.23485010922197838	1	0.12197160720825195	0.7480871637020113	4163	3	81	False	10	219	221	1330	890	3897	18510	9497	39	10	14	3	1	2	46	3	0	1600	0	63	43	927	927	7	3	-15	90.0	20.0	0
6	4.0	966.361058102984	0.0	0.0	35	1618.653785	0.0	1	9	-138.00000008940697	3078.0	7	0.2577406386772134	1	0.920166015625	0.842246987618827	14494	2	2239	True	19	0	843	11406	3747	9029	111550	17197	110	19	28	9	4	3	46	36	0	4801	0	184	407	16784	0	2	9	18	90.0	20.0	0
12	0.5	958.5927717040483	0.0	0.0	48	1503.4607030658392	0.0	7	11	-103.00000002980232	3078.0	7	0.2685005275620194	5	0.2936837673187256	0.693468053226698	13238	2	1992	False	22	0	439	13205	3365	8955	109463	13257	131	15	31	9	3	3	46	39	0	7154	0	154	438	6522	120	2	8	17	90.0	20.0	0
4	8.0	518.8390530373648	0.0	0.0	0	2047.6951619782722	0.0	0	11	-129.00000008940697	0.0	10	0.1440259514302225	0	-0.027512729167938232	0.9681334438834254	15829	5	1793	False	27	0	742	134862	15823	8081	13727	9325	149	199	171	11	8	5	46	11	0	1935	0	209	275	17229	1174	6	11	17	90.0	20.0	0
3	0.0	335.3625212988986	0.0	0.0	0	1386.7257379940186	0.0	0	0	-102.90000000596046	0.0	6	0.1533652460662074	0	-0.20479226112365723	0.5763213420433005	10244	1	229	False	17	866	484	9930	1296	8021	87490	12150	103	23	82	6	2	3	46	4	0	4769	0	157	254	6984	761	11	7	-16	90.0	20.0	0
8	12.0	614.3994195425295	0.0	0.0	31	1893.1179765819857	0.0	5	6	-138.00000008940697	3078.0	7	0.1939779724725042	4	-0.008459806442260742	1.04509759374022	15389	3	3234	False	24	0	267	13708	2226	6933	132139	19667	124	12	29	7	4	4	46	26	0	4193	0	199	393	7053	634	8	8	-16	90.0	20.0	0
5	5.5	462.3247219427377	0.0	0.0	6	1139.9058608454075	0.0	1	9	-123.25000005960464	0.0	5	0.1656153340194071	5	0.6687585115432739	0.5555534863288418	10964	3	4303	True	15	0	441	6517	1275	2672	73347	8884	78	8	24	2	3	3	46	9	0	2211	0	139	252	3350	0	1	6	17	90.0	20.0	0
5	4.000000029802322	909.3292586174477	1.0	0.0	22	1536.9020481369394	0.0	0	4	-125.00000008940697	3152.0	4	0.24108021635636245	5	-0.40609002113342285	0.4145630690435839	13641	2	2781	False	21	0	643	98332	20422	7051	20298	9467	101	55	95	10	2	4	45	17	0	2740	0	181	60	2840	0	1	5	18	90.0	20.0	0
5	0.0	827.4102707608411	0.0	0.0	0	1276.6354569072287	0.0	0	0	-116.00000002980232	3078.0	6	0.34984594927801543	5	-0.19855469465255737	0.5233342889350555	9786	1	3220	True	13	955	765	5127	3467	4104	104610	15565	122	16	67	6	1	2	45	8	0	3342	0	159	209	5997	2431	6	6	-15	90.0	20.0	0
14	0.0	768.1384202323563	0.0	0.0	54	1706.8148703308066	0.0	8	9	-114.00000005960464	3078.0	9	0.2108175990649087	2	0.13508081436157227	0.6455669386796847	16311	3	8305	True	19	0	588	9682	2684	7394	136717	17123	154	29	30	9	2	4	45	43	0	6555	0	195	452	5524	309	2	10	17	90.0	20.0	0
