assists	alliedJungleMonsterKills	damagePerMinute	earlyLaningPhaseGoldExpAdvantage	effectiveHealAndShielding	enemyChampionImmobilizations	gameLength	jungleCsBefore10Minutes	knockEnemyIntoTeamAndKill	landSkillShotsEarlyGame	moreEnemyJungleThanOpponent	mythicItemUsed	stealthWardsPlaced	teamDamagePercentage	turretPlatesTaken	visionScoreAdvantageLaneOpponent	visionScorePerMinute	champExperience	consumablesPurchased	damageDealtToBuildings	gameEndedInSurrender	itemsPurchased	largestCriticalStrike	longestTimeSpentLiving	magicDamageDealt	magicDamageDealtToChampions	magicDamageTaken	physicalDamageDealt	physicalDamageTaken	spell1Casts	spell2Casts	spell3Casts	spell4Casts	summoner1Casts	summoner2Casts	summonerLevel	timeCCingOthers	totalDamageShieldedOnTeammates	totalHeal	totalHealsOnTeammates	totalMinionsKilled	totalTimeCCDealt	trueDamageDealt	trueDamageDealtToChampions	turretsLost	wardsPlaced	lps	max_recurrent_position_percentage	mean_partidas_diarias	takedownsFirst25Minutes
6	0.0	531.2163454002882	0.0	1487.6697998046875	14	1598.0630385	0.0	2	21	-110.00000005960464	4644.0	2	0.1728434847407049	4	-0.35047900676727295	0.5852706281510809	10819	5	1389	False	22	0	373	85800	12947	9472	12753	10338	146	99	60	8	3	3	120	18	1487	631	0	179	318	3590	70	8	10	-10	82.35294117647058	8.5	0
2	5.500000029802322	653.9789969410916	0.0	0.0	0	2092.5191789810137	0.0	0	4	-111.00000005960464	6671.0	1	0.1557745453767874	2	-0.11884784698486328	0.8885074244334153	13878	6	4053	False	28	652	583	8834	2562	13516	145096	13965	71	46	58	16	5	8	119	0	0	402	0	190	3	2168	2112	8	10	-9	82.35294117647058	8.5	0
10	4.000000029802322	883.5543161694001	0.0	0.0	0	1750.688476155249	0.0	0	0	-133.50000008940697	6632.0	6	0.2588767937644428	0	0.2781703472137451	0.6134369048481588	14694	4	3140	False	27	0	459	94803	15636	13087	47127	17610	91	77	0	10	4	7	119	2	0	5914	0	167	46	2604	1531	3	8	28	82.35294117647058	8.5	0
2	0.0	347.1800599068728	0.0	0.0	13	976.1622047800851	0.0	0	0	-145.00000008940697	0.0	3	0.18822960955730322	0	1.214651346206665	0.636473294214242	7483	4	0	True	15	0	681	47923	5598	6745	3275	5201	50	27	60	10	2	2	119	15	0	1576	0	132	229	0	0	5	7	-8	82.35294117647058	8.5	0
4	8.700000017881393	516.95891264601	0.0	0.0	0	2275.133134938084	0.0	0	9	-139.00000008940697	3152.0	3	0.12940422177330899	0	0.029284238815307617	0.7805846953074086	17579	7	323	False	25	0	422	145626	15774	16920	19715	25369	298	11	106	11	8	8	119	2	0	32520	0	218	90	4999	2313	8	9	29	82.35294117647058	8.5	0
8	4.0	505.80671606951597	0.0	0.0	11	1754.1693235999999	0.25	0	0	-135.95000010728836	6671.0	4	0.14426710638097964	0	-0.07551640272140503	0.9883831865222099	12696	9	1609	False	23	821	326	9618	1533	3954	125150	4673	72	52	51	26	2	3	119	26	0	1813	0	219	201	3849	33	7	14	-8	82.35294117647058	8.5	0
1	4.0	838.4144347375213	0.0	0.0	8	1277.7087891179633	0.0	0	10	-121.80000007152557	6655.0	4	0.27861178483300686	4	0.3132598400115967	0.8737860012848575	11501	7	1816	True	19	0	545	116637	15934	3885	12768	3877	70	17	71	77	2	3	119	14	0	1025	0	214	163	6091	601	4	12	-8	82.35294117647058	8.5	0
2	2.7000000178813934	235.0133717082132	0.0	0.0	7	1282.930407702895	0.0	0	4	-115.40000003576279	6656.0	4	0.15168648143016059	0	0.14733576774597168	0.6998202678870803	8542	7	103	True	21	0	816	65504	4481	3231	9029	11318	93	51	21	4	2	2	119	10	0	368	0	144	63	0	0	11	9	-8	82.35294117647058	8.5	0
4	11.600000023841858	475.0446554363889	0.0	0.0	20	1584.4116968379117	0.0	0	2	-137.00000008940697	6673.0	5	0.16955146807022925	0	-0.1489347219467163	0.7422851546218963	12401	5	0	True	22	387	299	11164	734	9107	99434	10646	209	21	125	7	4	6	119	18	0	623	0	171	110	5750	1002	7	8	-8	82.35294117647058	8.5	0
8	17.5	919.3979287619928	1.0	0.0	22	1841.4145196	0.0	0	9	-121.00000008940697	6673.0	3	0.2759876621505274	1	0.6650086641311646	0.8232016985681286	17136	4	4766	False	27	579	722	36750	10000	17032	175341	16205	275	30	83	8	5	6	119	28	0	3069	0	248	189	5328	2931	3	6	31	82.35294117647058	8.5	0
