user_id,product_id,order_id,days_since_prior_order,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,order_id_user,product_id_user,days_since_prior_order_user,Day_1_user,Day_2_user,Day_3_user,Day_4_user,Day_5_user,Day_6_user,Day_7_user,Hour_8_user,Hour_9_user,Hour_10_user,Hour_11_user,Hour_12_user,Hour_13_user,Hour_14_user,Hour_15_user,Hour_16_user,Hour_17_user,Hour_18_user,Hour_19_user,Hour_20_user,Hour_21_user,Hour_22_user,Hour_23_user,order_id_prod,user_id_prod,days_since_prior_order_prod,Day_1_prod,Day_2_prod,Day_3_prod,Day_4_prod,Day_5_prod,Day_6_prod,Day_7_prod,Hour_8_prod,Hour_9_prod,Hour_10_prod,Hour_11_prod,Hour_12_prod,Hour_13_prod,Hour_14_prod,Hour_15_prod,Hour_16_prod,Hour_17_prod,Hour_18_prod,Hour_19_prod,Hour_20_prod,Hour_21_prod,Hour_22_prod,Hour_23_prod
0,43,9,0.1111,1,1,0,2,3,2,0,0,0,1,1,1,0,0,3,0,0,0,0,1,2,0,0,25,19,0,5,3,8,7,12,6,0,0,0,1,6,6,1,2,11,1,0,1,4,3,4,1,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
1,43,8,0.0,2,3,1,0,1,0,1,0,0,0,0,2,1,1,1,1,0,0,0,2,0,0,0,17,14,0,3,6,9,4,2,0,2,0,0,0,3,6,2,4,2,3,0,1,0,5,0,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
2,43,11,0.0,3,1,1,3,1,2,0,0,0,0,0,0,3,2,2,0,3,0,0,0,1,0,0,21,23,1,10,9,4,10,5,5,1,0,0,0,0,4,13,3,8,1,8,3,0,0,3,0,1,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
3,43,8,0.0,1,1,1,3,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,3,0,0,0,14,15,0,1,4,3,8,2,0,4,0,0,0,0,0,4,1,3,2,0,0,3,9,0,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
4,43,9,0.0,1,0,1,3,3,0,1,0,0,0,2,0,1,0,0,0,1,1,1,1,2,0,0,15,17,0,5,0,3,8,7,0,4,0,0,0,4,2,3,0,1,0,1,3,5,4,4,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
5,43,8,0.0,1,3,0,1,3,0,0,0,0,0,0,1,2,1,2,0,0,0,1,1,0,0,0,16,16,0,5,10,5,2,9,0,4,0,0,0,1,4,4,5,8,1,0,0,8,4,0,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
6,43,13,0.0,1,2,4,1,1,2,2,0,0,0,0,1,3,0,0,2,1,2,1,1,2,0,0,22,19,0,1,5,9,3,3,11,6,0,0,0,0,4,4,6,3,7,2,5,1,3,3,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
7,43,12,0.0,3,2,0,2,1,3,1,0,0,0,0,3,1,0,0,0,1,0,1,1,5,0,0,26,21,0,5,5,3,6,8,13,2,0,0,0,2,4,4,2,4,1,6,0,4,7,8,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
8,43,10,0.0,0,2,3,2,2,1,0,0,0,0,0,1,1,4,1,0,0,0,0,1,1,1,0,18,14,0,1,10,12,6,4,2,0,0,0,1,0,3,3,7,4,0,3,1,1,3,8,1,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
9,43,11,0.0909,1,0,3,3,3,0,1,0,1,0,0,0,1,2,1,3,0,0,2,1,0,0,0,22,30,0,10,2,6,9,5,4,8,0,2,0,4,1,9,9,4,8,1,2,3,1,0,0,0,9849,1000,0,1234,1453,1472,1706,1632,1337,1032,0,93,246,609,772,1069,1310,895,621,555,784,1043,1140,640,80,9
