Nombre,Fecha,Texto
Director,"20/01/2021, 09:53","Los avatares de la vida os llevaron a todos a combatir las invasiones humanoides en las Montañas Lortmils.

Todos teníais vuestras propias motivaciones para enrolaros en los diferentes batallones e incursiones destinadas a expulsar a estos humanoides de los territorios pertenecientes a ancestrales clanes enanos. En varias de esas misiones poco organizadas coincidisteis en el campo de batalla y, poco a poco, os disteis cuenta de que vuestras habilidades se compenetraban casi a la perfección. Por lo que formasteis una especie de escuadrón especializado en misiones más concretas.

Con vuestra experiencia en el campo de batalla, os unisteis para proteger a los diferentes clanes enanos y durante cierto tiempo gozasteis de cierta fama y riqueza.

Hoy todo parece mucho más siniestro. En el 566 Año Común (AC), malvados cultistas construyeron una capilla cerca del pueblo de Nulb. El lugar profano atrajo adoradores, bandidos, orcos, gnolls y otros indeseables. Finalmente, los cultistas expandieron sus estructuras hasta construir el conocido Templo del Mal Elemental y, para el año 569 AC, sus actividades habían atraído la atención de la buena gente de Furyondia y Veluna, así como de los enanos de las Montañas Lortmil y los gnomos de las Colinas Kron.

El príncipe Thrommel IV de Furyondia reunió un ejército, que se conoció como la Hueste Justa, y lo marchó al sureste de Verbobonc para hacer frente a la creciente amenaza. En el camino, Thrommel forjó alianzas con enanos y gnomos, quienes agregaron sus números a la Hueste. Entre los enanos os encontrabais vosotros, que por diversas motivaciones, no dudasteis en uniros a la Hueste Justa.

Thrommel, que lidera las fuerzas combinadas como Mariscal de Furyondia, está ahora acampado en uno de los grandes claros de Las Llanuras de Emridy, a un día de marcha del templo. Los exploradores informan que las fuerzas del templo superan en número a la Hueste Justa en tres a uno. A pesar de esta revelación, Thrommel cree que puede explotar la naturaleza rebelde y la falta de disciplina del enemigo para ganar la guerra. Sus consejeros, aunque están de acuerdo con sus planes, han insistido en pedir ayuda para llevar a cabo un cabo misiones clave que creen que pueden cambiar las probabilidades a favor de la Hueste Justa. Aquí es donde vosotros entráis en juego."
Soren Ojoagudo,"21/01/2021, 11:53","De vez en cuando Soren se preguntaba qué demonios haciá allí, practicando la guerra de guerrillas en lugar de seguir trapicheando con esos fantásticos artículos que ""llegaban a sus manos"", como hacía antaño. Entonces recordaba las palabras de su amigo de juventud, Rogar, al que se encontró mucho tiempo después y le espetó una frase que no olvidaría nunca.

""?Nunca has pensado en hacer algo que ayude a alguien más que a tí mismo? Algo que valga la pena de verdad. Bueno, supongo que no estás forjado para emprender algo así...""

El ladrón se tomó aquello como un reto, y decidió demostrar que sí podía hacerlo. Así fue como se trasladó a las Montañas Lortmils para ayudar a sus parientes a combatir al enemigo. Encontró allí no sólo un grupo de nuevos amigos, también cierto regusto en lo que hacían, sobre todo cuando combatían a conquistadores y tiranos. No hay nada que odiase más que los tiranos.

Por supuesto, los botines también motivaban mucho a Soren. El tacto del oro, la belleza de las piedras preciosas, las sinuosas formas en la estructura de un objeto antiguo y valioso... Eran pura ambrosía. Quizá no alcanzaba esas delicias tan habitualmente como le gustara, pero de vez en cuando podían caer en sus manos, y bien que las disfrutaba.

Mientras tanto, las guerras continuaban, y eso significaba trabajo. A este paso se haría famoso por su hazañas bélicas en lugar de como ladrón, como siempre había soñado. Estaba conforme con ello, de momento, y por eso aceptó unirse a la Hueste Justa."
Orsik Barbarroble,"21/01/2021, 13:24","Orsik siempre ha conocido la guerra, su padre era un buen guerrero y formaba parte de una milicia, recuerda siempre las historias que contaba sobre las batallas, y el respeto y la camaradería que existía entre los soldados. Así que Orsik decidió seguir sus pasos e ingresar en la milicia de infantería.

Tras la aparición del Templo, y la amenaza que estaba suponiendo para los habitantes de la zona, Orsik no dudó ni un segundo en acudir al norte para ayudar a los enanos de las Montañas Lortmil. Ahora, la llamada del Príncipe Thrommel IV ha despertado en Orsik la necesidad de formar parte de la Hueste Justa, y así luchar contra el enemigo que se cierne sobre nuestros hogares."
Groac'h de fromma,"21/01/2021, 17:05","Groac'h era un enviado de su Sinagoga para participar en una guerra que, desde su inicio, había adquirido un carácter axiológico para los reinos circundantes e incluso más allá. La petición de los enanos de las Montañas Lortmil de apoyo ante el desmedido crecimiento de las huestes enemigas a causa de la construcción del Templo del mal elemental. La iniciativa del príncipe Thrommel IV de Furyondia se valoró muy posivamente por la Teocracia, lo que movilizó a un grupo de paladines y sacerdotes humanos que, pronto, fueron acompañados por un contingente enano más reducido pero, como siempre, mejor preparado muy superior en capacidad táctica y bélica.

Groac'h da fromma (el piadoso, como era apodado con cierta sorna, pues se insinuaba que su amor por la cerveza era superior a la de los mismos dioses) solo tenía parientes lejanos en aquella zona, pero pronto se hizo con un grupo de compañeros en la batalla, que compartían esa especie de hermandad que solo puede surgir en la guerra."
Gulgram Stonefist,"21/01/2021, 18:17","Justicia. Al final todo va en una misma dirección. Gulgram echó la vista hacia atrás y recordó su reclusión. Lo dejó a todo y a todos y se exilió por cuenta propia, aunque nunca se había sentido exiliado. Jamás se había sentido tan pleno, ni siquiera cuando vivió y creció en la ciudad estado de Onnwal. Sonrió al recordar cómo aprendió a hacer cerveza y las súplicas de la gente a la que vendía su arte cuando decidió dejarlo todo. Vender? Al final todos ansían el dinero. Suspiró contemplando la amplia bolsa de dinero que tenía atada a su cinturón e inconscientemente agarró con su mano izquierda. No era necesaria una bolsa tan pesada, pronto intentaría deshacerse del excesivo peso.

Intentó alejar sus pensamientos del oro y contempló una cicatriz que tenía en la mano. Sonrió al recordar los duros entrenamientos en la abadía en la que estudió el dominio del ki. Eso le hizo volver al camino de sus pensamientos. Justicia. Volvió a recordar.

Cuando decidió que era su momento, que necesitaba encontrarse a sí mismo, encontrar el por qué, estuvo viviendo aislado de cualquier comunidad? Una emoción lo embargó ahora. Su camino le había llevado, a través de la sangre de infinidad de enemigos, a ser miembro de la ?Hueste Justa?. Los hados son sabios y me han traído hasta este lugar con esta gente. Si el Cosmos quería que estuviese allí, allí estaría y allí lucharía por la justicia y por el bien.

Rara vez sentía desesperanza, miedo o dudas? Sin embargo, cualquier duda que lo asaltase se disipaba al contemplar a su camarada. Rurik Rumnaheim lo acompañó en esta extraña travesía desde muy muy lejos. Era probable que el propio Rurik tuviese sus motivos, pero se alegraba de tener a un compatriota de Onnwal consigo. Al final, tu patria no es un lugar, sino la gente con la que estás y definitivamente, esta extraña gente era ahora su familia, su tierra."
Rurik Rumnaheim,"21/01/2021, 21:35","Afable, tranquilo y sonriente, Rurik Rumnaheim era un enano de las montañas proveniente de Onnwal al que le perdía el ansia por descubrir nuevos conocimientos y revelar antiguos misterios. Además de andar embutido en una pesada cota de escamas y portar un enorme martillo de guerra al hombro, el abjurador vestía una cuidada túnica dorada y una capa roja de bella factura. Tenía el pelo cano, pero bien aseado, al igual que la profusa barba blanca que lucía con orgullo.

Rurik había estado trabajando en diversas bibliotecas y monasterios de la región sureña hasta que conoció al ""monje cósmico"", como solía llamar a Gulgram, su paisano y amigo. Juntos habían emprendido la noble misión de ayudar a la Hueste Justa en su cruzada contra los malvados cultistas del Templo del Mal Elemental. Y así es como terminó formando parte de la variopinta compañía cuya sorprendente historia nos disponemos a narrarles."
Director,"25/01/2021, 11:19","Habéis sido convocados al consejo de guerra.

Esto sería un gran honor para cualquier militante de la Hueste Justa, pero la moral está en horas bajas:

Los soldados de la Hueste creían que habían sido reunidos para derribar un templo advenedizo, defendido por cultistas y bandidos. Ahora, a un día de marcha del templo, los exploradores han regresado con informes que describen una vasta horda de hmanoides salvajes y monstruos malvados, reforzados por demonios, elementales y magia oscura. El miedo se ha extendido por toda la Hueste Justa como una enfermedad, y vosotros podéis ver ese miedo escrito en prácticamente cada rostro de los soldados.

Grit Huesos de Piedra, representante de los enanos de las Montañas Lortmils y vuestro valedor en la batalla, os ha pedido ayuda en el inminente consejo. No es natural en él estar nervioso o titubear y eso os preocupa de sobremanera.

Sois conducidos a una tienda que, aunque muy bien protegida, parece de lo más corriente. Sin embargo, el interior es completamente distinto, muchísimo más amplio de lo que cabría esperar y con las comodidades de una gran sala palaciega.

- ""Un refugio seguro de Leomund"" - murmura Rurik entre dientes.

Una mesa redonda domina el centro de la sala, rodeada de asientos para los consejeros y cada uno de vosotros. La mesa está cubierta por mapas que representan las Llanuras de Emridy, mostrando la disposición de las fuerzas enemigas además de la disposición del terreno. Todos los miembros del consejo mantienen un gesto serio y prácticamente no intercambian palabras. Varios guardias con el rostro impasible permanecen contra las paredes, con sus manos empuñando sus armas y listos para cualquier cosa. El ambiente es verdaderamente tenso."
Thrommel IV,"25/01/2021, 11:54","El Príncipe Thrommel accede a la estancia junto con los restantes miembros del consejo de guerra.

Por favor, tomen asiento - os solicita con tono serio.

Bienvenidos al consejo. Por favor, siéntense - repite mientras todos los miembros del consejo toman asiento a su alrededor dejando vuestras cinco sillas contiguas junto a Grit.

Supongo que ya conocen de sobra a Huesos de Piedra, nuestro representante de las Montañas Lortmils.

Les presento al resto de los integrantes del consejo: Su noble señoría, el Vizconde Wilfrick de Verbobonc; Serten, devoto de San Cuthbert y represntante de la Cuidadela de los Ocho y por último Jeet Jimblecap, representante de los gnomos de las Colinas Kron.

Una vez tenéis una imagen clara del consejo, Thrommel va directo al grano:

Anoche capturamos a un espía enemigo llamado Dennek. Lo tenemos encarcelado en un carro cercano, bajo una fuerte guardia. Teme por su vida y sabiamente nos ha proporcionado una buena información sobre los planes de nuestros enemigos.

Sus fuerzas nos superan en tres a uno. Sin embargo, sigo confiando en nuestras posibilidades de victoria, ya que todos los informes indican que esas fuerzas son indisciplinadas, no están capacitadas y son propensas a las disputas internas.

Planeamos usar esas debilidades contra los cultistas eliminando al líder de los gnolls, una criatura repugnante llamada Gnaragg, el Rey Sabueso. Capturarlo o matarlo seguramente enfrentará a sus lugartenientes entre sí hasta que uno establezca el dominio, lo que llevará más de unos pocos días, tiempo que podremos usar para derrotar al enemigo.

?Podrían ustedes ayudarnos con esta tarea?

Hay un leve murmuro entre los miembros del consejo. Murmuro que va acrecentándose cuando Wilfrick y Jeet comienzan a discutir abiertamente hasta que Thrommel procura que se detengan de forma muy tajante."
Gulgram Stonefist,"25/01/2021, 16:50","La algarabía que se produjo cuando el Príncipe Thrommel finalizó sus palabras preocupó a Gulgram... Cuando hay discusiones de por medio, los intereses propios están peligro y por supuesto no hay consenso. ?Fue ésta una de las razones por las que me alejé del Mundo? Política. Pensó. Llegando a sentir un leve mareo con esa última palabra. Miró al príncipe y habló...

- Príncipe Thrommel, el Cosmos me ha traído a vuestras tierras desde otras muy muy lejanas por alguna razón, quizá en ése Templo encuentre las respuestas que ando buscando desde hace tiempo. Así que por supuesto que os ayudaré y pondré mi arte a vuestra entera disposición. Los número son sólo números y nosotros contamos con disciplina y fortaleza,  pero... - Dejó de hablar y miró a los tres integrantes del consejo que le eran desconocidos hasta ese momento. Uno por uno, sin apartar su mirada si alguno de ellos le devolvía la mirada. Cuando los miró a todos, continuó hablando - ... pero me gustaría conocer las opiniones del resto de miembros del consejo. Parece que no están muy conforme con vuestras estrategias, Alteza. El miedo y la moral son cambiantes y es algo que podemos solucionar. ?Qué es lo que realmente os preocupa? - Esto último lo preguntó mirando en dirección al consejo."
Soren Ojoagudo,"25/01/2021, 18:59","Soren se sentía un poco incómodo ante todos esos mandatarios. Prefirió mantenerse en un segundo plano, sin llamar demasiado la atención. Era ya un rasgo adquirido que, de hecho, le había venido bien en su vida al margen de la ley.

Dejó hablar a sus compañeros, de momento, para limitarse a escuchar y observar. Y también para, usando el meñique, sacarse un mendrugo de una muela que le había quedado de su última comida."
