id_restaurante;id_cliente;ambiente;menu;vegetariana;pollo;carne;comida_rapida;lacteos;menestra
11;8231377271;0;0;0;1;1;1;0;1
19;8231377271;0;0;0;1;1;1;0;1
23;8231377271;0;0;0;1;1;1;0;1
86;8231377271;0;0;0;1;1;1;0;1
144;8231377271;0;0;0;1;1;1;0;1
172;8231377271;0;0;0;1;1;1;0;1
280;8231377271;0;0;0;1;1;1;0;1
313;8231377271;0;0;0;1;1;1;0;1
379;8231377271;0;0;0;1;1;1;0;1
387;8231377271;0;0;0;1;1;1;0;1
393;8231377271;0;0;0;1;1;1;0;1
424;8231377271;0;0;0;1;1;1;0;1
436;8231377271;0;0;0;1;1;1;0;1
481;8231377271;0;0;0;1;1;1;0;1
