id_restaurante;genero;ambiente;vegetariana;carne;pollo;lacteos;menu;comida_rapida;menestra;gustar
11;1;1;0;1;1;1;0;1;1;0
11;1;0;0;1;1;1;0;1;1;0
11;0;1;1;0;0;0;1;0;0;1
11;0;0;0;1;1;0;1;0;0;1
19;1;1;0;1;1;1;0;1;1;1
19;1;0;0;1;1;1;0;1;1;0
19;0;1;1;0;0;0;1;0;0;1
19;0;0;0;1;1;0;1;0;0;0
23;1;1;0;1;1;1;0;1;1;1
23;0;0;0;1;1;0;1;0;0;1
23;1;0;0;1;1;1;0;1;1;0
23;0;1;1;0;0;0;1;0;0;1
86;1;1;0;1;1;1;0;1;1;0
86;0;0;0;1;1;0;1;0;0;0
86;1;0;0;1;1;1;0;1;1;1
86;0;1;1;0;0;0;1;0;0;1
144;1;1;0;1;1;1;0;1;1;1
144;0;0;0;1;1;0;1;0;0;0
144;1;0;0;1;1;1;0;1;1;1
144;0;1;1;0;0;0;1;0;0;1
172;1;1;0;1;1;1;0;1;1;1
172;0;0;0;1;1;0;1;0;0;0
172;1;0;0;1;1;1;0;1;1;0
172;0;1;1;0;0;0;1;0;0;1
280;1;1;0;1;1;1;0;1;1;0
280;0;0;0;1;1;0;1;0;0;1
280;1;0;0;1;1;1;0;1;1;0
280;0;1;1;0;0;0;1;0;0;1
313;1;1;0;1;1;1;0;1;1;1
313;0;0;0;1;1;0;1;0;0;0
313;1;0;0;1;1;1;0;1;1;1
313;0;1;1;0;0;0;1;0;0;1
379;1;1;0;1;1;1;0;1;1;0
379;0;0;0;1;1;0;1;0;0;1
379;1;0;0;1;1;1;0;1;1;0
379;0;1;1;0;0;0;1;0;0;1
387;1;1;0;1;1;1;0;1;1;0
387;0;0;0;1;1;0;1;0;0;0
387;1;0;0;1;1;1;0;1;1;0
387;0;1;1;0;0;0;1;0;0;1
393;1;1;0;1;1;1;0;1;1;0
393;0;0;0;1;1;0;1;0;0;1
393;1;0;0;1;1;1;0;1;1;0
393;0;1;1;0;0;0;1;0;0;1
424;1;1;0;1;1;1;0;1;1;1
424;0;0;0;1;1;0;1;0;0;0
424;1;0;0;1;1;1;0;1;1;0
424;0;1;1;0;0;0;1;0;0;1
436;1;1;0;1;1;1;0;1;1;0
436;0;0;0;1;1;0;1;0;0;0
436;1;0;0;1;1;1;0;1;1;1
436;0;1;1;0;0;0;1;0;0;1
481;1;1;0;1;1;1;0;1;1;1
481;0;0;0;1;1;0;1;0;0;0
481;1;0;0;1;1;1;0;1;1;1
481;0;1;1;0;0;0;1;0;0;1
